mishnah_ref|german_text|hebrew_text|is_one_to_one|flagged_for_manual|flag_msg|list_rn
Mishnah Avodah Zarah 1:1|<sup>i</sup> <b>D</b>REI TAGE VOR DEN FESTEN DER NICHTJUDEN IST ES VERBOTEN MIT IHNEN HANDEL ZU TREIBEN IHNEN ETWAS ZU LEIHEN ODER VON IHNEN ZU LEIHEN IHNEN GELD ZU BORGEN ODER VON IHNEN ZU BORGEN AN SIE ZU ZAHLEN ODER VON IHNEN EINE ZAHLUNG ZU NEHMEN. R. JEHUDA SAGT MAN DÜRFE VON IHNEN ZAHLUNG NEHMEN WEIL DIES IHN SCHMERZT. JENE ENTGEGNETEN IHM: OBGLEICH DIES IHN JETZT SCHMERZT IST ER SPÄTER DENNOCH FROH.|לִפְנֵי אֵידֵיהֶן שֶׁל גּוֹיִם שְׁלשָׁה יָמִים אָסוּר לָשֵׂאת וְלָתֵת עִמָּהֶן, לְהַשְׁאִילָן וְלִשְׁאֹל מֵהֶן, לְהַלְוֹתָן וְלִלְוֹת מֵהֶן, לְפָרְעָן וְלִפָּרַע מֵהֶן. רַבִּי יְהוּדָה אוֹמֵר, נִפְרָעִין מֵהֶן מִפְּנֵי שֶׁהוּא מֵצֵר לוֹ. אָמְרוּ לוֹ, אַף עַל פִּי שֶׁמֵּצֵר הוּא עַכְשָׁיו, שָׂמֵחַ הוּא לְאַחַר זְמָן: |True|False||['i']
Mishnah Megillah 1:8|<sup>viii</sup> <b>D</b>IE BÜCHERUNTERSCHEIDEN SICH VON DEN TEPHILLIN UND DEN MEZUZOTH NUR DADURCH DASS DIE BÜCHER IN JEDER SPRACHE TEPHILLIN UND MEZUZOTH ABER NUR IN ASSYRISCHER SCHRIFTGESCHRIEBEN WERDEN DÜRFEN. R. ŠIMO͑N B. GAMLIÉL SAGT AUCH DIE BÜCHER HABE MAN NUR GRIECHISCH ZU SCHREIBEN ERLAUBT.|אֵין בֵּין סְפָרִים לִתְפִלִּין וּמְזוּזוֹת אֶלָּא שֶׁהַסְּפָרִים נִכְתָּבִין בְּכָל לָשׁוֹן, וּתְפִלִּין וּמְזוּזוֹת אֵינָן נִכְתָּבוֹת אֶלָּא אַשּׁוּרִית. רַבָּן שִׁמְעוֹן בֶּן גַּמְלִיאֵל אוֹמֵר, אַף בַּסְּפָרִים לֹא הִתִּירוּ שֶׁיִּכָּתְבוּ אֶלָּא יְוָנִית: |True|False||['viii']
Mishnah Chullin 8:1|<sup>i1</sup> <b>K</b>EINERLEI FLEISCH DARF GEKOCHT WERDEN MIT MILCH AUSGENOMMEN DAS FLEISCH VON FISCHEN UND HEUSCHRECKEN; ES DARF AUCH NICHT MIT KÄSE AUF DEN TISCH AUFGETRAGEN WERDEN AUSGENOMMEN DAS FLEISCH VON FISCHEN UND HEUSCHRECKEN. WER SICH FLEISCH ABGELOBT HAT DEM IST DAS FLEISCH VON FISCHEN UND HEUSCHRECKEN ERLAUBT.|כָּל הַבָּשָׂר אָסוּר לְבַשֵּׁל בְּחָלָב, חוּץ מִבְּשַׂר דָּגִים וַחֲגָבִים. וְאָסוּר לְהַעֲלוֹתוֹ עִם הַגְּבִינָה עַל הַשֻּׁלְחָן, חוּץ מִבְּשַׂר דָּגִים וַחֲגָבִים. הַנּוֹדֵר מִן הַבָּשָׂר, מֻתָּר בִּבְשַׂר דָּגִים וַחֲגָבִים. הָעוֹף עוֹלֶה עִם הַגְּבִינָה עַל הַשֻּׁלְחָן וְאֵינוֹ נֶאֱכָל, דִּבְרֵי בֵית שַׁמַּאי. וּבֵית הִלֵּל אוֹמְרִים, לֹא עוֹלֶה וְלֹא נֶאֱכָל. אָמַר רַבִּי יוֹסֵי, זוֹ מִקֻּלֵּי בֵית שַׁמַּאי וּמֵחֻמְרֵי בֵית הִלֵּל. בְּאֵיזֶה שֻׁלְחָן אָמְרוּ, בַּשֻּׁלְחָן שֶׁאוֹכֵל עָלָיו. אֲבָל בַּשֻּׁלְחָן שֶׁסּוֹדֵר עָלָיו אֶת הַתַּבְשִׁיל, נוֹתֵן זֶה בְצַד זֶה וְאֵינוֹ חוֹשֵׁשׁ: |True|False||['i']
Mishnah Berakhot 1:1|<sup>i</sup><b>V</b>ON WANN AN LIEST MAN DAS ŠEMA͑ AM A͑BEND? – VON DER STUNDE AN DA DIE PRIESTERN EINTRETEN VON IHRER HEBE ZU ESSEN BIS ZUM SCHLUSS DER ERSTEN NACHTWACHE – SO R. ELIE͑ZER. DIE WEISEN SAGEN BIS MITTERNACHT; R. GAMLIÉL SAGT BIS DIE MORGENRÖTE AUFSTEIGT. EINST KAMEN SEINE SÖHNE VOM GASTMAHL UND SPRACHEN ZU IHM: WIR HABEN NOCH DAS ŠEMA͑ NICHT GELESEN. DA SPRACH ER ZU IHNEN: IST DIE MORGENRÖTE NOCH NICHT AUFGESTIEGEN SO SEID IHR ZU LESEN VERPFLICHTET. UND NICHT NUR DIESBEZÜGLICH SAGTEN SIE DIES SONDERN VON ALLEM WORÜBER DIE WEISEN SAGTEN ES HABE ZEIT BIS MITTERNACHT GILT DAS GEBOT BIS DIE MORGENRÖTE AUFSTEIGT. DAS GEBOT DER AUFRAUCHERUNG DES FETTES UND DER GLIEDERN REICHT BIS DIE MORGENRÖTE AUFSTEIGT UND DAS GEBOT DESSEN WAS AN EINEM TAGE GEGESSEN WERDEN SOLL REICHT BIS DIE MORGENRÖTE AUFSTEIGT. WARUM SAGTEN DIE WEISEN WENN DEM SO IST: BIS MITTERNACHT? UM DEN MENSCHEN VON DER ÜBERTRETUNG FERNZUHALTEN.|מֵאֵימָתַי קוֹרִין אֶת שְׁמַע בְּעַרְבִית. מִשָּׁעָה שֶׁהַכֹּהֲנִים נִכְנָסִים לֶאֱכֹל בִּתְרוּמָתָן, עַד סוֹף הָאַשְׁמוּרָה הָרִאשׁוֹנָה, דִּבְרֵי רַבִּי אֱלִיעֶזֶר. וַחֲכָמִים אוֹמְרִים, עַד חֲצוֹת. רַבָּן גַּמְלִיאֵל אוֹמֵר, עַד שֶׁיַּעֲלֶה עַמּוּד הַשָּׁחַר. מַעֲשֶׂה שֶׁבָּאוּ בָנָיו מִבֵּית הַמִּשְׁתֶּה, אָמְרוּ לוֹ, לֹא קָרִינוּ אֶת שְׁמַע. אָמַר לָהֶם, אִם לֹא עָלָה עַמּוּד הַשַּׁחַר, חַיָּבִין אַתֶּם לִקְרוֹת. וְלֹא זוֹ בִּלְבַד, אֶלָּא כָּל מַה שֶּׁאָמְרוּ חֲכָמִים עַד חֲצוֹת, מִצְוָתָן עַד שֶׁיַּעֲלֶה עַמּוּד הַשָּׁחַר. הֶקְטֵר חֲלָבִים וְאֵבָרִים, מִצְוָתָן עַד שֶׁיַּעֲלֶה עַמּוּד הַשָּׁחַר. וְכָל הַנֶּאֱכָלִים לְיוֹם אֶחָד, מִצְוָתָן עַד שֶׁיַּעֲלֶה עַמּוּד הַשָּׁחַר. אִם כֵּן, לָמָּה אָמְרוּ חֲכָמִים עַד חֲצוֹת, כְּדֵי לְהַרְחִיק אֶת הָאָדָם מִן הָעֲבֵרָה: |True|False||['i']
Mishnah Berakhot 1:2|<sup>ii</sup> <b>V</b>ON WANN AN LIEST MAN DAS ŠEMA͑ AM MORGEN? – SOBALD MAN ZWISCHEN PURPURBLAU UND WEISS UNTERSCHEIDEN KANN; R. ELIE͑ZER SAGT ZWISCHEN PURPURBLAU UND LAUCHGRÜN. MAN BEENDE ES BIS SONNENAUFGANG; R. JEHOŠUA͑ SAGT BIS DREI STUNDEN DENN KÖNIGE PFLEGEN IN DER DRITTEN STUNDE AUFZUSTEHEN. WER VON DA AB LIEST HAT NICHTS VERLOREN ALS WENN JEMAND IN DER TORA LIEST.|מֵאֵימָתַי קוֹרִין אֶת שְׁמַע בְּשַׁחֲרִית. מִשֶּׁיַּכִּיר בֵּין תְּכֵלֶת לְלָבָן. רַבִּי אֱלִיעֶזֶר אוֹמֵר, בֵּין תְּכֵלֶת לְכַרְתִּי. וְגוֹמְרָהּ עַד הָנֵץ הַחַמָּה. רַבִּי יְהוֹשֻׁעַ אוֹמֵר, עַד שָׁלֹשׁ שָׁעוֹת, שֶׁכֵּן דֶּרֶךְ בְּנֵי מְלָכִים לַעֲמֹד בְּשָׁלֹשׁ שָׁעוֹת. הַקּוֹרֵא מִכָּאן וְאֵילָךְ לֹא הִפְסִיד, כְּאָדָם הַקּוֹרֵא בַתּוֹרָה: |True|False||['ii']
Mishnah Berakhot 1:3|<sup>iii</sup> <b>D</b>IE SCHULE ŠAMMAJS SAGT AM ABEND LESE MAN DAS ŠEMA͑ ANGELEHNT UND AM MORGEN STEHE MAN DENN ES HEISST:wenn du dich niederlegst und wenn du aufstehst; DIE SCHULE HILLELS SAGT JEDER LESE AUF SEINE WEISE DENN ES HEISST:wenn du auf dem Wege gehst. WIESO ABER HEISST ES DEMNACH: wenn du dich niederlegst und wenn du aufstehst? – ZUR STUNDE DA DIE MENSCHEN SICH NIEDERLEGEN UND ZUR STUNDE DA DIE MENSCHEN AUFSTEHEN. R. TRYPHON ERZÄHLTE: EINST BEFAND ICH MICH UNTERWEGS UND LEHNTE MICH AN UM DAS ŠEMA͑ NACH DER ANSICHT DER SCHULE ŠAMMAJS ZU LESEN; ICH SETZTE MICH DER GEFAHR AUS WIEGEN DER RÄUBER. MAN ERWIDERTE IHM: DU HAST ES VERDIENT SELBER SCHULD ÜBER DICH ZU BRINGEN WEIL DU DIE WORTE DER SCHULE HILLELS ÜBERTRETEN HAST.|בֵּית שַׁמַּאי אוֹמְרִים, בָּעֶרֶב כָּל אָדָם יַטּוּ וְיִקְרְאוּ, וּבַבֹּקֶר יַעַמְדוּ, שֶׁנֶּאֱמַר (דברים ו) וּבְשָׁכְבְּךָ וּבְקוּמֶךָ. וּבֵית הִלֵּל אוֹמְרִים, כָּל אָדָם קוֹרֵא כְדַרְכּוֹ, שֶׁנֶּאֱמַר (שם) וּבְלֶכְתְּךָ בַדֶּרֶךְ. אִם כֵּן, לָמָּה נֶאֱמַר וּבְשָׁכְבְּךָ וּבְקוּמֶךָ, בְּשָׁעָה שֶׁבְּנֵי אָדָם שׁוֹכְבִים, וּבְשָׁעָה שֶׁבְּנֵי אָדָם עוֹמְדִים. אָמַר רַבִּי טַרְפוֹן, אֲנִי הָיִיתִי בָא בַדֶּרֶךְ, וְהִטֵּתִי לִקְרוֹת, כְּדִבְרֵי בֵית שַׁמַּאי, וְסִכַּנְתִּי בְעַצְמִי מִפְּנֵי הַלִּסְטִים. אָמְרוּ לוֹ, כְּדַי הָיִיתָ לָחוּב בְּעַצְמְךָ, שֶׁעָבַרְתָּ עַל דִּבְרֵי בֵית הִלֵּל: |True|False||['iii']
Mishnah Berakhot 1:4|<sup>iv</sup> <b>A</b>M MORGEN SPRECHE MAN ZWEI SEGENSSPRÜCHE VORHERUND EINEN NACHHER; AM ABEND SPRECHE MAN ZWEI VORHER UND ZWEI NACHHER EINEN LÄNGEREN UND EINEN KÜRZEREN. WO SIE EINEN LANGEN SEGENSSPRUGH ANGEORDNET HABEN DARF MAN NICHT KÜRZEN UND WO SIE EINEN KURZEN ANGEORDNET HABEN DARF MAN NICHT VERLÄNGERN; WO DIE SCHLUSSFORMELZU SPRECHEN DARF MAN SIE NICHT FORTLASSEN WO DIE SCHLUSSFORMEL NICHT ZU SPRECHEN DARF MAN SIE NICHT HINZUFÜGEN.|בַּשַּׁחַר מְבָרֵךְ שְׁתַּיִם לְפָנֶיהָ וְאַחַת לְאַחֲרֶיהָ, וּבָעֶרֶב שְׁתַּיִם לְפָנֶיהָ וּשְׁתַּיִם לְאַחֲרֶיהָ. אַחַת אֲרֻכָּה וְאַחַת קְצָרָה. מָקוֹם שֶׁאָמְרוּ לְהַאֲרִיךְ, אֵינוֹ רַשַּׁאי לְקַצֵּר. לְקַצֵּר, אֵינוֹ רַשַּׁאי לְהַאֲרִיךְ. לַחְתֹּם, אֵינוֹ רַשַּׁאי שֶׁלֹּא לַחְתֹּם. וְשֶׁלֹּא לַחְתֹּם, אֵינוֹ רַשַּׁאי לַחְתֹּם: |True|False||['iv']
Mishnah Berakhot 1:5|<sup>v</sup> <b>M</b>AN ERWÄHNE DEN AUSZUG AUS MIÇRAJIM AUCH NACHTS. R. ELEA͑ZAR B. A͑ZARJA SPRACH: ICH BIN BEREITS WIE EIN SIEBZIGJÄHRIGER DENNNOCH KONNTE ICH MEINE ANSICHT NICHT DURCHSETZEN DASS MAN DEN ABSCHNITT VOM AUSZUG AUS MIÇRAJIM AUCH NACHTS LESE; BIS BEN ZOMA KAM UND DIES AUS DER SCHRIFT DEUTETE. ES HEISST:damit du des Tages deines Auszuges aus Miçrajim alle Tage deines Lebens gedenkest; DIE TAGE DEINES LEBENS DAS SIND DIE TAGE ALLE TAGE DEINES LEBENS DAS SIND DIE NÄCHTE. DIE WEISEN ABER SAGEN: DIE TAGE DEINES LEBENS DAS IST DIESE WELT; ALLE TAGE DEINES LEBENS DIES SCHLIESST DIE MESSIANISCHEN TAGE EIN.|מַזְכִּירִין יְצִיאַת מִצְרַיִם בַּלֵּילוֹת. אָמַר רַבִּי אֶלְעָזָר בֶּן עֲזַרְיָה, הֲרֵי אֲנִי כְּבֶן שִׁבְעִים שָׁנָה, וְלֹא זָכִיתִי שֶׁתֵּאָמֵר יְצִיאַת מִצְרַיִם בַּלֵּילוֹת, עַד שֶׁדְּרָשָׁהּ בֶּן זוֹמָא, שֶׁנֶּאֱמַר (דברים טז) לְמַעַן תִּזְכֹּר אֶת יוֹם צֵאתְךָ מֵאֶרֶץ מִצְרַיִם כֹּל יְמֵי חַיֶּיךָ. יְמֵי חַיֶּיךָ, הַיָּמִים. כֹּל יְמֵי חַיֶּיךָ, הַלֵּילוֹת. וַחֲכָמִים אוֹמְרִים, יְמֵי חַיֶּיךָ, הָעוֹלָם הַזֶּה. כֹּל יְמֵי חַיֶּיךָ, לְהָבִיא לִימוֹת הַמָּשִׁיחַ: |True|False||['v']
Mishnah Berakhot 2:1| <b>W</b>ENN JEMAND IN DER TORA LIEST UND DIE ZEIT DES ŠEMALESENS HERANREICHT SO GENÜGT ER WENN ER DIES BEABSICHTIGT SEINER PFLICHT. AN DEN ABSÄTZEN DARF MAN AUS EHRERBIETUNG GRÜSSEN UND EINEN GRUSS ERWIDERN; IN DER MITTE ABER DARF MAN NUR AUS FURCHT GRÜSSEN UND EINEN GRUSS ERWIDERN – SO R. MEÎR. R. JEHUDA SAGT IN DER MITTE DÜRFE MAN AUS FURCHT GRÜSSEN UND AUS EHRERBIETUNG EINEN GRUSS ERWIDERN UND AN DEN ABSÄTZEN AUS EHRERBIETUNG GRÜSSEN UND JEDERMANN SEINEN GRUSS ERWIDERN. |הָיָה קוֹרֵא בַתּוֹרָה, וְהִגִּיעַ זְמַן הַמִּקְרָא, אִם כִּוֵּן לִבּוֹ, יָצָא. וְאִם לָאו, לֹא יָצָא. בַּפְּרָקִים שׁוֹאֵל מִפְּנֵי הַכָּבוֹד וּמֵשִׁיב, וּבָאֶמְצַע שׁוֹאֵל מִפְּנֵי הַיִּרְאָה וּמֵשִׁיב, דִּבְרֵי רַבִּי מֵאִיר. רַבִּי יְהוּדָה אוֹמֵר, בָּאֶמְצַע שׁוֹאֵל מִפְּנֵי הַיִּרְאָה, וּמֵשִׁיב מִפְּנֵי הַכָּבוֹד, בַּפְּרָקִים שׁוֹאֵל מִפְּנֵי הַכָּבוֹד, וּמֵשִׁיב שָׁלוֹם לְכָל אָדָם: |True|False||['i', 'ii']
Mishnah Berakhot 2:2| FOLGENDE STELLEN SIND ABSÄTZE: ZWISCHEN DEM ERSTEN UND DEM ZWEITEN SEGENSSPRUCHE ZWISCHEN DEM ZWEITEN SEGENSSPRUCHE UND ‘HÖRE JISRAÉL’ ZWISCHEN ‘HÖRE JISRAÉL’ UND ‘WENN IHR HÖREN WERDET’ ZWISCHEN ‘WENN IHR HÖREN WERDET’ UND ‘ER SPRACH’ ZWISCHEN ‘ER SPRACH’ UND ‘WAHR UND FESTSTEHEND’. R. JEHUDA SAGT MAN DÜRFE ZWISCHEN ‘ER SPRACH’ UND ‘WAHR UND FESTSTEHEND’ NICHT UNTERBRECHEN. R. JEHOŠUE͑ B. QORḤA SAGTE: DER ABSCHNITT ‘HÖRE JISRAÉL’ GEHT DEM ABSCHNITTE ‘WENN IHR HÖREN WERDET’ DESHALB VORAN DAMIT MAN VORHER DAS JOCH DER HIMMLISCHEN HERRSCHAFT UND HERNACH DAS JOCH DER GESETZE AUF SICH NEHME. UND DER ABSCHNITT ‘WENN IHR HÖREN WERDET’ DEM ABSCHNITT ‘ER SPRACH’ DESHALB WEIL DER ERSTEHE SOWOHL AM TAGE ALS AUCH IN DER NACHT DER LETZTERE ABER NUR AM TAGE GELTUNG HAT.|אֵלּוּ הֵן בֵּין הַפְּרָקִים, בֵּין בְּרָכָה רִאשׁוֹנָה לִשְׁנִיָּה, בֵּין שְׁנִיָּה לִשְׁמַע, וּבֵין שְׁמַע לִוְהָיָה אִם שָׁמֹעַ, בֵּין וְהָיָה אִם שָׁמֹעַ לְוַיֹּאמֶר, בֵּין וַיֹּאמֶר לֶאֱמֶת וְיַצִּיב. רַבִּי יְהוּדָה אוֹמֵר, בֵּין וַיֹּאמֶר לֶאֱמֶת וְיַצִּיב לֹא יַפְסִיק. אָמַר רַבִּי יְהוֹשֻׁעַ בֶּן קָרְחָה, לָמָּה קָדְמָה שְׁמַע לִוְהָיָה אִם שָׁמֹעַ, אֶלָּא כְדֵי שֶׁיְּקַבֵּל עָלָיו עֹל מַלְכוּת שָׁמַיִם תְּחִלָּה, וְאַחַר כָּךְ יְקַבֵּל עָלָיו עֹל מִצְוֹת. וְהָיָה אִם שָׁמֹעַ לְוַיֹּאמֶר, שֶׁוְהָיָה אִם שָׁמֹעַ נוֹהֵג בַּיּוֹם וּבַלַּיְלָה, וַיֹּאמֶר אֵינוֹ נוֹהֵג אֶלָּא בַּיּוֹם: |True|False||['i', 'ii']
