mishnah_tref,de_text
Mishnah Zevachim 1:1," <b>J</b>EDES O<small>PFER, DAS AUF EINEN ANDEREN</small> N<small>AMEN</small><sup>1</sup><i class=""footnote"">Als Opfer anderer Art; cf. Lev. 1ff.</i> <small>GESCHLACHTET WORDEN IST, IST TAUGLICH</small><sup>2</sup><i class=""footnote"">Die weitere Herrichtung desselben (Blutsprengen, Aufräucherung der Opferteile usw.) muß nach gesetzlicher Vorschrift erfolgen.</i>, <small>NUR HAT DER</small> E<small>IGENTÜMER SICH DAMIT SEINER</small> P<small>FLICHT</small><sup>3</sup><i class=""footnote"">Das Opfer darzubringen, zu dem er verpflichtet ist.</i> <small>NICHT ENTLEDIGT, AUSGENOMMEN SIND DAS</small> P<small>ESAḤOPFER UND DAS</small> S<small>ÜNDOPFER</small><sup>4</sup><i class=""footnote"">Diese sind, wenn sie auf einen anderen Namen geschlachtet worden sind, völlig untauglich.</i>; <small>DAS</small> P<small>ESAḤOPFER ZU SEINER</small> Z<small>EIT</small><sup>5</sup><i class=""footnote"">Am Nachmittag des 14. Nisan; wird es zu einer anderen Zeit dargebracht, so gilt es überhaupt nicht als Pesaḥopfer, sondern als Heilsopfer.</i> <small>UND DAS</small> S<small>ÜNDOPFER ZU JEDER</small> Z<small>EIT.</small> R. E<small>LIE͑ZER SAGT, AUCH DAS</small> S<small>CHULDOPFER; DAS</small> P<small>ESAḤOPFER ZU SEINER</small> Z<small>EIT UND DAS</small> S<small>ÜND- UND DAS</small> S<small>CHULDOPFER ZU JEDER</small> Z<small>EIT.</small> R. E<small>LIE͑ZER SPRACH:</small> D<small>AS</small> S<small>ÜNDOPFER WIRD WEGEN EINER</small> S<small>ÜNDE DARGEBRACHT UND DAS</small> S<small>CHULDOPFER WIRD WEGEN EINER</small> S<small>ÜNDE DARGEBRACHT, WIE NUN DAS AUF EINEN ANDEREN</small> N<small>AMEN DARGEBRACHTE</small> S<small>ÜNDOPFER UNTAUGLICH IST, EBENSO IST AUCH DAS AUF EINEN ANDEREN</small> N<small>AMEN DARGEBRACHTE</small> S<small>CHULDOPFER UNTAUGLICH.</small>"
Mishnah Zevachim 1:2," J<small>OSE B. ḤONI SAGT, WAS</small><sup>6</sup><i class=""footnote"">Jedes andere Opfer.</i> <small>AUF DEN</small> N<small>AMEN EINES</small> P<small>ESAḤOPFERS</small><sup>7</sup><i class=""footnote"">Am 14. Nisan, an dem dieses geschlachtet wird.</i> <small>UND AUF DEN</small> N<small>AMEN EINES</small> S<small>ÜNDOPFERS GESCHLACHTET WORDEN IST, IST UNTAUGLICH</small><sup>8</sup><i class=""footnote"">Da auch diese untauglich sind, wenn sie auf den Namen eines anderen Opfers geschlachtet worden sind.</i>. Š<small>IMO͑N, DER</small> B<small>RUDER DES</small> A͑<small>ZARJA, SAGT, WAS AUF DEN</small> N<small>AMEN EINES HÖHER</small><small>HEILIGEN</small> O<small>PFERS</small> <small>GESCHLACHTET WORDEN IST, IST TAUGLICH, UND WAS AUF DEN</small> N<small>AMEN EINES MINDER</small><small>HEILIGEN</small> <small>GESCHLACHTET WORDEN IST, IST UNTAUGLICH.</small> Z<small>UM</small> B<small>EISPIEL : HAT MAN</small> H<small>OCHHEILIGES</small><sup>9</sup><i class=""footnote"">Brandopfer, Sündopfer u. Schuldopfer.</i> <small>AUF DEN</small> N<small>AMEN VON</small> M<small>INDERHEILIGEM</small><sup>10</sup><i class=""footnote"">Heilsopfer u. Dankopfer, sowie die Erstgeburt, der Zehnt u. das Pesaḥopfer.</i><small>GESCHLACHTET, SO IST ES UNTAUGLICH, HAT MAN ABER</small> M<small>INDERHEILIGES AUF DEN</small> N<small>AMEN VON</small> H<small>OCHHEILIGEM GESCHLACHTET</small>, <small>SO IST ES TAUGLICH</small>. H<small>AT MAN DAS</small> E<small>RSTGEBORENE ODER DAS</small> Z<small>EHNTE</small><sup>11</sup><i class=""footnote"">Gf. Lev. 27,32.</i><small>AUF DEN</small> N<small>AMEN EINES</small> H<small>EILSOPFERS GESCHLACHTET, SO IST ES TAUGLICH; HAT MAN EIN</small> H<small>EILSOPFER AUF DEN</small> N<small>AMEN DES</small> E<small>RSTGEBORENEN ODER DES</small> Z<small>EHNTEN</small><sup>12</sup><i class=""footnote"">Diese stehen dem Heilsopfer nach hinsichtlich mancher Dienstverrichtungen bei der Opferung.</i><small>GESCHLACHTET, SO IST ES UNTAUGLICH</small><sup>13</sup><i class=""footnote"">Das Heilsopfer ist, obgleich es ebenfalls zu den minderheiligen Opfern gehört, heiliger als diese, da es bei der Darbringung mehr dienstliche Handlungen erfordert.</i>."
Mishnah Zevachim 1:3," <b>D</b><small>AS AM VIERZEHNTEN MORGENS AUF EINEN ANDEREN</small> N<small>AMEN GESCHLACHTETE</small> P<small>ESAḤOPFER</small><sup>449</sup><i class=""footnote"">Das nach Vorschrift am 14. Nisan nachmittags geschlachtet werden muß.</i><small>IST NACH</small> R. J<small>EHOŠUA͑ TAUGLICH</small><sup>450</sup><i class=""footnote"">Es gilt als Heilsopfer.</i>, <small>ALS WÜRDE ES AM DREIZEHNTEN GESCHLACHTET WORDEN SEIN, UND NACH</small> B<small>EN</small> B<small>ETHERA UNTAUGLICH, ALS WÜRDE ES ABENDS GESCHLACHTET WORDEN SEIN</small>. Š<small>IMO͑N B</small>. A͑<small>ZAJ SPRACH:</small> M<small>IR IST ES AM</small> T<small>AGE, AN DEM</small> R. E<small>LEA͑ZAR ZUM</small> S<small>CHULOBERHAUPT EINGESETZT WORDEN IST, VON DEN ZWEIUNDSIEBZIG</small> Ä<small>LTESTEN ÜBERLIEFERT WORDEN, DASS ALLE ESSBAREN</small><sup>451</sup><i class=""footnote"">Die nicht vollständig verbrannt werden.</i>O<small>PFER, DIE AUF EINEN ANDEREN</small> N<small>AMEN GESCHLACHTET WORDEN SIND, TAUGLICH SIND, NUR HABEN DIE</small> E<small>IGENTÜMER SICH IHRER</small> P<small>FLICHT NICHT ENTLEDIGT; AUSGENOMMEN SIND DAS</small> P<small>ESAḤOPFER UND DAS</small> S<small>ÜNDOPFER.</small> B<small>EN</small> A͑<small>ZAJ FÜGTE NUR DAS</small> B<small>RANDOPFER</small><sup>452</sup><i class=""footnote"">Nach ihm ist auch dieses untauglich.</i><small>HINZU; DIE</small> W<small>EISEN PFLICHTETEN IHM ABER NICHT BEI.</small>"
Mishnah Zevachim 1:4," <b>H</b><small>AT MAN DAS</small> P<small>ESAḤOPFER UND DAS</small> S<small>ÜNDOPFER AUF EINEN ANDEREN</small> N<small>AMEN GESCHLACHTET ODER AUF EINEN ANDEREN</small> N<small>AMEN</small> <small>DAS</small> B<small>LUT</small> <small>AUFGENOMMEN, HINGEBRACHT ODER GESPRENGT, ODER AUF IHREN</small> N<small>AMEN UND AUF EINEN ANDEREN</small> N<small>AMEN, ODER AUF EINEN ANDEREN</small> N<small>AMEN UND AUF IHREN</small> N<small>AMEN, SO SIND SIE UNTAUGLICH</small>. A<small>UF IHREN</small> N<small>AMEN UND AUF EINEN ANDEREN</small> N<small>AMEN, ZUM</small> B<small>EISPIEL: AUF DEN</small> N<small>AMEN EINES</small> P<small>ESAḤOPFERS UND EINES</small> H<small>EILSOPFERS; AUF EINEN ANDEREN</small> N<small>AMEN UND AUF IHREN</small> N<small>AMEN: AUF DEN</small> N<small>AMEN EINES</small> H<small>EILSOPFERS UND EINES</small> P<small>ESAḤOPFERS.</small> D<small>AS</small> S<small>CHLACHTOPFER KANN BEI VIER</small> V<small>ERRICHTUNGEN UNTAUGLICH</small><sup>501</sup><i class=""footnote"">Wenn diese nicht auf den richtigen Namen erfolgt sind.</i><small>WERDEN: BEIM</small> S<small>CHLACHTEN, BEI DER</small> B<small>LUT</small><small>AUFNAHME, BEIM</small> H<small>INBRINGEN UND BEIM</small> S<small>PRENGEN.</small> N<small>ACH</small> R. Š<small>IMO͑N WIRD ES BEIM</small> H<small>INBRINGEN NICHT UNTAUGLICH.</small> R. Š<small>IMO͑N SAGTE NÄMLICH</small> : E<small>S IST NICHT MÖGLICH OHNE</small> S<small>CHLACHTEN, AUCH NICHT OHNE</small> B<small>LUT</small><small>AUFNAHME UND AUCH NICHT OHNE</small> S<small>PRENGEN, WOHL ABER ISTES OHNE</small> H<small>INBRINGEN MÖGLICH, DENN MAN KANN NEBEN DEM</small> A<small>LTAR SCHLACHTEN</small><sup>502</sup><i class=""footnote"">Da diese Verrichtung beim Opferdienst entbehrlich ist, so ist es damit nicht genauzunehmen.</i><small>UND SPRENGEN</small>. R. E<small>LIE͑ZER SAGT, IST DAS</small> H<small>INBRINGEN NÖTIG, MACHE DIE</small> A<small>BSICHT</small><sup>503</sup><i class=""footnote"">Wenn man bei dieser Verrichtung beabsichtigt, das Blut auf einen anderen Namen zu sprengen.</i><small>BEIM</small> H<small>INBRINGEN UNTAUGLICH, UND IST DAS</small> H<small>INBRINGEN NICHT NÖTIG, MACHE DIE</small> A<small>BSICHT BEIM</small> H<small>INBRINGEN NICHT UNTAUGLICH</small>."
Mishnah Zevachim 2:1,"<sup>i,1</sup> <b>J</b>EDES O<small>PFER, DESSEN</small> B<small>LUT EIN</small> G<small>EMEINER, EIN</small> T<small>RAUERNDER</small><sup>1</sup><i class=""footnote"">Vor der Bestattung des Toten.</i>, <small>EINER, DER AM SELBEN TAGE UNTERGETAUCHT IST</small><sup>2</sup><i class=""footnote"">Wer unrein war u. nach Ablauf der hierfür bestimmten Dauer ein Tauchbad genommen hat, erlangt völlige Reinheit erst nach Sonnenuntergang.</i>, <small>DEM DIE</small> S<small>ÜHNE NOCH FEHLT</small><sup>3</sup><i class=""footnote"">Ein Aussätziger od. Flußbehafteter, der Reinheit erlangt, jedoch das Opfer (cf. Lev. 14,2ff. 15,13ff.) noch nicht dargebracht hat.</i>, <small>DER DIE</small> A<small>MTSKLEIDER</small><sup>4</sup><i class=""footnote"">Der gemeine Priester hat 4 u. der Hochpriester hat 8 Kleidungsstücke beim Tempeldienste zu tragen.</i> <small>NICHT ANHAT, DER</small> H<small>ÄNDE UND</small> F<small>ÜSSE NICHT GEWASCHEN</small><sup>5</sup><i class=""footnote"">Aus dem hierfür bestimmten Waschbecken, vor Antritt des Dienstes.</i> <small>HAT, EIN</small> U<small>NBESCHNITTENER, EIN</small> U<small>NREINER, EIN</small> S<small>ITZENDER, EIN AUF EINEM</small> G<small>ERÄTE, EINEM</small> T<small>IERE ODER DEN</small> F<small>ÜSSEN SEINES</small> N<small>ÄCHSTEN</small> S<small>TEHENDER AUFGENOMMEN HAT, IST UNTAUGLICH.</small> H<small>AT MAN ES MIT DER LINKEN</small> H<small>AND</small> <small>AUFGENOMMEN, SO IST ES UNTAUGLICH, NACH</small> R. Š<small>IMO͑N ABER TAUGLICH.</small> I<small>ST</small> <small>DAS</small> B<small>LUT</small> <small>AUF DEN</small> E<small>STRICH AUSGESCHÜTTET UND AUFGENOMMEN WORDEN, SO IST ES UNTAUGLICH.</small> I<small>ST DAS</small> B<small>LUT AUF DEN</small> E<small>STRICH AUSGESCHÜTTET UND AUFGENOMMEN WORDEN, SO IST ES UNTAUGLICH.</small> <sup>i,2</sup> <b>H</b><small>AT MAN</small> <small>DAS</small> B<small>LUT</small> <small>AUF DIE</small> A<small>LTARRAMPE ODER NICHT GEGEN DAS</small> F<small>UNDAMENT AUFGETRAGEN, ODER HAT MAN DAS UNTERHALB</small><sup>344</sup><i class=""footnote"">Des roten Streifens um die Mitte des Altars.</i><small>ZU SPRENGENDE OBERHALB, DAS OBERHALB ZU SPRENGENDE UNTERHALB, DAS INNERHALB</small><sup>345</sup><i class=""footnote"">Auf den inneren bezw. äußeren Altar.</i><small>ZU SPRENGENDE AUSSERHALB ODER DAS AUSSERHALB ZU SPRENGENDE INNERHALB GESPRENGT, SO IST ES UNTAUGLICH UND MAN VERFÄLLT NICHT DER</small> A<small>USROTTUNG</small><sup>346</sup><i class=""footnote"">Wenn man vom Fleisch eines solchen Opfers gegessen hat.</i>."
Mishnah Zevachim 2:2," <b>H</b><small>AT MAN EIN</small> O<small>PFER GESCHLACHTET IN DER</small> A<small>BSICHT, DAS</small> B<small>LUT ODER EINEN</small> T<small>EIL DAVON AUSSERHALB ZU SPRENGEN, DIE</small> O<small>PFERTEILE ODER EINEN</small> T<small>EIL DERSELBEN AUSSERHALB AUFZURÄUCHERN, DAS</small> F<small>LEISCH ODER</small> <small>DAS</small> Q<small>UANTUM</small> <small>EINER</small> O<small>LIVE DAVON AUSSERHALB ZU ESSEN, ODER EINE</small> O<small>LIVE VON DER</small> H<small>AUT DES</small> F<small>ETTSCHWANZES AUSSERHALB ZU ESSEN, SO IST ES UNTAUGLICH, UND MAN VERFÄLLT NICHT</small><sup>400</sup><i class=""footnote"">Wenn man es gegessen hat.</i><small>DER</small> A<small>USROTTUNG</small>; <small>WENN ABER, DAS</small> B<small>LUT ODER EINEN</small> T<small>EIL DAVON AM FOLGENDEN</small> T<small>AGE ZU SPRENGEN, DIE</small> O<small>PFERTEILE ODER EINEN</small> T<small>EIL DERSELBEN AM FOLGENDEN</small> T<small>AGE AUFZURÄUCHERN, DAS</small> F<small>LEISCH ODER EINE</small> O<small>LIVE DAVON AM FOLGENDEN</small> T<small>AGE ZU ESSEN, ODER EINE</small> O<small>LIVE VON DER</small> H<small>AUT DES</small> F<small>ETTSCHWANZES AM FOLGENDEN</small> T<small>AGE ZU ESSEN, SO IST ES VERWERFLICH, UND MAN VERFÄLLT</small><sup>400</sup><i class=""footnote"">Wenn man es gegessen hat.</i><small>DER</small> A<small>USROTTUNG.</small>"
Mishnah Zevachim 2:3," <b>D</b><small>IE</small> R<small>EGEL HIERBEI IST: WENN MAN SCHLACHTET,</small> <small>DAS</small> B<small>LUT</small> <small>AUFNIMMT, HINBRINGT ODER SPRENGT IN DER</small> A<small>BSICHT, AUSSERHALB DES</small> R<small>AUMES EINE</small> O<small>LIVE VON DEM, WAS ZU ESSEN</small><sup>466</sup><i class=""footnote"">Das Fleisch.</i><small>IST, ZU ESSEN, ODER VON DEM, WAS AUFZURÄUCHERN</small><sup>467</sup><i class=""footnote"">Die Opferteile.</i><small>IST, AUFZURÄUCHERN, SO IST ES UNTAUGLICH, UND MAN VERFÄLLT NICHT DER</small> A<small>USROTTUNG ; WENN ABER AUSSERHALB DER</small> F<small>RIST, SO IST ES VERWERFLICH, UND MAN VERFÄLLT DER</small> A<small>USROTTUNG, NUR MUSS DIE</small> D<small>ARBRINGUNG DES</small> E<small>RLAUBTMACHENDEN NACH</small> V<small>ORSCHRIFT ERFOLGT</small><sup>468</sup><i class=""footnote"">Wenn das Blutsprengen, wodurch das Opfer, der Genuß des Fleisches, erlaubt wird, nicht durch irgend einen Umstand ungültig geworden ist.</i><small>SEIN</small> ."
Mishnah Zevachim 2:4,"A<small>UF WELCHE</small> W<small>EISE ERFOLGT DIE</small> D<small>ARBRINGUNG DES</small> E<small>RLAUBTMACHENDEN NACH</small> V<small>ORSCHRIFT?</small> H<small>AT MAN STILLSCHWEIGEND GESCHLACHTET UND AUSSERHALB DER</small> F<small>RIST</small><sup>469</sup><i class=""footnote"">Dh. wenn man während dieser Verrichtung beabsichtigt hat, davon außerhalb der Frist bezw. außerhalb des Raumes zu essen.</i><small>DAS</small> B<small>LUT</small> <small>AUFGENOMMEN, HINGEBRACHT UND GESPRENGT, ODER AUSSERHALB DER</small> F<small>RIST GESCHLACHTET</small><sup>469</sup><i class=""footnote"">Dh. wenn man während dieser Verrichtung beabsichtigt hat, davon außerhalb der Frist bezw. außerhalb des Raumes zu essen.</i><small>UND STILLSCHWEIGEND</small> <small>DAS</small> B<small>LUT</small> <small>AUFGENOMMEN, HINGEBRACHT UND GESPRENGT, ODER AUSSERHALB DER</small> F<small>RIST GESCHLACHTET,</small> <small>DAS</small> B<small>LUT</small> <small>AUFGENOMMEN, HINGEBRACHT UND GESPRENGT, SO IST DIE</small> D<small>ARBRINGUNG DES</small> E<small>RLAUBTMACHENDEN NACH</small> V<small>ORSCHRIFT</small><sup>470</sup><i class=""footnote"">Hierbei war nur eine unzulässige Absicht u. wurde durch eine andere nicht aufgehoben.</i><small>ERFOLGT.</small> A<small>UF WELCHE</small> W<small>EISE ERFOLGT DIE</small> D<small>ARBRINGUNG DES</small> E<small>RLAUBTMACHENDEN NICHT NACH</small> V<small>ORSCHRIFT?</small> H<small>AT MAN AUSSERHALB DES</small> R<small>AUMES GESCHLACHTET UND AUSSERHALB DER</small> F<small>RIST</small> <small>DAS</small> B<small>LUT</small> <small>AUFGENOMMEN, HINGEBRACHT UND GESPRENGT, ODER AUSSERHALB DER</small> F<small>RIST GESCHLACHTET UND AUSSERHALB DES</small> R<small>AUMES</small> <small>DAS</small> B<small>LUT</small> <small>AUFGENOMMEN, HINGEBRACHT UND GESPRENGT, ODER AUSSERHALB DES</small> R<small>AUMES</small> (<small>UND DER</small> F<small>RIST</small>) <small>GESCHLACHTET</small>, <small>DAS</small> B<small>LUT</small> <small>AUFGENOMMEN, HINGEBRACHT UND GESPRENGT</small><sup>471</sup><i class=""footnote"">Durch die Untauglichkeit des Opfers (durch die Absicht, außerhalb des Raumes zu essen, bezw. die Herrichtung auf anderen Namen) wird die Verwerflichkeit aufgehoben.</i>, <small>ODER</small> DAS P<small>ESAḤOPFER ODER DAS</small> S<small>ÜNDOPFER AUF EINEN ANDEREN</small> N<small>AMEN GESCHLACHTET UND</small> <small>DAS</small> B<small>LUT</small> <small>AUSSERHALB DER</small> F<small>RIST AUFGENOMMEN, HINGEBRACHT UND GESPRENGT, ODER SIE AUSSERHALB DER</small> F<small>RIST GESCHLACHTET UND</small> <small>DAS</small> B<small>LUT</small> <small>AUF EINEN ANDEREN</small> N<small>AMEN AUFGENOMMEN, HINGEBRACHT UND GESPRENGT, ODER SIE AUF EINEN ANDEREN</small> N<small>AMEN GESCHLACHTET, DAS</small> B<small>LUT AUFGENOMMEN, HINGEBRACHT UND GESPRENGT, SO IST DIE</small> D<small>ARBRINGUNG DES</small> E<small>RLAUBTMACHENDEN NICHT NACH</small> V<small>ORSCHRIFT ERFOLGT.</small>"
Mishnah Zevachim 2:5,"B<small>EABSICHTIGT MAN</small> <small>EINE</small> O<small>LIVE</small><sup>472</sup><i class=""footnote"">Ein olivengroßes Stück, Mindestquantum, durch welches das Opfer untauglich od. verwerflich wird.</i><small>AUSSERHALB UND EINE</small> O<small>LIVE AM FOLGENDEN</small> T<small>AGE, ODER EINE</small> O<small>LIVE AM FOLGENDEN</small> T<small>AGE UND EINE</small> O<small>LIVE AUSSERHALB, ODER EINE HALBE</small> O<small>LIVE AUSSERHALB UND EINE HALBE</small> O<small>LIVE AM FOLGENDEN</small> T<small>AGE, ODER EINE HALBE</small> O<small>LIVE AM FOLGENDEN</small> T<small>AGE UND EINE HALBE</small> O<small>LIVE AUSSERHALB ZU ESSEN, SO IST ES UNTAUGLICH, UND MAN VERFÄLLT NICHT DER</small> A<small>USROTTUNG</small>. R. J<small>EHUDA SAGTE</small> : D<small>IE</small> R<small>EGEL HIERBEI IST : WENN DIE</small> A<small>BSICHT HINSICHTLICH DER</small> F<small>RIST DER</small> A<small>BSICHT HINSICHTLICH DES</small> R<small>AUMES VORANGING, SO IST ES VERWERFLICH</small><sup>473</sup><i class=""footnote"">Die spätere unzulässige Absicht (hinsichtl. des Raumes) hebt die Verwerflichkeit nicht auf; wenn sie aber vorher erfolgt ist, so tritt die Verwerflichkeit nicht ein.</i>, <small>UND MAN VERFÄLLT DER</small> A<small>USROTTUNG, UND WENN DIE</small> A<small>BSICHT HINSICHTLICH DES</small> R<small>AUMES DER</small> A<small>BSICHT HINSICHTLICH DER</small> F<small>RIST VORANGING, SO IST ES UNTAUGLICH</small><sup>473</sup><i class=""footnote"">Die spätere unzulässige Absicht (hinsichtl. des Raumes) hebt die Verwerflichkeit nicht auf; wenn sie aber vorher erfolgt ist, so tritt die Verwerflichkeit nicht ein.</i>, <small>UND MAN VERFÄLLT NICHT DER</small> A<small>USROTTUNG.</small> D<small>IE</small> W<small>EISEN SAGEN, IN BEIDEN</small> F<small>ÄLLEN SEI ES UNTAUGLICH, UND MAN VERFALLE NICHT DER</small> A<small>USROTTUNG.</small> B<small>EABSICHTIGT MAN</small> <small>EINE HALBE</small> O<small>LIVE ZU ESSEN</small><sup>474</sup><i class=""footnote"">Außerhalb der Frist od. des Raumes.</i><small>UND EINE HALBE</small> O<small>LIVE AUFZURÄUCHERN, SO IST ES TAUGLICH, DENN DAS</small> E<small>SSEN UND DAS</small> A<small>UFRÄUCHERN WERDEN NICHT VEREINIGT</small><sup>475</sup><i class=""footnote"">In beiden Fällen ist das erforderliche Quantum nicht vorhanden u. das Opfer wird nicht untauglich.</i>."
Mishnah Zevachim 3:1," <b>H</b>AT <small>EINER VON DEN</small> U<small>NTAUGLICHEN</small><sup>1</sup><i class=""footnote"">Beispielsweise ein Gemeiner od. ein mit einem Gebrechen od. Geburtsmakel behafteter Priester.</i> <small>GESCHLACHTET, SO IST DAS</small> S<small>CHLACHTEN GÜLTIG, DENN DAS</small> S<small>CHLACHTEN DARF DURCH</small> G<small>EMEINE,</small> W<small>EIBER,</small> S<small>KLAVEN UND</small> U<small>NREINE ERFOLGEN, SELBST BEI</small> H<small>OCHHEILIGEM, NUR DÜRFEN</small> U<small>NREINE DAS</small> F<small>LEISCH NICHT BERÜHREN;</small> DAHER MACHEN DIESE ES DURCH DIE A<small>BSICHT</small><sup>2</sup><i class=""footnote"">Wenn sie beim Schlachten beabsichtigen, einen Dienst auf einen anderen Namen zu verrichten.</i> <small>UNGÜLTIG.</small> H<small>ABEN SIE DAS</small> B<small>LUT AUSSERHALB</small> <small>DER</small> F<small>RIST ODER AUSSERHALB DES</small> R<small>AUMES</small><sup>3</sup><i class=""footnote"">Dh. in der Absicht, außerhalb der Frist od. des Raumes das Fleisch zu essen od. die Opferteile aufzuräuchern.</i> <small>AUFGENOMMEN, SO SOLL, WENN</small> L<small>EBENSBLUT</small><sup>4</sup><i class=""footnote"">Vgl. S. 91 Anm. 351.</i> <small>NOCH VORHANDEN IST, EIN</small> T<small>AUGLICHER ES WIEDERUM AUFNEHMEN</small><sup>5</sup><i class=""footnote"">Sie sind zur Blutaufnahme unzulässig, u. ihre Absicht ist somit ohne Wirkung.</i>"
