tractate,chapter,content,page,
תוספתא ברכות (ליברמן),פרק 1,"מאמתי קורין את שמע בערבין משעה שבני אדן נכנסין לוכל פיתן בלילי שבתות דברי ר' מאיר. וחכמים אומ' משעה שהכהנים זכאין לוכל תרומתן. סימן לדבר צאת הכוכבים אע""פ שאין ראיה לדבר זכר לדבר וחצים מחזיקים ברמחים מעלות השחר עד צאת הכוכבים. ר' שמעון או' פעמים שאדם קורא אותה שתי פעמים בלילה אחת עד שלא [עלה] עמוד השחר ואחת משעלה עמוד השחר ונמצא יוצא ידי חובתו של יום ושל לילה. ר' או' ארבע משמרות בלילה. העונה אחת מעשרים וארבעה משעה העת אחת מעשרים וארבעה בעונה והרגע אחד מעשרים וארבעה בעת. ר' נתן או' שלש משמרות הוי הלילה שנ' ראש האשמורת התיכונה אין תיכונה אלא שיש לפניה ולאחריה.L",,
,,מאימתי קורין את שמע בשחרים אחרים אומ' כדי שיהא חבירו רחוק ממנו ארבע אמות ומכירו. מצותה עם הנץ החמה כדי שיהא סומך לה תפל' ונמצא מתפלל ביום. אמ' ר' יהוד' פעם אחת הייתי מהלך אחר ר' עקיבא ואחר ר' אלעזר בן עזריה והגיע זמן קרית שמע כמדומה אני שנתיאשו מלקרות אלא שהיו עסוקין בצרכי צבור. קריתי ושניתי ואחר כך התחילו הן וכבר נראת חמה על ראשי ההרים.L,,
,,החתנים וכל העסוקין במצות פטורין מן קרית שמע ומן התפלה שנ' בשבתך בביתך פרט לעסוקים במצות ובלכתך בדרך פרט לחתנים.L,,
,,מעשה בר' ישמעאל ור' אלעזר בן עזריה שהיו שרויין במקום אחד והיה ר' ישמעאל מוטה ור' אלעזר בן עזריה זקוף. הגיע זמן קרית שמע נזקף ר' ישמעאל והטה ר' אלעזר בן עזריה. אמ' לו ר' ישמעאל מה זה אלעזר. אמ' לו ישמעאל אחי לאחד או' לו מפני מה זקנך מגודל והוא או' להם יהיה כנגד המשחיתים אני שהייתי זקוף הטיתי ואת שהייתה מוטה נזקפתה. אמ' לו אתה הטיתה לקיים דברי בית שמאי ואני נזקפתי לקיים [דברי] בית הלל. דבר אחר שלא יראו התלמידים ויעשו קבע הלכה כדבריך.L,,
,,למה אמרו אחת קצרה. מקום שאמרו להאריך אינו רשאי לקצר לקצר אינו רשאי להאריך לחתום אינו רשאי שלא לחתום לא לחתום אינו רשאי לחתום לשוח אינו רשאי שלא לשוח ושלא לשוח אינו רשאי לשוח לפתוח בברוך אינו רשאי שלא לפתוח בברוך ושלא לפתוח בברוך אינו רשאי לפתוח בברוך.L,,
,,אלו [ברכות] שמקצרין בהן המברך על הפירות ועל המצות ברכת הזמון וברכה אחרונה שבברכת המזון. ואלו ברכות שמארכין בהן ברכות תעניות וברכות של ראש השנה וברכות של יום הכפורים. מברכות של אדם ניכר אם בור הוא אם תלמיד חכם הוא.L,,
,,אלו ברכות שאין חותמין בהן. המברך על הפירות ועל המצות וברכת הזימון וברכה אחרונה שבברכת המזון. ר' יוסה הגלילי היה חותם בברכה אחרונה שבברכת המזון ומאריך בה.L,,
,,אילו ברכות ששוחין בהן ברכה ראשונה תחלה וסוף מודים תחלה וסוף. השח על כל ברכה מלמדין אותו שלא ישחה.L,,
,,אילו ברכות שפותחין בהן בברוך. [כל הברכות כלן פותחין בברוך] חוץ מברכה הסמוכה לשמע וברכה הסמוכה לברכה אחרת,@,
,,שאין פותחין בהן בברוך ואין עונין עם המברך. ר' יהודה היה עונה עם המברך ק' ק' ק' וגו' וברוך וגו'. כל אילו היה קורא ר' יהודה עם המברך.L,,
