ב.	<b>רש"י בד"ה שתים כתיבי כו' הן ולאו ולהבא דלהרע כו'</b> כצ"ל:
	<b>בד"ה וידיעה בסוף כו' ויצא ונודע לו כו'</b> כצ"ל:
	<b>בד"ה אף חיצון כו' ידיעה ומאי נינהו כו'</b> כצ"ל:
ג:	<b>רש"י בד"ה וכדרבא כלומר כו' כדרבא דבפ"ג אמרינן כו' השוא שבועות שקר כו' לשעבר נשבע לשנות כו'</b> כצ"ל והד"א:
	<b>בד"ה קשיא הך כו' לא תשמור לעשות את כל דברי וגו' כו'</b> כצ"ל:
	<b>בד"ה המותיר בטהור כו' הארבעים המותיר כו'</b> כצ"ל:
	<b>בד"ה אחר לא תעשה אם תותיר ועברת על לאו כו'</b> כצ"ל:
	<b>תוס' בד"ה כדרבא כו' דממילתא דר' יוחנן כו'</b> ונ"ב פי' מן דרש שלו אבל ר' יוחנן גופיה בע"כ לא ס"ל הכי דהא אמר להדיא הכא לאו שאין בו מעשה אין לוקין עליו וכדפריך התם ומש"ה הוצרך רבא לשם לתרוצי בפירוש רבתה התורה כו' ודו"ק:
	<b>בד"ה א"ה כו' ולמאי דפרישית דדוקא כו'</b> כצ"ל:
ד.	<b>גמ' אלא רבי טעמא דנפשי' מפרש דאשכחן דאית ליה טעמא דנפשיה דתניא כו'</b> כצ"ל:
	<b>רש"י בד"ה ומשני כו' לן לר"ע כו'</b> הד"א:
	<b>בד"ה א"ה כו' ונעלמו הכי תנן כו'</b> הד"א:
	<b>בד"ה אלא אמר וכו' ואליבא דתנאי וה"ג כו'</b> הד"א:
ד:	<b>גמ' ל"א עד סברא הוא כל זה נמחק</b> ונ"ב ס"א אינו:
	<b>בד"ה וידיעה בסוף כו' ויצא ונודע לו כו'</b> כצ"ל:
	<b>רש"י בד"ה ונעלם ונעלם שני כו' וידיעה בסוף לא צריכה כו' הד"א</b> ונ"ב עד כאן שייך להיפוך הדף ונכתב עוד בצדו יש מקשים לפרש"י מהו אינו צריך דקאמר ר' הלא ר"ע נמי לא דריש שניהם לידיעה קמייתא ולידיעה בתרייתא ומחד ונעלם והוא ידע יליף ואדרבה רבי יותר צריך מר"ע שהרי ר' צריך ונעלם וגם והוא ידע משא"כ לר"ע דונעלם אתא לגופיה ועיקרא מוהוא ידע יליף כדפרישית בהגה' תוס' ונ"ל דהכי פריך רבי אומר לא צריך קרא כוליה לגופיה כמו שדרש ר"ע ואף שר"ע נמי דריש מיתורא למעוטי טומאת מקדש כו' מ"מ מאחר שנ' והוא טמא להדיא בקרא נראה כאילו דריש לגופיה ומ"מ איהו דלא צריך קרא להכי אלא אדרבה לרבוי' אתא טומאת מקדש ודו"ק [עיין במהרש"א]:
	<b>תוס' בד"ה ונעלם ונעלם כו' דמהי תיתי דאצטריך קרא למיפטריה ותדע דהא כו' כצ"ל</b> ונ"ב פי' דע"כ לר"ע האי ונעלם בתרא לגופא אתא דהא מונעלם לא שמעינן ידיעה אלא לר' דדריש ונעלם מכלל שידע ור"ע לא דריש אלא ונעלם והוא ידע ועיקרו מוהוא ידע קדריש כו' דלידיעה בתרייתא לא צריכא קרא ולא כתבה התורה ונעלם בתרא אלא לגופיה וממילא האי ונעלם קמא מיותר ואתא לדרשא למעוטי העלם מקדש כו' וק"ל:
	<b>בד"ה לר"ע כו' בפרט וכלל ופרט</b> נ"ב פירש פרט וכלל ופרט הוי כמו כלל ופרט וכלל וכן איתא להדיא בפי' ג' מינים:
	<b>בד"ה בכל פודין כו' ומפרש היכא דליכא אלא ה' סלעים כ"ע סברי דהוא קדים דמצוה דגופא עדיף כי פליגי כגון דאיכא חמש בני חורין וחמש משועבדים ור' יהודה סבר מלוה כו' הנך משועבדים כו' לאו כו'</b> כצ"ל:
	<b>בד"ה דתניא מרצע כו' ושל גיסטרון</b> נ"ב פי' הערוך העשוי בכל מיני מתכת:
ה.	<b>גמ' יציאות ויציאות תרתי כו'</b> כצ"ל:
	<b>רש"י בד"ה ידיעת בית רבו כו' לשום על לבו שנטמא שמה ידיעה כו'</b> כצ"ל:
	<b>תוס' בד"ה ונעלם כו' בפ"ב דסוטה ואמרי' כו'</b> כצ"ל:
	<b>בד"ה שתים שהן כו' שהן ד' בפנים כו'</b> נ"ב פי' הוה ליה לאוכוחי מלישנא דפנים ודו"ק:
	<b>בא"ד וריב"א פי' שתים כו' כצ"ל</b> ונ"ב לאו משום קושיא שהקשו התוספות לעיל דהא ריב"א לא גרס לאלתר וסבר שאף לפירושו קשה כדלקמן אלא שכך נראה לו הפי' וק"ל [עיין במהרש"א]:
	<b>בא"ד ועוד י"ל שתים שהן ד' כו'</b> נ"ב פי' לפי פרש"י של כאן שלא חש לקושיא שהקשו לעיל א"כ מגופא דמתני' הוה ליה לאוכוחי כו' ולא הוה צריך לתרץ וקמפרש לאלתר כו' א"כ לפי זה עוד יש לפרש כו' ודו"ק [עיין במהרש"א]:
ה:	<b>רש"י בד"ה שנייה לה כו' הלבן והגבוה לאב כו'</b> כצ"ל:
	<b>בד"ה דאי ר"ע כו' למעלה מזו ונשנו כסדר כו'</b> כצ"ל:
	<b>בד"ה קרום של ביצה כו' לא קשיא ליה בהדי כו'</b> כצ"ל:
ו.	<b>רש"י בד"ה אמר לו כו' משנתן וכך דרך כו'</b> כצ"ל:
ו:	<b>רש"י בד"ה של צמר דיהה הימנה כו'</b> כצ"ל:
	<b>בד"ה תרומה אם כו' דאלו קדשים עד דמייתי כפרה</b> נ"ב פי' אם יהיה טומאה שמביאין עליה קרבן כגון טומאת זב וזבה ובודאי מש"ה כתב קרא ובא השמש וטהר לאשמועינן דאפילו בטומאה שמביאין עליה קרבן אפ"ה בתרומה אינו מעכב וק"ל:
ז.	<b>רש"י בד"ה אימא תרומה כו' עד מלאת ימיה שמביאה למחר כפרתה הס"ד</b> ונ"ב פי' עד מלאת ימיה דהיינו שמונים לנקבה וארבעים לזכר שלמחרתו מחויבת להביא קרבן אבל מ"מ תרומה אוכלת אחר מלאת ימיה קודם הבאת קרבן וק"ל:
	<b>בד"ה הואיל כו' וחטאות הפנימיות כו' העלם דבר טעונים כו'</b> כצ"ל:
ז:	<b>תוס' בד"ה ואיצטריך ג"ש לאפוקי כו'</b> כצ"ל:
	<b>בד"ה אי בשוגג כו' על שאר עבירות כו'</b> כצ"ל:
ח.	<b>גמ' כר"ש דאמר ממקומו הוא מוכרע אמר מר ר"ש אומר ממקומו הוא מוכרע הרי הוא אומר וכפר על הקודש מטומאת מטומאתו של קודש כו'</b> כצ"ל:
ח:	<b>גמ' אימא לא ליתלי וכי תימא כו' להנך דבני חטאת נינהו ונתכפר כפרה כו'</b> כצ"ל:
	<b>רש"י בד"ה ונכפר פנימי כו' בסוף ואדחיצון כו'</b> הד"א:
	<b>בד"ה אמר קרא כו' כו' בשנה ובמזבח הפנימי כו'</b> כצ"ל:
	<b>בד"ה אמר קרא כו' אחת ולימד שאינו כו' אחרים ובסיפא כו'</b> כצ"ל:
	<b>תוס' בד"ה ונ"מ כו' וי"ל משום טומאה כו'</b> נ"ב זהו לפי תי' קמא של הדיבור שבסמוך אבל לפי התי' השני כו' לא דק מידי דהא שעיר ראשון אינו מכפר אחיצון אלא כשהחיצון אינו מכפר בעולם כלל אבל היכי דעבד החיצון אינו מכפר אחיצון כלל ודו"ק. [עיין במהרש"א]:
	<b>בד"ה ונכפר חיצון כו' כיון דעיקר כפרתו כו'</b> כצ"ל:
ט.	<b>תוס' בד"ה שעיר זה כו' וקבעתי בר"ח כו'</b> כצ"ל:
ט:	<b>גמ' שאין סופו ליוודע כו' שסופו ליוודע כו'</b> כצ"ל וכן ברש"י:
	<b>רש"י בד"ה שעיר ושעיר כו' המדות חוזר ומלמד חוץ כו'</b> כצ"ל:
	<b>בד"ה ואותה נתן כו' היה וג' שעירים כו' המשכן והוא יום כו'</b> כצ"ל:
י.	<b>גמ' איברא ראש חודש נמי איקרי מועד כדאמר אביי דאמר אביי תמוז דההוא שתא מלוי מליוה דכתיב קרא כו'</b> כצ"ל:
	<b>רש"י בד"ה ניכפרו אדיום כפורים על כפרת כו'</b> הד"א:
	<b>בד"ה כולהו מר"ח כו' ור"ח מנייהו כשאין בה ידיעה כלל וכולהו מדיום הכפורים כו' כצ"ל</b> ונ"ב מדברי רש"י יראה דרגלים פשיטא ליה דאיירי באין לו ידיעה לא בתחלה ולא בסוף ותימה ממה יליף וגם התוס' מפרשים לקמן דילפינן מר"ח דכתיב ביה לה' כו' ומדברי רש"י משמע דאף ר"ח מרגלים אתיא וצ"ל דס"ל דר"מ סבר ממש כמו ר' יהודה וא"כ בתחלה ילפינן דרגלים אינם מכפרין אלא אאין בה ידיעה כלל ודרשינן אותה ואחת הכל כמו שדרש ר' יהודה אלא דס"ל לר' מאיר שבא ההיקש וחזר ומשוה כולם לומר מה שיש בזה יהא בזה והשתא צריכא ליה למיעוטא דאותה ואחת ואף להקיש ודו"ק:
י:	<b>רש"י בד"ה תמידין כו' ותנן אין פוחתין כו'</b> נ"ב עי' בפרק אין נערכין ושם מפורש היטב:
	<b>תוס' בד"ה מותר הקטרת כו' מפטמין שס"ה מני' לשס"ה ימים כו' של י"א של שנים פשוטות היו כו'</b> כצ"ל:
	<b>בא"ד דלא דק כו'</b> נ"ב פי' משום דלא בעי למיתני פרטי אלא מספר שבעים לחוד אבל היכא דנחת לפרט כגון שבעים ושתים א"כ קשה אמאי לא תנא שבעים ושלשה שקרוב יותר אל החשבון ודו"ק:
	<b>בד"ה מפרישין לא גרסי' ממנה כו' ומאי ממנה שייך</b> כצ"ל:
	<b>בד"ה מפרישין שכר כו' דהני אומנין היינו אומני הבנין מ"מ כו'</b> כצ"ל:
יא:	רש"י בד"ה והרי פרה אדומה הס"ד:
	<b>בד"ה נימא להו כו' יקריב ברגל זה כו'</b> נ"ב לאו דוקא קאמר דבהא לא פליגי אלא שאם לא קרב ביוה"כ יקרב ברגל וכן בר"ח ודו"ק שוב מצאתי שבס"א אינו אלא שאם לא יקרב בזה יקרב בזה וכן עיקר:
יב:	רש"י בד"ה האי עשה כו' יום הכפורים היכי דמי הס"ד והד"א:
יג.	<b>רש"י בד"ה אלמא לא כו' ביוה"כ והא כו' ליה דאין מכפר כו'</b> כצ"ל והד"א:
	<b>תוס' בד"ה לא קראו כו' קיבלו עליו בברכותיו לומר כו'</b> כצ"ל:
יג:	<b>רש"י בד"ה ומשני כו' לכך השווה ללמדך כו'</b> כצ"ל:
	<b>בד"ה אביי אמר כו' כפרה בטומאה כו'</b> הד"א:
יד.	<b>גמ' ביה ממונא דכתיב אשר לעם בדאהרן נמי כו'</b> כצ"ל:
	סליק פרק שבועות שתים
יד:	רש"י בד"ה ופי' מיד בקושי האבר הס"ד:
טו.	<b>רש"י בד"ה מכאן ואילך כו' התחלת עבודתם מחנכתן כו'</b> כצ"ל:
