"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.1",According to the Order of Treatises
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.2",B<small>Y OUR</small> M<small>ASTER</small> M<small>OSES</small> B<small>EN</small> M<small>AIMON</small> The Memory of the Pious be Blessed.
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.3","These are the six hundred and thirteen commandments which were transmitted orally to Moses on Sinai; they and their general, and their particular, and their precise exposition. All those general, particular and precise expositions of each and every commandment constitute the Oral Torah, which was received orally by one tribunal from another tribunal. There are, however, still other precepts, enacted after Revelation, and sustained by prophets and scholars, which spread throughout all Israel, for instance, such, as reading the book of Esther, Hanukah lights, fasting on the Ninth of Ab, carrying things and walking on the Sabbath (Erubin), and washing of the hands before meals, each and every one of these precepts having divers interpretations and suggestions, all of which will be elucidated in this compilation."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.4","All of these newly-proclaimed precepts we are obliged to accept and observe, even as it is said. ""Thou shalt not turn aside from the sentence which they shall declare unto thee, to the right hand, not to the left"" (Deut. 17.11.), and they are not additions to the commandments of the Torah. If so, wherefore did the Torah charge us saying: ""Thou shalt not add thereto, nor diminish from it"" (Deut. 13.1.)? That refers to a prophet not to permit him to invent something and claim that the Holy One, blessed is He! ordered him to add a commandment to the commandments of the Torah, or to diminish one from these six hundred and thirteen commandments. But if a tribunal together with a prophet who flourished in a given period added a commandment in the form of a statute, or judicial decision, or edict, such is not an addition to the Torah. For, behold, they have not said that the Holy One, blessed is He! commanded to make an Erub, or read the Megilah on time; indeed, had they said so, they would have been adding to the commandments of the Torah; but what we do say is, The prophets together with the tribunal enacted it and commanded to read the Megilah on time, so as to remember the praiseworthiness of the Holy One, blessed is he! and the salvation which He brought about upon us by His nearness to us at the time of our supplication, so as to bless Him, and give thanks unto Him, and to proclaim to future generations the truth of what He assured us in the Torah, saying: ""For what great nation is there that hath God so nigh unto them, as the Lord our God is whensoever we call upon Him"" (Deut. 4.7.). In this way every precept, instituted by the words of the Sophrim, whether mandatory or prohibitive, came to pass."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.5","And, I have looked into the matter and divided this compilation in fourteen books, as follows:"
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.6","B<small>OOK</small> I. Comprises all the commandments which are the basic foundation of the Religion of Moses our Master, peace be upon him! and it is essential that man learn them before everything else, as, for example, concerning the Unity of God, blessed is He! and the prohibitive laws concerning idolatry. And, I have named this book: Book of Knowledge."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.7","B<small>OOK</small> II. Comprises all the commandments which are in constant practice, as we were charged to observe them in order to express our love for God, and to remember Him continuously, for example, the reading of the She'ma, prayers, phylacteries, priestly blessings, and mainly circumcision because it is a token upon our flesh, in order to be conscious of Him when we have no phylacteries, or fringes or the like on our bodies; and I have named this book: Book of Love."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.8","B<small>OOK</small> III. Comprises all commandments which are observed during certain times, for example, Sabbaths and holidays; and I have named this book: Book of Times."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.9","B<small>OOK</small> IV. Comprises all commandments concerning conjugal relationship, as for example, marriage, divorce, betrothal of sister-in-law, when a brother dies childless (Yibum), the performance of the rite Halizah by a sister-in-law when the brother-in-law refuses to marry her and build a name for his deceased brother, and I have named this book: Book of Women."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.10","B<small>OOK</small> V. Comprises all the commandments concerning forbidden sexual relations, and the commandments concerning forbidden food; because in these two subjects we were sanctified by Almighty and separated by Him from the idolaters, and of both it is said; ""And have set you apart from the peoples"" (Lev. 20.26.); and, ""Who have set you apart from the peoples"". (Ibid. –24.); and I have named this book: Book of Holiness."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.11","B<small>OOK</small> VI. Comprises the commandments concerning the obligations one acquires by spoken words, for example, oaths and vows; and I have named this book: Book of Separation,"
