Score,Ref,Version,Lang,Content,Field
45.34314,Mishnah Tahorot 6:10,"Mishnah, ed. Romm, Vilna 1913",he,האסטוונית <b>רשות</b> היחיד לשבת. <b>ורשות</b> <b>הרבים</b> לטומאה. חצר <b>שהרבים</b> נכנסים בזו ויוצאים בזו. <b>רשות</b> היחיד לשבת <b>ורשות</b> <b>הרבים</b> לטומאה: ,ngram
59.207638,"Mishneh Torah, Other Sources of Defilement 20:4",Torat Emet 363,he,"גנות העיר שדרך העיר עוברת עליהן <b>רשות</b> <b>הרבים</b> לטמאה: 
",aggresive-ngram
107.25208,Rashi on Shabbat 49b:13:1,Vilna Edition,he,דרך <b>רשות</b> <b>הרבים</b> - דאויר שבין העגלות <b>רשות</b> <b>הרבים</b>:,hebmorph-standard
59.207638,"Tur, Choshen Mishpat 217:4","Choshen Mishpat, Vilna, 1923",he,   דרך   <b>רשות</b> <b>הרבים</b> נותן לו ששה עשר אמות:    ,aggresive-ngram
66.985794,"Mishneh Torah, Other Sources of Defilement 20:1",Torat Emet 363,he,"כל מקום שהוא <b>רשות</b> <b>הרבים</b> לענין שבת כך הוא <b>רשות</b> <b>הרבים</b> לענין טמאה: 
",aggresive-ngram
132.05138,Ketubot 24b:6,Wikisource Talmud Bavli,he,דסמיכא <b>לרשות</b> <b>הרבים</b> ומשום חיפופי <b>רשות</b> <b>הרבים</b>,hebmorph-standard
98.571014,Rashi on Shabbat 5a:7:2,Vilna Edition,he,וזרק - <b>מרשות</b> <b>הרבים</b>,hebmorph-standard
100.83002,Bava Kamma 19b:1,William Davidson Edition - Aramaic,he,והאמר רבי יוחנן אין חצי נזק חלוק לא לרשות היחיד ולא <b>לרשות</b> <b>הרבים</b> מאי לאו התיזה <b>ברשות</b> <b>הרבים</b> והזיקה <b>ברשות</b> <b>הרבים</b> לא התיזה <b>ברשות</b> <b>הרבים</b> והזיקה ברשות היחיד,hebmorph-standard
104.19041,Shabbat 6a:11,William Davidson Edition - Aramaic,he,ואיזו היא <b>רשות</b> <b>הרבים</b> סרטיא ופלטיא גדולה ומבואות המפולשין זו היא <b>רשות</b> <b>הרבים</b> גמורה אין מוציאין רשות היחיד זו <b>לרשות</b> <b>הרבים</b> זו ואין מכניסין <b>מרשות</b> <b>הרבים</b> זו לרשות היחיד זו ואם הוציא והכניס בשוגג חייב חטאת במזיד ענוש כרת ונסקל,hebmorph-standard
114.05466,Mishnah Shabbat 11:1,"Mishnah, ed. Romm, Vilna 1913",he,הזורק מרשות היחיד <b>לרשות</b> <b>הרבים</b> <b>מרשות</b> <b>הרבים</b> לרשות היחיד חייב מרשות היחיד לרשות היחיד <b>ורשות</b> <b>הרבים</b> באמצע רבי עקיבא מחייב וחכמים פוטרין:  ,hebmorph-standard
121.629166,Rashi on Shabbat 49b:12:1,Vilna Edition,he,קרקע - <b>רשות</b> <b>הרבים</b>:,hebmorph-standard
110.52711,Chullin 139b:12,Wikisource Talmud Bavli,he,בדרך <b>ברשות</b> <b>הרבים</b>,hebmorph-standard
103.99264,Mishnah Bava Kamma 3:7,"Mishnah, ed. Romm, Vilna 1913",he,המבקע ברשות היחיד והזיק <b>ברשות</b> <b>הרבים</b>. <b>ברשות</b> <b>הרבים</b> והזיק ברשות היחיד. ברשות היחיד והזיק ברשות היחיד אחר. חייב: ,hebmorph-standard
97.205925,Bava Kamma 5b:6,Wikisource Talmud Bavli,he,שן ורגל לפוטרן <b>ברשות</b> <b>הרבים</b>,hebmorph-standard
58.714745,Eruvin 101a:13,Wikisource Talmud Bavli,he,גמ׳ ורבנן אמר רבי מאיר <b>רשות</b> <b>הרבים</b> ומהדרו אינהו כרמלית דאמר רבה בר בר חנה אמר רבי יוחנן ירושלים אלמלא דלתותיה ננעלות בלילה חייבין עליה משום <b>רשות</b> <b>הרבים</b>,aggresive-ngram
63.363533,Rashi on Shabbat 7b:5:2,Vilna Edition,he,תיהוי כחורי <b>רשות</b> <b>הרבים</b> - ואמאי הויא כרמלית:,aggresive-ngram
63.21433,Rashi on Eruvin 8b:13:2,Vilna Edition,he,מלבר - לבני <b>רשות</b> <b>הרבים</b> דהיינו צד החיצון:,aggresive-ngram
105.35952,Ketubot 86b:5,William Davidson Edition - Aramaic,he,איכא דאמרי אמר ליה מגורשת מדרב נחמן וצידי <b>רשות</b> <b>הרבים</b> כאגם דמי אדרבה אינה מגורשת מדרב ושמואל מאי לאו היינו <b>רשות</b> <b>הרבים</b> והיינו צידי <b>רשות</b> <b>הרבים</b> לא <b>רשות</b> <b>הרבים</b> לחוד וצידי <b>רשות</b> <b>הרבים</b> לחוד,hebmorph-standard
126.70125,Eruvin 94a:15,William Davidson Edition - Aramaic,he,ואיבעית אימא בצידי <b>רשות</b> <b>הרבים</b> קמיפלגי דרבי אליעזר סבר צידי <b>רשות</b> <b>הרבים</b> <b>כרשות</b> <b>הרבים</b> דמו ורבנן סברי צידי <b>רשות</b> <b>הרבים</b> לאו <b>כרשות</b> <b>הרבים</b> דמו,hebmorph-standard
97.90731,Rashi on Niddah 3a:4:1,Vilna Edition,he,סוטה <b>ברשות</b> <b>הרבים</b> טהורה - אין <b>רשות</b> <b>הרבים</b> מקום סתירה:,hebmorph-standard
98.85952,Rashi on Eruvin 97b:21:2,Vilna Edition,he,"וקמה <b>רשות</b> <b>הרבים</b> - ולפניה <b>רשות</b> <b>הרבים</b> וקאמר מתני' אע""ג דמונח ראשו <b>ברשות</b> <b>הרבים</b> גוללו ברשות היחיד:",hebmorph-standard
121.34188,Rashi on Bava Batra 12b:3:1,Vilna Edition,he,בריסתקא - שוק <b>רשות</b> <b>הרבים</b>:,hebmorph-standard
26.129063,"Kessef Mishneh on Mishneh Torah, Other Sources of Defilement 15:8:1",Torat Emet 363,he,"ספק <b>רשות</b> <b>הרבים</b> כיצד. תוספתא פ''ו דטהרות: 
",hebmorph-exact
43.571568,Mishnah Tahorot 6:6,Torat Emet 357,he,"ספק <b>רשות</b> היחיד, טמא, עד שיאמר לא נגעתי. ספק <b>רשות</b> <b>הרבים</b> טהור, עד שיאמר נגעתי. איזו היא <b>רשות</b> <b>הרבים</b>. שבילי בית גלגול, וכן כיוצא בהן, <b>רשות</b> היחיד לשבת, <b>ורשות</b> <b>הרבים</b> לטמאה. אמר <b>רבי</b> אלעזר, לא הזכרו שבילי בית",ngram
47.692764,Mishnah Tahorot 6:7,Torat Emet 357,he,"הבקעה, בימות החמה, <b>רשות</b> היחיד לשבת <b>ורשות</b> <b>הרבים</b> לטמאה. ובימות הגשמים, <b>רשות</b> היחיד לכך ולכך: 
",ngram
57.665474,Shabbat 6b:3,William Davidson Edition - Aramaic,he,אמר מר זו היא <b>רשות</b> <b>הרבים</b> למעוטי מאי למעוטי אידך דרבי יהודה דתנן רבי יהודה אומר אם היתה דרך <b>רשות</b> <b>הרבים</b> מפסקתן יסלקנה לצדדין וחכמים אומרים אינו צריך,aggresive-ngram
46.796127,Mishnah Tahorot 6:1,Torat Emet 357,he,"מקום שהיה <b>רשות</b> היחיד ונעשה <b>רשות</b> <b>הרבים</b>, חזר ונעשה <b>רשות</b> היחיד, כשהוא <b>רשות</b> היחיד, ספקו טמא. כשהוא <b>רשות</b> <b>הרבים</b>, ספקו טהור. המסכן <b>ברשות</b> היחיד והוציאוהו <b>לרשות</b> <b>הרבים</b>, והחזירוהו <b>לרשות</b> היחיד, כשהוא <b>ברשות</b> היחיד, ספקו טמא. כשהוא <b>ברשות</b> <b>הרבים</b>, ספקו טהור. <b>רבי</b> שמעון אומר, <b>רשות</b> <b>הרבים</b> מפסקת: 
",ngram
59.59904,Bartenura on Mishnah Shabbat 11:2:3,On Your Way,he,"היו שתיהן בדיוטא אחת. כלומר בעליה אחת באורך <b>רשות</b> <b>הרבים</b>, ויש הפסק <b>רשות</b> <b>הרבים</b> ביניהן:",aggresive-ngram
