Id,Relevance,Ref,Version,Lang,Content,Field,Score
0,--,"Tur, Choshen Mishpat 7:1","Choshen Mishpat, Vilna, 1923",he,       כל ישראל כשרין לדון אפילו ממזר: ,ngram,37.01458
1,--,"Prisha, Even HaEzer 2:14:1","Tur Even HaEzer, Vilna, 1923",he, אבל פסולי קהל. היינו עבד או ממזר: ,infreq,31.308987
2,--,Rashi on Kiddushin 78b:7:1,Vilna Edition,he,מתני' ממזר הוא - שנולד לו מחייבי כריתות:,infreq,31.2859
3,--,Yevamot 14b:6,Wikisource Talmud Bavli,he,"לעולם ב""ש לב""ה ולאפוקי מדר' עקיבא דאמר יש ממזר מחייבי לאוין קמ""ל דאין ממזר מחייבי לאוין",ngram,34.793377
4,--,Rashi on Yevamot 94a:1:2,Vilna Edition,he,"והולד ממזר - כר""ע:",ngram,43.8854
5,--,Rashi on Kiddushin 74b:8:1,Vilna Edition,he,ממזר מאשת איש - מיתות:,ngram,44.01412
6,--,Rashi on Kiddushin 74b:8:2,Vilna Edition,he,ממזר מאחותו - כריתות:,ngram,44.003742
7,--,Yevamot 66a:11,William Davidson Edition - Aramaic,he,והרי ממזר שאין אוכל ומאכיל,ngram,43.05461
8,--,Rashi on Sanhedrin 32a:15:1,Wikisource Rashi,he,הכל כשרין - ואפילו ממזר:,ngram,43.8854
9,--,Beit Shmuel 1:11,"Vilna, 1876",he,"היה הבן ממזר. בספר חסידים סי' ת""ק כ' דלא קיים פ""ו כשהוליד ממזר דק""ל ממזר אינו חי ואפשר הס""ח איירי כשא""י דהוא ממזר אז ממזר אינו חי אבל אם ידוע דהו' ממזר קיים האב פו""ר דאז חי: 

",ngram,33.68335
10,--,Rashi on Yevamot 87b:13:2,Vilna Edition,he,ואין הולד ממזר - אם החזירה הראשון:,infreq,31.325901
11,--,Yevamot 44a:16,Wikisource Talmud Bavli,he,"וחכ""א אין הולד ממזר ומודים בנושא קרובת גרושתו שהולד ממזר:",ngram,43.556847
12,--,Yevamot 49b:1,Wikisource Talmud Bavli,he,ועל הסוטה שאין הולד ממזר,ngram,41.23515
13,--,Kitzur Baal Haturim on Deuteronomy 23:3:2,On Your Way,he," לא יבא ממזר בקהל ה' סמך ממזר לפצוע דכה שממזר אינו מוליד כפצוע דכא:

",ngram,34.850094
14,--,Rashi on Sotah 26a:5:1,Vilna Edition,he,אשת ממזר לממזר - כלומר אשה הראויה לממזר וניסת לממזר וקינא לה ונסתרה:,ngram,33.645317
15,--,Niddah 49b:31,Wikisource Talmud Bavli,he,חדא לאתויי גר וחדא לאתויי ממזר ,ngram,37.686092
16,--,Niddah 49b:30,Wikisource Talmud Bavli,he,לאתויי ממזר ,ngram,57.152454
17,--,Rashi on Kiddushin 72b:13:1,Vilna Edition,he,וישב ממזר באשדוד - יבדלו הממזרים מהם וישבו בפני עצמם:,aggresive-ngram,25.373676
18,--,"Prisha, Even HaEzer 150:9:1","Tur Even HaEzer, Vilna, 1923",he, והולד ספק ממזר ואסורה בממזרת ובישראלית: ,ngram,40.195404
19,--,"Ba'er Hetev on Shulchan Arukh, Even HaEzer 1:10",Torat Emet 357,he," ממזר.  דוקא ממזר ידוע חי. אבל ממזר אינו ידוע אז אינו חי לא קיים פ''ו:  

",ngram,38.108356
20,--,Rashi on Kiddushin 75b:4:1,Vilna Edition,he,השתא ממזר הוי - הולד:,ngram,43.8854
21,--,"Prisha, Even HaEzer 4:36:1","Tur Even HaEzer, Vilna, 1923",he," הרי זה ספק ממזר עד""מ: ",ngram,38.399727
22,--,Rashi on Kiddushin 69a:3:4,Vilna Edition,he,בנה עבד - ואין ממזר דהא ולדה כמוה:,infreq,31.325901
23,--,Rashi on Yevamot 70a:10:1,Vilna Edition,he,כוזא - כלי קטן כלומר ממזר שהוא גרוע:,original,15.902575
24,--,Sanhedrin 36b:26,Wikisource Talmud Bavli,he,חדא לאתויי גר וחדא לאתויי ממזר,ngram,34.197044
25,--,Mishnah Horayot 3:8,Torat Emet 357,he,"כהן קודם ללוי, לוי לישראל, ישראל לממזר, וממזר לנתין, ונתין לגר, וגר לעבד משחרר. אימתי, בזמן שכלן שוין. אבל אם היה ממזר תלמיד חכם וכהן גדול עם הארץ, ממזר תלמיד חכם קודם לכהן גדול עם הארץ: 
",ngram,37.260735
26,--,Rashi on Yevamot 37a:12:1,Vilna Edition,he,ושני ממזר ודאי הוי מספק - כלומר מתוך ספק זה נעשה כודאי ממזר ומותר בממזרת:,ngram,34.74978
27,--,Rashi on Gittin 80a:12:1,Vilna Edition,he,יוציא והולד ממזר - בתמיה:,ngram,43.948277
28,--,Chullin 13b:1,Wikisource Talmud Bavli,he,בניו ממזרין,aggresive-ngram,26.529018
29,--,Kiddushin 74b:9,William Davidson Edition - Aramaic,he,תנא קמא סבר אפילו ממזר מאחותו נמי הוי ממזר ורבי יהודה סבר מאשת איש הוי ממזר מאחותו לא הוי ממזר,ngram,43.11908
30,--,Bartenura on Mishnah Kiddushin 3:13:1,On Your Way,he,"ממזר שנשא שפחה. ואפילו לכתחלה יכול ממזר לישא שפחה כדי לטהר את בניו. והלכה כר״ט. ומודה ר״ט שעבד שנשא ממזרת, הולד ממזר, שעבד אין לו יחוס:",ngram,34.6852
31,--,Rashi on Yevamot 44b:5:4,Vilna Edition,he,וולדה פסול - ממזר הוא:,ngram,44.003742
32,--,Kiddushin 75a:12,William Davidson Edition - Aramaic,he,רב אמר הולד ממזר ומותר בממזרת ושמואל אמר הולד שתוקי ואסור בממזרת איפוך רב אמר הולד שתוקי ושמואל אמר הולד ממזר,ngram,33.97235
33,--,Gittin 80a:12,William Davidson Edition - Aramaic,he,ומשום שלום מלכות תצא והולד ממזר,ngram,36.90395
