Score,Ref,Version,Lang,Content,Field
12.979801,"Ba'er Hetev on Shulchan Arukh, Orach Chayyim 663:2",Torat Emet 357,he," <b>ספיקא</b>.  ובי''ט אין קורין וביום השני דגנאי לקרות י''ט <b>ספק</b> חול. רש''י במגילה דף למ''ד:  

",hebmorph-exact
28.915934,Bartenura on Mishnah Tahorot 4:5:8,On Your Way,he,"וחכמים אומרים ברשות היחיד תולין. על <b>ספק</b> מגען. ולא שורפים משום דהוי <b>ספק</b> <b>ספיקא</b> לקולא, <b>ספק</b> נגע <b>ספק</b> לא נגע, ואפילו אם תמצי לומר נגע, <b>ספק</b> טמאים <b>ספק</b> טהורים. ואין הלכה כר׳ יוסי דאמר על <b>ספק</b> מגען שורפין:

",infreq
74.5101,Rashi on Avodah Zarah 42a:49:4,WikiSource Rashi,he,מותר - דתלינן בעובד כוכבים דהא <b>ספק</b> <b>ספיקא</b> הוא ושמא לא נעבד מעולם:,hebmorph-standard
36.65005,Ketubot 81a:7,Wikisource Talmud Bavli,he,בית שמאי אומרים נוטלות כתובה ולא שותות ואמאי <b>ספיקא</b> הוא <b>ספק</b> זנאי <b>ספק</b> לא זנאי וקאתי <b>ספק</b> ומוציא מידי ודאי,ngram
27.94931,Rashi on Beitzah 3b:7:1,Vilna Edition,he,<b>ספק</b> דרבנן היא - דאפי' ודאי משום גזירה הוא דאתסר וכי הויא לה <b>ספיקא</b> הוי <b>ספק</b> במידי דאסור מדרבנן:,ngram
40.360176,Horayot 3b:38,Wikisource Talmud Bavli,he,<b>ספק</b>,infreq
93.1495,Bartenura on Mishnah Niddah 9:2:3,On Your Way,he,"ור׳ שמעון מטמא. אפילו הכא דאיכא <b>ספק</b> <b>ספיקא</b>, כדקתני טעמא:",hebmorph-standard
29.78882,Rashi on Ketubot 14a:8:1,Vilna Edition,he,חד <b>ספיקא</b> - מתניתין חד <b>ספיקא</b> היא <b>ספק</b> נבעלה לכשר <b>ספק</b> נבעלה לפסול שהרי לא בא זה לפנינו ואילו בא שמא היינו מכירים בו שהוא פסול:,ngram
40.56021,Horayot 3b:76,Wikisource Talmud Bavli,he,<b>ספק</b>,infreq
62.340767,Avodah Zarah 41b:36,Wikisource Talmud Bavli,he,מעיקרא לא טבילי <b>ספק</b> <b>וספק</b> הוא אפשר דעבד כדר' אושעיא דאמר,aggresive-ngram
77.92596,Zevachim 74a:32,Wikisource Talmud Bavli,he,הנח לעבודת כוכבים <b>שספיקה</b> <b>וספק</b> <b>ספיקה</b> אסורה עד סוף העולם,aggresive-ngram
32.460102,Bekhorot 41b:19,Wikisource Talmud Bavli,he,"אילימא ת""ק <b>ספיקא</b> הוא ואתי קרא למעוטי <b>ספיקא</b>",aggresive-ngram
74.72186,Rashi on Zevachim 74a:45:1,Wikisource Rashi,he,ופרכינן שמואל דאמר - הנח לעבודת כוכבים דמשמע דבשאר איסורין לית ליה <b>ספק</b> <b>ספיקא</b>:,hebmorph-standard
28.058023,Chelkat Mechokek 27:19,"Vilna, 1876",he,"ואם לאו הוי <b>ספק</b> קידושין. בגמרא (דף ה' ע""ב) אמרו <b>ספיקא</b> הוי וחיישינן מדרבנן: 
",ngram
81.51869,Kiddushin 75a:9,William Davidson Edition - Aramaic,he,לאפוקי מדהני תנאי דתנן העיד רבי יהושע ורבי יהודה בן בתירא על אלמנת עיסה שכשירה לכהונה מאי טעמא הוי <b>ספק</b> <b>ספיקא</b> <b>וספק</b> <b>ספיקא</b> לקולא,hebmorph-standard
43.67754,Bekhorot 57a:37,Wikisource Talmud Bavli,he,<b>ספיקא</b> הוא,aggresive-ngram
34.85595,Keritot 21a:20,Wikisource Talmud Bavli,he,כוי <b>ספיקא</b> הוא איצטריך קרא למיסר <b>ספיקא</b>,aggresive-ngram
73.19613,Chullin 79a:19,Wikisource Talmud Bavli,he,<b>ספוקי</b> <b>מספקא</b> ליה פרי עם האם אסור,aggresive-ngram
89.78187,Ketubot 9a:2,Wikisource Talmud Bavli,he,ואמאי <b>ספק</b> <b>ספיקא</b> הוא ספק תחתיו ספק אין תחתיו ואם תמצא לומר תחתיו ספק באונס ספק ברצון,hebmorph-standard
32.483006,Chullin 134a:28,Wikisource Talmud Bavli,he,אלמא <b>ספיקא</b> לקולא,aggresive-ngram
65.38163,Yachin on Mishnah Parah 11:7:1,"Mishnah, ed. Romm, Vilna 1913",he,טל דכשאין לחוש לאלו. המים כשרים. מדהוה לי' <b>ספק</b> <b>ספיקא</b> ספק שמא שרץ אחר הי'. או אדם הטהור לחטאת הי':,hebmorph-standard
28.431543,Shabbat 135b:14,William Davidson Edition - Aramaic,he,הא לא שהה <b>ספיקא</b> הוי,aggresive-ngram
66.28567,Pesachim 9a:9,Wikisource Talmud Bavli,he,ואי בעית אימא <b>ספק</b> <b>וספק</b> הוא דילמא מעיקר' אימור דלא טבילי כר' אושעיא,aggresive-ngram
69.11373,Ketubot 14a:9,William Davidson Edition - Aramaic,he,הלכך לרבן גמליאל אלים ליה ברי דאפילו בחד ספיקא נמי מכשיר וקיל ליה שמא דאפילו <b>בספק</b> <b>ספיקא</b> נמי פסיל לרבי יהושע אלים ליה חד ספיקא דאפילו בברי נמי פסיל וקיל ליה <b>ספק</b> <b>ספיקא</b> דאפילו בשמא נמי מכשיר,hebmorph-standard
20.731567,Ketubot 14a:8,Wikisource Talmud Bavli,he,דר' יהושע אדר' יהושע נמי לא קשיא התם חד <b>ספיקא</b> הכא תרי <b>ספיקי</b>,hebmorph-standard
34.80226,"Kessef Mishneh on Mishneh Torah, Defilement by Leprosy 10:9:1",Torat Emet 363,he,"וטומטום ואנדרוגינוס וכו' <b>ספק</b>. כלומר והוי <b>ספיקא</b> דאורייתא ולחומרא: 

",ngram
65.827545,Ikar Tosafot Yom Tov on Mishnah Parah 11:1:2,On Your Way,he,"דהוי <b>ספק</b> <b>ספיקא</b>, ספק אדם גילה או בהמה חיה ורמש, ואם תמצי לומר אדם, שמא טהור היה. הר''מ:",hebmorph-standard
82.44586,Bava Batra 127a:6,William Davidson Edition - Aramaic,he,תנא <b>ספוקי</b> <b>מספקא</b> ליה ולחומרא,aggresive-ngram
115.74695,"Shulchan Arukh, Orach Chayim 497:4",Torat Emet Freeware Shulchan Aruch,he,ספק מוכן מותר ביום טוב שני משום דהוי <b>ספק</b> <b>ספיקא</b>:,hebmorph-standard
