Id,Relevance,Ref,Version,Lang,Content,Field,Score
0,--,Daf Shevui to Sukkah 48b:3,Daf Shevui,en,” tries to claim that it is R. Abahu that will draw the water in the world to come. But his grammar mistake is corrected. The min (probably representative of Jesus) will be the simple water-skin through which the water is drawn.,ngram,15.120331
1,--,Daf Shevui to Sukkah 48b:2,Daf Shevui,en,"According to some modern scholars, this seemingly silly story is an anti-Christian parody, related to John 7:35-37. In these verses, Jesus speaks to the crowd on the last day of the Festival of",ngram,14.766849
2,--,Deuteronomy 33:5,The Holy Scriptures: A New Translation (JPS 1917),en,"And there was a king in Jeshurun, When the heads of the people were gathered, All the tribes of Israel together.",aggresive-ngram,6.8481903
3,--,"Sefer HaIkkarim, Maamar 3 25:2","Sefer Ha-ikkarim, Jewish Publication Society of America, 1929",en," unclean forms of worship; whereas the manner of worship prescribed in the law of Jesus is clean, consisting of bread and wine. It is defective also in the social and judicial precepts, which concern human",infreq,1.8375947
4,--,"Sefer HaIkkarim, Maamar 3 25:5","Sefer Ha-ikkarim, Jewish Publication Society of America, 1929",en,"As for the law of Jesus, we do not find that Jesus gave a law. He commanded his followers to keep the law of Moses. The Gospels are not a law, but an account of the life of Jesus; and the miracles",infreq,1.9366261
5,--,I Chronicles 3:21,The Holy Scriptures: A New Translation (JPS 1917),en,"And the sons of Hananiah: Pelatiah, and Jeshaiah; the sons of [Jeshaiah]: Rephaiah; the sons of [Rephaiah]: Arnan; the sons of [Arnan]: Obadiah; the sons of [Obadiah]: Shecaniah.",aggresive-ngram,6.52348
6,--,Gittin 57a:3,William Davidson Edition - English,en,Onkelos then went and raised Jesus the Nazarene from the grave through necromancy. Onkelos said to him: Who is most important in that world where you are now? Jesus said to him: The Jewish people,ngram,22.534575
7,--,Nehemiah 12:10,The Holy Scriptures: A New Translation (JPS 1917),en,"And Jeshua begot Joiakim, and Joiakim begot Eliashib, and Eliashib begot Joiada,",aggresive-ngram,6.654936
8,--,Bartenura on Pirkei Avot 6:4:2,Sefaria Community Translation,en, bimesura: a small amount.,aggresive-ngram,7.0313973
9,--,Gittin 57a:4,William Davidson Edition - English,en,"Onkelos said to him: What is the punishment of that man, a euphemism for Jesus himself, in the next world? Jesus said to him: He is punished with boiling excrement. As the Master said: Anyone who",ngram,26.967627
10,--,Sotah 27a:2,William Davidson Edition - English,en,"And Rabbi Yoḥanan says: It is better that a man marry the daughter of a woman suspected of promiscuity, and not marry a woman suspected of promiscuity, as this daughter maintains the presumptive",aggresive-ngram,6.5218287
11,--,Job 13:11,The Holy Scriptures: A New Translation (JPS 1917),en,"Shall not His majesty terrify you, And His dread fall upon you?",aggresive-ngram,6.6110773
12,--,I Chronicles 25:14,The Holy Scriptures: A New Translation (JPS 1917),en,"The seventh to Jesarelah, his sons and his brethren, twelve;",aggresive-ngram,7.8677764
13,--,Psalms 68:35,The Holy Scriptures: A New Translation (JPS 1917),en,"Ascribe ye strength unto God; His majesty is over Israel, And His strength is in the skies.",aggresive-ngram,7.2339993
14,--,I Chronicles 2:13,The Holy Scriptures: A New Translation (JPS 1917),en,"and Jesse begot his first-born Eliab, and Abinadab the second, and Shimea the third;",aggresive-ngram,6.896385
15,--,Job 37:22,The Holy Scriptures: A New Translation (JPS 1917),en,"Out of the north cometh golden splendour, About God is terrible majesty.",aggresive-ngram,8.6564045
16,--,Ezra 2:2,The Holy Scriptures: A New Translation (JPS 1917),en,"who came with Zerubbabel, Jeshua, Nehemiah, Seraiah, Reelaiah, Mordecai, Bilshan, Mispar, Bigvai, Rehum, Baanah. The number of the men of the people of Israel: .",aggresive-ngram,7.5724635
17,--,Radak on Psalms 22:32:4,"R. David Kimhi on the first book of Psalms, Translated by R.G. Finch, London, 1919",en,". The uncircumcised have interpreted this Psalm of Jesus (in the sense that) it tells of all the evils which Israel did to him. Lo ! the Son cries to the Father out of his troubles and says : My God, my",ngram,5.2665253
18,--,Psalms 96:6,The Holy Scriptures: A New Translation (JPS 1917),en,Honour and majesty are before Him; Strength and beauty are in His sanctuary.,aggresive-ngram,7.462141
19,--,Nehemiah 7:43,The Holy Scriptures: A New Translation (JPS 1917),en,"The Levites: the children of Jeshua, of Kadmiel, of the children of Hodeiah, seventy and four.",aggresive-ngram,6.545543
20,--,Nehemiah 7:7,The Holy Scriptures: A New Translation (JPS 1917),en,"who came with Zerubbabel, Jeshua, Nehemiah, Azariah, Raamiah, Nahamani, Mordecai, Bilshan, Mispereth, Bigvai, Nehum, Baanah. The number of the men of the people of Israel:",aggresive-ngram,6.552184
21,--,Psalms 21:6,The Holy Scriptures: A New Translation (JPS 1917),en,His glory is great through Thy salvation; Honour and majesty dost Thou lay upon him.,aggresive-ngram,6.645204
22,--,Habakkuk 1:7,The Holy Scriptures: A New Translation (JPS 1917),en,They are terrible and dreadful; Their law and their majesty proceed from themselves.,aggresive-ngram,7.1162333
23,--,I Samuel 16:8,The Holy Scriptures: A New Translation (JPS 1917),en,"Then Jesse called Abinadab, and made him pass before Samuel. And he said: ‘Neither hath the LORD chosen this.’",aggresive-ngram,6.4975467
24,--,Mishnah Makhshirin 5:1,Sefaria Community Translation,en," subsequently make food susceptible to impurity]. If his drunk friend pushed him or his animal [into the river after they had immersed], the second [water] purifies the first. And if [he pushed him] in jest that achieves BeKhi Yutan [a state where liquid put upon food makes it susceptible to impurity].",aggresive-ngram,6.526821
25,--,"Sefer HaIkkarim, Maamar 3 25:29","Sefer Ha-ikkarim, Jewish Publication Society of America, 1929",en," that he might say that it is defective and that the law of Jesus completed it. But this is a mistake. The word תמימה means perfect, without any doubt. In the section dealing with the red heifer, the",infreq,1.2222263
26,--,Abraham Cohen Footnotes to the English Translation of Masechet Berakhot 47b:8,"Tractate Berakot by A. Cohen, Cambridge University Press, 1921",en,I.e. his every-day sustenance. ,aggresive-ngram,6.790002
27,--,Mishnah Kelim 11:7,Sefaria Community Translation,en,A curved horn is susceptible to impurity but a straight one is not susceptible to impurity. If its mouthpiece was covered with metal it is impure. If its broad side [is covered with metal]: Rabbi,aggresive-ngram,6.755565
28,--,Abraham Cohen Footnotes to the English Translation of Masechet Berakhot 61a:1,"Tractate Berakot by A. Cohen, Cambridge University Press, 1921",en,"In Hebrew Jeser, the initial letter being yod. ",aggresive-ngram,7.8677764
29,--,Genesis 4:9,Suomi Käännös [fi],en,"Ja Herra sanoi Kainille,” Missä on Hevel, veljesi?” ja Kain vastasi, ” En tiedä. Olenko minä veljeni vartija?”",aggresive-ngram,6.700909
30,--,Genesis 4:11,Suomi Käännös [fi],en,"Ja nyt, kirottumpi olet sinä maata, joka aukaisi suunsa ottaakseen vastaan veljesi veret sinun käsistäsi.",aggresive-ngram,7.25018
31,--,Genesis 4:10,Suomi Käännös By Ezra Lindholm [fi],en,"Ja Hän sanoi,” Mitä oletkaan tehnyt? Veljesi verien ääni vaikeroi Minulle maasta.",aggresive-ngram,9.560813
32,--,Joshua 13:20,The Holy Scriptures: A New Translation (JPS 1917),en,"and Beth-peor, and the slopes of Pisgah, and Beth-jeshimoth;",aggresive-ngram,6.816467
33,--,Daf Shevui to Megillah 25a:3,Daf Shevui,en," ancient sects of Jews (including Christians) who while professing monotheism, gave divine roles to other characters, such as God’s word (the Logos), God’s spirit or Jesus.Section three: Leviticus 18:7",ngram,4.138443
34,--,Sefer Kuzari 3:65,"Kitab al Khazari, translated by Hartwig Hirschfeld, 1905",en,": 'No grapes to eat;' (Mic. vii. 1), for no sin of his was know from his youth to his death. He was followed by Joshua b. Peraḥyāh whose history is known. Among his disciples was Jesus the Nazarene, and",infreq,0.7562139
35,--,Psalms 72:20,The Holy Scriptures: A New Translation (JPS 1917),en,The prayers of David the son of Jesse are ended.,aggresive-ngram,10.409112
36,--,I Chronicles 24:11,The Holy Scriptures: A New Translation (JPS 1917),en,"the ninth to Jeshua, the tenth to Shecaniah;",aggresive-ngram,7.687995
37,--,Radak on Psalms 2:12:6,"R. David Kimhi on the first book of Psalms, Translated by R.G. Finch, London, 1919",en,"And the Nazarenes interpret it of Jesus ; and the verse they adduce by way of proof and make a support of their error is really their stumbling-block : it is The Lord said unto me, Thou art My son",ngram,6.5051713
38,--,"Sefer HaIkkarim, Maamar 3 25:20","Sefer Ha-ikkarim, Jewish Publication Society of America, 1929",en," one believing that the law of Jesus is divine. One is rather inclined to believe that it is a conventional law laid down by persons who were not familiar with the Bible, and did not understand the",infreq,1.2124982
39,--,I Chronicles 29:26,The Holy Scriptures: A New Translation (JPS 1917),en,Now David the son of Jesse reigned over all Israel.,aggresive-ngram,8.31867
40,--,Ruth 4:22,The Holy Scriptures: A New Translation (JPS 1917),en,"and Obed begot Jesse, and Jesse begot David.",aggresive-ngram,10.872467
41,--,Mishnah Kelim 13:5,Sefaria Community Translation,en, if not it remains susceptible to impurity. A hook that was straightened out is pure; if it is bent back it resumes its susceptibility to impurity. ,aggresive-ngram,7.4230947
42,--,"Sefer HaIkkarim, Maamar 3 25:24","Sefer Ha-ikkarim, Jewish Publication Society of America, 1929",en,"The real and extraordinary wonder is that any one should say that the laws of the Torah of Moses, which is divine, are defective, and are completed by the law of Jesus. The law of Jesus has no civil",ngram,2.584272
43,--,Job 40:10,The Rashi Ketuvim by Rabbi Shraga Silverstein,en,"	Adorn yourself now, with pride and grandeur, and clothe yourself in majesty and glory.",aggresive-ngram,6.8387055
44,--,"Sefer HaIkkarim, Maamar 3 25:26","Sefer Ha-ikkarim, Jewish Publication Society of America, 1929",en,". Jesus and all his disciples observed the Sabbath, and it was only about five hundred years after Jesus that the Pope changed it and substituted Sunday for the Sabbath. This despite the fact that the",infreq,1.9366261
