Id,Relevance,Ref,Version,Lang,Content,Field,Score
0,--,"Shney Luchot HaBrit, Shmini, Torah Ohr 16",Shney Luchot Habrit by Rabbi Eliyahu Munk,en," empire whose emperor Alexander the Great also paid homage to the Lord. The Talmud Yuma 69 reports how this emperor deferred to the High Priest Shimon Ha-Tzaddik, praising the Lord.",aggresive-ngram,41.759212
1,--,Yevamot 72a:3,William Davidson Edition - English,en," nowadays, when many are accustomed to ignoring these safeguards, the verse “The Lord preserves the simple” (Psalms 116:6) is applied, and it is assumed that they will come to no harm.",aggresive-ngram,81.818665
2,--,Rosh Hashanah 32b:4,William Davidson Edition - English,en,"The Gemara states: One does not recite a verse dealing with the remembrance of an individual, even if it is for good, for example: “Remember me, O Lord, when You show favor to Your people” (Psalms 106:4), and, for example: “Remember me, my God, for good” (Nehemiah 5:19).",aggresive-ngram,63.71695
3,--,Mishnah Sukkah 5:3,The Mishna with Obadiah Bartenura by Rabbi Shraga Silverstein,en,	They would take strips from the worn-out breeches and belts of the priests and use them as wicks. And there was no courtyard in Jerusalem that was not illuminated by the light of the Beth Hashoeva,ngram,28.095497
4,--,"Summary of Taz on Shulchan Arukh, Yoreh De'ah 70:2:4",The Laws of Salting Meat -- Rabbi Ari Enkin,en,"(7) The Rashba writes that only regarding blood, do we say that salting has no  effect on vessels to bring it up, however in the case of the fish it would be  forbidden. The Rashal holds that even for biblically prohibited items, salt has no effect to bring out the taste.  ",aggresive-ngram,55.37434
5,--,Daat Zkenim on Exodus 4:13:1,Daat Zekenim translated by Rb. Eliyahu Munk,en,"שלח נא ביד תשלח, “please entrust this mission to someone Whom You have been in the habit of entrusting such missions to.” Moses implied that just as those messengers of G–d had been provided with a",aggresive-ngram,55.37434
6,--,Abraham Cohen Footnotes to the English Translation of Masechet Berakhot 49a:11,"Tractate Berakot by A. Cohen, Cambridge University Press, 1921",en,"When saying the third benediction, he omitted either ""upon Israel Thy people"" or ""upon Jerusalem Thy city,"" but concluded ""Who savest Israel and... rebuildest Jerusalem."" ",aggresive-ngram,23.049145
7,--,Aruch HaShulchan 1:549:4,Sefaria Community Translation,en," Tevet, as it is in the tenth of the months. And all of Israel is accustomed to fast on those days. And even though with the first Temple, Jerusalem was breached on the ninth of Tammuz - as it is written",aggresive-ngram,46.50274
8,--,Mishnah Bekhorot 1:7,Sefaria Community Translation,en," of Levirate marriage. The commandment of redeeming [an animal devoted to general Temple usage] is on the master before any other person, as it is written (Leviticus 27:27): ""If it is not redeemed, it shall be sold for its estimated worth.""",aggresive-ngram,99.668205
9,--,Moed Katan 26a:24,William Davidson Edition - English,en,It was taught in the baraita: He first rends his garments for the Temple and then extends the rent for Jerusalem. And they raise a contradiction from another baraita that states: Both one who hears,ngram,28.919428
