Id,Relevance,Ref,Version,Lang,Content,Field,Score
0,--,Ritva on Taanit 30b:2,"Chidushi HaRitva, Amsterdam, 1729.",he,אמר רשב״ג לא היו ימים טובים לישראל כט״ו באב וכי״ה פרישנא יום הכפורים שניתנו בו לוחות שניות וט״ו באב שבו ידעו שכלו מתי מדבר שבשנת המ׳‎ ומפני זה נהגו לעשות סעודה בשבת שלאחר ט׳‎ באב שבהן בנות ישראל,aggresive-ngram,1.9279946
1,--,"Beit Yosef, Even HaEzer 4:55:1","Tur Even HaEzer, Vilna, 1923",he,"כל אלו הספיקות כגון ספק ממזר וכולי אסורים זה בזה ואם נשאו יוציאו והולד כאבותיו ואין להם תקנה אלא שישאו מהגרים והולד הולך אחר הפגום וכולי כל זה דברי הרמב""ם בפ' ט""ו מהא""ב: ",hebmorph-standard,8.979693
2,--,Metzudat Zion on Proverbs 19:3:1,On Your Way,he,תסלף. תעקם כמו וסלף בה (לעיל ט״ו): ,ngram,12.647526
3,--,Metzudat Zion on Isaiah 22:6:2,On Your Way,he,וקיר. שם מקום כמו ויגלם קירה (מ״ב ט״ו): ,ngram,10.440403
4,--,Kitzur Shulkhan Aruch Yalkut Yosef 2:209:11,Kitzur Shulkhan Aruch Yalkut Yosef - Torat Emet 357,he,", ואין זה חשיב כנוטע. [וגם בשביעית עצמה יהיה מותר, כמו שיבואר להלן]. וכן עצי פרי הנטועים בגוש בתוך עציץ נקוב [והגדרת נקב בעציץ, ראה בילקוט יוסף על השביעית עמוד רכה] קודם ט''ו באב, ומונחים על גבי קרקע",hebmorph-standard,3.8377311
5,--,Footnotes on Mekhilta DeRabbi Shimon Bar Yochai 34:7:1,"Mechilta de-Rabbi Simon b. Jochai, Dr. D. Hoffman, Frankfurt 1905",he,"עי׳ לעיל כ""ג ט""ו.",hebmorph-standard,9.402872
6,--,Shadal on Leviticus 23:27:2,"Shadal first edition, Padua 1871",he,"ועניתם: ע' למעלה ט""ו.",hebmorph-standard,9.402872
7,--,Bartenura on Mishnah Shekalim 8:4:4,On Your Way,he,נטמאת באב הטומאה. בשרץ או בנבלה:,infreq,11.258872
8,--,Metzudat Zion on Psalms 14:3:1,On Your Way,he,נאלחו. נבאשו כמו נתעב ונאלח (איוב ט״ו): ,ngram,12.5705805
9,--,Bartenura on Mishnah Mikvaot 2:2:2,On Your Way,he,בטומאה חמורה. באב הטומאה שמטמאתו מן התורה:,infreq,11.986808
10,--,"Ein Yaakov (Glick Edition), Taanit 4:11","En Jacob, translated by SH Glick, 1916",he,[פיסקא אמר רבן שמעון בן גמליאל לא היו ימים טובים לישראל כט״ו באב וכיום הכיפורים וכו׳]. בשלמא יום הכיפורים יום סליחה ומחילה יום שנתנו בו לוחות אחרונות לישראל אלא ט״ו באב מאי היא אמר רב יהודה אמר שמואל,aggresive-ngram,19.405481
11,--,Metzudat Zion on Hosea 4:5:1,On Your Way,he,ודמיתי. ענין כריתה כמו ער מואב נדמה (ישעיה ט״ו): ,ngram,10.539604
12,--,"Pri Etz Chaim, Gate of Shavuot 1:33",Pri Etz Chaim,he,"כבר כתבנו סדר המועדות, בחג הפסח  עד  ט""ו  בשבט,  נצח. פורים, יסוד. חנוכה, הוד. ולפי שפרשנו במקום אחר, חנוכה  בנצח,  ופורים  בהוד,  יצדק מאוד ט""ו באב ביסוד, ויגיד עליו ריעו בט""ו בשבט,  שהוא  מלוי",hebmorph-standard,3.1620712
13,--,"Pri Etz Chaim, Gate of Shavuot 1:32",Pri Etz Chaim,he,"דרוש  למהרח""ו  ז""ל,  על סוד ט""ו באב, וט""ו בשבט: ",hebmorph-standard,12.776697
14,--,Haamek Davar on Genesis 12:17:3,"Sefer Torat Elohim, Vilna 1879",he,עבודה מביאה פרנסה לעולם וכמו שכתבנו לעיל ב׳ ה׳ ולהלן ט״ו ט׳ ובכ״מ. ,aggresive-ngram,7.1429214
15,--,Footnotes on Mekhilta DeRabbi Shimon Bar Yochai 20:10:12,"Mechilta de-Rabbi Simon b. Jochai, Dr. D. Hoffman, Frankfurt 1905",he,"מבואר בע""ז ט״ו ע""א ובשבת פרק במה בהמה.",ngram,10.440403
16,--,"Divrey Chamudot on Menachot, Hilchot Orlah 28",Vilna Edition,he,"  הלכך   אם נטע בט""ז באב. שיש עדיין ט""ו ימים עם זה היום עד ר""ח אלול וחדש אלול כ""נו יום הרי בין כולם שתי שבתות לקליטה שהם י""ד יום ול' יום לשנה אבל לשון הטור אם נטע מקודם ט""ז וכו' דעתו שצריך ב' שבתות שלמות מלבד יום הנטיעה וכן דעת הרמב""ם בפ""ט מהמ""ש שכתב נטען בט""ז באב לא עלתה לו שנה.  ",infreq,15.260679
