Id,Relevance,Ref,Version,Lang,Content,Field,Score
0,--,Yoma 87b:9,William Davidson Edition - English,en,"The Gemara asks: What is the closing of the gates, i.e., the ne’ila prayer? Rav said: It is an added prayer of Amida. And Shmuel said: It is not a full prayer but only a confession that begins with",ngram,32.616486
1,--,"Targum Jerusalem, Leviticus 9:24","Targum Jerusalem, trans. J. W. Etheridge, London, 1862",en,And bowed in prayer upon their faces.,ngram,37.759914
2,--,Berakhot 29b:1,William Davidson Edition - English,en,"This case, where we require him to return to the beginning of the prayer and repeat it, refers to a situation where he recalls his error after he reaches the blessing: Who listens to prayer, in which",ngram,31.58596
3,--,"Targum Jerusalem, Exodus 17:12","Targum Jerusalem, trans. J. W. Etheridge, London, 1862",en,And the hands of Mosheh were lifted up in prayer.,ngram,31.68834
4,--,Taanit 15a:6,William Davidson Edition - English,en,"They stood for prayer. The congregation appoints an elder, who is experienced in leading prayer, to descend before the ark as communal prayer leader. And this prayer leader must have children and",ngram,35.218716
5,--,Abraham Cohen Footnotes to the English Translation of Masechet Berakhot 33b:21,"Tractate Berakot by A. Cohen, Cambridge University Press, 1921",en,Apparently commending his prayer. ,ngram,50.608414
6,--,Mishnah Berakhot 4:4,Open Mishnah,en,"Rabbi Eliezer says: One who makes his prayer ""set"" [as though it is burdensome to him], his prayer does not constitute ""pleading"" [for Divine mercy]. Rabbi Yehoshua says: One who is traveling in a",ngram,31.729074
7,--,Abraham Cohen Footnotes to the English Translation of Masechet Berakhot 9a:2,"Tractate Berakot by A. Cohen, Cambridge University Press, 1921",en,"Singer, p. 99, since that is essentially a night prayer. ",ngram,31.461988
8,--,Berakhot 60a:19,"Tractate Berakot by A. Cohen, Cambridge University Press, 1921",en,He who enters a town should offer prayer twice. ,ngram,37.711025
9,--,Lamentations 3:44,The Holy Scriptures: A New Translation (JPS 1917),en,"Thou hast covered Thyself with a cloud, So that no prayer can pass through.",ngram,31.185139
10,--,Berakhot 22b:18,William Davidson Edition - English,en,"The Sages taught in a baraita: One who was standing in prayer when, for some reason, urine is flowing on his knees, he must interrupt his prayer until the urine ceases, and then resume praying. The",ngram,39.756268
11,--,Radak on Psalms 5:4:2,"R. David Kimhi on the first book of Psalms, Translated by R.G. Finch, London, 1919",en,In the morning will I order unto Thee - my prayer,ngram,31.466593
12,--,Psalms 61:2,The Holy Scriptures: A New Translation (JPS 1917),en,"Hear my cry, O God; Attend unto my prayer.",ngram,33.785915
13,--,Psalms 17:1,The Holy Scriptures: A New Translation (JPS 1917),en,"A Prayer of David. Hear the right, O LORD, attend unto my cry; Give ear unto my prayer from lips without deceit.",ngram,33.088657
14,--,Berakhot 28a:15,William Davidson Edition - English,en,"The Rabbis taught in a baraita: If the obligation to recite two prayers was before him, one, the additional prayer and one, the afternoon prayer, he recites the afternoon prayer first and the",ngram,44.51505
15,--,Berakhot 28a:14,William Davidson Edition - English,en,"We learned in the mishna: And the additional prayer may be recited all day. Rabbi Yoḥanan said: Nevertheless, one who postpones his prayer excessively is called negligent. ",ngram,34.398243
16,--,Habakkuk 3:1,The Holy Scriptures: A New Translation (JPS 1917),en,A prayer of Habakkuk the prophet. Upon Shigionoth.,ngram,39.621254
17,--,Abraham Cohen Footnotes to the English Translation of Masechet Berakhot 30a:15,"Tractate Berakot by A. Cohen, Cambridge University Press, 1921",en,The quorum required for Congregational prayer. ,ngram,37.759914
18,--,Berakhot 21b:2,William Davidson Edition - English,en,"Rav Huna said: One who did not yet pray and enters a synagogue and found that the congregation is in the midst of reciting the Amida prayer, if he is able to begin and complete his own prayer before",ngram,37.61069
19,--,Rosh Hashanah 32b:18,William Davidson Edition - English,en,"MISHNA: With regard to one who is passing before the ark, as prayer leader, on the festival of Rosh HaShana, it is the second prayer leader, i.e., the one who leads the additional prayer, who sounds",ngram,33.24708
20,--,Psalms 102:1,The Holy Scriptures: A New Translation (JPS 1917),en,"A Prayer of the afflicted, when he fainteth, and poureth out his complaint before the LORD. ",ngram,38.566326
21,--,Berakhot 10b:11,William Davidson Edition - English,en,"Stemming from the analysis of Hezekiah’s prayer, Rabbi Yoḥanan said in the name of Rabbi Yosei ben Zimra: Anyone who bases his prayer or request upon his own merit, when God answers his prayer, it is",ngram,30.816378
22,--,Psalms 102:18,The Holy Scriptures: A New Translation (JPS 1917),en,"When He hath regarded the prayer of the destitute, And hath not despised their prayer.",ngram,43.87182
23,--,Berakhot 27a:2,William Davidson Edition - English,en," prayer may be recited all day. Rabbi Yehuda says: It may be recited until the seven hours. And it was taught in a baraita: If the obligation to recite two prayers was before him, one the additional prayer",ngram,35.67902
