Id,Relevance,Ref,Version,Lang,Content,Field,Score
0,--,Proverbs 5:17,The Holy Scriptures: A New Translation (JPS 1917),en,"Let them be only thine own, And not strangers’with thee.",aggresive-ngram,24.61639
1,--,Deuteronomy 24:20,The Holy Scriptures: A New Translation (JPS 1917),en,"When thou beatest thine olive-tree, thou shalt not go over the boughs again; it shall be for the stranger, for the fatherless, and for the widow.",ngram,28.847736
2,--,Mishnah Pesachim 2:3,Eighteen Treatises from the Mishna,en,"When a stranger has lent money to an Israelite upon the security of leavened articles, they may be applied to use after the Passover; but when an Israelite has lent money to a stranger upon leavened",ngram,28.554802
3,--,Deuteronomy 28:43,The Rashi chumash by Rabbi Shraga Silverstein,en,"	The stranger in your midst will rise ever higher above you, and you will descend lower and lower.",infreq,20.186266
4,--,Deuteronomy 24:17,The Holy Scriptures: A New Translation (JPS 1917),en,"Thou shalt not pervert the justice due to the stranger, or to the fatherless; nor take the widow’s raiment to pledge.",ngram,34.717464
5,--,Deuteronomy 24:14,The Rashi chumash by Rabbi Shraga Silverstein,en,"	You shall not oppress a hired laborer who is poor and needy, of your brothers [(One who does so transgresses two negative commandments, this and Leviticus 19:13)], or of your stranger [a righteous",ngram,31.022734
6,--,Deuteronomy 1:16,The Holy Scriptures: A New Translation (JPS 1917),en,"And I charged your judges at that time, saying: ‘Hear the causes between your brethren, and judge righteously between a man and his brother, and the stranger that is with him.",ngram,28.055435
7,--,Psalms 18:46,The Holy Scriptures: A New Translation (JPS 1917),en,"The sons of the stranger fade away, and come trembling out of their close places.",ngram,32.30117
8,--,Exodus 23:12,The Holy Scriptures: A New Translation (JPS 1917),en,"Six days thou shalt do thy work, but on the seventh day thou shalt rest; that thine ox and thine ass may have rest, and the son of thy handmaid, and the stranger, may be refreshed.",infreq,20.484406
9,--,Psalms 119:19,The Rashi Ketuvim by Rabbi Shraga Silverstein,en,	I am a stranger in the land. Do not hide from me [the secrets of] Your mitzvoth.,ngram,28.34299
10,--,Job 31:32,The Holy Scriptures: A New Translation (JPS 1917),en,The stranger did not lodge in the street; My doors I opened to the roadside.,ngram,31.939884
11,--,Exodus 29:33,The Holy Scriptures: A New Translation (JPS 1917),en,"And they shall eat those things wherewith atonement was made, to consecrate and to sanctify them; but a stranger shall not eat thereof, because they are holy.",ngram,36.75708
12,--,Rashi on Genesis 47:9:1,Pentateuch with Rashi's commentary by M. Rosenbaum and A.M. Silbermann,en,שני מגורי — means the days of my being a stranger. All my days I have been a stranger in other peoples’ lands.,ngram,30.37668
13,--,Exodus 18:3,The Holy Scriptures: A New Translation (JPS 1917),en,and her two sons; of whom the name of the one was Gershom; for he said: ‘I have been a stranger in a strange land’;,ngram,32.08876
14,--,Proverbs 11:15,The Holy Scriptures: A New Translation (JPS 1917),en,He that is surety for a stranger shall smart for it; But he that hateth them that strike hands is secure.,ngram,30.082544
15,--,Ketubot 79a:7,Daf Shevui,en,Zera said: There is no difficulty. One ruling refers to [a woman who has assigned to the stranger] all her property; the other to [a woman who assigned to a stranger] a part of her property.,ngram,31.09827
16,--,Psalms 94:6,The Holy Scriptures: A New Translation (JPS 1917),en,"They slay the widow and the stranger, And murder the fatherless.",ngram,28.639412
17,--,Genesis 15:13,The Holy Scriptures: A New Translation (JPS 1917),en,"And He said unto Abram: ‘Know of a surety that thy seed shall be a stranger in a land that is not theirs, and shall serve them; and they shall afflict them four hundred years;",ngram,27.84944
18,--,II Samuel 1:13,The Holy Scriptures: A New Translation (JPS 1917),en,And David said unto the young man that told him: ‘Whence art thou?’ And he answered: ‘I am the son of an Amalekite stranger.’,infreq,20.259897
19,--,Leviticus 25:47,The Holy Scriptures: A New Translation (JPS 1917),en,"And if a stranger who is a settler with thee be waxen rich, and thy brother be waxen poor beside him, and sell himself unto the stranger who is a settler with thee, or to the offshoot of a stranger’s family,",ngram,33.34392
20,--,Rashi on Exodus 23:9:1,Pentateuch with Rashi's commentary by M. Rosenbaum and A.M. Silbermann,en," וגר לא תלחץ AND THOU SHALT NOT OPPRESS THE STRANGER — In numerous passages (36 in number) does the Torah offer a caution about the ill-treatment of the stranger, because his original character is bad (Bava Metzia 59b).",ngram,29.380817
21,--,Deuteronomy 26:13,The Holy Scriptures: A New Translation (JPS 1917),en,"then thou shalt say before the LORD thy God: ‘I have put away the hallowed things out of my house, and also have given them unto the Levite, and unto the stranger, to the fatherless, and to the widow",ngram,28.01735
22,--,Numbers 15:15,The Rashi chumash by Rabbi Shraga Silverstein,en,"	The congregation — one statute shall there be for you and for the stranger that sojourns (among you), an everlasting statute unto your generations: As you are, so shall the stranger be, before the L-rd.",ngram,37.33664
23,--,Mishnah Yevamot 3:7,The Mishna with Obadiah Bartenura by Rabbi Shraga Silverstein,en,"	If there were three brothers, two of them married to two sisters, and one of them married to a stranger — if one of the sisters' husbands died, and the one married to the stranger took his wife (in",ngram,31.119715
24,--,Mishnah Yevamot 3:6,The Mishna with Obadiah Bartenura by Rabbi Shraga Silverstein,en,"	If there were three brothers, two of them married to two sisters, and one of them married to a stranger [i.e., kin to neither of the wives] — if one of the sisters' husbands died, and the one",ngram,32.841885
25,--,Sforno on Exodus 2:22:1,"Eliyahu Munk, HaChut Hameshulash",en,גר הייתי בארץ נכריה. A stranger in a land which is not my birthplace.,ngram,28.314713
26,--,Proverbs 27:2,The Rashi Ketuvim by Rabbi Shraga Silverstein,en,"	Let another praise you, and not your [own] mouth; a stranger, and not your [own] lips.",ngram,37.17771
27,--,Job 15:19,The Holy Scriptures: A New Translation (JPS 1917),en,"Unto whom alone the land was given, And no stranger passed among them.",ngram,34.831287
28,--,Deuteronomy 29:10,The Holy Scriptures: A New Translation (JPS 1917),en,"your little ones, your wives, and thy stranger that is in the midst of thy camp, from the hewer of thy wood unto the drawer of thy water;",infreq,20.168825
29,--,Leviticus 25:35,The Holy Scriptures: A New Translation (JPS 1917),en,"And if thy brother be waxen poor, and his means fail with thee; then thou shalt uphold him: as a stranger and a settler shall he live with thee.",ngram,28.700043
30,--,Numbers 15:30,The Holy Scriptures: A New Translation (JPS 1917),en,"But the soul that doeth aught with a high hand, whether he be home-born or a stranger, the same blasphemeth the LORD; and that soul shall be cut off from among his people.",ngram,29.104538
31,--,Deuteronomy 24:21,The Holy Scriptures: A New Translation (JPS 1917),en,"When thou gatherest the grapes of thy vineyard, thou shalt not glean it after thee; it shall be for the stranger, for the fatherless, and for the widow.",ngram,29.75692
32,--,Numbers 15:29,The Holy Scriptures: A New Translation (JPS 1917),en,"both he that is home-born among the children of Israel, and the stranger that sojourneth among them: ye shall have one law for him that doeth aught in error.",ngram,30.202293
33,--,Leviticus 19:10,The Holy Scriptures: A New Translation (JPS 1917),en,"And thou shalt not glean thy vineyard, neither shalt thou gather the fallen fruit of thy vineyard; thou shalt leave them for the poor and for the stranger: I am the LORD your God.",ngram,28.668812
34,--,Leviticus 17:12,The Holy Scriptures: A New Translation (JPS 1917),en,"Therefore I said unto the children of Israel: No soul of you shall eat blood, neither shall any stranger that sojourneth among you eat blood.",ngram,27.72865
35,--,Exodus 2:22,The Holy Scriptures: A New Translation (JPS 1917),en,"And she bore a son, and he called his name Gershom; for he said: ‘I have been a stranger in a strange land.’",ngram,29.33447
36,--,Targum Jonathan on Exodus 12:45,"The Targum of Jonathan ben Uzziel, trans. J. W. Etheridge, London, 1862",en, A sojourner or a hired stranger shall not eat thereof.  ,ngram,35.242165
37,--,Leviticus 19:33,The Holy Scriptures: A New Translation (JPS 1917),en,"And if a stranger sojourn with thee in your land, ye shall not do him wrong.",ngram,40.766075
38,--,Numbers 15:16,The Rashi chumash by Rabbi Shraga Silverstein,en,	One Torah and one judgment shall there be for you and for the stranger who sojourns with you.,ngram,30.300238
39,--,Rashi on Deuteronomy 10:19:1,Pentateuch with Rashi's commentary by M. Rosenbaum and A.M. Silbermann,en,כי גרים הייתם [LOVE THE STRANGER] FOR YE WERE STRANGERS — Do not reproach thy fellow man for a fault which is also thine (cf. Rashi on Exodus 22:20; Bava Metzia 59b).,ngram,28.988476
40,--,Exodus 12:43,The Rashi chumash by Rabbi Shraga Silverstein,en,	And the L-rd said to Moses and Aaron [(on the fourteenth of Nissan)]: This is the statute of the paschal offering: No stranger [(Both a heretical Jew and a non-Jew are implied)] may eat of it.,ngram,27.944242
41,--,Rashbam on Genesis 23:6:1,"Eliyahu Munk, HaChut Hameshulash",en," נשיא אלוהים, “a prince of G’d,” neither stranger or resident stranger as Avraham had described himself.",ngram,39.871956
42,--,Exodus 23:9,The Holy Scriptures: A New Translation (JPS 1917),en,"And a stranger shalt thou not oppress; for ye know the heart of a stranger, seeing ye were strangers in the land of Egypt.",ngram,43.33596
43,--,Rashbam on Exodus 2:22:1,"Eliyahu Munk, HaChut Hameshulash",en,"בארץ נכריה. The meaning of the name Gershom, i.e. a stranger in a distant land.",ngram,29.370396
44,--,Leviticus 24:22,The Holy Scriptures: A New Translation (JPS 1917),en,"Ye shall have one manner of law, as well for the stranger, as for the home-born; for I am the LORD your God.’",ngram,34.442184
45,--,Exodus 30:33,The Holy Scriptures: A New Translation (JPS 1917),en,"Whosoever compoundeth any like it, or whosoever putteth any of it upon a stranger, he shall be cut off from his people.’",ngram,30.917877
46,--,Deuteronomy 26:11,The Holy Scriptures: A New Translation (JPS 1917),en,"And thou shalt rejoice in all the good which the LORD thy God hath given unto thee, and unto thy house, thou, and the Levite, and the stranger that is in the midst of thee.",infreq,20.619192
47,--,Deuteronomy 10:18,The Holy Scriptures: A New Translation (JPS 1917),en,"He doth execute justice for the fatherless and widow, and loveth the stranger, in giving him food and raiment.",ngram,28.618563
48,--,Exodus 12:49,The Holy Scriptures: A New Translation (JPS 1917),en,"One law shall be to him that is homeborn, and unto the stranger that sojourneth among you.’",ngram,30.33214
49,--,Proverbs 6:1,The Holy Scriptures: A New Translation (JPS 1917),en,"My son, if thou art become surety for thy neighbour, If thou hast struck thy hands for a stranger—",ngram,36.64146
50,--,Psalms 69:9,The Holy Scriptures: A New Translation (JPS 1917),en,"I am become a stranger unto my brethren, And an alien unto my mother's children.",ngram,29.294619
51,--,Targum Jonathan on Deuteronomy 10:19,"The Targum of Jonathan ben Uzziel, trans. J. W. Etheridge, London, 1862",en," Have pity then (yourselves) upon the stranger, for you were strangers in the land of Mizraim. 
",ngram,33.34339
52,--,Deuteronomy 16:14,The Rashi chumash by Rabbi Shraga Silverstein,en,"	And you shall rejoice in your festival: you — your son, your daughter, your man-servant, your maid-servant — the Levite, the stranger, the orphan, and the widow, who are in your gates.",ngram,31.583874
53,--,Proverbs 14:10,The Holy Scriptures: A New Translation (JPS 1917),en,The heart knoweth its own bitterness; And with its joy no stranger can intermeddle.,ngram,39.273907
54,--,II Samuel 22:46,The Holy Scriptures: A New Translation (JPS 1917),en,"The sons of the stranger fade away, And come halting out of their close places.",ngram,28.200289
55,--,"Mishneh Torah, Negative Mitzvot 74",Sefaria Community Translation,en,74. That the stranger [a non-Cohen] shall not serve in the Temple as it says “and the stranger shall not approach you.” (Bamidbar 18:4),ngram,29.872362
56,--,Deuteronomy 23:8,The Holy Scriptures: A New Translation (JPS 1917),en,"Thou shalt not abhor an Edomite, for he is thy brother; thou shalt not abhor an Egyptian, because thou wast a stranger in his land.",ngram,33.138935
57,--,Deuteronomy 10:19,The Holy Scriptures: A New Translation (JPS 1917),en,Love ye therefore the stranger; for ye were strangers in the land of Egypt.,ngram,39.38574
58,--,Exodus 22:20,The Holy Scriptures: A New Translation (JPS 1917),en,"And a stranger shalt thou not wrong, neither shalt thou oppress him; for ye were strangers in the land of Egypt.",ngram,37.729652
