Id,Relevance,Ref,Version,Lang,Content,Field,Score
0,--,Mishnah Berurah 67:2,eu5 text,he,"(ב) חוזר וקורא - הטעם דקי""ל ק""ש דאורייתא כלומר דהא דכתיב ודברת בם בשבתך בביתך וגו' קאי אפרשה זו גופא שחייב לדבר בו בשעת שכיבה ועמידה ולפיכך אם נסתפק אם קרא או לאו חייב לחזור ולקרות ככל ספיקא דאורייתא:",aggresive-ngram,43.190865
1,--,Gra on Pirkei Avot 4:10:1,"Pirkei Avot with commentary of the Vilna Gaon, Vilna 1836",he,"הוי ממעט כו'. כמ״ש ודברת בם כו': 
",aggresive-ngram,103.65808
2,--,Malbim on Ezekiel 3:11:4,On Your Way,he,ותאמר אליהם שלא מלבך דברת רק ,hebmorph-standard,8.300528
3,--,Malbim on Ezekiel 3:11:3,On Your Way,he,"ודברת אליהם באורך, ",ngram,21.000702
4,--,"Mahberet Menachem, Introduction 170","Mahberet Menahem, London, 1854.",he,"‎דברות בים (מ""א ה כג), בנות צלפחד דברות (במדבר כו ז),",aggresive-ngram,39.898014
5,--,Deuteronomy 11:19,Tanach with Nikkud,he,ולמדתם אתם את־בניכם לדבר בם בשבתך בביתך ובלכתך בדרך ובשכבך ובקומך,aggresive-ngram,63.17822
6,--,Shaarei Teshuvah 3:17,Torat Emet,he,ודע כי המעלות העליונות נמסרו במצות עשה. כמו מעלות הבחירה שנאמר (דברים ל) ובחרת בחיים. ומעלות תלמוד תורה שנאמר (דברים ו) ודברת בם. ומעלות לכת בדרכי ה' שנאמר (שם כח) והלכת בדרכיו. ומעלות התבונן בגדולת,hebmorph-standard,16.3286
7,--,Haamek Davar on Deuteronomy 6:7:7,"Sefer Torat Elohim, Vilna 1879",he,"ודברת בם. כדאי׳ ביומא פ״ג ולא בדברים בטלים:
",aggresive-ngram,86.4827
8,--,Haamek Davar on Deuteronomy 6:7:2,"Sefer Torat Elohim, Vilna 1879",he,"ודברת בם. היינו פ׳ שמע. למ״ד דפ׳ זו דוקא מה״ת. או למ״ד שהוא מדרבנן מכ״מ איזה פ׳ מצוה לקרות כידוע שיטת תהר״י והוא שיטת השאלתות ובה״ג כמש״כ בחבורי הע״ש סימן נ״ג. ופרשה של תורה תועיל להזכיר עול מ״ש בזה האופן:
",aggresive-ngram,42.977272
9,--,Ezekiel 5:13,Tanach with Ta'amei Hamikra,he,וכלה אפי והנחותי חמתי בם והנחמתי וידעו כי־אני יהוה דברתי בקנאתי בכלותי חמתי בם,infreq,23.348541
