Score,Ref,Version,Lang,Content,Field
4.4637094,B'Mareh HaBazak Part Six 11:8,B'Mareh HaBazak Machon Eretz Hemdah,he,"ב. בציטוטים של דיבור המבטא רגשות - ביטוי הרגשות. לדוגמה: הכהן המקריא לאישה החשודה כסוטה - קריאה בקול מאיים ומפחיד. <b>האישה</b> <b>הסוטה</b> עונה ""אמן אמן"" בקול מלא פחד.",aggresive-ngram
21.78432,Tosafot Yom Tov on Mishnah Kiddushin 1:8:3,"Mishnah, ed. Romm, Vilna 1913",he,"חוץ ממנחת <b>סוטה</b> ונזירה שהן מניפות. <b>סוטה</b> מפורש רפ""ג דמסכת <b>סוטה</b> [דף י""ט]. ונזירה מפרש בגמ' אתיא כף כף <b>מסוטה</b>. וז""ל הרמב""ם לפי שנאמר <b>בסוטה</b> (במדבר ה') ונתן על כפיה את מנחת הזכרון ונאמר בנזיר (שם ו') ונתן",ngram
18.467005,Rashi on Sotah 19a:7:3,Vilna Edition,he,וכהן מניח ידו מתחתיה - ובגמרא יליף דתנופה צריכי יד בעלים ויד כהן ובעלים דמנחת <b>סוטה</b> היא <b>האשה</b>:,ngram
22.400526,Rashi on Yevamot 88b:11:1,Vilna Edition,he,הרי כאן שנים - הרי הוא חשוב כשנים כגון בעדות <b>אשה</b> לומר שמת בעלה ובעדות <b>סוטה</b> לומר נטמאה:,ngram
29.47307,Rashi on Deuteronomy 24:5:1,Pentateuch with Rashi's commentary by M. Rosenbaum and A.M. Silbermann,he,"<b>אשה</b> חדשה. שׁהיא חדשׁה לוֹ ואפילוּ אלמנה, פּרט למחזיר גּרוּשׁתוֹ (ספרי; <b>סוטה</b> מ""ד):",ngram
8.435273,"Kessef Mishneh on Mishneh Torah, Woman Suspected of Infidelity 4:19:3",Torat Emet 363,he,"סליקו להו הלכות <b>סוטה</b> 

",hebmorph-exact
50.706623,Rashi on Moed Katan 25b:7:3,Vilna Edition,he,כאות במי מרה - <b>שאשה</b> <b>סוטה</b> נבדקת בהן:,aggresive-ngram
18.035597,Chidushei Agadot on Sotah 20b:1,Vilna Edition,he," חלק קאמר משעה שנזרע היינו משנקלט הזרע במעי אשה כפירש""י גופיה שם ונראה דלאו מהאי קרא ונזרעה זרע יליף ליה אלא דכל <b>אשה</b> <b>סוטה</b> השותה היא בספק אם תנקי אם לאו ומסברא אית לן למימר דכמו דאם תנקי ידעינן בהכרת עובר ה""נ זמנה ניתן לה אם לא תנקי כדי הכרת עובר ודו""ק: ",aggresive-ngram
12.532012,"Mishneh Torah, Offerings for Unintentional Transgressions 3:11",Torat Emet 363,he,"כל אשמות שבתורה מעכבין את הכפרה חוץ <b>מאשם</b> נזיר. ספק נזיר וספק מחסרי כפרה וספק <b>סוטה</b> כלם מביאין קרבנותיהן אחר יום הכפורים:
",hebmorph-standard
18.998133,"Otzar Midrashim, Chuppah of Eliyahu, Chuppat Eliyahu Rabbah 20","Otzar Midrashim, New York, 1915",he,"י״ח) ג' חנות הן חן <b>אשה</b> על בעלה, חן מקח על מקחו, חן תורה על עושיה, וי״א אף חן מקום על יושביו (<b>סוטה</b> מ״ז.). ",ngram
8.435273,Footnotes on Mekhilta DeRabbi Shimon Bar Yochai 15:1:2,"Mechilta de-Rabbi Simon b. Jochai, Dr. D. Hoffman, Frankfurt 1905",he,"עי' תוספתא <b>סוטה</b> פ""ג.",hebmorph-exact
4.251031,Tzidkat HaTzadick 230:1,"Tzidkat HaTzadick, Lublin, 1913",he," בו חכמה הוא שופע בו לרע דלכן אסור ללמדו תורה כמו ‏<b>לאשה</b> (<b>סוטה</b> כ.) שאין לה דעת וזה יש לו רק שהחכמה אינה מבוררת כלל בעבד. וזה שורש עבד ‏שאין לו ראש מצד עצמו רק אדונו הוא ראשו משא""כ בן חורין יש לו ראש",aggresive-ngram
