Id,Relevance,Ref,Version,Lang,Content,Field,Score
0,--,Psalms 103:3,The Holy Scriptures: A New Translation (JPS 1917),en,Who forgiveth all thine iniquity; Who healeth all Thy diseases;,aggresive-ngram,21.574333
1,--,Numbers 14:19,The Rashi chumash by Rabbi Shraga Silverstein,en,"	Forgive, I pray You, the sin of this people in the greatness of Your lovingkindness, and as You have forgiven this people from Egypt until now.",aggresive-ngram,20.492718
2,--,Nehemiah 9:17,The Rashi Ketuvim by Rabbi Shraga Silverstein,en," servitude [of Egypt] in their rebelliousness. But You are a G-d of forgiveness, gracious and merciful, slow to anger and abundant in lovingkindness, and You did not forsake them.",ngram,16.567125
3,--,Bava Kamma 109a:3,William Davidson Edition - English,en," liability: If the owner forgave him concerning the principal, but did not forgive him concerning the additional one-fifth payment, he need not pursue him to repay the remaining debt. Apparently, even the principal is subject to forgiveness, so why doesn’t he forgive the obligation to himself?",ngram,17.511408
4,--,Rashi on Numbers 21:7:1,Pentateuch with Rashi's commentary by M. Rosenbaum and A.M. Silbermann,en,ויתפלל משה AND MOSES PRAYED — From this we may learn that he of whom one seeks forgiveness should not be so cruel as not to forgive (cf. Midrash Tanchuma 4:6:19).,ngram,23.766565
5,--,Bava Metzia 67a:1,William Davidson Edition - English,en,"I was sitting before Rav Naḥman when he said that mistaken forgiveness is valid, and I wanted to raise an objection to him from the halakha of exploitation, and he observed me, anticipated my",ngram,30.373045
6,--,Sforno on Exodus 34:9:2,"Eliyahu Munk, HaChut Hameshulash",en,"וסלחת לעוננו, seeing that only You are capable and willing to forgive and we constantly hope for Your forgiveness, the angel should not be the one going with us even though countermanding his",ngram,23.332283
7,--,Bava Kamma 92a:7,William Davidson Edition - English,en," transgression is not forgiven for him in the heavenly court until he requests forgiveness from the victim, as it is stated: “Restore the wife of the man; for he is a prophet, and he shall pray for you” (Genesis 20:7).",ngram,19.195602
8,--,"Chizkuni, Deuteronomy 21:8:1","Chizkuni, translated and annotated by Eliyahu Munk",en," כפר לעמך ישראל, “forgive Your people Israel!” They ask forgiveness for not having provided adequate security on the streets leading to their town so that this kind of murder could not have occurred and the perpetrator escaping with impunity. (Ibn Ezra)...",ngram,18.491901
9,--,Bava Metzia 67a:4,William Davidson Edition - English,en," was overcharged, and therefore there is no forgiveness in this case at all. Nor does the case of a sexually underdeveloped woman support his opinion, as it is amenable to her for her husband to",ngram,19.066153
10,--,"Chizkuni, Leviticus 16:30:1","Chizkuni, translated and annotated by Eliyahu Munk",en," ה' תטהרו, as meaning that G-d will forgive sins committed directly against Him, but not including sins committed against our fellow human beings unless we had obtained those people’s forgiveness first. (Compare Leviticus 23,28).",ngram,16.651894
11,--,Bava Metzia 20a:1,William Davidson Edition - English,en," then forgives the debt of the debtor, it is forgiven, since the debtor essentially had a non-transferable obligation to the creditor alone, and even the creditor’s heir can forgive the debt. Therefore",aggresive-ngram,15.99543
12,--,Sforno on Leviticus 16:30:2,"Eliyahu Munk, HaChut Hameshulash",en,"לפני ה' תטהרו, absolute forgiveness, rehabilitation, can occur only in the presence of the Lord, which in turn can be achieved only by personal confession of one’s sin and one’s absolute undertaking",ngram,16.574184
13,--,Berakhot 32b:15,William Davidson Edition - English,en,"The Gemara cites a midrash on the following verse from Isaiah, relating to the sin of the Golden Calf and Moses’ supplication for forgiveness: “But Zion said: The Lord has forsaken me and the Lord",ngram,19.622807
14,--,Ketubot 54b:10,Daf Shevui,en,"What does this effect? A woman who sells or forgives [her ketubah], Or one who rebels,",aggresive-ngram,16.333712
