Score,Ref,Version,Lang,Content,Field
115.95214,Rashi on Isaiah 37:24:2,On Your Way,he,ירכתי לבנון . <b>בית</b> <b>המקדש</b> : ,hebmorph-standard
108.06685,Avodah Zarah 2b:55,Wikisource Talmud Bavli,he,אינהו סתרי <b>בית</b> <b>המקדש</b> ואנן בנינן,hebmorph-standard
38.918697,Rashi on Nazir 32b:1:3,Vilna Edition,he,ומצאו <b>בית</b> <b>המקדש</b> חרב - לאחר <b>בית</b> שני:,ngram
115.83528,Rashi on Isaiah 35:2:2,On Your Way,he,הלבנון . <b>בית</b> <b>המקדש</b> : ,hebmorph-standard
131.96712,Rashi on Deuteronomy 3:25:3,On Your Way,he,"והלבנון. זה <b>בית</b> <b>המקדש</b>:
",hebmorph-standard
23.020233,Ralbag on II Kings 12:10:2,On Your Way,he,"שומרי הסף . הם שומרי כלי <b>בית</b> <b>המקדש</b> :
",hebmorph-exact
40.764496,Rashi on Nedarim 62a:5:1,Vilna Edition,he,פריצים - שהוציאו <b>מבית</b> <b>המקדש</b>:,ngram
97.512344,Rashi on Leviticus 14:16:1,On Your Way,he,"לפני ה'. כנגד <b>בית</b> <b>קדשי</b> הקדשים:
",hebmorph-standard
101.4636,Rashi on Song of Songs 5:7:6,On Your Way,he,נשאו את רדידי . <b>בית</b> <b>המקדש</b> : ,hebmorph-standard
101.4636,Metzudat Zion on Psalms 28:2:2,On Your Way,he,"דביר. הוא <b>בית</b> <b>קדשי</b> הקדשים:
",hebmorph-standard
94.844055,Pesachim 120a:14,Wikisource Talmud Bavli,he,"אין לי אלא בזמן <b>שבית</b> <b>המקדש</b> קיים בזמן שאין <b>בית</b> <b>המקדש</b> קיים מנין ת""ל בערב תאכלו מצות הכתוב קבעו חובה:",hebmorph-standard
40.629513,Metzudat David on Isaiah 66:23:3,On Your Way,he,"להשתחות לפני. <b>בבית</b> <b>המקדש</b>:
",ngram
23.039074,Rashi on Nehemiah 12:44:2,On Your Way,he,הנשכות . כמו הלשכות של <b>בית</b> <b>המקדש</b> : ,hebmorph-exact
110.27998,Rashi on Habakkuk 2:17:1,On Your Way,he,חמס לבנון . <b>בית</b> <b>מקדשא</b> : ,aggresive-ngram
17.35755,Taanit 4b:16,Wikisource Talmud Bavli,he,"כי קא""ר יוחנן בזמן שאין <b>בית</b> <b>המקדש</b> קיים השתא דאתית להכי הא והא לדידהו ולא קשיא כאן בזמן שבית <b>המקדש</b> קיים כאן בזמן שאין <b>בית</b> <b>המקדש</b> קיים",hebmorph-exact
101.43802,Rashi on Song of Songs 8:2:1,On Your Way,he,אל בית אמי . <b>בית</b> <b>המקדש</b> : ,hebmorph-standard
97.512344,Sanhedrin 26b:14,Wikisource Talmud Bavli,he,אילו <b>בית</b> <b>המקדש</b> יהרס צדיק מה פעל,hebmorph-standard
115.92916,Metzudat David on Nehemiah 13:5:5,On Your Way,he,והכלים. כלי <b>בית</b> <b>המקדש</b>: ,hebmorph-standard
83.58272,Bartenura on Mishnah Tamid 3:3:3,On Your Way,he,"לשכת <b>בית</b> <b>המוקד</b>. על שם המדורה שדולקת בה תמיד. קרויה <b>בית</b> <b>המוקד</b>:

",aggresive-ngram
46.937565,Rashi on Daniel 11:31:2,On Your Way,he,"וחללו <b>המקדש</b> המעוז . מעון <b>בית</b> <b>המקדש</b> :
",ngram
101.4636,Metzudat David on Jeremiah 31:23:3,On Your Way,he,הר הקדש. זהו <b>בית</b> <b>המקדש</b>: ,hebmorph-standard
101.35587,Rashi on Jeremiah 20:18:1,On Your Way,he,"עמל ויגון . חורבן <b>בית</b> <b>המקדש</b> :

",hebmorph-standard
115.994675,Rashi on Yoma 9b:13:1,Vilna Edition,he,בירה תוכיח - <b>בית</b> <b>המקדש</b>:,hebmorph-standard
126.07089,Rashi on Leviticus 26:11:1,On Your Way,he,ונתתי משכני. זה <b>בית</b> <b>המקדש</b>: ,hebmorph-standard
36.81985,Rashbam on Bava Batra 60b:8:1,Vilna Edition,he,אין מסיידין - <b>בית</b> משום אבל <b>בית</b> <b>המקדש</b>:,infreq
101.458115,Eben Ezra on Lamentations 5:16:1,Ibn Ezra on Lamentations -- Wikitext,he,"נפלה – <b>בית</b> <b>המקדש</b> מקום השכינה:
",hebmorph-standard
25.908007,Rashi on Deuteronomy 26:9:1,On Your Way,he,אל <b>המקום</b> הזה. זה <b>בית</b> <b>המקדש</b>: ,aggresive-ngram
93.0405,Bartenura on Mishnah Taanit 4:8:9,On Your Way,he,זה בנין <b>בית</b> <b>המקדש</b>. שנתחנך ביוה״כ:,hebmorph-standard
115.92916,Rashi on Sanhedrin 103b:26:2,Wikisource Rashi,he,מצע - <b>בית</b> <b>המקדש</b>:,hebmorph-standard
23.039074,Rashbam on Bava Batra 122a:9:7,Vilna Edition,he,לתרומת הקדש - לבד מקומו של <b>בית</b> <b>המקדש</b>:,hebmorph-exact
106.50884,Malbim on Isaiah 64:10:1,On Your Way,he,"וגם <b>בית</b> <b>קדשנו</b> ותפארתנו,  <b>הבית</b> <b>המקדש</b> ",hebmorph-standard
23.039074,Magen Avraham 94:1,Magen Avraham,he,"אחורי הכפורת. פי' במערבו של <b>בית</b> <b>המקדש</b>: 
",hebmorph-exact
101.458115,Rashi on I Kings 6:21:1,On Your Way,he,את הבית . <b>בית</b> <b>קדשי</b> הקדשים : ,hebmorph-standard
