Id,Relevance,Ref,Version,Lang,Content,Field,Score
0,--,Rashi on Shabbat 114a:10:3,Vilna Edition,he,"יכול אף של יוה""כ בשבת ת""ל בשבתו - וי""ו מיעוטו הוא בשבתו ולא בשבת אחרת:",aggresive-ngram,4.3561683
1,--,Taanit 14a:12,Wikisource Talmud Bavli,he,תנאי היא דתניא על אלו מתריעין בשבת על עיר שהקיפוה גייס או נהר ועל ספינה המטורפת בים ר' יוסי אמר לעזרה אבל לא לצעקה,ngram,8.026539
2,--,Zevachim 13b:51,Wikisource Talmud Bavli,he,לא מפגלת ולא מתפגלת מאי לאו תנאי היא,original,2.0671248
3,--,Eruvin 32b:6,William Davidson Edition - Aramaic,he,לעולם דקאי ברשות הרבים ונתכוון לשבות למטה ורבי היא דאמר כל דבר שהוא משום שבות לא גזרו עליו בין השמשות,ngram,6.9631715
4,--,Mishnah Pesachim 6:2,Torat Emet 357,he,"אמר רבי אליעזר, והלא דין הוא, מה אם שחיטה שהיא משום מלאכה דוחה את השבת, אלו שהן משום שבות לא ידחו את השבת. אמר לו רבי יהושע, יום טוב יוכיח, שהתירו בו משום מלאכה, ואסור בו משום שבות. אמר לו רבי אליעזר",hebmorph-standard,4.459381
5,--,Rashi on Bava Kamma 114b:25:1,Vilna Edition,he,בשבויה הקילו - דספיקא בעלמא היא:,aggresive-ngram,3.978661
6,--,Sukkah 2b:1,Wikisource Talmud Bavli,he,כולהו כרבה לא אמרי ההוא ידיעה לדורות היא,original,2.0661023
7,--,Chidushei Halachot on Ketubot 55b:2,Vilna Edition,he," הוא דוקא בשבת אבל הפי' לפי שהוא רואה שאוכלין [בלא] מעשר בחול עראי ולא בשבת שהיא קובעת מורה לעצמו היתר באכילה שבחול דעראי הן אבל בשבת אינו מורה לו היתר שאין בה אכילת עראי וק""ל: ",hebmorph-standard,18.087828
8,--,Niddah 22b:4,Wikisource Talmud Bavli,he,כי לא נמוחו בריה בפני עצמה היא ,infreq,5.725712
9,--,Pesachim 70a:1,Wikisource Talmud Bavli,he,לאו חובה היא דאי סלקא דעתך חובה היא תיתי בשבת ותיתי במרובה ותיתי בטומאה,aggresive-ngram,5.364727
10,--,Malbim Beur Hamilot on Jeremiah 3:5:2,On Your Way,he," לנצח מציין הזמן הנצחי הבלתי מתנענע, הזמן הבלתי ידוע לנו, זמן הרוחנים אשר לא יצדק בהם מושג הזמן רק לפי השגתנו, כמו האלהי והמלאכים והנשמה, שהם למעלה מן הזמן, כמ''ש בישעיה (סי' נ''ז ט''ז), ויש הבדל בין",original,2.7706027
11,--,"Sefer Mitzvot Gadol, Volume Two 148:1","Munkatch, 1901",he, אלו ואלו מתבערים בשביעית לקח בשר ודגים יצא בשר ונכנס דגים. ואע״פ שקדש הכתוב כאן ביובל ולא בשביעית הא מני רבנן היא דאמרי אין היובל נוהג אלא אם כן יש עמו שביעית ואחרי שיובל תלוי בשביעית חשבינן לקדש דיובל,aggresive-ngram,0.53879136
12,--,Ibn Ezra on Deuteronomy 30:12:1,Ibn Ezra on Devarim -- Torat Emet,he,לא בשמים היא. פירוש נפלאת:,infreq,5.602853
13,--,Shabbat 39a:2,William Davidson Edition - Aramaic,he,ולא יפקיענה בסודרין והא דתנן נותנין תבשיל לתוך הבור בשביל שיהא שמור ואת המים היפים ברעים בשביל שיצננו ואת הצונן בחמה בשביל שיחמו לימא רבי יוסי היא ולא רבנן,aggresive-ngram,4.0299864
