Id,Relevance,Ref,Version,Lang,Content,Field,Score
0,--,"Shulchan Arukh, Orach Chayim 9:5",Wikisource Shulchan Aruch,he,"יש אומרים שצריך לעשות הציצית מצבע הטלית והמדקדקים נוהגים כן. הגה: והאשכנזים אין נוהגין לעשות הציצית רק לבנים אף בבגדים צבועים ואין לשנות (תרומת הדשן סימן מ""ו):",infreq,8.337827
1,--,Tosefta Sotah 8:3,Tosefta Sota - Machon Mamre,he, אתם מקבלין באין מים ושוטפין אתכם.  עודם בירדן אמר להם יהושע (יהושוע ד) הרימו לכם איש אבן אחת על שכמו למספר שבטי בני ישראל (שם) והנחתם אותם [וגו'] תחת מצב רגלי הכהנים סימן לבנים שעברו [אבותם בירדן,aggresive-ngram,6.1916738
2,--,Avodah Zarah 60b:3,Wikisource Talmud Bavli,he,מעשה לבינה קעביד,aggresive-ngram,8.292158
3,--,Berakhot 7a:27,William Davidson Edition - Aramaic,he,ומשנינן לא קשיא הא כשאוחזין מעשה אבותיהם בידיהם הא כשאין אוחזין מעשה אבותיהם בידיהם ,aggresive-ngram,6.410952
4,--,Tosafot Yom Tov on Mishnah Sanhedrin 3:4:2,"Mishnah, ed. Romm, Vilna 1913",he,"(דברים כ""ד) איש בחטאו יומתו. [ודכתיב (שם ח) פוקד עון אבות. כשאוחזים מעשה אבותיהם בידיהן] אלא לא יומתו אבות על בנים בעדות בנים [ועל כרחך הני ב' אבות באחין קא משתעי שהן קרובים מן הכל. דבאב ובנו לא מצי",ngram,12.966382
5,--,Sotah 11a:16,William Davidson Edition - Aramaic,he,שרי מסים דבר שמשים (לבנים),original,3.3021085
6,--,"Sifra, Bechukotai, Chapter 8 6",Venice 1545,he,"[ו] ""וזכרתי את בריתי יעקוב...""-- ולמה נאמרו אבות אחורנית? אלא אם אין מעשה אברהם כדאי -- מעשה יצחק; ואם אין מעשה יצקח כדאי -- מעשה יעקב;  -- כדאי לכל אחד ואחד שיתלה לעולם בגינו.",hebmorph-exact,3.4873278
7,--,Rashi on Nazir 61a:11:4,Vilna Edition,he,אילימא לענין ירושה כו' כי ירושה לעשו נתתי את הר שעיר - להורישה לבניו אלמא דאית אבות לעובד כוכבים לענין ירושה:,infreq,8.2192955
8,--,"Sifra, Bechukotai, Chapter 8 2",Venice 1545,he," בנים ובנים לא יומתו על אבות""?! אם כן למה נאמר ""ואף בעונת אבותם..ימקו""? אלא בזמן שהם תופסים (ס""א תפוסים) מעשה אבותם, דור אחר דור דוריהם, נדונים על ידיהם.",ngram,9.570724
9,--,Rashi on Avodah Zarah 25a:3:1,WikiSource Rashi,he,ספר אברהם כו' - היינו ספר בראשית שמעשה אבות כתובים בו:,aggresive-ngram,5.711506
10,--,Ibn Ezra on Proverbs 17:6:2,Ibn Ezra on Proverbs -- Daat,he,ותפארת בנים - אבות החכמים.,ngram,11.6658535
