mitzvah Title chinukh,mitzvah Title Rambam,chinukh,smk,rambam,wiki_rambam,wiki_table,smg,mishneh,shulchanArukh,pasuk
א. מצות פריה ורביה,מצווה א: מצוות עשה פרו ורבו,1," סימן רפ""ד; "," לרמב""ם, מצוות עשה רי""ב",,," עשין מ""ט","רמב""ם הלכות אישות פרק טו",אבן העזר סימן א',"בראשית א, כח."
,,1,[284],"[u'Positive', 212]","[u'Positive', 212]",TRUE,"[u'Positive Commandments', 49]","[u'Mishneh Torah, Marriage 15']","[u'Shulchan Arukh, Even HaEzer 1']",[u'Genesis 1:28']
,,"https://www.sefaria.org/Sefer_HaChinukh.1
","https://www.sefaria.org/Sefer_Mitzvot_Katan,_Remazim.284
",,"https://www.sefaria.org/Mishneh_Torah,_Positive_Mitzvot.212",,"https://www.sefaria.org/Sefer_Mitzvot_Gadol,_Positive_Commandments,_Remazim.49
","https://www.sefaria.org/Mishneh_Torah,_Marriage.15
","https://www.sefaria.org/Shulchan_Arukh,_Even_HaEzer.1
","https://www.sefaria.org/Genesis.1:28
"
,,"מצות פריה ורביה - בראשית יש בה מצות עשה אחת, והיא מצות פריה ורביה, שנאמר: (בראשית א כח) ויברך אותם אלהים ויאמר להם אלהים פרו ורבו. 
","<small>(ואלו מצות התלויות באבר המילה)</small><br>לפרות דכתיב פרו ורבו. (בראשית ב)
",,,,"לפרות ולרבות שנאמר (בראשית) פרו ורבו:
","הָאִשָׁה שֶׁהִרְשַׁת אֶת בַּעִלָהּ אַחַר הַנִּשּׂוּאִין שֶׁיִּמְנַע עוֹנָתָהּ הֲרֵי זֶה מֻתָּר. בַּמֶּה דְּבָרִים אֲמוּרִים בְּשֶׁהָיוּ לוֹ בָּנִים שֶׁכְּבָר קִיֵּם מִצְוַת פְּרִיָּה וּרְבִיָּה אֲבָל לֹא קִיֵּם חַיָּב לִבְעל בְּכָל עוֹנָה עַד שֶׁיִּהְיוּ לוֹ בָּנִים. מִפְּנֵי שֶׁהִיא מִצְוַת עֲשֵׂה שֶׁל תּוֹרָה שֶׁנֶּאֱמַר (בראשית א כב) ""פְּרוּ וּרְבוּ"": 

","חייב כל אדם לישא אשה כדי לפרות ולרבות וכל מי שאינו עוסק בפריה ורביה כאלו שופך דמים וממעט את הדמות וגורם לשכינה שתסתלק מישראל: הגה וכל מי שאין לו אשה שרוי בלא ברכה בלא תורה כו' ולא נקרא אדם וכיון שנשא אשה עונותיו מפקפקים שנאמר מצא אשה מצא טוב ויפק רצון מאת ה': (טור)
","וַיְבָ֣רֶךְ אֹתָם֮ אֱלֹהִים֒ וַיֹּ֨אמֶר לָהֶ֜ם אֱלֹהִ֗ים פְּר֥וּ וּרְב֛וּ וּמִלְא֥וּ אֶת־הָאָ֖רֶץ וְכִבְשֻׁ֑הָ וּרְד֞וּ בִּדְגַ֤ת הַיָּם֙ וּבְע֣וֹף הַשָּׁמַ֔יִם וּבְכָל־חַיָּ֖ה הָֽרֹמֶ֥שֶׂת עַל־הָאָֽרֶץ׃
"
ב. מצות מילה,מצווה ב: מצוות עשה למול כל זכר לח' ימים,2," סימן קנ""ז, קנ""ח, קנ""ט-רפ""ט; ",", מצוות עשה רט""ו",,," עשין כ""ח","רמב""ם הלכות מילה |רמב""ם הלכות איסורי ביאה פי""ג"," יורה דעה סי' ר""ס | יורה דעה סימן רס""ח","בראשית יז, יב."
,,2,"[157, 158, 159, 289]","[u'Positive', 215]","[u'Positive', 215]",TRUE,"[u'Positive Commandments', 28]","[[u'Mishneh Torah, Circumcision'], [u'Mishneh Torah, Forbidden Intercourse 13']]","[[u""Shulchan Arukh, Yoreh De'ah 260""], [u""Shulchan Arukh, Yoreh De'ah 268""]]",[u'Genesis 17:12']
,,"https://www.sefaria.org/Sefer_HaChinukh.2
","https://www.sefaria.org/Sefer_Mitzvot_Katan,_Remazim.157
https://www.sefaria.org/Sefer_Mitzvot_Katan,_Remazim.158
https://www.sefaria.org/Sefer_Mitzvot_Katan,_Remazim.159
https://www.sefaria.org/Sefer_Mitzvot_Katan,_Remazim.289
","https://www.sefaria.org/Mishneh_Torah,_Positive_Mitzvot.215
","https://www.sefaria.org/Mishneh_Torah,_Positive_Mitzvot.215",,"https://www.sefaria.org/Sefer_Mitzvot_Gadol,_Positive_Commandments,_Remazim.28
","https://www.sefaria.org/Mishneh_Torah,_Circumcision
https://www.sefaria.org/Mishneh_Torah,_Forbidden_Intercourse.13
","https://www.sefaria.org/Shulchan_Arukh,_Yoreh_De'ah
https://www.sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.268
","https://www.sefaria.org/Genesis.17:12
"
,,"מצות מילה - לך לך יש בה מצות עשה אחת, והיא מצות מילה, שנאמר (בראשית יז י) זאת בריתי אשר תשמרו ביני וביניכם ובין זרעך אחריך המול לכם כל זכר. ונכפלה בסדר אשה כי תזריע, דכתיב (ויקרא יב ג), וביום השמיני י","למול בנו דכתיב וימל אברהם את יצחק בנו. (בראשית כא)
למול יליד בית דכתיב המול יליד ביתך (בראשית ז)
למול מקנת כסף דכתיב המול לכם כל זכר לדורותיכ' יליד בית ומקנ' כסף. (שם)<br><small>(שלמו העשיין התלוין ביד)</small>
למול עצמו דכתי' וערל זכר אשר לא ימול בשר ערלתו ונכרת' וגו' (בראשית יז)<br><small>(שלמו העשיין התלוין באבר המילה)</small>
","למול את הבן, שנאמר: ""וביום השמיני ימול בשר ערלתו"" (ויקרא יב, ג).
",,,"למול את הזכרים ביום השמיני שנאמר (תזריע) וביום השמיני ימול בשר ערלתו:
","מִילָה מִצְוַת עֲשֵׂה שֶׁחַיָּבִין עָלֶיהָ כָּרֵת שֶׁנֶּאֱמַר (בראשית יז יד) ״וְעָרֵל זָכָר אֲשֶׁר לֹא יִמּוֹל אֶת בְּשַׂר עָרְלָתוֹ וְנִכְרְתָה הַנֶּפֶשׁ הַהִוא מֵעַמֶּיהָ״. וּמִצְוָה עַל הָאָב לָמוּל אֶת בְּנוֹ וְעַל הָרַב לָמוּל אֶת עֲבָדָיו (בראשית יז יב) ״יְלִיד בַּיִת וּמִקְנַת כֶּסֶף״. עָבַר הָאָב אוֹ הָאָדוֹן וְלֹא מָל אוֹתָן בִּטֵּל מִצְוַת עֲשֵׂה וְאֵינוֹ חַיָּב כָּרֵת שֶׁאֵין הַכָּרֵת תָּלוּי אֶלָּא בֶּעָרֵל עַצְמוֹ. וּבֵית דִּין מְצֻוִּים לָמוּל אוֹתוֹ הַבֵּן אוֹ הָעֶבֶד בִּזְמַנּוֹ וְלֹא יַנִּיחוּ עָרֵל בְּיִשְׂרָאֵל וְלֹא בְּעַבְדֵיהֶן:
בִשְׁלֹשָׁה דְּבָרִים נִכְנְסוּ יִשְׂרָאֵל לִבְרִית. בְּמִילָה וּטְבִילָה וְקָרְבָּן: 

","
גֵּר שֶׁנִּכְנַס לִקְהַל יִשְׂרָאֵל, חַיָּב מִילָה תְּחִלָּה. וְאִם מָל כְּשֶׁהָיָה עוֹבֵד כּוֹכָבִים אוֹ שֶׁנּוֹלַד מָהוּל (טוּר בְּשֵׁם הָרֹא''שׁ),  צָרִיךְ לְהַטִּיף מִמֶּנּוּ דַּם בְּרִית וְאֵין מְבָרְכִין עָלָיו. וְאִם נִכְרַת הַגִּיד, אֵין מִילָתוֹ מְעַכֶּבֶת מִלְּהִתְגַּיֵּר וְסָגֵי לֵיהּ בִּטְבִילָה. טָבַל קֹדֶם שֶׁמָּל, מוֹעִיל, דִּבְדִיעֲבַד הָוֵי טְבִילָה (בֵּית יוֹסֵף בְּשֵׁם הָרַמְבַּ''ן וְכֵן כָּתַב המ''מ פי''ד מהל' א''ב) וְיֵשׁ אוֹמְרִים דְּלֹא הָוֵי טְבִילָה (נ''י פֶּרֶק הַחוֹלֵץ בְּשֵׁם הרא''ה).  

","וּבֶן־שְׁמֹנַ֣ת יָמִ֗ים יִמּ֥וֹל לָכֶ֛ם כָּל־זָכָ֖ר לְדֹרֹתֵיכֶ֑ם יְלִ֣יד בָּ֔יִת וּמִקְנַת־כֶּ֙סֶף֙ מִכֹּ֣ל בֶּן־נֵכָ֔ר אֲשֶׁ֛ר לֹ֥א מִֽזַּרְעֲךָ֖ הֽוּא׃
"
ג. שלא לאכול גיד הנשה,"מצווה ג: מצוות לא תעשה, שלא לאכול גיד הנשה",3,"   | סימן ר""ג."," לא תעשה קפ""ג",,,"לאוין קל""ט;",[]," יורה דעה סימן ק, ס""ה","בראשית לב, לב."
,,3,"[[], [203]]","[u'Negative', 183]","[u'Negative', 183]",TRUE,"[u'Negative Commandments', 139]",[],"[u""Shulchan Arukh, Yoreh De'ah 100""]",[u'Genesis 32:33']
