mitzvah Title chinukh,mitzvah Title Rambam,chinukh,smk,rambam,wiki_rambam,wiki_table,smg,mishneh,shulchanArukh,pasuk
א. מצות פריה ורביה,מצווה א: מצוות עשה פרו ורבו,1," סימן רפ""ד; "," לרמב""ם, מצוות עשה רי""ב",,," עשין מ""ט","רמב""ם הלכות אישות פרק טו", אבן העזר סימן א',"בראשית א, כח."
,,1,[284],[],"[u'Positive', 212]",False,"[u'Positive Commandments', 49]","[u'Mishneh Torah, Marriage 15']","[u'Shulchan Arukh, Even HaEzer 1']",[u'Genesis 1:28']
,,"https://www.sefaria.org/Sefer_HaChinukh.1
","https://www.sefaria.org/Sefer_Mitzvot_Katan,_Remazim.284
",,"https://www.sefaria.org/Mishneh_Torah,_Positive_Mitzvot.212",,"https://www.sefaria.org/Sefer_Mitzvot_Gadol,_Positive_Commandments,_Remazim.49
","https://www.sefaria.org/Mishneh_Torah,_Marriage.15
","https://www.sefaria.org/Shulchan_Arukh,_Even_HaEzer.1
","https://www.sefaria.org/Genesis.1:28
"
,,"מצות פריה ורביה - בראשית יש בה מצות עשה אחת, והיא מצות פריה ורביה, שנאמר: (בראשית א כח) ויברך אותם אלהים ויאמר להם אלהים פרו ורבו. 
","<small>(ואלו מצות התלויות באבר המילה)</small><br>לפרות דכתיב פרו ורבו. (בראשית ב)
",,,,"לפרות ולרבות שנאמר (בראשית) פרו ורבו:
","הָאִשָׁה שֶׁהִרְשַׁת אֶת בַּעִלָהּ אַחַר הַנִּשּׂוּאִין שֶׁיִּמְנַע עוֹנָתָהּ הֲרֵי זֶה מֻתָּר. בַּמֶּה דְּבָרִים אֲמוּרִים בְּשֶׁהָיוּ לוֹ בָּנִים שֶׁכְּבָר קִיֵּם מִצְוַת פְּרִיָּה וּרְבִיָּה אֲבָל לֹא קִיֵּם חַיָּב לִבְעל בְּכָל עוֹנָה עַד שֶׁיִּהְיוּ לוֹ בָּנִים. מִפְּנֵי שֶׁהִיא מִצְוַת עֲשֵׂה שֶׁל תּוֹרָה שֶׁנֶּאֱמַר <small>(בראשית א כב)</small> ""פְּרוּ וּרְבוּ"": 

","<i data-commentator=""Beit Shmuel"" data-order=""1""></i><i data-commentator=""Turei Zahav"" data-order=""1""></i><i data-commentator=""Beur HaGra"" data-order=""1""></i>חייב כל אדם <i data-commentator=""Pithei Teshuva"" data-order=""1""></i>לישא <i data-commentator=""Ba'er Hetev"" data-order=""1""></i>אשה כדי לפרות ולרבות <i data-commentator=""Be'er HaGolah"" data-label=""א"" data-order=""1""></i>וכל מי שאינו עוסק בפריה ורביה כאלו שופך דמים וממעט את הדמות <i data-commentator=""Be'er HaGolah"" data-label=""ב"" data-order=""2""></i>וגורם <i data-commentator=""Beur HaGra"" data-order=""2""></i>לשכינה שתסתלק מישראל: <small>הגה <i data-commentator=""Be'er HaGolah"" data-label=""ג"" data-order=""3""></i>וכל <i data-commentator=""Beur HaGra"" data-order=""3""></i>מי שאין לו אשה שרוי בלא ברכה בלא תורה כו' ולא <i data-commentator=""Beur HaGra"" data-order=""4""></i>נקרא אדם וכיון <i data-commentator=""Beur HaGra"" data-order=""5""></i>שנשא אשה עונותיו מפקפקים שנאמר מצא אשה מצא טוב ויפק רצון מאת ה': (טור)</small>
","וַיְבָ֣רֶךְ אֹתָם֮ אֱלֹהִים֒ וַיֹּ֨אמֶר לָהֶ֜ם אֱלֹהִ֗ים פְּר֥וּ וּרְב֛וּ וּמִלְא֥וּ אֶת־הָאָ֖רֶץ וְכִבְשֻׁ֑הָ וּרְד֞וּ בִּדְגַ֤ת הַיָּם֙ וּבְע֣וֹף הַשָּׁמַ֔יִם וּבְכָל־חַיָּ֖ה הָֽרֹמֶ֥שֶׂת עַל־הָאָֽרֶץ׃
"
ב. מצות מילה,מצווה ב: מצוות עשה למול כל זכר לח' ימים,2," סימן קנ""ז, קנ""ח, קנ""ט-רפ""ט; ",", מצוות עשה רט""ו",,," עשין כ""ח","רמב""ם הלכות מילה |רמב""ם הלכות איסורי ביאה פי""ג"," יורה דעה סי' ר""ס | יורה דעה סימן רס""ח","בראשית יז, יב."
,,2,"[157, 158, 159, 289]","[u'Positive', 215]","[u'Positive', 215]",True,"[u'Positive Commandments', 28]","[[u'Mishneh Torah, Circumcision'], [u'Mishneh Torah, Forbidden Intercourse 13']]","[[u""Shulchan Arukh, Yoreh De'ah""], [u""Shulchan Arukh, Yoreh De'ah 268""]]",[u'Genesis 17:12']
,,"https://www.sefaria.org/Sefer_HaChinukh.2
","https://www.sefaria.org/Sefer_Mitzvot_Katan,_Remazim.157
https://www.sefaria.org/Sefer_Mitzvot_Katan,_Remazim.158
https://www.sefaria.org/Sefer_Mitzvot_Katan,_Remazim.159
https://www.sefaria.org/Sefer_Mitzvot_Katan,_Remazim.289
","https://www.sefaria.org/Sefer_HaMitzvot,_Positive_Commandments.215
","https://www.sefaria.org/Mishneh_Torah,_Positive_Mitzvot.215",,"https://www.sefaria.org/Sefer_Mitzvot_Gadol,_Positive_Commandments,_Remazim.28
","https://www.sefaria.org/Mishneh_Torah,_Circumcision
https://www.sefaria.org/Mishneh_Torah,_Forbidden_Intercourse.13
","https://www.sefaria.org/Shulchan_Arukh,_Yoreh_De'ah
https://www.sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.268
","https://www.sefaria.org/Genesis.17:12
"
,,"מצות מילה - לך לך יש בה מצות עשה אחת, והיא מצות מילה, שנאמר (בראשית יז י) זאת בריתי אשר תשמרו ביני וביניכם ובין זרעך אחריך המול לכם כל זכר. ונכפלה בסדר אשה כי תזריע, דכתיב (ויקרא יב ג), וביום השמיני ימול בשר ערלתו. והרבה מצות נכפלו במקומות הרבה בתורה, וכלן לצרך כמו שפרשום חכמינו ז''ל (שבת קלב, א קלה, א). וענין מצוה זו, הוא שחותכין הערלה המחפה ראש הגויה ופורעין קרום רך שלמטה ממנה, כדי שתתגלה ראש העטרה שבאותו איבר, כידוע למבינים שתשלום צורת האדם בהסיר ממנו אותה ערלה, שהיא תוספת בו.
","למול בנו דכתיב וימל אברהם את יצחק בנו. (בראשית כא)
למול יליד בית דכתיב המול יליד ביתך (בראשית ז)
למול מקנת כסף דכתיב המול לכם כל זכר לדורותיכ' יליד בית ומקנ' כסף. (שם)<br><small>(שלמו העשיין התלוין ביד)</small>
למול עצמו דכתי' וערל זכר אשר לא ימול בשר ערלתו ונכרת' וגו' (בראשית יז)<br><small>(שלמו העשיין התלוין באבר המילה)</small>
"," היא שצונו למול את הבן. והוא אמרו יתעלה לאברהם המול לכם כל זכר וכתיב בתורה שהוא בכרת מי שמבטל מצוה זו. וכבר התבארו משפטי מצוה זו בפרק י""ח משבת וד' מיבמות, ואין האשה מצווה למול את בנה כמו שהאב מצווה בזה כמו שהתבאר בקדושין. (לך לך, אהבה הלכות מילה): 
",,,"למול את הזכרים ביום השמיני שנאמר (תזריע) וביום השמיני ימול בשר ערלתו:
","מִילָה מִצְוַת עֲשֵׂה שֶׁחַיָּבִין עָלֶיהָ כָּרֵת שֶׁנֶּאֱמַר <small>(בראשית יז יד)</small> ״וְעָרֵל זָכָר אֲשֶׁר לֹא יִמּוֹל אֶת בְּשַׂר עָרְלָתוֹ וְנִכְרְתָה הַנֶּפֶשׁ הַהִוא מֵעַמֶּיהָ״. וּמִצְוָה עַל הָאָב לָמוּל אֶת בְּנוֹ וְעַל הָרַב לָמוּל אֶת עֲבָדָיו <small>(בראשית יז יב)</small> ״יְלִיד בַּיִת וּמִקְנַת כֶּסֶף״. עָבַר הָאָב אוֹ הָאָדוֹן וְלֹא מָל אוֹתָן בִּטֵּל מִצְוַת עֲשֵׂה וְאֵינוֹ חַיָּב כָּרֵת שֶׁאֵין הַכָּרֵת תָּלוּי אֶלָּא בֶּעָרֵל עַצְמוֹ. וּבֵית דִּין מְצֻוִּים לָמוּל אוֹתוֹ הַבֵּן אוֹ הָעֶבֶד בִּזְמַנּוֹ וְלֹא יַנִּיחוּ עָרֵל בְּיִשְׂרָאֵל וְלֹא בְּעַבְדֵיהֶן:
בִשְׁלֹשָׁה דְּבָרִים נִכְנְסוּ יִשְׂרָאֵל לִבְרִית. בְּמִילָה וּטְבִילָה וְקָרְבָּן: 

","הַכֹּל שׁוֹחֲטִין לְכַתְּחִלָּה, אֲפִלּוּ נָשִׁים. <small>הַגָּה: יֵשׁ אוֹמְרִים שֶׁאֵין לְהַנִּיחַ נָשִׁים לִשְׁחֹט, שֶׁכְּבָר נָהֲגוּ שֶׁלֹּא לִשְׁחֹט, וְכֵן הַמִּנְהָג שֶׁאֵין הַנָּשִׁים שׁוֹחֲטוֹת <small><small>(בֵּית יוֹסֵף בְּשֵׁם הָאָגוּר)</small>. </small> </small> וַעֲבָדִים וְכָל אָדָם, אֲפִלּוּ אֵין מַכִּירִין אוֹתוֹ שֶׁמֻּחְזָק לִשְׁחֹט שֶׁלֹּא יִתְעַלֵּף, וְגַם אֵין יוֹדְעִין בּוֹ שֶׁהוּא מֻמְחֶה וְיוֹדֵעַ הִלְכוֹת שְׁחִיטָה, מֻתָּר לִתֵּן לוֹ לְכַתְּחִלָּה לִשְׁחֹט, וּמֻתָּר לֶאֱכֹל מִשְּׁחִיטָתוֹ, שֶׁרֹב הָרְגִילִין לִשְׁחֹט הֵם בְּחֶזְקַת מֻמְחִין וּמֻחְזָקִין. בַּמֶּה דְּבָרִים אֲמוּרִים, בְּשֶׁאֵינוֹ לְפָנֵינוּ, אָז מֻתָּר לֶאֱכֹל מִשְּׁחִיטָתוֹ וְסוֹמְכִים עַל הַחֲזָקָה. אֲבָל אִם הוּא לְפָנֵינוּ, צָרִיךְ לְבָדְקוֹ, אִם הוּא מֻמְחֶה וְיוֹדֵעַ הִלְכוֹת שְׁחִיטָה, אֲבָל אֵין צָרִיךְ לְשָׁאֲלוֹ אִם נִתְעַלֵּף. <small>הַגָּה: וְיֵשׁ אוֹמְרִים שֶׁאֵין לִסְמֹךְ עַל הַחֲזָקָה אֶלָּא בְּדִיעֲבַד, אֲבָל לְכַתְּחִלָּה אֵין לִסְמֹךְ עַל הַחֲזָקָה, בְּמָקוֹם דִּיכוֹלִין לְבָרְרוֹ, <small><small>(מָרְדְּכַי וְהַגָּהוֹת אֲשֵׁרִי וְאָגוּר בְּשֵׁם אוֹר זָרוּעַ וּשְׁאִלְתּוֹת פָּרָשַׁת בְּהַעֲלֹתְךָ)</small>.</small> וְכָל זֶה מַיְרִי בַּאֲחֵרִים, שֶׁאֵינָן בְּקִיאִין וְיוֹדְעִין אִם זֶה הַשּׁוֹחֵט בָּקִי אוֹ לֹא, אֲבָל הַשּׁוֹחֵט עַצְמוֹ לֹא יִשְׁחֹט, אַף עַל פִּי שֶׁיּוֹדֵעַ הִלְכוֹת שְׁחִיטָה וּמֻמְחֶה, עַד שֶׁשָּׁחַט ג' פְּעָמִים בִּפְנֵי חָכָם וּמֻמְחֶה בְּהִלְכוֹת שְׁחִיטָה, שֶׁיּוֹדֵעַ שֶׁהוּא רָגִיל וְזָרִיז שֶׁלֹּא יִתְעַלֵּף. <small><small>(טוּר בְּשֵׁם הָרַמְבַּ''ם)</small></small> וְלָכֵן נוֹהֲגִין שֶׁאֵין אָדָם שׁוֹחֵט אֶלָּא אִם כֵּן נָטַל קַבָּלָה לִפְנֵי חָכָם, <small><small>(אָגוּר בְּשֵׁם הִלְכוֹת א''י)</small>.</small> וְאֵין הֶחָכָם נוֹתֵן לוֹ קַבָּלָה, עַד שֶׁיֵּדַע בּוֹ שֶׁהוּא יוֹדֵעַ הִלְכוֹת שְׁחִיטָה וּבָקִי בַּיָּד. וְלָכֵן נוֹהֲגִין שֶׁכָּל הַבָּאִין לִשְׁחֹט, סוֹמְכִין עֲלֵיהֶם לְכַתְּחִלָּה, וְלֹא בַּדְקִינָן אוֹתָם לֹא בַּתְּחִלָּה וְלֹא בַּסּוֹף, דְּכָל הַמְּצוּיִין אֵצֶל שְׁחִיטָה כְּבָר נָטְלוּ קַבָּלָה לִפְנֵי חָכָם, <small><small>(ד''ע)</small>.</small> וּבִקְצָת מְקוֹמוֹת נוֹהֲגִין לְהַחְמִיר עוֹד, דְּהַמְקַבֵּל נוֹטֵל כְּתָב מִן הֶחָכָם, לִרְאָיָה שֶׁנָּתַן לוֹ קַבָּלָה. וְכָל שׁוֹחֵט, אַף עַל פִּי שֶׁנָּטַל קַבָּלָה, יִרְאֶה שֶׁיַּחֲזֹר לִפְרָקִים הִלְכוֹת שְׁחִיטָה, שֶׁיִּהְיוּ שְׁגוּרִים בְּפִיו וּבְלִבּוֹ שֶׁלֹּא יִשְׁכְּחֵם <small><small>(מהר''ר יַעֲקֹב הַלֵּוִי בְּשֵׁם מהר''ש)</small>.</small> וּכְמוֹ שֶׁהַדִּין בְּהִלְכוֹת שְׁחִיטָה וּבְמִי שֶׁבָּא לִשְׁחֹט, כָּךְ הוּא הַדִּין בְּהִלְכוֹת בְּדִיקוֹת הָרֵאָה וּבְמִי שֶׁבָּא לִבְדֹּק, וְדִינָם וּמִנְהָגָם שָׁוֶה בְּכָל זֶה, <small><small>(ד''ע)</small>.</small> וְיֵשׁ לב''ד לַחְקֹר וְלִדְרֹשׁ אַחַר הַבּוֹדְקִים וְהַשּׁוֹחֲטִים, וְלִרְאוֹת שֶׁיִּהְיוּ בְּקִיאִים וּמֻמְחִים וּכְשֵׁרִים, <small><small>(מהרי''ו סי' נ')</small>.</small> כִּי גָּדוֹל אִסּוּר הַמַּכְשֵלָה בִּשְׁחִיטוֹת וּבְדִיקוֹת הַמְּסוּרִים לַכֹּל. וְאִם בָּדְקוּ אֵיזֶה שׁוֹחֵט וּבוֹדֵק, וְנִמְצָא שֶׁאֵינוֹ יוֹדֵע, אִם נָטַל פַּעַם אַחַת קַבָּלָה אֵין מַטְרִיפִין לְמַפְרֵעַ מַה שֶּׁשָּׁחַט, דְּאַמְרִינָן הַשְׁתָּא הוּא דְּאִתְרַע, <small><small>(חִדּוּשֵׁי אֲגֻדָּה)</small>.</small> אֲבָל אִם לֹא נָטַל קַבָּלָה מֵעוֹלָם, כָּל מַה שֶּׁשָּׁחַט, טְרֵפָה, גַּם כָּל הַכֵּלִים שֶׁבִּשְּׁלוּ בָּהֶן מַה שֶּׁשָּׁחַט, צְרִיכִין הֶכְשֵׁר, <small><small>(רשב''א סִימָן רי''ח)</small>.</small> </small> 

גֵּר שֶׁנִּכְנַס לִקְהַל יִשְׂרָאֵל, חַיָּב מִילָה תְּחִלָּה. וְאִם מָל כְּשֶׁהָיָה עוֹבֵד כּוֹכָבִים <small>אוֹ שֶׁנּוֹלַד מָהוּל <small><small>(טוּר בְּשֵׁם הָרֹא''שׁ)</small>,</small> </small> צָרִיךְ לְהַטִּיף מִמֶּנּוּ דַּם בְּרִית וְאֵין מְבָרְכִין עָלָיו. וְאִם נִכְרַת הַגִּיד, אֵין מִילָתוֹ מְעַכֶּבֶת מִלְּהִתְגַּיֵּר וְסָגֵי לֵיהּ בִּטְבִילָה. <small>טָבַל קֹדֶם שֶׁמָּל, מוֹעִיל, דִּבְדִיעֲבַד הָוֵי טְבִילָה <small><small>(בֵּית יוֹסֵף בְּשֵׁם הָרַמְבַּ''ן וְכֵן כָּתַב המ''מ פי''ד מהל' א''ב)</small></small> וְיֵשׁ אוֹמְרִים דְּלֹא הָוֵי טְבִילָה <small><small>(נ''י פֶּרֶק הַחוֹלֵץ בְּשֵׁם הרא''ה)</small>.</small> </small> 

","וּבֶן־שְׁמֹנַ֣ת יָמִ֗ים יִמּ֥וֹל לָכֶ֛ם כָּל־זָכָ֖ר לְדֹרֹתֵיכֶ֑ם יְלִ֣יד בָּ֔יִת וּמִקְנַת־כֶּ֙סֶף֙ מִכֹּ֣ל בֶּן־נֵכָ֔ר אֲשֶׁ֛ר לֹ֥א מִֽזַּרְעֲךָ֖ הֽוּא׃
"
ג. שלא לאכול גיד הנשה,"מצווה ג: מצוות לא תעשה, שלא לאכול גיד הנשה",3," לאוין קל""ט;  | סימן ר""ג."," לא תעשה קפ""ג",,,[],[]," יורה דעה סימן ק, ס""ה","בראשית לב, לב."
,,3,"[[], [203]]","[u'Negative', 183]","[u'Negative', 183]",True,[],[],"[u""Shulchan Arukh, Yoreh De'ah 100""]",[u'Genesis 32:32']
