Index Title,Be'er Mayim Chaim on Torah,
Version Title,"Be'er Mayim Chaim, Jerusalem 1991.",
Language,he,
Version Source,http://primo.nli.org.il/primo_library/libweb/action/dlDisplay.do?vid=NLI&docId=NNL_ALEPH001185750,
Version Notes,,
"Be'er Mayim Chaim on Torah, Genesis 1:1:1","בראשית ברא אלהים וגו'. ורבים ראו כן תמהו אומרו בראשית ששיעור התיבה הוא דבוקה לתיבה שלאחריה וכאן חסר הנסמך לה כמו שכתוב ברש""י הקדוש ושארי מפרשי התורה, ואענה גם אני את חלקי בכמה פנים בחסדי שמו יתברך החונן לאדם דעת. ",1
"Be'er Mayim Chaim on Torah, Genesis 1:1:2","א  יתברך וישתבח שם אלהינו אלהי עולם ה' הטוב והמיטיב לכל הכל יכול וכוללם יחד, וכלל כל הבריאה מה שהיה והוה ועתיד להיות במאמר אחד הוא מאמר בראשית אשר הוא ראש לכל הבריאה ונכלל בתוכו כל הנמצאים שבעולם מן הצורה הראשונה שבעולמות עליוני העליונים עד יתוש קטן שבטבור הארץ. והוא כמו הראש בגוף האדם אשר על הארץ הנקרא עולם קטן אשר בראשו נכלל כל רמ""ח אבריו ושס""ה גידיו בחיותם ונפשם ומזונם, כי היכול יוכל לזוז אבר אחד מאברי הגוף בלתי כח הנשמה שבראש ששם עיקר משכנה ומשם מתהלך החיות לכל האברים וגידים. הלא תראה אם יחסר בגוף האדם אבר אחד מאברי הגוף כמו היד והרגל ישאר האדם בחיותו כמו שהיה רק חסר אבר, ולא כן אם יחסר הראש לא ישאר שום חיות וכח לכל האברים וגידים, והכל הולך אחר הראש כי כל כוחי הגוף וחיותו הכל נמשך מהראש כי בו שורש עיקר החיות ומוח הנשמה שבאדם. ",1
"Be'er Mayim Chaim on Torah, Genesis 1:1:3","וכמו כן ממש בבריאת כל העולמות אשר נבראו על ידי עשרה מאמרות אלהים. כולם בכלל נכללו במאמר הראשון שהוא בראשית כי בו נכלל כל היצור וכל העתיד לצור, ועל כן משונה במאמרו לשום את שמו בראשית ולא ויאמר כשארי המאמרים הבאים אחריו, לומר שהוא ראש וראשון לכל יצורי עולמים כבחינת הראש שהכל נכלל בו וממנו נמשך כח וחיות לכל האברים, ולכן מרומז בו ""ברא שית"" ו""ירא שבת"", כי כל אשר נעשה אחר כך בששת ימי הבנין והשבת שאחר כך הכל היה נכלל מקודם במאמר הלז, והוא הכלל הגדול הכולל כל הפרטים היוצאים ממנו וכל תשע מאמרות הכתובין אחריו אינן אלא פרט היוצא מהכלל ואין בפרט אלא מה שבכלל, וכל פרט צריך לכלל למשוך ממנו תמיד כל בחינת שפע אור וברכה להחיותו לקיימו על מעמדו, כעין חיות אברי הגוף הנמשך מהראש. ",
"Be'er Mayim Chaim on Torah, Genesis 1:1:4","וכל זה הוא עבור מה שידוע מזוה""ק ומכתבי האר""י ז""ל אשר כל בריאת העולמות עליונים ותחתונים הכל נבראו בכח בחינת מדת החכמה בסוד הכתוב <small>(משלי ג', י""ט)</small> ה' בחכמה יסד ארץ ואומר <small>(תהלים ק""ד, כ""ד)</small> מה רבו מעשיך ה' כולם בחכמה עשית, ופירוש כולם בחכמה עשית, כאמור, שכל הבריאה כולה מראש ועד סוף כולם נכללו בבחינת מדה הזו, וכולם שואפים שפעם וחיותם וכל הנצרך להם הכל ממדה הזו, והיא היתד גדול שהכל תלוי בה ונקראת כלל הכוללת כל הפרטים שתחתיה כי היא נקראת בחינת הראש כמאמר הכתוב <small>(שם קי""א, י')</small> ראשית חכמה וגו', ולכן כל האברים נכללין בה. צא ולמד מה שכתוב בסידור האר""י ז""ל <small>(בכוונת ראש השנה)</small>, וזה לשונו: נודע שעולם הכתר בכל מקום שהוא הוא טמיר וגנוז ואף שנקרא ראש הוא בסוד הנעלם, ועיקר הראש הוא החכמה שנקרא ראשית דכתיב <small>(שם)</small> ראשית חכמה וכו' והכתר נעלם בתוכו בסוד כי עמך מקור חיים, והוא סוד א' שבמלת ראש כמבואר בזוה""ק והוא ראש אל כל המוחין וכולל כולם דכתיב כולם בחכמה עשית וכו'. עד כאן. הרי לפניך שגם בחינת הכתר שהוא למעלה ממנה נכלל בה, ומכל שכן מה שלמטה ממנה. ",
"Be'er Mayim Chaim on Torah, Genesis 1:1:5","וידוע אשר מאמר בראשית הוא הרומז לבחינת מדת החכמה כמו שאיתא בזוה""ק <small>(ג':)</small>, וכן מתורגם בתרגום ירושלמי על בראשית בחוכמתא, ואות א' שבתוכה רומז על בחינת הכתר הנכלל בה כמו שאיתא בזוה""ק בכמה מקומות. וממילא מבואר מזה אשר כל מעשי בראשית מקטן ועד גדול מה למעלה מה למטה מה שהיה והוה ועתיד להיות הכל נכללו במאמר בראשית הכולל כל תשע מאמרות שאחריו והם אינם רק פרט היוצא מהכלל. כדרך הכתוב <small>(שמות כ""ב, ו')</small> כי יתן איש אל רעהו, כלל. כסף או כלים, פרט. כלומר שזה הפרט היה בכלל, כי כל אשר יתן כתיב, הן כסף או כלים או שארי דברים עד אין שיעור וערך. כן זה המאמר בראשית הוא הכלל הגדול שהכל נכללו בו, ואחר כך הולך ומפרש הקרא סדר הפרטים הנמשכים ממנו בתשע מאמרות שאחריו. ",
"Be'er Mayim Chaim on Torah, Genesis 1:1:6","וזה שאמרו חז""ל <small>(אבות ה', א')</small> בעשרה מאמרות נברא העולם ומה תלמוד לומר והלא במאמר אחד היה יכול להבראות. כלומר כיון שבמאמר הראשון נברא כל הבריאה כולה מראש ועד סוף בכלל למה הוצרך אחר כך לפרוט כל אחד ואחד במאמר בפני עצמו ודי היה לו במאמר הראשון לבד, אלא להפרע מן הרשעים וכו', וליתן שכר טוב לצדיקים וכו', לשלם לצדיקים שמקיימין את העולם בעד כל פרט ופרט בפני עצמו, ולהיפך ברשעי ארץ שמאבדין העולם להפרע בעד כל פרט ופרט בפני עצמו. ",
"Be'er Mayim Chaim on Torah, Genesis 1:1:7","וכדברינו אלה מרומז בזוה""ק <small>(בראשית ט""ז:)</small> וזה לשונו: ויאמר אלהים יהי אור ויהי אור, מהכא איהו שירותא לאשכחא גניזן היאך אתברי עלמא בפרט דעד הכא הוי בכלל וכו'. עד כאן. ותדע כי מה שאמרו חז""ל <small>(בספרי מובא ברש""י שמות כ', א')</small> וזה לשונו: וידבר אלהים את כל הדברים האלה מלמד שאמר הקב""ה עשרת הדברות בדיבור אחד וכו' ומה תלמוד לומר וכו' אלא מלמד שאמר הקב""ה עשרת הדברות בדיבור אחד וחזר ופרטן דיבור דיבור בפני עצמו וכו' עד כאן. גם שם פירושו כאשר כתבנו עד כה, כלומר שבתיבת אנכי לבד נכללו בו כל הדברות שלאחריו, כי אנכי הוא כלל הגדול הכולל בו הכל מחמת שאני ה' הַמְצַוֶה וראוי לעשות מה שאני מְצַוֶה ואידך פירושא הוא אני מְצַוֶה כך וכך, אבל דיבור הראשון אנכי ה' אלהיך נכלל בו כל תשע הדברות שאחריו, וגם שם הטעם הוא עבור הנזכר, כי אנכי רומז לבחינת החכמה והכתר נעלם בה, כי אנ""י הוא סוד החכמה בסוד הכתוב <small>(ישעיה מ""ד, ו')</small> אני ראשון ואני אחרון, ואות הכ' רומז אל הכתר הנכלל בה וממילא כוללת כל מה שלמטה ממנה, ועל כן כולן בדיבור אחד נאמרו כי נכללו כולם בדיבור הראשון שהוא אנכי וככל הנאמר. ",
"Be'er Mayim Chaim on Torah, Genesis 1:1:8","ובזה יבוא על נכון אומרו בראשית ברא אלהים את השמים ואת הארץ. כלומר במדה הנקראת ראשית חכמה שהוא המאמר הראשון אשר אמר יוצר כל ""בראשית"", במדה הזו ובדבר ה' הראשון הלז ברא אלהים את השמים ואת הארץ. אמר שני אתין להפריד ביניהם ולא אמר השמים והארץ, לרבות הטפל לשמים והטפל לארץ, כלומר כי כל אשר בשמים ממעל ועל הארץ מתחת הם וכל אשר בהם מה שהיה ומה שעתיד להיות הכל נברא במאמר הלז הנקרא ראשית חכמה, ולכן הוא המאמר הראשון ונקרא בראשית לפי שהוא הראש לכל המאמרים וכל המאמרים הם כמו האברים הנכללים כולם בכח הראש. ",
"Be'er Mayim Chaim on Torah, Genesis 1:1:9","ולכן סופי תיבות בראשי'ת בר'א אלהי'ם אותיות אמת. וסופי תיבות א'ת השמי'ם אותיות תם. וסופי תיבות אלהי'ם א'ת אותיות מת. כי כל עיקר בריאת העולמות היה הכל בשביל האדם, ורמז בכלל הזה כל דרך ומהות אנשים שיהיו עד סוף העולם בשלושה בחינות אלו, שהם: אמת, רמז על אנשי אמת בישראל הדבקים באמיתיות לבבם לה' אלהיהם בלבד. ואותיות תם, על אלו ההולכים בתמימות עם ה'. ואותיות מת, על אנשים הרשעים אשר בחייהן קרוין מתים. וכל אלה צפה הקב""ה בראש הבריאה ונכללו כולם במאמר אחד שהוא הראשית והראש לכל. וגם רמז בפסוק הלז על הגאולה השלימה העתידה לבוא בעת שיהיה ה' למלך על כל הארץ, ואז יהיה ארץ ושמים בבחינה אחת בסוד הכתוב <small>(זכריה י""ד, ט')</small> ביום ההוא יהיה ה' אחד ושמו אחד, וזה שאמר בראשית ברא אלהים את השמים ואת הארץ. כלומר גם זה שיהיו שמים וארץ בבחינה אחת להיות הודו על ארץ ושמים בשוה היות לו דירה בתחתונים כמו בעליונים שזה תכלית כל מעשה שמים וארץ ותקות כל מקוה, הכל נכלל במאמר הראשון הלז. ואחר כך התחיל הקרא לפרש בדרך פרט כל דיבור ודיבור בפני עצמו ויאמר אלהים יהי אור ויהי אור וגו', כאשר נפרש להלן כל הפרשה בעזרת ה' אלהינו עלינו. ",
"Be'er Mayim Chaim on Torah, Genesis 1:1:10","גם ירמוז סופי תיבות פסוקי תורתינו הקדושה בר'א אלהי'ם א'ת אותיות אמ""ת מ""ת, כי ידוע אשר עיקר בריאת העולם היה בכדי להיטיב לבריותיו, והוא ודאי חסד של אמת שאינו מצפה לתשלום גמול כי תבל ומלואה שלו וכל העולם צריכין לאורו, והוא כביכול ברוך הוא וברוך שמו אין צריך לשום בריה והוא דמיון לחסד שעושין עם המתים שהוא חסד של אמת, ועל כן רמז בראשית הבריאה אמת מת לומר כי העולם נבנה בחסד של אמת הגמור דמיון חסד אמת הנעשה עם המת. ",
"Be'er Mayim Chaim on Torah, Genesis 1:1:11","או ירצה לרמז בזה אותיות אמ""ת מ""ת, כי ידוע שתכלית בריאת העולם היה בכדי לתקן שבירת הכלים ומיתת מלכין קדמאין הכתובין בקרא בסוד הכתוב <small>(בראשית ל""ו, ל""א)</small> ואלה המלכים אשר מלכו בארץ אדום וגו' עד וימלוך וימת. והוא נרמז במאמר חז""ל <small>(בראשית רבה ג', ז')</small> במה שאמרו שהיה הקב""ה בורא עולמות ומחריבן עד שברא את אלו ואמר דין הניין לי וכו'. עד כאן. ונאריך בענין זה קצת להלן. על כן רמז בתחילת הבריאה אמ""ת מ""ת, לומר שהבריאה היתה בשביל החסד של אמת שרצה הקב""ה לעשות עם המ""ת, פירוש מאנין תבירין הוא מיתת המלכים הללו, ובכדי לתקנם ולהעלותם למעלה היתה תכלית כל בריאת שמים וארץ. ",1
"Be'er Mayim Chaim on Torah, Genesis 1:1:12","וכן אמר הכתוב אחר כך והארץ היתה תהו ובהו. כי ידוע מה שכתב בליקוטי תורה משם האר""י ז""ל אשר זה קאי על קודם בריאת שמים וארץ שהיתה בחינת שבירת הכלים שהוא תהו ובהו, ורוח אלהים מרחפת רצה לומר מ""ת רפ""ח ניצוצין קדישין אשר נפלו לתוך עמקי הקליפות וצריכין להעלותן ולתקנם, ועל כן בעת הבריאה רצה האל הטוב לעשות עמם חסד של אמת לתקנם ולהחיותם על כן ברא את השמים וארץ העליונים הידועים למביני מדע שהם אבא ואימא כדי שתתעבר זעיר ונוקבא מהם. הכל כידוע. ",
"Be'er Mayim Chaim on Torah, Genesis 1:1:13","לכך בשמים וארץ הללו נברא השמים תחילה, כאשר רמזו חז""ל בלשונם <small>( בראשית רבה א', ט""ו)</small> ר' יוחנן אומר משום חכמים: לבריאה, שמים קדמו. שנאמר בראשית ברא וגו'. לשכלול, הארץ קדמה שנאמר ביום עשות ה' אלהים ארץ ושמים וכו'. עד כאן. והוא רומז אל הנזכר אשר בבריאת השמים וארץ עליונים שהם אבא ואימא, נברא בחינת השמים תחילה, אבל בהולדת זו""נ שהוא בחינת שכלול ויסוד העולם, הארץ תחילה. על דרך מאמר חז""ל <small>(בבא בתרא קמ""א.)</small> בת תחילה סימן יפה לבנים. ",
"Be'er Mayim Chaim on Torah, Genesis 1:1:14","ולפי מה שכתבנו למעלה שרמז בראש הבריאה כל דרך ומהות אנשי ישראל שיעמדו אחר כך, אפשר גם שכללם בבחינת שמים וארץ. כי יש אנשים אשר נקראו בבחינת שמים לצד התגברות בחינת נשמתן הבאה משמים על בחינת גופן הנברא עפר מן האדמה, ולשם זה יקראו שמים. ולהיפך ח""ו כאשר יתגבר באדם בחינת גופו על נשמתו, ההוא יקרא ארץ, כי הוא ממולא בגוש עפר ארץ. ולזה אמר והארץ היתה תהו ובהו כלומר. מי שהוא בבחינת ארץ הוא תהו ובהו ממש לא יראה אור כי יבוא. אבל ויאמר אלהים יהי אור. זה אורה של תשובה כמו שאיתא בליקוטי תורה אם ישוב אל ה' אז ודאי וירחמהו, יפיץ עליו ענן אורו בהילו נרו עלי ראשו. וזה וירא אלהים את האור כי טוב, טוב לשמים וטוב לבריות, תיקון השבירה ותיקון הבריאה. הכל כידוע. ",
"Be'er Mayim Chaim on Torah, Genesis 1:1:15","ב או יאמר הכתוב בראשית ברא אלהים וגו'. ידוע מאמר חז""ל <small>(מדרש רבה מובא למעלה)</small> בית שמאי אומרים שמים נבראו תחילה ואחר כך ארץ משל למלך וכו' ובית הלל אומרים הארץ נבראת תחילה ואחר כך שמים משל למלך וכו', ר' יוחנן אמר משום חכמים לבריאה שמים קדמו לשכלול הארץ קדמה וכו', אמר רבי שמעון בן יוחאי תמיהני איך נחלקו אבות העולם בית הלל ובית שמאי על בריאת שמים וארץ אלא שניהם לא נבראו אלא כאלפס וכסויו שנאמר <small>(ישעיה מ""ח, י""ג)</small> קורא אני אליהם יעמדו יחדיו וכו'. עד כאן. ולהבין דברי חז""ל בזה המאמר כי לכאורה מאי נפקא לן מפלוגתא זו אם זה קדם או זה, ומאי דהוה הוה. ",1
"Be'er Mayim Chaim on Torah, Genesis 1:1:16","אכן מה שנראה בזה הוא, דכיוונו לרמז על שני היחודים הנעשים מידי יום ביומו על ידי תפילת הצדיקים ועשיות המעשים טובים. האחד הוא היחוד מעילא לתתא. להמשיך מאור פני מלך מחיה החיים כל בחינות שפע אור וברכה על כל העולמות שלמעלה ושלמטה עד כנסת ישראל, ומשם על ראש בני ישראל עמו ברכת החיים והשלום שיופיע עלינו מאורו יתברך תמיד בכל עת ובכל שעה יפיץ עלינו ענן אור קדושתו יתברך באורות פנימים ומקיפים לשמרינו מכל צד היות בצל כנפיו נחסה ונתלונן להיות דביקים באור קדושתו יומם ולילה אשר לפניו נעבוד ביראה ופחד בקדושה ובטהרה יתירה ולאהבה אותו ולעבדו בלבב שלם. וממילא נמשך מזה כל בחינת שפע וברכה ברכת בני חיי ומזוני ממזלא דכל מזוני ביה תליין. ",
