masechet,commentary,perek,halakha,page,comment,dh,base text ref,base text,problem,prev found match,next found match,index
Eruvin,"חת""ם סופר",1,0,24a,"@11בשירי קרבן ד""ה ההן אם לא וכו'. @33נעלם ממנו גירסת מלחמות ה' פ""ב דביצה והר""ן והרא""ש פ' מי שאחזו בגיטין הן אם לא כלאחר הוא ע""ש פירושו:","בשירי קרבן ד""ה ההן אם לא וכו'",,,no ref,Jerusalem Talmud Eruvin 3:4:5,,1
Eruvin,"חת""ם סופר",1,0,24a,"@11ר""י בן פזי כו' בסמפון לשיטת ר' מאיר וכו' סדר סמפון כך וכו'. @33עיין בק""ע ותמצא שאינו נכון וכסף קדושין מאן דכר שמיה וכל גדולי האחרונים הקשו שהסמפון הוא תנאי קודם למעשה ועמ""ש בני אהובה פ""ו הל' אישות ה""ד. ונלע""ד בטח מסברא אם בעל התנאי מתנה לטובתו של אידך כגון הבעל מתנה לטובתה ליתן לה מאתים זוז והנה הוא המדבר בדין נתן הוא ואמר הוא והרי זה מעקם שפתיו ואומר תנאי בלשון גרוע היתכן שיהא התנאי בטל שלא יתן לה מאתים ומעשה קידושין קיים ואין לך אומדנא גדולה מזו שלא נתרצית בלי מאתים זוז. והנה זה הבעל התנה ב' תנאים א' לטובתה ליתן לה מוקמת פלן וכל שהוא לטובתה לא בעי דיני תנאי כנ""ל ועוד שאמר ע""מ ולשיטת ירושלמי לרבנן דר' מאיר לא בעי דיני תנאי בע""מ כמו לדידן לרבי. ושוב מתנה תנאי שני אפילו כבר קיים תנאו ונתן לה מאתים זוז עוד התנה וכפל תנאו באם ולא בע""מ והוא מיכנסך ליום פלן וזה איננו לטובתה כי קביעת הזמן אינו מוחלט שהוא לטובתה ע""כ בעי לרבנן תנאי כפול ופריך היא גופא קשיא לימא בתנאי ג""כ ע""מ שאכניסך ליום פלן ולא יצטרך ומשני צריך היה הדבר לכופלו דאי לא היה כופל אלא מכלל על מנת מכניסך אתה שומע אם אינו מכניסך בטלו הקידושין היתה צריכה להחזיר לו המאתים זוז והוא רוצה להתנות שאם לא יבוא יהיה המאתים זוז שלה היינו מיעקר קידושין שהיתה צריכה להחזיר לו הני זוזי ע""כ כפל תנאו. השתא לפ""ז בתנאי הראשון שלא כפל וגם הקדים המעשה לא בעי דיני תנאי. ובתנאי שני שכפל שם עיקור המעשה הוא שיהיה מאתים זוז שלה אין לי עליך כלום ובזה קדם תנאי אי מכניסך למעשה דאין לי עליך כלום וא""ש בעזה""י:","ר""י בן פזי כו' בסמפון לשיטת ר'",,,no ref,,JTmock Eruvin 5:1:18,2
Beitzah,"חת""ם סופר",1,0,8b,"וקרוב לסברה זו בתוס' פסחים ה' ע""א ד""ה ואומר כמ""ש כיון דמתחלת וכו' ע""ש ועיין עוד בפסחים מ""ז ע""א בתוס' ד""ה ואי אמרת וכו' ורש""י פי' וכו' ועיי""ש ואע""ג דאין מהתם ראיה גמורה לדהכא מ""מ סברה גדולה יש לפרש טעמי' דקרא דאך הוא לבדו מטעם הנ""ל כיון שאח""כ כשנגמר המלאכה עדיין אינו מוכן לפניו:","וקרוב לסברה זו בתוס' פסחים ה' ע""א",,,no ref,Jerusalem Talmud Beitzah 1:10:4,JTmock Beitzah 2:1:2,2
Bava Kamma,"חת""ם סופר",1,0,3b,"@11במראה @33הפנים ד""ה יצא אדם בענין מת עכו""ם אי אסור בהנאה עיין במשנה למלך פי""ד מהל' אבל ופ""ח מהל' מאכלות אסורות הי""ח ובס' ברכת הזבח בחידושיו דף ע""א ובחי' חת""ס חולין י""ג ע""ב ד""ה ויצמדו:","במראה הפנים ד""ה יצא אדם בענין מת",,,no ref,JTmock Bava Kamma 9:3:2,JTmock Bava Kamma 3:11:2,0
Kiddushin,"חת""ם סופר",1,0,18a,"@11תמן @33תנינן וכו' ר' בא ר' חונא וכו' ביאור ירושלמי זה עיין בשו""ת חת""ס חלק שביעי סי' ל""ה ד""ה הנה הרמב""ן:",תמן תנינן וכו' ר' בא ר' חונא,,,no ref,Jerusalem Talmud Kiddushin 1:4:10,JTmock Kiddushin 2:9:2,1
Kiddushin,"חת""ם סופר",1,0,30b,"@11ריב""ח @33אמר אדם נותן מעשרותיו בטובת הנאה וכו' ור' יוחנן פליג ושניהם מקרא אחד דרשו ואיש את קדשיו לו יהיה ומסיק דאפילו לר""י מכל מקום מותר למכרה לישראל ליתנה לבן בתו כהן כשירצו הבעלים לתנו לכהן בלא""ה. ופי' פלוגתתם נ""ל דריב""ח סבירא ליה דטובת הנאה בעלמא לא הוה ממון ולא שייך על זה לו יהיה דאיך שייך לו יהיה ואין לו בה אלא טובת הנאה בעלמא שאינו ממון. אע""כ קרא אתא לומר שאינו מחוייב אלא להפריש תרומה ומעשרותיו ואחר שכבר הפרישה יניחנה עד שיבוא כהן או לוי ויתן לו שוויה טובת הנאה נהי דאינו רשאי למוכרו ממש דאם כן אין כאן נתינה מכל מקום על בל תאחר אינו עובר עד שיבוא א' שירצה ליתן לו שוויה טובת הנאה שהיא שוה עפ""י אומד ואם אח""כ מעכבה עובר על בל תאחר אבל קודם לזה אינו מחוייב ליתנה כלל כי התורה זכתה לו בטובת הנאה ממש שיהיה שלו אבל ר""י ס""ל שמחוייב ליתנה ואם מעכבה עובר אבל תאחר. אמנם אחר שכבר הסכימה דעתו ליתנו למי שמזדמן אם יבוא אחד ויפייסנו או יתן לו ממון בטובת הנאה שיתנה לבן בתו הרשות בידו וע""ז שייך נמי לו יהיה. או דס""ל לר""י טובת הנאה כי האי הוה ממון או אפילו דלא הוה ממון מכל מקום שייך ביה לו יהיה אע""ג דלא הוה ממון וקיימא לן כר' יוחנן. ובירושלמי פריך מרישא דמתני' דנדרים אמאי יטלו בע""כ ומשני כתי' הש""ס דבבלי דשוייה עפרא בעלמא דאם לא תאמר הכי תקשי לך סיפא ארישא. וקשה דה""נ ה""ל להקשות מסיפא אר' יוחנן. אע""כ כמ""ש ומסיפא אר""י לק""מ דאפשר דס""ל טובת הנאה ממון ואדרבא הכי ניחא טפי דשייך שפיר לשון לו יהיה וק""ל. ועי' לשון הירושלמי בדמאי פ""ו. @11והן @33אם לא כל אח""ז הוא ופני משה היה לו גירסא אחרת ופי' זר במח""כ. והגי' האמיתית כהרשב""א ור""ן גטין ע""ה ועיין בזה באריכות בשו""ת ח""ס חאה""ע סי' נ""ו:","ריב""ח אמר אדם נותן מעשרותיו בטובת הנאה",Jerusalem Talmud Kiddushin 2:9:2,רבי יוסי בן חנינה אמר אדם נותן מעשרותיו בטובת הנייה. מה טעמא דרבי יוסי בן חנינה (במדבר ה) ואיש את קדשיו לו יהיו. מה עבד לה ר' יוחנן יתנם לכל מי שירצה.,suspect for two comments,,,2
Kiddushin,"חת""ם סופר",1,0,38b,"@11הגע @33בעצמך שהיא כהן. פי' דאז אין לו להאמינו במגו הואיל דבידו לגרשה שהרי כהן הוא מבואר מזה שס""ל כהן המגרש על תנאי ולא נתקיים התנאי אסורה לו ולא תיקשי ממתני' דגטין דפ""א ע""א דאעפ""י שנתנו לו על תנאי ולא נתקיים התנאי לא פסלה מן הכהונה די""ל דס""ל דמשנה דגיטין מיירי בתנאי שאינו מעכשיו אז אם לא נתקיים התנאי אין בו ריח הגט אבל בתנאי דאם ימות אם לא ימות שהוא במעכשיו אפי' לא נתקיים התנאי יש בו ריח הגט. ומש""ס בבלי יומא בפ""ק משמע דלא סבירא ליה כן:",הגע בעצמך שהיא כהן,,,no ref,Jerusalem Talmud Kiddushin 3:8:3,JTmock Kiddushin 4:7:2,5
Peah,"חת""ם סופר",1,0,00,"@11למי @33משלם לעניי אותה העיר. הדא אמרה שהוא מדה""ד. ופי' המפרש דשייך למתני דהכא לכשיחזור ישלם לעניי אותה העיר דוקא שמהם לקט והדא אמרת שמשלם ממדת הדין דאי ממדת חסידות יכול לשלם לכל עני שירצה ע""ש. ונ""ל דיצא להירושלמי כן מלשון לכשיחזור ישלם ולא אמר לכשיבא לביתו או לכשיהיו לו אלא לכשיחזור לאותה העיר שלקח ממנה ישלם לעניי העיר. ולפ""ז הא דאמר בחולין ק""ל תנא תני ישלם ואת אמרת מדת חסידות לישנא קטיעא. נקיט ורוצה לומר תנא תני לכשיחזור דוקא ולא לאיזה עני שירצה ועוד יותר נראה דמלשון ישלם גופיה מוכיח הירושלמי דאי יתן לשאר עניים שלא הפסידם לא שייך לשון תשלומין אלא למי שחיסר מהם ומשלם עתה חסרונם וא""כ א""ש תנא תני ישלם מוכח דצריך דוקא לשלם לאותן עניים עצמן ואת אמרת מדת חסידות וק""ל. @11היה @33הכל יודעים שרוב בני אדם מכנסי לקט אפילו כן אינו נאמן. ופי' בק""ע שאפילו רוב בני אדם מכניסים הלקט לביתם לעשות ממנו קמח מכל מקום אין העני נאמן שנתנו לו קמח ודבר תימה פי' דמ""ט לא יאומן במגו ורוב. יהיה לו לומר רוב בני אדם מכניסים הלקט לביתם ומחלקים שם אבל מ""מ קמח אין מנהגם לעשות ממנו. אבל יותר נ""ל דהנך ב' תיבות בני אדם ט""ס הוא נ""ל רוב מכנסים לקט וכמו שהעתיק הר""ש ור""ל וה""פ אעפ""י שהכל יודעים שרוב מכנסי של עני זה לקט הוא ה""ל שאין לו בביתו אלא רובא לקט וי""ל כל מה שיש בידו מרוב שבביתו פירש מ""מ כיון שאמר שזה איננו ממש שבביתו אלא שקבל מאחר כמות שהוא קמח וזה נגד מנהג העולם שאין מחלקים קמח מש""ה לא מהימן כלל וזה נ""ל ברור:",למי משלם לעניי אותה העיר,Jerusalem Talmud Peah 6:6:7,"ותציל עקורה שאינה עקורה הדא אמרה דבר שהוא ראוי להציל ושכחה שכחה א""ר יונה תיפתר בקוצר שורה ומעמר וכבר שכח את הקמה עד שלא שכח את העומר",suspect for two comments,,,2
Kilayim,"חת""ם סופר",1,0,33b,"@11ר""מ @33קנסא קניס היינו מה שחייב לשלם מדינא דגרמי ס""ל דלאו מדינא אלא מקנסא אבל גוף איסור הפירות מן הדין הוא לר""מ:","ר""מ קנסא קניס היינו מה שחייב לשלם",,,no ref,Jerusalem Talmud Kilayim 2:5:5,JTmock Kilayim 7:4:2,1
Pesachim,"חת""ם סופר",1,0,14a,"@11הפקיר חמצו בי""ג לאחר הפסח מהו ר""י אמר אסור ר""ל אמר מותר וכו'. @33אתייא לר' יוחנן כר' יוסה ור""ל כר""מ. ופירש הרשב""א בתשובה סי' ע' מאן דמתיר כר""מ ומאן דאסר כר""י דבעי ליד זוכה ושוב חזר בו הירושלמי וכ""ע כר""מ וחיישינן להערמה והביאוהו הפוסקים בהל' פסח. ונ""ל דאפילו להס""ד לא הוה ס""ל דלר""י אסור מדינא דא""כ למה פליגי בלאחר לימא עובר בבל יראה אע""כ כהר""ן דאפקעתא דמלכא לא בעי אתי ליד זוכה אלא הוה ס""ד דלר""י אסור מפני מראית עין כיון דבעלמא לא מהני הפקר אא""כ אתי ליד זוכה ואפשר דלא אמרו אלא בהפקר בי""ג ושוב לא ביטלו באור לי""ד אבל בדק וביטל לא ס""ד דאתי לאיחלופי וכהר""ן:","הפקיר חמצו בי""ג לאחר הפסח מהו ר""י",,,no ref,JTmock Pesachim 4:1:12,JTmock Pesachim 4:1:12,0
