Rosh Hashanah 2b:7,מצרים מה יציאת מצרים מניסן אף מלכות שלמה,Meiri on Rosh Hashanah 2b:4,כאן יציאת מצרים גופה מנלן דמניסן מנינן דלמא
Rosh Hashanah 7b:3,רבנן המשכיר בית לחבירו לשנה מונה שנים עשר חודש מיום ליום ואם,Meiri on Rosh Hashanah 7b:1,<b>המשכיר</b> בית לחבירו לשנה מונה שנים עשר חדש מיום ליום ואם אמר
Rosh Hashanah 11a:9,א) ויהי בשמונים שנה וארבע מאות שנה לצאת בני ישראל,Meiri on Rosh Hashanah 11a:1,אומר ברוך שלא חסר בעולמו כלום וברא בו בריות טובות
Rosh Hashanah 12b:5-6,"בנחלתכם הקישו הכתוב לנחלה מה נחלה אין לה הפסק אף מעשר ראשון אין לו הפסק: ולנדרים וכו' ת""ר המודר הנאה",Meiri on Rosh Hashanah 12b:1,המודר הנאה מחבירו לשנה מונה שנים עשר חדש מיום ליום אבל אם אמר לשנה זו אפילו היה בעשרים ותשעה
Rosh Hashanah 16b:3-4,"אחרית וא""ר יצחק אין דנין את האדם אלא לפי מעשיו של אותה שעה שנאמר (בראשית כא, יז) כי שמע",Meiri on Rosh Hashanah 16b:2,<b>אין</b> דנין את האדם אלא לפי מעשיו שבאותה שעה שנאמר כי שמע אלהים את קול הנער באשר הוא
Rosh Hashanah 18a:13-14,"כחיילות של בית דוד אמר רבב""ח א""ר יוחנן וכולן נסקרין בסקירה אחת אמר ר""נ בר יצחק אף",Meiri on Rosh Hashanah 18a:1,נוקפם ועל כסלו מפני חנוכה ועל אדר מפני הפורים וכשבית המקדש קיים היו יוצאין על אייר מפני
Rosh Hashanah 18b:2-3,"מתענין רצו אין מתענין אי הכי ט""ב נמי אמר רב פפא שאני ט' באב",Meiri on Rosh Hashanah 18b:1,הואיל והוכפלו בו צרות ביום התענית שבו חרב הבית בראשונה ובשניה ובו נלכדה ביתר ונחרשה
Rosh Hashanah 20b:5-7,"שאמר אבא אבוה דר' שמלאי מחשבין את תולדתו נולד קודם חצות בידוע שנראה סמוך לשקיעת החמה לא נולד קודם חצות בידוע שלא נראה סמוך לשקיעת החמה למאי נפקא מינה אמר רב אשי לאכחושי סהדי אמר רבי זירא אמר רב נחמן כ""ד שעי מכסי סיהרא לדידן שית",Meiri on Rosh Hashanah 20b:1,"נולד קודם חצות בידוע שנראה סמוך לשקיעת החמה לאחר חצות בידוע שלא נראה סמוך לשקה""ח למאי נפקא מינה לאכחושי סהדי והשלישית עשרין וארבעה שעי מיכסי סיהרא לדידן שית מעתיקא ותמני סרי מחדתא ולדידהו שית מחדתא ותמני סרי מעתיקא למאי נפקא מינה לאכחושי"
Rosh Hashanah 21a:8,אבין לרבא כד חזית דמשכה תקופת טבת עד שיתסר בניסן עברה,Meiri on Rosh Hashanah 21a:2,שנה דכתוב שמור את חדש האביב שמור אביב של תקופה שיהא
Rosh Hashanah 22b:10-11,שעה התקינו שלא יהו מקבלין אלא מן המכירין: <big><strong>מתני׳</strong></big> בראשונה היו משיאין משואות משקלקלו הכותים התקינו,Meiri on Rosh Hashanah 22b:3,שלשים ואחד. <b>וכיצד</b> היו משיאין היו מביאין כלונסות של ארז ארוכים וקנים ועצי שמן ונעורת של
Rosh Hashanah 22b:10-11,שעה התקינו שלא יהו מקבלין אלא מן המכירין: <big><strong>מתני׳</strong></big> בראשונה היו משיאין משואות משקלקלו הכותים התקינו,Meiri on Rosh Hashanah 22b:4,שלשים ואחד. <b>וכיצד</b> היו משיאין היו מביאין כלונסות של ארז ארוכים וקנים ועצי שמן ונעורת של
Rosh Hashanah 22b:12,מביאין כלונסאות של ארז ארוכין וקנים ועצי שמן ונעורת של פשתן וכורך במשיחה ועולה לראש ההר ומצית בהן את האור ומוליך ומביא ומעלה ומוריד עד שהוא רואה את חבירו שהוא עושה כן בראש,Meiri on Rosh Hashanah 22b:4,"ועולה לראש ההר ומדליק ומוליך ומביא מעלה ומוריד עד שיהא חבירו רואה שיעשה כן וכן בראש ההר השני וכן בכלם ומהיכן היו משיאין מהר המשחה ר""ל הר הזיתים לסטרבא ומסטרבא לגרופינא ומגרופינא לחוורן"
Rosh Hashanah 23b:11-12,"ראית את הלבנה לפני החמה או לאחר החמה לצפונה או לדרומה כמה היה גבוה ולאין היה נוטה וכמה היה רחב אם אמר לפני החמה לא אמר כלום ואח""כ היו מכניסין את השני ובודקין",Meiri on Rosh Hashanah 23b:6,"היו בודקין בהם אמר לפני החמה לא אמר כלום פי' על פגימתה כמו שביארנו אח""כ היו מכניסין את השני ובודקין אותו אם נמצאו דבריהם מכוונים עדותן קיימת ואם לאו עדותן בטלה ושאר כל הזוגות שואלין אותם ראשי דברים ולא שצריכין"
Rosh Hashanah 28a:1,מקצת תקיעה קודם שיעלה עמוד השחר ומקצת תקיעה לאחר שיעלה עמוד השחר לא,Meiri on Rosh Hashanah 28a:1,במקצת תקיעה קודם שיעלה עמוד השחר ומקצתה לאחר שיעלה עמוד השחר לא
Rosh Hashanah 28a:7-8,לנפשיה אי הכי מאי למימרא מהו דתימא זמנין דמפיק רישיה ואכתי שופר,Meiri on Rosh Hashanah 28a:3,ושאלו בה מאי למימרא ותירץ מהו דתימא זמנין דמפיק רישיה ואכתי שופר בבור
Rosh Hashanah 28a:14,המודר הנאה משופר מותר לתקוע בו תקיעה של,Meiri on Rosh Hashanah 28a:7,שאין בו ממש הוא. <b>המודר</b> הנאה מחבירו מזה
Rosh Hashanah 28a:14,המודר הנאה משופר מותר לתקוע בו תקיעה של,Meiri on Rosh Hashanah 28a:8,שאין בו ממש הוא. <b>המודר</b> הנאה מחבירו מזה
Rosh Hashanah 28a:16,לאבוה דשמואל כפאו ואכל מצה יצא כפאו מאן אילימא כפאו,Meiri on Rosh Hashanah 28a:19,"שטותו ונשתפה אח""כ אוכל אחר שנשתפה שאין אכילתו בשעת השטות"
Rosh Hashanah 29a:8-9,"בדבר אינו מוציא את הרבים ידי חובתן: <big><strong>גמ׳</strong></big> ת""ר הכל חייבין בתקיעת שופר כהנים ולוים וישראלים",Meiri on Rosh Hashanah 29a:3,ומה שניתוסף עליה בגמרא כך הוא.</b> <b>הכל</b> חייבים בתקיעת שופר כהנים לויים וישראלים גרים ועבדים משוחררים
Rosh Hashanah 29a:8-9,"בדבר אינו מוציא את הרבים ידי חובתן: <big><strong>גמ׳</strong></big> ת""ר הכל חייבין בתקיעת שופר כהנים ולוים וישראלים",Meiri on Rosh Hashanah 29a:4,ומה שניתוסף עליה בגמרא כך הוא.</b> <b>הכל</b> חייבים בתקיעת שופר כהנים לויים וישראלים גרים ועבדים משוחררים
Rosh Hashanah 29b:4-5,"בית דין</strong></big><br><br> מתני׳ <big><strong>יום</strong></big> טוב של ר""ה שחל להיות בשבת במקדש היו",Meiri on Rosh Hashanah 29b:9,"על זה יום טוב של ר""ה שחל להיות בשבת במקדש היו תוקעין"
Rosh Hashanah 29b:5,"במדינה משחרב בהמ""ק התקין רבן יוחנן בן זכאי שיהו",Meiri on Rosh Hashanah 29b:9,בית המקדש התקין רבן יוחנן בן זכאי שיהו תוקעין
Rosh Hashanah 30a:15,בראש ההר קרובה פרט ליושבת חוץ לתחום ויכולה לבוא פרט,Meiri on Rosh Hashanah 30a:3,"י""י אלהיך תאכלנו אלמא שלא בא אלא למעט שעריך אבל"
Rosh Hashanah 31b:13,בר יצחק אמר לשון של זהורית דתניא בראשונה היו קושרין לשון,Meiri on Rosh Hashanah 31b:5,מבפנים ועדין היו מציצין ורואין התקינו שיהו קושרין אותו חציו בסלע
Rosh Hashanah 32b:9,"שתים דברי ר' יוסי ר' יהודה אומר אחת ושוין (תהלים מז,",Meiri on Rosh Hashanah 32b:5,אומרה עם מלכיות או עם שופרות איזה שירצה. <b>תרועה</b> שאין
Rosh Hashanah 32b:9,"שתים דברי ר' יוסי ר' יהודה אומר אחת ושוין (תהלים מז,",Meiri on Rosh Hashanah 32b:6,אומרה עם מלכיות או עם שופרות איזה שירצה. <b>תרועה</b> שאין
