Index Title,The Minor Tractates of the Talmud V2
Version Title,"The Minor Tractates of the Talmud, trans. A. Cohen, London: Soncino Press, 1965"
Language,he
Version Source,https://www.nli.org.il/he/books/NNL_ALEPH002035163/NLI
Version Notes,
"Tractate Gerim, Introduction.1","<small>JUDAISM AND PROSELYTES</small><br/>The Hebrew term for a proselyte is <i>ger</i>, plural <i>gerim</i>. Its original definition is 'an alien' resident in the Holy Land; but when it came to denote a proselyte to Israel's faith, as a consequence of such conversions, the former had to be described differently and he was known as a <i>ger toshab</i>, 'a resident alien'."
"Tractate Gerim, Introduction.2","In the Bible there is abundant evidence that converts were accepted. Apart from the instance of Ruth and what is recorded in Esth. VIII, 17, the legislation mentions them specifically. Ex. XII, 48 directs what is to be done when <i>a stranger shall sojourn with thee</i> who wishes to observe the Passover. He must subject himself to the same restrictions as a born Israelite on the Day of Atonement (Lev. XVI, 29). The law concerning defilement by contact with the dead and the rite of purification applied equally to him (Num. XIX, 10). The regulations concerning certain offerings were the same for him as any other member of the community (<i>ibid.</i> XV, 14)."
"Tractate Gerim, Introduction.3","The hope that Gentiles will ultimately accept the God of Israel is often expressed. A section of Solomon's prayer at the dedication of the Temple is devoted to them (1 Kings VIII, 41-43). References in the prophetical literature are numerous (cf. Isa. II, 2f., XIV, 1, LVI, 3-6; Jer. III, 17, XII, 16; Zech. XIV, 9)."
"Tractate Gerim, Introduction.4","Contrary to the prevailing idea that post-Biblical Judaism all but excluded proselytes from the community, the evidence proves that an almost unceasing stream of converts swelled the ranks of the Jewish people. The testimony of Philo and Josephus on this point is corroborated by Roman writers like Tacitus and Juvenal (on the whole subject, cf. J.E. X, pp. 220-224, G. F. Moore, <i>Judaism</i>, I, pp. 323-353)."
"Tractate Gerim, Introduction.5","Among the Rabbis of the Talmudic era differences of opinion existed on the desirability of accepting converts. On one side is the statement of R. Eleazar, 'The Holy One, blessed be He, did not exile Israel among the nations save in order that proselytes might join them' (Pes. 87b, Sonc. ed., p. 463). At the other extreme is the harsh saying of R. Helbo, 'Proselytes are as hard for Israel [to endure] as a sore' (Yeb. 47b, Sonc. ed., p. 312), playing on the verb in Isa. XIV, 1, <i>The stranger</i> [<i>ger</i>] <i>shall ioin himself</i> [<i>wenispeḥu</i>] <i>with them</i> and the noun <i>sapaḥath</i>, 'a scab' in Lev. XIII, 2."
"Tractate Gerim, Introduction.6","The position is fairly summed up by Professor Moore as follows: 'Speaking generally the tone of the utterances about proselytes is friendly, though not unduly enthusiastic. This is the more to be noted because the Jews' experience with proselytes must at times have been decidedly discouraging. It can hardly be doubted that in perilous times many apostatized. In the outside lands, at least, many went over to Christianity. In the persecution under Hadrian they were under strong temptation to clear their own skirts by turning informers. It would be nothing surprising if under such circumstances the Rabbis should have looked askance at all proselytes. There is, however, little evidence of such a temper' (<i>op. cit.</i>, p. 342)."
