Index Title,Sefer HaShorashim
Version Title,"Sefer HaShorashim, Berlin 1847"
Language,he
Version Source,https://www.nli.org.il/he/books/NNL_ALEPH001750891/NLI
Version Notes,
"Sefer HaShorashim, Introduction 1",אמר דוד בן יוסף קמחי ספרדי כבר כתבתי בתחלת פתיחת <strong>ספר מכלול</strong> הזה בתחלת חלק הראשון מן הספר שהוא חלק הדקדוק סבת השתדלותי בספר הזה.
"Sefer HaShorashim, Introduction 2",והשלמתי החלק הראשון בכל אשר יערתי<strong> </strong>עליו בדקדוק ובשמוש הלשון בניקוד בחסר ויתר לא חסר דבר ביד אלהי הטובה עלי.
"Sefer HaShorashim, Introduction 3","ועתה אחל בחלק השני מן הספר שהוא חלק הענין לבאר כל מלה קשה אשר בספרי תורה נביאים וכתובים חרושה,<strong> </strong>ואשר לא אמצא לו חבר במקרא, אביאוהו מהמשנה או מהגמרא מלשון יון או הגרי, כי כולם מלמדי על לשון עברי כי הוא הקדמון והשלם, אך נתמעט אצלנו, לאורך גלותינו."
"Sefer HaShorashim, Introduction 4","וכן מצאנו רבותי ז""ל שהיו למדים לשון מלשון באמרם (מגילה דף י""ח ע""א) לא הוו ידעי רבנן מאי וְטֵֽאטֵאתִיהָ בְּמַטְֽאֲטֵא הַשְׁמֵד (ישעיהו יד, כג), שמעוה לאמתא דבי רבי דהוות אמרה לחברתה: שקולי טאטיתא וטאטי ביתא... לא הוו ידעי רבנן מאי הַשְׁלֵךְ עַל־י""י יְהָבְךָ (תהלים נה, כג). שמעו לההוא טייעא דקאמר לההוא גברא: שקול יהביך ושדי אגמלאי. ועוד סמכו קצת מצות על לשון אחרת באמרם (ר""ה כ""ו ע""א) מאי משמע דהאי יובל לישנא דדיכרא הוא, דתניא א""ר עקיבא כשהלכתי לערביא היו קורין לדיכרא יובלא. וכן בארבעה בתים של תפילין אמרו <strong>טטפת</strong> (מנחות לד ע""ב) טט בכתפי שתים, פת באפריקי שתים. וכן אמרו למדין לשון מלשון בחדא (בראשית רבה פרשת וישלח פרשה עט) ר' חייא רבה ור' שמעון בר ר' ור' שמעון בר חלפתא שכחון מילין מן התרגום ואתון להדא תגרא דערביא למלפיניה."
"Sefer HaShorashim, Introduction 5",וראיתי לבאר בחלק הענין הזה נקוד קצת המלים אשר בספרי הארץ הזאת משובשים.
"Sefer HaShorashim, Introduction 6","ואני מאשר שקרתי על הספרם המדוייקים אשר הובאו מספרד ספרי הראויים לסמוך עליהם ראיתי להועיל תועלת גדולה לתלמידים בספר הזה ולהאיר מחשך עיניהם ולהסיר עקשות פיהם ולזות שפתותיהם בקריאה. וכן אזכיר נקוד משקל פעל כמו <strong>ארץ, גפן, מלך</strong>, וכן מזה המשקל <strong>שמע, נתח, צמח</strong>, והדומים להם לפי שזה הוא המשקל הגדול שבמשקלי' ולא עמדנו על נקודו כי אם לפי המסורת כפי מה שמצאנו יש בשש נקודות ויש בחמש נקודות, ואע""פ שזכרתי קצתם בחלק הדקדוק אזכירם הנה כמו שיזדמן בכל שרש ושרש אשר ימצא בו."
