id,sefer_id,title_eng,title_heb,intro_eng,intro_heb,range_eng,range_heb,range_start,range_end,parent_id
1,1,God Speaks to Joshua about His New Role,דברי ה' אל יהושע על תפקידו החדש,"Joshua, who had been Moses’ trusted attendant and deputy, now becomes the preeminent leader of Israel. From this point forward, responsibility for leading the people rests squarely upon his shoulders. In order to succeed in his new role, Joshua requires support and encouragement. The technical transfer of authority to Joshua had been performed previously, when Moses was still alive. Now, at the true start of Joshua’s independent leadership, God addresses him directly, with instructions and words of encouragement, promising him that he will succeed in bringing the nation across the Jordan and in inheriting the land. Joshua’s role is not merely political or military; he is also obligated to maintain a constant relationship with God and to cleave wholly to His Torah.","יהושע, שהיה משרתו של משה ועושה דברו, הופך למנהיג העם הבלעדי, שאין איש מעליו. מעתה אחריות ההנהגה כולה מוטלת על כתפיו. לשם עמידה במשימותיו הוא זקוק לחיזוק ולעידוד. העברת הסמכות לידיו נעשתה עוד בחיי משה. עתה, בראשית תקופת הנהגתו העצמאית של יהושע, ה' פונה אליו ישירות, מנחה ומעודד אותו ומבטיח לו שיצליח במעבר הירדן ובירושת הארץ. תפקידו של יהושע אינו פוליטי או צבאי גרידא; הוא מצוּוה לעמוד בקשר מתמיד עם אלוקים ולדבוק בתורתו בשלמות.",Joshua 1:1–9,פרק א פס' א–ט,1,9,NULL
2,1,Joshua’s First Commands in Preparation for Entering the Land,פקודות יהושע לקראת הכניסה לארץ,"Joshua acts without delay. Immediately upon receiving his mission, he instructs the officers and the other leaders to prepare the people for their entrance into the land. Joshua’s orders are transmitted to the people via the officers, rather than by the heads of the tribes, which had been the accepted manner until now. This point marks the beginning of the loosening of the divisions between the tribes, a process that will become increasingly prominent later on. Although the distinctions between the tribes remain intact, and each tribe will receive its own inheritance, the paradigm of each tribe as a complete and independent unit is now weakened. Joshua must also ensure that the tribes of Reuben, Gad, and half of Manasseh, who received their tribal inheritance on the eastern side of the Jordan, fulfill their promise to serve on the army’s front lines. The members of these tribes will be loyal soldiers, and they will work to secure Joshua’s rule and enforce discipline among the rest of the nation.","יהושע פעל באופן מידי.<footnote data-lang=""heb"" data-id=""21"" data-num=""1""/> משהוטלה עליו המשימה, לא המתין אלא תכף הורה לקצינים ולמנהיגים להכין את העם.<footnote data-lang=""heb"" data-id=""22"" data-num=""2""/> הפקודה עברה אל העם דרך השוטרים ולא באמצעות ראשי השבטים, כמקובל עד עתה. מכאן מתחילה התרופפות החלוקה בין השבטים, תהליך שילך ויבלוט יותר בהמשך. אמנם עצם ההבחנה השבטית עומדת על כנה, וכל שבט אף מקבל נחלה לעצמו, אבל מסגרת השבט כיחידה שלמה עצמאית נחלש. יהושע צריך לדאוג גם למימוש התחייבותם של שבטי ראובן, גד וחצי שבט המנשה לעבור חלוצים לפני המחנה. בני השבטים הללו יהיו אנשי צבא נאמנים ליהושע ויבטיחו את ממשלתו בעם ואת הציות לו.",Joshua 1:10–18,פרק א פס' י–יח,10,18,NULL
3,1,The Spies in Jericho,המרגלים ביריחו,"Joshua’s first step taken as leader of Israel is the dispatch of spies to the land of Canaan. His master, Moses, had sent spies on at least two occasions: when he sent the twelve spies to explore the land of Canaan<footnote data-lang=""eng"" data-id=""23"" data-num=""23""/> and when he sent spies to Yazer, an Emorite city.<footnote data-lang=""eng"" data-id=""24"" data-num=""24""/> The twelve spies were sent for strategic reasons: to familiarize themselves with the main roads and to discover the nature of the land and its inhabitants. From their exploration, which lasted forty days, the spies were unable to obtain more detailed intelligence, mostly because they traveled together, at least for part of the time. The dispatch of spies to Yazer was similarly for tactical purposes, in order to find the access routes to that city. By contrast, the spies sent by Joshua are not dispatched for strategic or tactical reasons pertaining to the conquest of Jericho. The mission of these spies is not clearly defined, but their task appears to be similar to that of some modern spies, whose mission is to evaluate the morale of the local population and the strength of their fighting spirit. Although Joshua will receive divine assistance, as God will accompany him with miracles, he must nevertheless gather intelligence about the morale of Jericho’s residents and the other inhabitants of the land in order to evaluate the resistance he will encounter. The inhabitants of the land do not know when Israel will cross into Canaan, nor where they will turn to first in conquest. It may be assumed that the residents of Jericho do not think that their fortified city will be Israel’s first target.","הצעד הראשון שצעד יהושע במסע הנהגתו הוא שליחת המרגלים אל ארץ כנען. משה רבו שלח מרגלים לפחות פעמיים: שנים-עשר המרגלים הידועים ריגלו לצרכים אסטרטגיים – הכרת הדרכים המרכזיות, עמידה על טיבם של הארץ ויושביה וכיוצא באלה. במסעם של אותם מרגלים שארך ארבעים יום, לא יכלו להשיג ידיעות מפורטות יותר, במיוחד מכיוון שהלכו יחדיו, לפחות בחלק מן המסע.<footnote data-lang=""heb"" data-id=""29"" data-num=""1""/> עוד מסופר כי משה שלח מרגלים לעיר יעזר למטרות טקטיות – גילוי דרכי גישה לעיר.<footnote data-lang=""heb"" data-id=""30"" data-num=""2""/> לעומת אלה, המרגלים ששולח יהושע אינם מכוונים בהכרח ליעדים אסטרטגיים או טקטיים הנוגעים לכיבוש יריחו. למשימתם של שני מרגליו של יהושע לא הוגדרה תכלית מעשית מסוימת. ריגול זה דומה לריגול המודרני, המכוון לאמוד את מורל האוכלוסייה המקומית ואת עצמת רוח הלחימה שלה. איש מאנשי הארץ אינו יודע מתי עתידים ישראל להיכנס לארץ, ולאן פניהם מועדות בראשונה. יש להניח שאנשי יריחו לא חשבו שדווקא עירם המבוצרת תהיה העיר הראשונה שתותקף. אף על פי שיהושע יפעל בעזרת כוחו של ה', שילווה אותו גם בדרכים נסיות, הוא זקוק למידע פנימי על תחושותיהם של אנשי יריחו ושל שאר יושבי הארץ על מנת להעריך את עצמת ההתנגדות הצפויה לו.<footnote data-lang=""heb"" data-id=""31"" data-num=""3""/>",Joshua 2:1–24,פרק ב,19,42,NULL
4,1,The Miraculous Crossing of the Jordan,נס צליחת הירדן,"There are great parallels between the splitting of the Jordan and the splitting of the Red Sea. According to some opinions, Israel exited the Red Sea on the same side that they entered. If so, the purpose of this miraculous event had not been to actually cross the sea but to accomplish two other objectives: to utterly destroy the Egyptians, and to reveal God’s miraculous providence over His people. These outcomes were what was truly needed for Israel to embark on its journey into the wilderness. The Jordan is not a large river, and the miraculous splitting of its waters would not be physically necessary for the nation to cross it, but, as with the Red Sea, its splitting is an evident breach of the laws of nature. This open display of God’s intervention in earthly events leads to panic among the inhabitants of Canaan and a weakening of their resolve, while concurrently strengthening the people of Israel. Because of this miraculous event by the Jordan River, the fortitude of Israel is strengthened, and they suddenly become a tangible threat to all the nations of the region.","ייבוש מי הירדן מקביל לקריעת ים סוף.<footnote data-lang=""heb"" data-id=""53"" data-num=""1""/> לפי חלק מהדעות, בני ישראל נכנסו לים סוף ויצאו ממנו באותו צד,<footnote data-lang=""heb"" data-id=""54"" data-num=""2""/> ומכאן שהמופת הזה בא לשם השמדתם הגמורה של המצרים מחד גיסא, ולשם גילוי השגחת ה' על עמו באופן נסי מאידך גיסא. שתי התכליות הללו סייעו לישראל עם יציאתם למדבר. גם בעצירת זרימתם של מי הירדן, אף שהוא אינו נהר גדול, וגם בעמידתם באופן חריג ניכר שידודם של חוקי הטבע. גם המפגן הגלוי הזה שבו התערב ה' במציאות עורר בהלה בקרב עמי הארץ והחליש אותם, ומצד שני העצים את תוקפם של ישראל. ישראל נזקקו לכך שכן אף שהמחנה שלהם כלל אנשי חיל רבים, במשך שנות נדודיהם במדבר הם לא התעמתו עם כוחות זרים ולא רכשו ניסיון צבאי. בעקבות הנס הם התחזקו ואף הפכו לפתע לאיום קרוב מאוד על כל עמי האזור.",Joshua 3:1–5:1,פרק ג – פרק ה פס' א,43,84,NULL
5,1,The First Commandments in the Land,המצוות הראשונות בארץ,"Joshua’s first major act in the Land of Israel concerned the nation’s covenant with God: He had the people fulfill the commandment of circumcision. God had enacted this covenant with Abraham, the patriarch of the nation, when He instructed him to seal the covenant with a sign on his flesh and on that of his sons, promising him: “I will give to you and to your descendants after you the land of your residence, the entire land of Canaan, for an eternal portion; and I will be their God.”<footnote data-lang=""eng"" data-id=""76"" data-num=""76""/> Now, upon the entry of Abraham’s descendants into the Promised Land, Joshua brought them into the covenant of circumcision. Due to their speedy fulfillment of this obligation, the people were also able to perform another divine commandment, that of offering the paschal lamb, a sacrifice that this generation had not yet been able to offer.","פעולתו הראשונה של יהושע בארץ קשורה לבריתו של העם עם אלוקיו – קיום ברית המילה בישראל. ה' כרת ברית זו עם אברהם, אבי האומה. הוא הורה לו לחתמה בבשרם של בניו והבטיח לו: וְנָתַתִּי לְךָ וּלְזַרְעֲךָ אַחֲרֶיךָ אֵת אֶרֶץ מְגֻרֶיךָ אֵת כָּל אֶרֶץ כְּנַעַן לַאֲחֻזַּת עוֹלָם, וְהָיִיתִי לָהֶם לֵאלֹהִים.<footnote data-lang=""heb"" data-id=""87"" data-num=""1""/> עתה, עם כניסת בניו אל הארץ המובטחת, מכניס אותם יהושע בברית המילה. בעקבות זריזותם במצוות המילה נגררה בעקבותיה מצווה נוספת – עשיית קרבן הפסח, מצווה שנבצר מבני הדור הזה לקיימה עד כה.<footnote data-lang=""heb"" data-id=""88"" data-num=""2""/>",Joshua 5:2–12,פרק ה פס' ב–יב,85,95,NULL
6,1,The Conquest of Jericho,כיבוש יריחו,"According to archaeological findings, Jericho was one of the oldest cities in the world, and walls were built around it in different eras.<footnote data-lang=""eng"" data-id=""89"" data-num=""89""/> In Joshua’s time, the wall was thick, strong enough to block any invasion, and the city was also protected by local warriors. Although Joshua intends to confront the military challenge of breaking through the walls of Jericho and conquering the city, God informs him that this will not be necessary; Jericho’s walls will fall not by military action but through a miracle.<footnote data-lang=""eng"" data-id=""90"" data-num=""90""/> This miracle is preceded by a divine revelation to Joshua. Subsequently, the people are warned not to take any spoils of the city for themselves but rather to dedicate all the valuables to God. Joshua also administers an oath to the people that they must commemorate this divine intervention by ensuring Jericho remains in ruins.<footnote data-lang=""eng"" data-id=""91"" data-num=""91""/>","לפי הממצאים הארכיאולוגיים יריחו הייתה אחת הערים העתיקות בעולם, ובתקופות שונות נבנו סביבה חומות.<footnote data-lang=""heb"" data-id=""103"" data-num=""1""/> בתקופת יהושע הייתה חומתה עבה וחזקה דיה לעצירת כל פלישה, מה גם שהגנו עליה גיבורי החיל שישבו בתוכה. לפיכך, למרות שיהושע התכוון להתמודד עם האתגר הצבאי המורכב של הבקעת חומתה של יריחו וכיבושה, בישר לו ה' שהדבר לא ייעשה בפעולה קרבית אלא באופן נסי.<footnote data-lang=""heb"" data-id=""104"" data-num=""2""/> למאורע הנסי הזה קדמה התגלות שמימית ליהושע. בהמשך הוזהר העם שלא ייקח לעצמו מאומה מן העיר, ויקדיש את החפצים יקרי הערך לה', ולבסוף השביע יהושע את העם שינציחו את ההתערבות האלוקית הזאת בהשאירם את יריחו חרבה.<footnote data-lang=""heb"" data-id=""105"" data-num=""3""/>",Joshua 5:13–6:27,פרק ה פס' יג – פרק ו,96,125,NULL
7,1,The Trespass of the Consecrated Property of Jericho,המעילה בחרם יריחו,"Notwithstanding the transition from the supernatural mode of existence in the wilderness to the natural way of life in the Land of Israel, in the first stages of their entry into Canaan the Israelites still remained beyond the laws and limitations of nature. For example, although they could have crossed the Jordan via the fords, they traversed it by means of a miracle that sent shock waves through the surrounding nations. The conquest of Jericho was also miraculous. The following section relates that this pattern is breached by a single individual’s petty act of greed and theft. By taking from the property of Jericho, this person violates Joshua’s command and the trust that was placed in the entire people. As a result, the Israelites suffer a reversal in a battle against an average-sized city they seek to conquer. This hidden act of trespass, and the guilty party, are uncovered through a divine act. The trespasser confesses his sin and is executed in front of the entire nation, while the items he took are destroyed. Thus the evil and the curse of the consecrated items are eradicated, and trust and blessing are restored, so that Israel can continue along its supernatural path.","על אף המעבר מהחיים העל-טבעיים שבמדבר לחיי הארץ הטבעיים, בתקופה הראשונה לכניסתם לכנען עדיין חיו ישראל מעבר לחוקי המציאות ומגבלותיה. הם יכלו לחצות את הירדן על המעברות, אך בפועל עברו אותו באמצעות נס חריג ששִּׁמעו יצא למרחוק. גם כיבוש יריחו התחולל בדרך נס. בעניין שלפנינו נבקע לפתע הקיום הבלתי מציאותי הזה, על ידי מעשה קטנוני של חמדה וגנבה של אדם אחד. כיוון שהפר את מצוות יהושע ומעל בחרם ובאמון שניתן בעם כולו, נחל העם מפלה במלחמתו בעיר לא גדולה שניסה לכבוש. המעילה והמועֵל הנסתרים נחשפו בפעולה שמימית. המועל הודה בחטאו והוקע בנוכחות כל ישראל, ועמו הושמדו חפצי החרם שנלקחו. כך בועַר הרע ועמו קללת החרם, הושב האמון, ושבה הברכה. וישראל המשיכו להתנהל מעל לגדרי הטבע.",Joshua 7:1–26,פרק ז,126,151,NULL
8,1,The Destruction of the Ai,השמדת העי,"After the initial defeat at the Ai, the Israelites received far more detailed instructions for their second campaign. God assured them that the Ai would be conquered, but they were commanded to wage war in a natural manner, with a massive number of troops, through planning and by means of deception. It is likely that Joshua thoroughly prepared for this battle from a tactical perspective in order to accustom his people to fight like all other nations.","לאחר התבוסה הראשונה בעי זקוקים ישראל להוראות מפורטות הרבה יותר באשר למלחמה. ה' מבטיח להם שהעי תינתן בידם, אך הם מצטווים לערוך מלחמה בדרך הטבע – במספר עצום של חיילים, בתכנון ובתחבולות. נראה כי יהושע מכין היטב את הקרב באמצעים טקטיים כדי להרגיל את אנשיו להילחם כדרך כל הארץ.",Joshua 8:1–29,פרק ח פס' א–כט,152,180,NULL
9,1,The Construction of an Altar on Mount Eival and the Ceremony of the Blessings and Curses,בניית מזבח בהר עיבל ומעמד הברכה והקללה,"The victory over the Ai, described in the previous section, is followed by the building of an altar, the writing of the Torah on stones, and a ceremony of the acceptance of the commandments of the Torah by the entire people. All these actions are related in the following section, and together they complete the first stage of war and conquest. Subsequently, Joshua sets out on a series of regular battles.","בניצחון במלחמת העי, שסופר בפירוט בעניין הקודם, ובבניית המזבח, כתיבת התורה על האבנים ומעמד קבלת מצוות התורה על ידי העם כולו, המסופרים בעניין הזה, נשלמת המערכה הראשונה של מלחמת הכיבוש. מכאן יתחילו שלבי המלחמה הסדירה של יהושע.",Joshua 8:30–35,פרק ח פס' ל–לה,181,186,NULL
10,1,The Covenant with the Givonites,הברית עם הגבעונים,"The inhabitants of the land of Canaan lived in small city-states and belonged to a variety of nations, each of which was racially distinct and spoke its own language. Nevertheless, the residents of the land had much in common, especially at this point, with a common enemy hovering over them in the form of the nation of Israel. So long as Israel remained on the eastern side of the Jordan River, the kings of these city-states did not feel particularly threatened. However, after Joshua leads Israel into Canaan and begins to wage war, the threat is far more tangible. In response to the invasion, all the kings of Canaan decide to fight Israel, apart from the inhabitants of the Hivite city of Givon, who take a very different approach. The Hivites living in Givon deceive Joshua and the Israelites; they disguise themselves as people who have arrived from a distant kingdom, with the intention of gaining a covenant of peace with Israel. The trickery of the Hivites enables them to survive, but once their deception is discovered, Joshua appoints them hewers of wood and drawers of water for the congregation and the altar of the Sanctuary.","ארץ כנען הייתה מקבץ של ערי ממלכה קטנות שבהן ישבו עמים רבים שהשתייכו לגזעים שונים ודיברו בשפות שונות. ובכל זאת, ליושבי הארץ היה הרבה מן המשותף. עתה רבץ על כולם כאחד איום משותף – נוכחותם של ישראל. כל עוד שהו ישראל בצדו האחר של הירדן לא חששו המלכים מאוד, אך לאחר שנכנסו יהושע וישראל לארץ ופתחו במלחמה, נעשה האיום ממשי הרבה יותר. כל המלכים החליטו להילחם עם ישראל, ואילו יושבי גבעון בני ממלכת החִווים נקטו צעד אחר. החווים תושבי גבעון הערימו על יהושע וישראל. הם התחזו לעם מרוחק כדי לפתות אותם לכונן עמם ברית שלום. רמאותם של החווים הועילה להם לשרוד, אך משנתגלתה התרמית נתנם יהושע לחוטבי עצים ושואבי מים לעדה ולמזבח.",Joshua 9:1–27,פרק ט,187,213,NULL
