abbrev,expanded,context_before,context_after
דא,ד' אמות,זקופה ולא ילך,בגלוי הראש הגה
גפ,ג' פעמים,לערות עליהם מים,להעביר רוח רעה
לקש,לקריאת שמע,עלתה לו נטילה,ולתפלה אבל לא
בכהג,בכהאי גונא,בבית הכנסת ואפלו,יש נוהגין לסדרה
ויא,ויש אומרים,בציצית אלא מדרבנן,דכלהו חיבים מדאוריתא
אעפ,אף על פי,וקפטאניש ופיריגיש שבתוגרמה,שיש להם ד'
ולרת,ולרבנו תם,יותר מכדי עניבה,לא מכשירים אלא
בכע,בכדי עניבה,ב' ראשים מכשרינן,והלכה כסברא ראשונה
לרה,לרשות הרבים,כהלכתה והיוצא בה,בשבת חיב חטאת
גא,ג' אצבעות,נקרע הטלית תוך,סמוך לשפת הכנף
ויא,ויש אומרים,כל שהוא כשר,דלרב עמרם לא
דלרע,דלרב עמרם,כשר ויש אומרים,לא נפסל אלא
גכ,גם כן,ביום והוא מיחד,ליום ואחר תפלת
יוכ,יום כפור,לברך עליו ובליל,יתעטף בעוד יום
לבהק,לבית הקברות,קבר דינו כנכנס,במקום שנוהגים להסיר
קש,קריאת שמע,תפלין עליו בשעת,ותפלה יכון בהנחתם
שר,של ראש,יד לא שנא,הגה ודוקא בתפלין
סת,ספר תורה,תפלין או לשם,אבל אם עבדו
והאש,והיה אם שמוע,והדק ממנו לפרשת,שהיא יותר גדולה
אוק,אות קטנה,נשתיר ממנו מלא,כשר ואם לאו
ואצ,ואין צריך,ואם לאו פסול,לכסות לו שאר
ואחכ,ואחר כך,דוקא כשנכתב בכשרות,נפסק אבל אם
נכ,"נו""ן כפופה",החרטום ותשאר כצורת,ואחר כך יכתב
וריש,"ורי""ש שעשאה",יכתב מה שגרר,"כמין דלי""ת יש"
והפא,"והפ""א אם","השי""ן והצד""י והעי""ן",נגעו בגוף האות
עפ,על פה,הכתב לא יכתב,שמקרא אותו אחר
השינ,"השי""ן יהיה נראה",אלא שגם שולי,על התפר תתורא
והלממ,והלכה למשה מסיני,אלא בקלף כשר,שיכרך עליה שער
ולרת,ולרבנו תם,בית החיצון לימינו,בבית הג' והיה
אש,אם שמוע,בהם שמע והיה,לא יעשה כן
פי,פושעי ישראל,מניחם הוא בכלל,בגופן מצותן להיותם
קש,קריאת שמע,להיותם עליו בשעת,ותפלה קטן היודע
קש,קריאת שמע,בגוף נקי בשעת,יניח תפלין בין
ויא,ויש אומרים,שכתבם אפיקורוס ישרפו,יגנזו נמצאו ביד
תשר,תפלין של ראש,על ראשו חולץ,עד שיסיר המשאוי
ובבהכ,ובבית הכסא,ואינו נפנה לגדולים,עראי מתר להשתין
לבהכ,לבית הכסא,אם רוצה לכנס,קבוע לעשות צרכיו
ואחכ,ואחר כך,הסליחות מתפללין הסליחות,מברכין על התורה
דת,דברי תורה,במצותיו וצונו על,והערב נא וכו'
ובהכ,ובית הכסא,הדין לשנה ומרחץ,דלא הוי הפסק
עפ,על פה,אתה רשאי לאמרם,כל דבר שרגיל
קש,קריאת שמע,בפי הכל כגון,וברכת כהנים ופרשת
בש,ברוך שאמר,ונהגו לעמד כשאומרים,ויברך דוד וישתבח
ויוט,ויום טוב,מזמור לתודה בשבת,או בימי פסח
פסדז,פסוקי דזמרה,ומצא צבור בסוף,אומר ברוך שאמר
קש,קריאת שמע,אפלו בדלוג יקרא,וברכותיה עם הצבור
וממ,ומכל מקום,של אחריהם הגה,יאמר כל הברכות
אאכ,אלא אם כן,אין לומר ישתבח,אמר ברוך שאמר
בש,ברוך שאמר,אם כן אמר,וקצת פסוקי דזמרה
השצ,השליח צבור,ג' הגה מיהו,אם לא היה
השצ,השליח צבור,בבית הכנסת ימתין,עם ישתבח וישתק
דממ,דמכל מקום,עשה במזיד לא,יצא עליו שם
