Aderet Eliyahu Text,Aderet Eliyah Ref
"<b>בראשית ברא אלהים השמים ואת הארץ. </b>ראוי להשים לב על ל""ב הערות בפרשה ראשונה. א. מדוע לא נאמר בראשונה. ב. הלא כל ראשית הוא סמוך וכאן הוא מוכרת כאשר תראה בהתיר הספיקו'. ג. מדוע לא הזכיר בכל מעשה בראשית רק שם אלהים. ד. שינוי הנמצא בין והארץ היתה בקמץ ובין וליבשה קרא ארץ בסגול. ה. אומרו שנברא השמי' ביום ראשון ואח""כ אמר יהי רקיע ביום שני ומלת יהי מורה על בריאה ולא על חיזוק כמ""ש ויהי אור שמקודם לא היה. ו. צריך להשכיל מהות תהו ובהו וחשך וא""ל שהם נעדרים כי מצינו לרז""ל במס' חגיגה (דף י""ב ע""א) שחשבו עשרה דברים שנבראו ביום ראשון ותהו וחשך ממניינם א""כ המה נבראים ולפי זה צריך להבין ביאור הית' תהו וכו'. ז. מדוע לא נזכר בתהו וכו' וכן במים לשון בריאה. ח. להבין מהו רוח אלהים. ט. מהו פני המים עדין לא הוזכר כלל מים. י. מדוע נאמר פעם ויברא. ופעם יהי. ופעם ויעש. י""א. מהו ויבדל וא""א שהאור והחשך ישתמשו יחד. י""ב. מדוע נאמר ביום ראשון יום אחד. י""ג. מהו ויהי מבדיל שמשמעו לשון ציווי וכן מהו ויעש ויבדל. י""ד. מהו ויהי כן. ט""ו אומרו ביום השני ויקרא אלהי' לרקיע שמים. הלא כבר הזכיר שמי' ביום ראשון. ט""ז. מהו לשון ולמקו'. י""ז. מהו תדש' הארץ דשא עשב. י""ח. מהו שאמ' ויהי כן ואח""כ אמר ותוצא הארץ. י""ט. להבין אומרו ברקי' השמי'. כ. מהו אותו' ומועדי' וכו'. כ""א. במאמ' ויתן אות' אלהים ברקיע לא חשיב לאותו' ולמועדי' וכו'. כ""ב. הלא האור נברא ביום ראשון ומהו המאורות שנבראו ביום רביעי. כ""ג מדוע לא הזכיר בריאה בכוכבים. ואומרו שני המאורות הגדולים ואח""כ אמר את המאור הגדול ואת המאור הקטן. כ""ד. מה זה לשון שרץ נפש חיה ובבהמה לא נאמ' נפש בהמה. כ""ה. מה זה את כל נפש החיה הרמשת אשר שרצו. כ""ו. מה זה ויברך אותם אלהים לאמר פרו ורבו. מהו לאמר. כ""ז. מדוע אמר פרו לשון ציווי. כ""ח. שאמר תוצא הארץ וכו' ויהי כן ואח""כ אמר ויעש וכו'. כ""ט. לשון נעשה אדם. למ""ד. ויאמר אלהים הנה נתתי וכו' והוא א' מעשרה מאמרות וסיים ויהי כן מה הויה היתה ואיזה בריאה נברא בזה המאמר. ל""א. ההבדל שבין עשב זורע זרע ובין ירק. ל""ב. מדוע לא נאמר זרע אצל ירק כמו אצל עשב. ותמצא התירן בביאורו לשכנו תדרשנו כל א' על מקומו. ","Aderet Eliyahu, Genesis 1:1:1"
"<b>בראשית</b> ב' הוא ב' הזמניי. כמו ביום. מפני שהזמן עצמו נברא והב' מורה על עת הבריאה שהיה בחלק הראשון מהזמן הנברא ודע מה שבא מאמר ראשית ולא ראשון. גם שאינו בא כמשפטו להיות דבוק כמו בראשית ממלכת יהויקים כמו שתראה בדברי רש""י ז""ל. אפס אם תתבונן. תשכיל שההכרחי לבוא בתחלת הבריאה מאמר ראשית ולא ראשונה. כי ההבדל בין לשון ראשית. לראשון. הוא. כי מלת ראשון נופל בבחינת זולתו השני לו. אבל יצוייר כי עדיין נמצא זולתו הקודם לו. ד""מ א' ב' ג'. ב' הוא ראשון לג' בערך הג' אפם לא בערך א'. ומלת ראשית הונח להורת על ראשית ההחלטי אשר לא יצוייר דבר נמצא קודם לו. לכן תמצא מאמר דבוק כמו ראשית ממלכת יהויקי' כי שם לא יתכן מלת ראשית לבד. הנופל על ראשית ההחלטי לכן הוא מצורף אל ממלכת יהויקים. כי בערך המשך ממלכתו הוא ראשית לו אפם בתחלת עצם הבריאה לא יתכן לבוא מאמר המצטרף אבל ההכרחי להיות ראשית לבד כי לו משפט הבכורה הקודם לכל הנמצאים בלתי מצורף אל זולתו להוציא מדעת המיני' שאומרי' שהיו ב' חומרים קדמוני' חלילה. ומה שהכריח רש""י ז""ל שהמים קדמו מפני שהשמים נבראי' מאש ומים. סתירתו תראה בפסוקים הבאים:",
"<b>ברא</b> הבינו כל מפרשי הדת. שמורה על דבר מחודש יש מאין אבל מה יאמרו ויברא אלהים התנינים הגדולים. וכן ויברא אלהים את האדם בצלמו. וכן מה שתקנו קדמונינו בכל ברכת הנהנין בורא פרי האדמה. בורא פרי העץ. ונשארה כללם הידוע מעל. ונראה כי תואר הנמצאים נחלקו אל שלש אלה והוא עצם מקרה דבוק. מקרה שאינו דבוק. ד""מ כלי עץ תמצא בו. העץ הוא עצם. תואר השולחן בכמות היא מקרה לכל אשר יחפוץ הפועל יטנו אם להיות קערורות או מרובעות בצלעותיו. וזה המקרה הוא דבוק אל העץ ולא יתפרד ממנו. אפס תקונו ואופן הדרתו הוא מקרה שאינו דבוק. כמו משיחת הששר והוד גוונו. אבל נצמד אליו ונטפל אצלו. ושלשה תנאי הנמצאות נקבו בשמות. בריאה. יצירה. עשיה. מלת בריאה הונח להורות על חידוש העצם. אשר אין בכח הנבראים אפי' כולם חכמים ונבונים לחדשו. כמו הדומם או הצומח וכל מיני מתכיות. יצירה נופל על צורת הדבר בכמות. והוא המקרה הדבוק. עשיה יתכן על תיקון עשיתו. והוא שאינו דבוק. ואצל בריאת האדם נאמר שלש אלה. ויברא אלהים את האדם בצלמו. וייצר ה' אלהים את האדם עפר מן האדמה. ויאמר אלהים נעשה אדם בצלמינו. בריאה לעומת נשמתו צלם אלהים. יצירה על ציור ותואר אבריו. ועשיה על אופן תיקונו הנטפל אליו בשמירת בריאותיו. כמו ויעש ה' אלהים לאדם ולאשתו כתנות עור וילבישם. לכן נאמר ויברא אלהים את התניני' כי הם בבחינת העצ'. וכן תיקנו בור' פרי כי אינו בכח כל הנבראי' לחדשו בעבור שהוא עצם פועל ה'. וכן אמר יוצר אור ובורא חשך עושה שלום מפני שהעצם והמקרה יבחנו. בבחינת דבר מי מהם יקום כמו שראינו בחומר המי' אשר נמצא לו ב' תכונות שונות קר ולח. ולא ידענו איזה מהם עצם ואיזה מהם מקרה. אפס נשכילם כאשר יתפשרו המים אז הקרירות הולך ממנו. רק הלחות לבדו קיים. מזה נדע שהלחות עצם לו ולא הקרירות וכן מזה תבין ותשכיל. בשני תכונות אלו. המנגדים והם אור וחושך ואין ידוע איזה מהם העצם. אפס כאשר חשך השמש בצאתו יעדר האור ונשאר החשך קיים. וכן בעצם היום כשיסוגר הבית והחלונות מבוא האור. יגיע חושך ויתפשט בכל פנות הבית ולא נודע אופן הגעתו. אז תשכיל כי הוא עצם הבריאה. אפס האור דוחה את החושך עד מקום שקרני זיוו הודו מגעת. וכאשר יעדר מקבילו אז נשאר קיים על מתכונתו. לכן על חידוש החושך נאמר בריאה בורא חושך בעבור שהוא חומר עצם שאין כח השכל לידע תוארו. ועל זכות האור מונח מלת יצירה. כי גבול שם לו. לדחות החשך כפי כח ממשלתו והפקת נוגה. כמו צורת הכלי הוא בכמות. כן צורתו הוא בגבולו אשר לא יעבור. ועושה שלום הוא תיקון העולם ומלואו. וזה לשון הזהב של מורי אבא הגאון זצללה""ה. ברא הוא עצם הדבר ואפילו יש מיש כמו כל ברכת הנהנין בורא פרי האדמ' בורא פרי העץ והרבה כיוצא. יצירה הוא ציור הדבר ההוא כמו האברי' באדם וכמותו ואיכותו בגודל ומדתו ועשיה היא תיקון הדבר בשלימותו ואף בדברים שחוץ לגופו כמו ויעש כו' כתנות כו' עשה לי את החיל כו' עשה את כל הכבוד וכיוצא עכ""ל הנבחר. ",
"<b>אלהים</b> הוא מורה על כח המנהיג כל העולם ומלואו. ומביט אל כל מעשיהם. ושם הזה הוא מושאל אל כל מנהיג ומשגיח. כמו עד האלהי' יבוא דבר שניהם. וכן המלאכי' לכן תמצא אצל זה השם אלהי אלהים מפני שכל כוכב במסילו הוא משפיע אל כל העולם. וז""ש רז""ל (פסחים צ""ד א') שכל הישוב כולו תחת כוכב א' יושב. אפס ההשפעות מתחלפות. בהשתנות הכוכבים. הא' משפיע חיים. הב' עושר. הג'. גבורה. ה""ד בנים. וכן כולם. ושיעור ההשפעות כמספר הכוכבים. והש""י הוא אחד באחדות. הוא המשפיע לכל כוכב וכוכב כפי הכשר קבלתו לכן נקרא אלהי אלהים. וז""ש המשורר מונה מספר לכוכבים. לכלם שמות יקרא. גדול אדונינו ורב כח וכו'. כי הש""י ב""ה השגתו לא יגיע לנו כי אם בהבטת מעשה ידיו ופועלו כמ""ש (תהלים ח' ד') כי אראה שמיך מעשה אצבעותיך ירח וכוכבים אשר כוננת וכו'. וכאשר נוכל להשיג כח והנהגת כל כוכב וכוכב. אז נשכיל מה רב כח המשפיע לכל א' וא' וז""ש (תהלים קמ""ז ד') מונה מספר לכוכבי' לכולם שמות יקרא פי' לכל א' יקרא בשם אחר. כפי השתנות פעולתם בעולם השפל כמו שאדם קרא שמות לחיות הארץ. כפי כחם ותכונתם. ואמר דוד ע""ה הבט נא וראה גדול אדונינו ורב כח הנותן לכל כוכב כח מיוחד וכח נקרא אל לכן נקרא אלהים בלשון רבים כי הוא סובל הכל ומשפיע לכל א' וא'. ונקרא אלהי ישראל וכן אלהי אבותינו אברהם יצחק ויעקב לפי שהיו מושגחי' מאתו השגחה פרטיות. וכן ויפלו על פניהם ויאמרו ה' הוא האלהים לפי שהיו מודים בבורא העולם אבל אמרו עזב ה' את הארץ ונטשו ביד המזלות וכשראו שינוי הטבע נפלו על פניהם מפני הכלימה על דעתם המשובשת והודו שה' הוא האלהים המשגיח בפרטות. ושומע בקול עבדו. וזה שאנחנו אומרים ה' אלהינו מלך העולם. עלינו משגיח בפרטות. כמו וידע אלהים ידיעה פרטית ושל חיבה. ועל כל האומות הוא מלך העול' כמ""ש ומלכותו בכל משל' בע""כ שלא בטובת' ולכן נקרא מלך הגוי' כמ""ש מי לא יראך מלך הגוים. וז""ל בלקוטין ח""ג דף קכ""ג א'. אלקים כ""כ בכל מעשה בראשית כי כל מעש' יש בו ב' דברים עצמותו וחיותו. ועצמותו נעשה בשם אלקים וחיותו הוא בשם הויה ב""ה שמחי' את כולם ואין השם שוכן אלא באחד אחר שנכללו כל הבריות. וז""ש הזכיר שם מלא על עולם מל' ר""ל מלא כנ""ל ובתולדת שהעולם מלא ועדיין עשה פעולת חדשות עד והאד' ידע נאמר ה' אלהים עכ""ל הזהב. ובדף קנ""א ב' כתב וז""ל. ברכה כתבו שהיא לשון בריכה והם מאה כמנין אדנים והם הנחלים ההולכים אל הים והם אותיות אלהי""ם והים הוא י""ם מל""א שהוא מאה שמדת הקב""ה שהמלא מחזיק את המלא עכ""ל. ורש""י ז""ל פי' בתחלה עלה במחשבה לברא במה""ד וראה שאין העולם מתקיים שתף עמה מדה""ר. ח""ו אין בו ית""ש שינוי רצון רק סוף המעשה במחשב' תחלה ובי""ה ה' צור עולמים עה""ז ועה""ב. וסוף המעשה הוא עוה""ב והוא בינה וגבורה עלה במחשבה תחלה. וראה שאין העולם מתקיים בלי עולם המעשה ושתף עמה מדת הרחמים עולם חסד יבנה והוא עוה""ז:",
"<b>את</b> מונח להורות על עצם הנפעל. כמו ראובן הכה את שמעון. אם הי' נאמר ראובן הכה שמעון לא נודע מי המוכה ומי המכה. ואת יורה על המוכה והוא שמעון ומה שארז""ל (עיין בתוספת חגיגה י""ב ע""ב שהוא מדרש ופליג אגמרא דידן וע""ש) את השמים לרבות תולדות השמים רבו ספיקותיו א' איך נשמע ממלת את תולדותיהן. שנית. כי מלת את אינו מיותר והוא הכרחי כאשר ביארנו. אך תשכיל כאשר תתבונן. על מה אדני דרשות רז""ל הטבעו. והוא כי כל מלה ושם ופועל. הוא משותף בהבנתו לכמה ביאורים. והפשט מהמל' הוא כפי ביאור המלה לפי המשך ענינה. והדרש. הוא כפי הבנת ביאורו המשותף לו כמו שתרא' במלת את ותוסף לקח במלו' אחרות. כי הבנת מלת את הוא לשני פנים הא' המורה על עצם הנפעל. ואופן ה""ב בהבנת מלת את המורה על דברי המצטרף כמו אתי אתך. ולפי. השקפת ביאורו הפשוט מלת את הכרחי כאן. ודרז""ל הוא כפי הבנת המשותף את השמים. עם השמים ודרשו תולדות השמים. ובזה. יובן דברי המדרש וז""ל ר""י שאל את ר""ע וא""ל בשביל ששמשת את נחום איש ג""ז הדין את דכתיב הכא מהו א""ל אם נאמר בראשית ברא אלהים שמים וארץ. היינו אומרים שמים אלוהות הן א""ל כי לא דבר רק הוא מכם ואם רק הוא מכם למה שאין אתם יודעין לדרוש אלא את השמים לרבות חמה ולבנה ומזלות. ואת הארץ לרבות אילנו' ודשאין וג""ע עכ""ל. בהשקפה ראשונה תשובת ר' ישמעאל בלתי מובן כי ר""ע הראה לו שאינו מיותר והאיך ריבה ממנו. אבל תשובתו תמצא בלשונו הצח. במה שאמר שאין אתם יודעין לדרוש. כי לפי הפשט אינו מיותר והוא הכרחי. אבל לפי הבנתו השנית שהוא מצטרף אין אתם יודעין לדרוש כמו שכתבנו שהדרש יובן מאופן המשותף אל התיבה ודרש לרבות חמה ולבנה וכו' כמו שהי' כתוב עם השמים. ובזה תשכיל דרז""ל (מדרש רבה פרשה ס""ג) ורב יעבוד צעיר זכה כו' מפני שלא נאמר את צעיר או בצעיר לפיכך תלוי בבחירתו:",
"<b>השמים</b> קדמונינו מפרשי הדת הבינו שהוא מלה מורכבת מאש ומים (חגיגה י""ב ע""א) ומה יעשו במלת שמי השמים. וכן בלשון רז""ל שמי קורה. אפס מלת שמי' נגזר משם. המורה על דבר המקבילו מרחוק. לעומתו. כי בשטחית הדבר או בגובהו נמצא שני ראשים הא' הקרוב   אליו. והשנית פאת המקביל. על הראשון. אמר מלת פה. ועל השנית נופל לשון שם. ועל כל נמצא עולם השפל אמר שם במקרה. כפי השתנות הזמנים והמקומות. ד""מ כאשר ישכון האדם בצפון העולם יאמר על צפון. פה. ועל דרום המקבילו. שם. וכאשר יעתיק משכנו לדרום העולם אז יקרא לפאת צפון שם. ומלת שם בעצם. לא נוכל לקרות כ""א על קצה שאין באפשרות להגיע שם והוא הרקיע כמ""ש רז""ל (סוכה ה' ע""א) מעול' לא עלה משה למרום. ושמים הוא לשון גבוה כמו ערים בצורת וגדולת בשמים. וכן בלשון רז""ל שמי קורה. וכן שמי שמים לשון גבוה על כל גבוהים. ומה שהונח שמים לשון רבים כן הוא מדרך לשה""ק לקרו' על חלק א' מחלקי המתאימות בלשון רבים כמו רכב ורחיים יד ידים מפני שהמה נצמדים יחד. כן הרקיעי' ש""ץ המה למספרן יחד יתלכדו ולא יתפרדו:",
"<b>ואת הארץ</b> את הוא מורה על עצם הנפעל. וי""ו הוא ו' העיטוף ודע מה שבא האלף של הארץ קמוצה לא מפני שהו' סוף פסוק כי גם בתחיל' הפסוק והארץ היתה תהו וכו' באה ג""כ קמוצה אפס הקמץ בא להורות שכוונתו לכלול כל הד' יסודות עולם ומלואן עד גלגל השני. וארץ בסגול הונח להורות רק על יסוד העפר והיא היבשה לבדנה. ודע שכל הרקיעים יחד נקראים שמים הוא שם הכולל וכל אחת לבדנה יש לה שם הפרטי. וכן הכוכבים כלם בכלל נקראים כוכבים. וכל א' יש לה שם בפני עצמה כמו ש""צ""ם חנכ""ל. ויש בהן אחת מיוחדת אשר שם הפרטי שוה לשם הכללי והוא מזל כוכב. כן רקיע התחתונה שם הפרעי שלה שוה לשם הכללי ונקרא בעצמה ג""כ שמים. ומה שבא ה""א בתחלת תיבת שמים וארץ. הוא מסוג האמור על העתיד כי בא בתחלתו להורות על ד' פנים. א' הוא הידוע. ב' הוא המפורסם והמקובל. ג' הוא הנגלה. ד' הוא האמור למטה. וכן אמר יום הששי ויום השביעי ולא אמר יום החמישי וזולתן. מפני שיום הששי והשביעי נשנו ונאמרו עוד בתורה כמו והי' ביום הששי והכינו ויהי ביום השביעי יצאו מן העם ללקוט. אל יצא איש ממקומו ביום השביעי. אפס שאר ימי המעשה לא נשנו עוד בכל ספרי אנ""ך לכן לא נכתב בהן ה""א בתחלתן. וכן שמים וארץ נשנו ונאמרו פעמים שונות נכתב ה""א בתחלתן. הביטה וראה ותמצא בפסוק ראשון שבעה תיבות ובהן. כ""ח אותיות. ד' פעמים ז' כנגד ד' עולמות סימנן אבי""ע. בראשית ברא הוא עולם הבריאה. אלקים הוא אצילות ב""ה. את השמים ואת הארץ המה עולמות היצירה והעשי' את השמים יש בהן שבעה אותיות ונחלקו לב' תיבות של ב' וה' אותיות. לכלול שבעה הרקיעי' שנחלקו ג""כ שנים בפני עצמן וחמש בפ""ע ולא פליגי רב יהוד' וריש לקיש במס' חגיגה דף י""ב במציאות אלא שזה חשב בכללות הן נחלקים לשני' השמים ושמי השמים. וזה חשב בפרטות הן נחלקים לשבעה. וארז""ל רקיע שבו חמה ולבנה כוכבים ומזלות שהם חמשה כוכבי לכת ומזלות. והקשו התוכנים הלא נראה שהם קבועים בח' גלגלים ובהן הרבה גלגלים ובאמת כולן נקרא א'. וחמשה רקיעים העליונים המה נבראו ביום ראשון וזהו את השמים שנכללו בו ה' רקיעים. ורקיע נברא ביום ב' שנא' יהי רקיע ובו נתלו המאורות ביום ד' והוא נקרא שמים והשמים שנברא ביום ראשון נקרא שמי שמים לכן נאמר בפרשה הזאת יהי מאורות ברקיע השמים וכן ועוף יעופף על פני רקיע השמים הוא רקיע התחתונה הנקרא שמים שלא לעעות שהוא השמים. הנברא ביום הראשון. ווילון הוא נכלל ברקיע התחתונ' בלילה יוצא לעה""ז וביום הוא נכנס לנרתיק והוא הרקיע. ומה שנחלקו חכמי ישראל עם חכמי האומות (פסחים דף צ""ד ע""ב) אם גלגל קבוע ומזל חוזר או גלגל חוזר ומזל קבוע. וודאי הגלגלים חוזרים כי שמם מוכיח עליהם. וכן אמרו במס' בבא בתרא (דף ע""ד ע""א) גלגלא דרקיע הוא דהדר. אלא שהרקיע שבו הגלגלי' חוזרים הוא קבוע ועומד ובו חלונות שאמרו בוקע חלוני רקיע וכן דלתי' ופתחים כמ""ש ודלתי שמים פתח. וברקיע הזאת סובבים הגלגלים שבהן המזלות ולכן אמרו שהמזלות חוזרים. וצבא השמי' העליוני' שנבראו ביום ראשון לא נזכר במ""ב. כי לא הזכירה התורה בכ""מ רק הנראה לעינים. וכן ג""ע של מעלה ועה""ב לא נזכר בתורה. והראיה שלא חשיב מעשה שמים עליוני' שנבראו ביום ראשון כי אמרו בחגינה י""ב ב' מכדי בשמים אתחיל ברישא מ""ש דקא חשיב מעש' ארץ ולא אמרו מ""ש דקא חשיב מעשה ארץ בריש' אלא שעיקר הקושיא דלא חשיב מעשה שמים הנזכרי' בפסוק ראשון בפרטי' כלל וכלל רק והארץ היתה הוא הכולל עם ארבע היסודות עד גלגל השני. ואת הארץ יש בו ג""כ שבעה אותיו' כנגד שבעה ארצות ושבעה מדורין גהינם והמה חלוקים ג""כ לשנים חמש בפ""ע ושנים בפ""ע כמ""ש (משלי ל' ט""ו) לעלוקה שתי בנות הב הב. ועוד רמז ה' של והארץ על ה' חומרים שחשב בפסוק שני:",
"<b> בבראשית יש ששה פעמים אמת בר""ת ובס""ת כנודע</b>. והנה כל אמת גי' ז' פעמים ס""ג כידוע וא""כ ששה אמת הם מ""ב פעמים ס""ג סוד שם מ""ב שנבראו במעשה בראשית. ועם חסד שהוא השביעית בסוד והוכן בחסד כסאו הם גי' כל ברכת כהנים ודו""ק. ס' עיינין יש בבראשית עד ויכולו נגד ס' גלדי עינא:",
"<b> עשרה דברים נקראו ראשית ג' נקראו ראשי' ובכורי והן עומר ושתי הלחם וביכורים</b>. וג' נקראו ראשית סתם והן חלה ותרומה וראשית הגז. תורה נקרא ראשית דכתי' ראשית דעת. ויראה נקרא ראשית שנא' ראשית חכמ' יראת ה' ומשה ע""ה נקרא ראשית שנא' (פ' הברכה) וירא ראשית לו כי שם חלקת מחוקק ספון. וישראל נקראו ראשית שנא' (ירמי' ב' ב') ראשית תבואתו:",
"<b>בראשית</b> (פסחי' דף פ""ז ע""ב) ד' קנינים קנה הקב""ה תורה וישראל בית המקדש. שמים וארץ. וד' אלו ששה הן כי שמים וארץ הן ב'. ובית המקדש ג""כ ב' של מעל' ושל מטה. והן מרומזין במלת בראשית ב' בית של מטה ר' ראשון הוא בית המקדש של מעלה כמ""ש מרים מראשון א' ארץ ש' שמים. י' ישראל. ת' תורה. וכן מרומזין בו ששה דברי' שקדמו לעולם. ב' בהמ""ק של מעלה ושל מטה כנ""ל. א' אבות ש' שמו של משיח. י' ישראל ת' תורה. ועיין במשלי באריכות. גם מרומזין בו ששה עקרים לעבודת הבורא. ב' בטחון. ר' רצון הבורא. א' אהבה. ש' שתיקה י' יראה. ת' תורה וגם הוא נוטריקון של הפסו' פתחי לי ""אחותי ""רעיתי ""יונתי ""תמתי ""שראשי אותיו' ראשית והב' הוא פתחי לי ונקוד' של בראשית ברא אלהים הוא חמשי' ול""ב ו""ע פי' בראשית ה' נקודות הם חמשים כידוע:",
