Aderet Eliyahu Ref,Aderet Eliyah Text,Torah Ref
"Aderet Eliyahu, Emor 1",ואמרת אלהם,Leviticus 21:1
"Aderet Eliyahu, Emor 2",לנפש לא יטמא בעמיו,Leviticus 21:1
"Aderet Eliyahu, Emor 3",לשארו,Leviticus 21:2
"Aderet Eliyahu, Emor 4",ולאחתו הבתולה,Leviticus 21:3
"Aderet Eliyahu, Emor 5",לאיש,
"Aderet Eliyahu, Emor 6",הקרובה,Leviticus 21:3
"Aderet Eliyahu, Emor 7",אליו,Leviticus 21:3
"Aderet Eliyahu, Emor 8","לה יטמא בע""כ",Leviticus 21:3
"Aderet Eliyahu, Emor 9",לה יטמא,Leviticus 21:3
"Aderet Eliyahu, Emor 10","(ולאביו כו' הכל בלמ""ד דה""לל ואביו ובנו וכו' ואחותו ובזה מתורץ קושית התוס' סוטה ד",
"Aderet Eliyahu, Emor 11","ולא לאחרים עמה ממ""ש בפ' לא יטמא בעל והכי הוא פשטא דקרא אף שטימא לקרובי",
"Aderet Eliyahu, Emor 12","לא יטמא עיין רש""י ז""ל",Leviticus 21:4
"Aderet Eliyahu, Emor 13",להחלו,Leviticus 21:4
"Aderet Eliyahu, Emor 14",להחלו,Leviticus 21:4
"Aderet Eliyahu, Emor 15",לא יקרחה קרחה,
"Aderet Eliyahu, Emor 16","ופאת זקנם כו' עיין רש""י ז""ל",
"Aderet Eliyahu, Emor 17","קדשים עיין רש""י ז""ל",
"Aderet Eliyahu, Emor 18",ולא יחללו שם אלהיהם,Leviticus 21:6
"Aderet Eliyahu, Emor 19",כי את אשי ה',Leviticus 21:6
"Aderet Eliyahu, Emor 20",הם מקריבם,Leviticus 21:6
"Aderet Eliyahu, Emor 21",והיו קדש,Leviticus 21:6
"Aderet Eliyahu, Emor 22",אשה זונה,Leviticus 21:7
"Aderet Eliyahu, Emor 23",ואשה,Leviticus 21:7
"Aderet Eliyahu, Emor 24",גרושה מאישה,Leviticus 21:7
"Aderet Eliyahu, Emor 25",לא יקחו,Leviticus 21:7
"Aderet Eliyahu, Emor 26","וקדשתו עיין רש""י ז""ל",
"Aderet Eliyahu, Emor 27",כי את לחם אלהיך הוא מקריב,Leviticus 21:8
"Aderet Eliyahu, Emor 28",ובת איש כהן כי תחל,Leviticus 21:9
"Aderet Eliyahu, Emor 29","את אביה כו' עיין רש""י ז""ל",
"Aderet Eliyahu, Emor 30",והכהן הגדול מאחיו,Leviticus 21:10
"Aderet Eliyahu, Emor 31",אשר יוצק כו' ומלאכו' אפי' שעה א' לפי שנא' שבעת כו',
"Aderet Eliyahu, Emor 32",ומלא את ידו ללבש את הבגדים,Leviticus 21:10
"Aderet Eliyahu, Emor 33",את ראשו לא יפרע ובגדיו,Leviticus 21:10
"Aderet Eliyahu, Emor 34",לא יפרע לא יפרם,Leviticus 21:10
"Aderet Eliyahu, Emor 35",ועל כל נפשת מת,Leviticus 21:11
"Aderet Eliyahu, Emor 36",לא יבא,Leviticus 21:11
"Aderet Eliyahu, Emor 37",לא יטמא,Leviticus 21:11
"Aderet Eliyahu, Emor 38",ומן המקדש לא יצא,Leviticus 21:12
"Aderet Eliyahu, Emor 39",ולא יחלל,Leviticus 21:12
"Aderet Eliyahu, Emor 40",אלמנה וגרושה,Leviticus 21:14
"Aderet Eliyahu, Emor 41",וחללה,Leviticus 21:14
"Aderet Eliyahu, Emor 42",יקח אשה,Leviticus 21:14
"Aderet Eliyahu, Emor 43","ולא יחלל זרעו אין לי אלא זרעו היא עצמה מניין (קידושין ע""ז ע""א) ת""ל ול",
"Aderet Eliyahu, Emor 44",כי אני ה' מקדשו,
"Aderet Eliyahu, Emor 45",איש מזרעך,
"Aderet Eliyahu, Emor 46",כל איש אשר בו מום,
"Aderet Eliyahu, Emor 47",מזרע אהרן,
"Aderet Eliyahu, Emor 48",כי מום בו,
"Aderet Eliyahu, Emor 49",להקריב לחם אלהיו,
"Aderet Eliyahu, Emor 50",כל לרבות מום עובר,
"Aderet Eliyahu, Emor 51",עור,
"Aderet Eliyahu, Emor 52",חרס,
"Aderet Eliyahu, Emor 53",תבלל,
"Aderet Eliyahu, Emor 54",כל החסר בעין,
"Aderet Eliyahu, Emor 55",גרב,
"Aderet Eliyahu, Emor 56",לחם אלהיו מקדשי הקדשים,
"Aderet Eliyahu, Emor 57",אך אל הפרכת,
"Aderet Eliyahu, Emor 58",וידבר משה אל אהרן,Leviticus 21:17
"Aderet Eliyahu, Emor 59",אמר אליהם,
"Aderet Eliyahu, Emor 60","אשר יקרב עיין רש""י ז""ל אזהרה לאכילת קדשים בטומאה מכאן אמרו דבר שיש לו מתירי",
"Aderet Eliyahu, Emor 61",אל הקדשים,
"Aderet Eliyahu, Emor 62",וטמאתו עליו,
"Aderet Eliyahu, Emor 63",מזרע אהרן,
"Aderet Eliyahu, Emor 64",עד אשר יטהר,
"Aderet Eliyahu, Emor 65",מזרע אהרן כו' בקדשים לא יאכל,Leviticus 21:21
"Aderet Eliyahu, Emor 66",או בכל שרץ,Leviticus 22:5
"Aderet Eliyahu, Emor 67",לכל טמאתו,Leviticus 22:5
"Aderet Eliyahu, Emor 68",מן הקדשים,Leviticus 22:6
"Aderet Eliyahu, Emor 69",ובא השמש וטהר,Leviticus 22:7
"Aderet Eliyahu, Emor 70",כי לחמו הוא,Leviticus 22:7
"Aderet Eliyahu, Emor 71","נבילה וטריפה עיין רש""י ז""ל",Leviticus 22:8
"Aderet Eliyahu, Emor 72",משמרתי,Leviticus 22:9
"Aderet Eliyahu, Emor 73","ולא ישאו עליו חטא יכול על הטומאה ת""ל עליו",
"Aderet Eliyahu, Emor 74",ומתו בו,Leviticus 22:9
"Aderet Eliyahu, Emor 75",כי יחללהו,Leviticus 22:9
"Aderet Eliyahu, Emor 76",אני ה' מקדשם,
"Aderet Eliyahu, Emor 77",וכל זר,Leviticus 22:10
"Aderet Eliyahu, Emor 78",וכהן כי יקנה,Leviticus 22:11
"Aderet Eliyahu, Emor 79",קנין כספו הוא,Leviticus 22:11
"Aderet Eliyahu, Emor 80",ויליד,Leviticus 22:11
"Aderet Eliyahu, Emor 81",הם יאכלו,Leviticus 22:11
"Aderet Eliyahu, Emor 82",בלחמו,Leviticus 22:11
"Aderet Eliyahu, Emor 83","לאיש זר עיין רש""י ז""ל מניין אלמנה לכ""ג גרושה וחלוצה לכהן הדיוט ת""ל לאיש ז",
"Aderet Eliyahu, Emor 84",היא בתרומת הקדשים,Leviticus 22:12
"Aderet Eliyahu, Emor 85",ובת כהן כי תהיה אלמנה וגרושה,Leviticus 22:13
"Aderet Eliyahu, Emor 86",ובת,Leviticus 22:13
"Aderet Eliyahu, Emor 87",ושבה אל בית אביה,Leviticus 22:13
"Aderet Eliyahu, Emor 88",ובת כהן כי תהיה אלמנה וגרושה,
"Aderet Eliyahu, Emor 89",חמשיתו עליו,Leviticus 22:14
"Aderet Eliyahu, Emor 90",איש,
"Aderet Eliyahu, Emor 91",בשגגה,
"Aderet Eliyahu, Emor 92",ויסף חמשתו עליו,Leviticus 22:14
"Aderet Eliyahu, Emor 93",אותם,Leviticus 22:16
"Aderet Eliyahu, Emor 94",באכלם את קדשיהם,Leviticus 22:16
"Aderet Eliyahu, Emor 95",כי אני ה' מקדשם,
"Aderet Eliyahu, Emor 96",ישראל,Leviticus 22:18
"Aderet Eliyahu, Emor 97",אשר יקריבו,Leviticus 22:18
"Aderet Eliyahu, Emor 98",לעלה,Leviticus 22:18
"Aderet Eliyahu, Emor 99",לרצנכם,Leviticus 22:19
"Aderet Eliyahu, Emor 100","תמים זכר עיין רש""י ז""ל",Leviticus 22:19
"Aderet Eliyahu, Emor 101",אשר בו מום,Leviticus 22:20
"Aderet Eliyahu, Emor 102",לא תקריבו,Leviticus 22:20
"Aderet Eliyahu, Emor 103",זבח שלמים,Leviticus 22:21
"Aderet Eliyahu, Emor 104",תמים יהיה לרצון עשה,Leviticus 22:21
"Aderet Eliyahu, Emor 105",לא תקריבו,Leviticus 22:22
"Aderet Eliyahu, Emor 106",ואשה לא תתנו,Leviticus 22:22
"Aderet Eliyahu, Emor 107",אלה,
"Aderet Eliyahu, Emor 108",מהם,Leviticus 22:22
"Aderet Eliyahu, Emor 109",על המזבח,Leviticus 22:22
"Aderet Eliyahu, Emor 110",לה',
"Aderet Eliyahu, Emor 111",ושור ושה,Leviticus 22:23
"Aderet Eliyahu, Emor 112",נדבה תעשה אתו,Leviticus 22:23
"Aderet Eliyahu, Emor 113",ומעוך וכתות ונתוק וכרות,Leviticus 22:24
"Aderet Eliyahu, Emor 114",לא תקריבו את לחם אלהיכם,Leviticus 22:25
"Aderet Eliyahu, Emor 115",שור כי יולד,
"Aderet Eliyahu, Emor 116",שור או כשב,Leviticus 22:27
"Aderet Eliyahu, Emor 117",או עז,Leviticus 22:27
"Aderet Eliyahu, Emor 118",כי יולד,Leviticus 22:27
"Aderet Eliyahu, Emor 119",והיה שבעת ימים,Leviticus 22:27
"Aderet Eliyahu, Emor 120",ומיום השמיני,Leviticus 22:27
"Aderet Eliyahu, Emor 121",ירצה אשה,
"Aderet Eliyahu, Emor 122",לה',
"Aderet Eliyahu, Emor 123",ושור או שה אותו ואת בנו לא תשחטו ביום אחד,Leviticus 22:28
"Aderet Eliyahu, Emor 124",לא תשחטו,Leviticus 22:28
"Aderet Eliyahu, Emor 125",וכי תזבחו וכו' ביום ההוא יאכל,
"Aderet Eliyahu, Emor 126",ושמרתם,Leviticus 22:31
"Aderet Eliyahu, Emor 127",ועשיתם,Leviticus 22:31
"Aderet Eliyahu, Emor 128",אני ה',
"Aderet Eliyahu, Emor 129",ולא תחללו,Leviticus 22:32
"Aderet Eliyahu, Emor 130",ונקדשתי,Leviticus 22:32
"Aderet Eliyahu, Emor 131","ענין ג' רגלים שם הוי""ה ז' ימי הפסח וז' ימי חג ב' ההין פסח לתת",
"Aderet Eliyahu, Emor 132",אשר תקראו,Leviticus 23:2
"Aderet Eliyahu, Emor 133",מועדי ה',
"Aderet Eliyahu, Emor 134",אשר תקראו אתם,Leviticus 23:2
"Aderet Eliyahu, Emor 135","ומניין שראש ב""ד (ר""ה כ""ד ע""א) אומר מקודש ת""ל וידבר משה את מועדי ה' ומניי",
"Aderet Eliyahu, Emor 136","ששת ימים עיין רש""י ז""ל",Leviticus 23:3
"Aderet Eliyahu, Emor 137",וביום השביעי כו' כל מלאכה,Leviticus 23:3
"Aderet Eliyahu, Emor 138",כל מלאכה,Leviticus 23:3
"Aderet Eliyahu, Emor 139",בכל מושבתיכם,Leviticus 23:3
"Aderet Eliyahu, Emor 140",בין הערבים,Leviticus 23:5
"Aderet Eliyahu, Emor 141",שבעת ימים מצות תאכלו,Leviticus 23:6
"Aderet Eliyahu, Emor 142",מקרא קודש,Leviticus 23:7
"Aderet Eliyahu, Emor 143",כל מלאכ' עבודה,Leviticus 23:7
"Aderet Eliyahu, Emor 144","והקרבתם כו' אם אין פרים כו' עיין רש""י ז""ל ואם אין לך בטהרה הבא בטומא",
"Aderet Eliyahu, Emor 145",כי תבאו,Leviticus 23:10
"Aderet Eliyahu, Emor 146",את קצירה,Leviticus 23:10
"Aderet Eliyahu, Emor 147",קציר,Leviticus 23:22
"Aderet Eliyahu, Emor 148",אל הכהן והניף,
"Aderet Eliyahu, Emor 149","והניף כו' לפניה' במזרח (מנחות ס""א ע""א)",
"Aderet Eliyahu, Emor 150",לרצנכם,
"Aderet Eliyahu, Emor 151",ממחרת השבת,
"Aderet Eliyahu, Emor 152",יניפנו הכהן,
"Aderet Eliyahu, Emor 153",ביום הניפכם,
"Aderet Eliyahu, Emor 154",את העמר כבש,
"Aderet Eliyahu, Emor 155",ומנחתו שני עשרני',
"Aderet Eliyahu, Emor 156",ולחם וקלי וכרמל,
"Aderet Eliyahu, Emor 157",לחם קלי וכרמל,
"Aderet Eliyahu, Emor 158",חקת עולם,
"Aderet Eliyahu, Emor 159",בכל משבתיכם,
"Aderet Eliyahu, Emor 160",וספרתם לכם,
"Aderet Eliyahu, Emor 161",ממחרת השבת,
"Aderet Eliyahu, Emor 162",מיום הביאכ' את עמר תספרו,
"Aderet Eliyahu, Emor 163",תספרו נ' יום,
"Aderet Eliyahu, Emor 164",חמשים יום,
"Aderet Eliyahu, Emor 165",והקרבתם מנחה חדשה,
"Aderet Eliyahu, Emor 166",ממושבתיכם,
"Aderet Eliyahu, Emor 167",תביאו,
"Aderet Eliyahu, Emor 168",שתים,
"Aderet Eliyahu, Emor 169",שני עשרוני' סלת,
"Aderet Eliyahu, Emor 170",חמץ תאפינה,
"Aderet Eliyahu, Emor 171",והקרבתם על הלחם שבעת כבשים,
"Aderet Eliyahu, Emor 172",על לחם הבכרים,
"Aderet Eliyahu, Emor 173",ועשיתם שעיר עזים,
"Aderet Eliyahu, Emor 174",ושני כבשים בני שנה לזבח שלמים,
"Aderet Eliyahu, Emor 175",קדש יהיו,
"Aderet Eliyahu, Emor 176","ובקצרכם כו' עיין רש""י ז""ל",Leviticus 23:22
"Aderet Eliyahu, Emor 177",אני ה' אלהיכם זו מלכיות,Leviticus 23:22-23
"Aderet Eliyahu, Emor 178",אני ה' אלהיכם זו מלכיות מפסוק דלעי',
"Aderet Eliyahu, Emor 179",שבתון,Leviticus 23:24
