Aderet Eliyahu Ref,Aderet Eliyah Text,Torah Ref
"Aderet Eliyahu, Ha'Azinu 1",האזינו השמים וגו',Deuteronomy 32:1
"Aderet Eliyahu, Ha'Azinu 2",יערף כמטר וגו',Deuteronomy 32:2
"Aderet Eliyahu, Ha'Azinu 3",יערף כמטר,Deuteronomy 32:2
"Aderet Eliyahu, Ha'Azinu 4","כי שם ה' אקרא וגו' דרשו רז""ל מכאן שעונים ב' ש' כ' מ' ל' ו",
"Aderet Eliyahu, Ha'Azinu 5",הצור תמים וגו',Deuteronomy 32:4
"Aderet Eliyahu, Ha'Azinu 6",צדיק וישר הוא,Deuteronomy 32:4
"Aderet Eliyahu, Ha'Azinu 7",כי כל דרכיו משפט,
"Aderet Eliyahu, Ha'Azinu 8",שחת לו,Deuteronomy 32:5
"Aderet Eliyahu, Ha'Azinu 9",לא בניו,Deuteronomy 32:5
"Aderet Eliyahu, Ha'Azinu 10",דור עקש,Deuteronomy 32:5
"Aderet Eliyahu, Ha'Azinu 11",ופתלתל,
"Aderet Eliyahu, Ha'Azinu 12",דור עקש ופתלתל,Deuteronomy 32:5
"Aderet Eliyahu, Ha'Azinu 13",הליו' תגמלו זאת,Deuteronomy 32:6
"Aderet Eliyahu, Ha'Azinu 14",עם נבל,Deuteronomy 32:6
"Aderet Eliyahu, Ha'Azinu 15",ולא חכם,Deuteronomy 32:6
"Aderet Eliyahu, Ha'Azinu 16",הלוא הוא אביך קנך הוא עשך ויכננך,Deuteronomy 32:6
"Aderet Eliyahu, Ha'Azinu 17",זכר ימות עולם,Deuteronomy 32:7
"Aderet Eliyahu, Ha'Azinu 18",בהנחל עליון גוים,Deuteronomy 32:8
"Aderet Eliyahu, Ha'Azinu 19",בהפרידו בני אדם,Deuteronomy 32:8
"Aderet Eliyahu, Ha'Azinu 20","פ""א בהנחל עליון פי' הקב""ה שהוא עליון על הכל",
"Aderet Eliyahu, Ha'Azinu 21",בהפרידו בני אדם,Deuteronomy 32:8
"Aderet Eliyahu, Ha'Azinu 22",יצב גבלת עמים למספר בני ישראל,Deuteronomy 32:8
"Aderet Eliyahu, Ha'Azinu 23",למספר בני ישראל,Deuteronomy 32:8
"Aderet Eliyahu, Ha'Azinu 24",כי חלק ה' עמו יעקב חבל נחלתו,Deuteronomy 32:9
"Aderet Eliyahu, Ha'Azinu 25","ד""א חלק ה' עמו זה א""י",
"Aderet Eliyahu, Ha'Azinu 26",ימצאהו בארץ מדבר,Deuteronomy 32:10
"Aderet Eliyahu, Ha'Azinu 27",וזכר כאן ה' דברים,
"Aderet Eliyahu, Ha'Azinu 28",ילל,Deuteronomy 32:10
"Aderet Eliyahu, Ha'Azinu 29",ישמן,Deuteronomy 32:10
"Aderet Eliyahu, Ha'Azinu 30",כנשר יעיר קנו על גוזליו ירחף יפרש כנפיו יקחהו ישאהו על אברתו,Deuteronomy 32:11
"Aderet Eliyahu, Ha'Azinu 31",יפרש כנפיו,Deuteronomy 32:11
"Aderet Eliyahu, Ha'Azinu 32",ישאהו על אברתו,Deuteronomy 32:11
"Aderet Eliyahu, Ha'Azinu 33",ה' בדד ינחנו ואין עמו אל נכר,Deuteronomy 32:12
"Aderet Eliyahu, Ha'Azinu 34","ד""א בדד ינחנו",
"Aderet Eliyahu, Ha'Azinu 35",ואין עמו אל נכר,
"Aderet Eliyahu, Ha'Azinu 36",ירכבהו על במותי ארץ,Deuteronomy 32:13
"Aderet Eliyahu, Ha'Azinu 37",ויאכל תנובת שדי,Deuteronomy 32:13
"Aderet Eliyahu, Ha'Azinu 38",ירכבהו על במיתי ארץ,
"Aderet Eliyahu, Ha'Azinu 39",ויאכל תנובת שדי,Deuteronomy 32:13
"Aderet Eliyahu, Ha'Azinu 40",וינקהו דבש מסלע,Deuteronomy 32:13
"Aderet Eliyahu, Ha'Azinu 41",ושמן מחלמיש צור,Deuteronomy 32:13
"Aderet Eliyahu, Ha'Azinu 42",חמאת בקר הם הלכות,
"Aderet Eliyahu, Ha'Azinu 43",חלב צאן,Deuteronomy 32:14
"Aderet Eliyahu, Ha'Azinu 44",חלב כרים,Deuteronomy 32:14
"Aderet Eliyahu, Ha'Azinu 45",ודם ענב תשתה חמר,Deuteronomy 32:14
"Aderet Eliyahu, Ha'Azinu 46",שמנת עבית כשית,Deuteronomy 32:15
"Aderet Eliyahu, Ha'Azinu 47",ויטש אלוה עשהו וינבל צור ישועתו,Deuteronomy 32:15
"Aderet Eliyahu, Ha'Azinu 48",יקנאהו בזרים,Deuteronomy 32:16
"Aderet Eliyahu, Ha'Azinu 49",בתועבת יכעיסהו,Deuteronomy 32:16
"Aderet Eliyahu, Ha'Azinu 50",יזבחו לשדים,Deuteronomy 32:17
"Aderet Eliyahu, Ha'Azinu 51",לא שערום אבתיכם,Deuteronomy 32:17
"Aderet Eliyahu, Ha'Azinu 52",ויח' צור ילדך תשי,Deuteronomy 32:18
"Aderet Eliyahu, Ha'Azinu 53",וירא ה' וינאץ מכעס בניו,Deuteronomy 32:19
"Aderet Eliyahu, Ha'Azinu 54",ויאמר אסתירה פני מהם וגו',Deuteronomy 32:20
"Aderet Eliyahu, Ha'Azinu 55",אראה מה אחריתם,Deuteronomy 32:20
"Aderet Eliyahu, Ha'Azinu 56",כי דור תהפכת המה,Deuteronomy 32:20
"Aderet Eliyahu, Ha'Azinu 57",לא אמן בם,Deuteronomy 32:20
"Aderet Eliyahu, Ha'Azinu 58",הם קנאוני וגו',Deuteronomy 32:21
"Aderet Eliyahu, Ha'Azinu 59",בגוי נבל אכעיסם,Deuteronomy 32:21
"Aderet Eliyahu, Ha'Azinu 60",כי אש קדחה באפי וגו',Deuteronomy 32:22
"Aderet Eliyahu, Ha'Azinu 61",ותיקד עד שאול תחתית,Deuteronomy 32:22
"Aderet Eliyahu, Ha'Azinu 62",ותאכל ארץ ויבלה,Deuteronomy 32:22
"Aderet Eliyahu, Ha'Azinu 63",ותלהט מוסדי הרים,Deuteronomy 32:22
"Aderet Eliyahu, Ha'Azinu 64","ועוד העה""ז נחלק לד' חלקים",
"Aderet Eliyahu, Ha'Azinu 65",אספה עלימו רעות חצי וגו',Deuteronomy 32:23
"Aderet Eliyahu, Ha'Azinu 66",אספה עלימו,Deuteronomy 32:23
"Aderet Eliyahu, Ha'Azinu 67",מזי רעב וגו' ולחמי רשף,Deuteronomy 32:24
"Aderet Eliyahu, Ha'Azinu 68",וקטב מרירי,Deuteronomy 32:24
"Aderet Eliyahu, Ha'Azinu 69",גם בחור גם וגו',Deuteronomy 32:25
