Aderet Eliyahu Ref,Aderet Eliyah Text,Torah Ref
"Aderet Eliyahu, Vayikra 1","ויקרא וידבר הקדים קריאה לדיבור למדך תורה ד""א שלא ידבר לחבירו אא""כ קורהו והוא (ביומ",
"Aderet Eliyahu, Vayikra 2","ויאמר משה משה שאין ת""ל ויאמר מלמד שכל הקריאות היו משה משה",
"Aderet Eliyahu, Vayikra 3",אליו למעט את אהרן,
"Aderet Eliyahu, Vayikra 4","ומנין להוציא אף משמיעות הקול את ישראל וזקנים ובני אהרן ואהרן ת""ל קול לו",
"Aderet Eliyahu, Vayikra 5",מאהל מועד,Leviticus 1:1
"Aderet Eliyahu, Vayikra 6","מאהל מועד יכול מכל הבית ת""ל מעל הכפרת יכול מעל הכפרת כלה ת""ל מבין שנ",
"Aderet Eliyahu, Vayikra 7",לאמר מכאן לאומר דבר לחבירו שהוא בבל יאמר עד כו',
"Aderet Eliyahu, Vayikra 8",דבר אל בני ישראל ואמרת אלהם אדם,Leviticus 1:2
"Aderet Eliyahu, Vayikra 9",כי יקריב רשות,Leviticus 1:2
"Aderet Eliyahu, Vayikra 10",מכם,Leviticus 1:2
"Aderet Eliyahu, Vayikra 11","קרבן לה' שיקדים הקדישו להקרבתו שלא יאמר לה' עולה עאכ""ו שאין מזכירין ש""ש לבטלה",
"Aderet Eliyahu, Vayikra 12",מן הבהמ' ולא חיה ואין לך בבהמ' אלא בקר וצאן,
"Aderet Eliyahu, Vayikra 13","תקריבו עיין רש""י ז""ל",
"Aderet Eliyahu, Vayikra 14","אם עלה קרבנו מן הבקר ומנין שינהגו בתמורה ת""ל אם",
"Aderet Eliyahu, Vayikra 15",לפני ה' וסמך,
"Aderet Eliyahu, Vayikra 16",ידו על ראש העלה ונרצה לו לכפר עליו,Leviticus 1:4
"Aderet Eliyahu, Vayikra 17",לכפר,Leviticus 1:4
"Aderet Eliyahu, Vayikra 18","עליו רש""א את שהוא עליו חייב באחריותו ואת שאינו כו'",
"Aderet Eliyahu, Vayikra 19",ושחט את בן הבקר וגו',Leviticus 1:5
"Aderet Eliyahu, Vayikra 20",ושחט את בן הבקר,Leviticus 1:5
"Aderet Eliyahu, Vayikra 21",ושחט,Leviticus 1:5
"Aderet Eliyahu, Vayikra 22",את בן הבק' לפני ה' ואין השוחט לפני ה',
"Aderet Eliyahu, Vayikra 23","והקריבו עיין רש""י ז""ל",
"Aderet Eliyahu, Vayikra 24",את הדם,Leviticus 1:5
"Aderet Eliyahu, Vayikra 25",אשר פתח אהל מועד,Leviticus 1:5
"Aderet Eliyahu, Vayikra 26",והפשיט את העלה ונתח אתה לנתחיה,Leviticus 1:6
"Aderet Eliyahu, Vayikra 27","עולת חובה ועולת צאן ושל נשים ושל גרים ועבדים ונכרים ושנשחט שלא לשמה מנין ת""",
"Aderet Eliyahu, Vayikra 28","ונתנו בני אהרן אר""י מנין להצתת אליתא שלא תהא אלא בכהן כשר ובכלי שרת ת""",
"Aderet Eliyahu, Vayikra 29",הכהן,Leviticus 1:7
"Aderet Eliyahu, Vayikra 30","ונתנו כו' אש על המזבח אע""פי שהאש יורדת מן השמים מצוה להביא מן ההדיוט",
"Aderet Eliyahu, Vayikra 31","עצים על האש ולא אש על עצים רש""א לרבות שני גזרי עצים לתמיד של בי",
"Aderet Eliyahu, Vayikra 32","וערכו בני אהרן יכול אפי' מאה ת""ל וערך",
"Aderet Eliyahu, Vayikra 33",על העצים אשר על האש,Leviticus 1:8
"Aderet Eliyahu, Vayikra 34",אשר על המזבח,Leviticus 1:8
"Aderet Eliyahu, Vayikra 35",וקרבו וכרעיו,Leviticus 1:9
"Aderet Eliyahu, Vayikra 36","ירחץ יכול מה רחיצה בארבעים סאה אף כאן בארבעים סאה ת""ל במים מים כל שהן",
"Aderet Eliyahu, Vayikra 37",עלה לשם עולה,
"Aderet Eliyahu, Vayikra 38",אשה לשם אישים,
