Aderet Eliyahu Ref,Aderet Eliyah Text,Torah Ref
"Aderet Eliyahu, Bereshit 1",בראשית ברא אלהים השמים ואת הארץ,Genesis 1:1
"Aderet Eliyahu, Bereshit 2",בראשית ב' הוא ב' הזמניי,
"Aderet Eliyahu, Bereshit 3",ברא הבינו כל מפרשי הדת,
"Aderet Eliyahu, Bereshit 4",אלהים הוא מורה על כח המנהיג כל העולם ומלואו,
"Aderet Eliyahu, Bereshit 5",את מונח להורות על עצם הנפעל,
"Aderet Eliyahu, Bereshit 6","השמים קדמונינו מפרשי הדת הבינו שהוא מלה מורכבת מאש ומים (חגיגה י""ב ע""א) ומה יעש",
"Aderet Eliyahu, Bereshit 7",ואת הארץ את הוא מורה על עצם הנפעל,
"Aderet Eliyahu, Bereshit 8","בבראשית יש ששה פעמים אמת בר""ת ובס""ת כנודע",
"Aderet Eliyahu, Bereshit 9",עשרה דברים נקראו ראשית ג' נקראו ראשי' ובכורי והן עומר ושתי הלחם וביכורים,
"Aderet Eliyahu, Bereshit 10","בראשית (פסחי' דף פ""ז ע""ב) ד' קנינים קנה הקב""ה תורה וישראל בית המקדש",
"Aderet Eliyahu, Bereshit 11","ברא ב' קמצין וכל קמץ י""ו הם ל""ב",
"Aderet Eliyahu, Bereshit 12","בראשית ברא אלהים גי' אל""ף ר' לבד ה""ב של בראשית",
"Aderet Eliyahu, Bereshit 13","רש""י אר""י לא הי' צריך להתחיל אלא מהחדש הזה לכם",
"Aderet Eliyahu, Bereshit 14",והארץ היתה תהו ובהו וחשך על פני תהו' ורוח אלהי' מרחפ' על פני המי' כב,Genesis 1:2
"Aderet Eliyahu, Bereshit 15",ורוח אלהים,Genesis 1:2
"Aderet Eliyahu, Bereshit 16","ויאמר אלקי' יהי אור בפר""א ארז""ל שמים מהיכן נבראו מאור לבושו של הקב""ה והרמב""ם ז""",
"Aderet Eliyahu, Bereshit 17","ויהי אור ארז""ל בחגיגה (דף י""ב ע""א) אור שברא הקב""ה ביום ראשון אדם צופה ומבי",
"Aderet Eliyahu, Bereshit 18",וירא אלהי' את האור כי טוב,Genesis 1:4
"Aderet Eliyahu, Bereshit 19",ויבדל אלהים כו' שהיו נצמדים כשני חצאי כדורים האור מלמעלה והחשך מלמט',
"Aderet Eliyahu, Bereshit 20",ויקרא אלהי' לאור יום ולחש' קרא ליל' ויהי ערב ויהי בקר יום א' ערב הו,Genesis 1:5-6
"Aderet Eliyahu, Bereshit 21","ורז""ל אמרו מדת יום ומדת לילה יום יש לו ב' פנים בהבנתו",
"Aderet Eliyahu, Bereshit 22",את אברהם מרבה שרה,
"Aderet Eliyahu, Bereshit 23",ויאמר אלהים יהי רקיע בתוך המים ויהי מבדיל בין מים למים,Genesis 1:6
"Aderet Eliyahu, Bereshit 24",הרקיע הוא חצי כדור עם מים התחתונים,
"Aderet Eliyahu, Bereshit 25",ויעש אלהי' את הרקיע,Genesis 1:7
"Aderet Eliyahu, Bereshit 26",ויקרא אלהים לרקיע שמים,Genesis 1:8
"Aderet Eliyahu, Bereshit 27",יקוו המים,Genesis 1:9
"Aderet Eliyahu, Bereshit 28","אל מקום אחד בפר""א פרק חמישי אמרו כשיצא הדיבור מפי הגבורה יקוו המים עלו מקצו",
"Aderet Eliyahu, Bereshit 29",ותראה היבשה מפני שכבר ידעת שיסוד המים הוא מעורב עם החול ויבחן אחרי ירידת גשמי,
"Aderet Eliyahu, Bereshit 30",ליבשה ארץ,Genesis 1:10
"Aderet Eliyahu, Bereshit 31",תדשא הארץ,Genesis 1:11
"Aderet Eliyahu, Bereshit 32",אשר זרעו בו,Genesis 1:11
"Aderet Eliyahu, Bereshit 33",ותוצא הארץ רבו בו השינוים,Genesis 1:12
"Aderet Eliyahu, Bereshit 34",כי טוב אחר שהוציאה הארץ נגלה תועליותיה כי טוב,
"Aderet Eliyahu, Bereshit 35","יהי מאורות ולא נאמר אורות ביאורו לשון חלונות כמו מאורת צפעוני (ישעי' י""א) מפני כאש",
"Aderet Eliyahu, Bereshit 36",לאותות זה ממשלת השמש שכל השבוע מחובר מימים,
"Aderet Eliyahu, Bereshit 37",והיו למאורת ברקיע השמים להאיר על הארץ ויהי כן,Genesis 1:15
"Aderet Eliyahu, Bereshit 38",ויעש אלהי' את שני המאורו' הגדולי' בערך הכוכבי' המה שניהם גדולים,
"Aderet Eliyahu, Bereshit 39",ואת הכוכבים,Genesis 1:16
"Aderet Eliyahu, Bereshit 40",ולמשל ביום ובלילה ולהבדיל בין האור ובין החשך וירא אלהים כי טוב ולא הזכי' כא,Genesis 1:18-19
"Aderet Eliyahu, Bereshit 41",והיו לאותות ולמועדי' ולימים ולשנים מפני שאף אם לא היו נתוני' ברקיע היו קביעות המועדי,
"Aderet Eliyahu, Bereshit 42",ויאמר כו' שרץ נפש חי',Genesis 1:20
"Aderet Eliyahu, Bereshit 43",ויברא וכו',Genesis 1:21
"Aderet Eliyahu, Bereshit 44",ואת כל נפש חי' הרומשת אשר שרצו המים,Genesis 1:21
"Aderet Eliyahu, Bereshit 45",ויברך וכו' פרו נתן בהם כח ההולדה לפרות ולהשאיר מינם,
"Aderet Eliyahu, Bereshit 46",ויאמר אלהים וכו' הזכיר כאן הארץ בקמץ,
"Aderet Eliyahu, Bereshit 47",נפש חי',Genesis 1:24
"Aderet Eliyahu, Bereshit 48",ורוח הוא החיוני,
"Aderet Eliyahu, Bereshit 49","והוי""ו נוספת והוא סמוך אל הארץ לפי שגדלה ממנו שלא ע""י אמצעי כבהמות הישוב",
"Aderet Eliyahu, Bereshit 50",ויעש ביאורו שעשה גוף לכל נפש ונפש למינה לפי כח ועצם וטבע כל נפש כ,
"Aderet Eliyahu, Bereshit 51","למינהו נכתב באות ה' וי""ו",
"Aderet Eliyahu, Bereshit 52",ויאמר אלהים כו',Genesis 1:26
"Aderet Eliyahu, Bereshit 53","נעשה אדם ביאורו מפני שהאדם נברא אחרון לכל הנבראים לכן אמר הקב""ה אל כל הנבראי",
"Aderet Eliyahu, Bereshit 54","ומ""ש בצלמו ביאורו בצלם הראוי לפי נשמתו",
"Aderet Eliyahu, Bereshit 55",ויברא כו' בצלמו ביאורו בצלם הגבוה והמעולה בצלם אלהים,
"Aderet Eliyahu, Bereshit 56","(יבמות ס""ב ע""ב)",
"Aderet Eliyahu, Bereshit 57",ויברך וכו' ויאמר להם אנהי' כל המאמרות הראשונות,
"Aderet Eliyahu, Bereshit 58",וכבשה ביאורו שיעשו עמה כפי מגמת לבם,
"Aderet Eliyahu, Bereshit 59",ורדו' כו' כבר ביארנו,
