Aderet Eliyahu Ref,Aderet Eliyah Text,Torah Ref
"Aderet Eliyahu, Re'eh 1",ראה,Deuteronomy 11:26
"Aderet Eliyahu, Re'eh 2",לפניכם,Deuteronomy 11:26
"Aderet Eliyahu, Re'eh 3",נתן,
"Aderet Eliyahu, Re'eh 4",את הברכה,Deuteronomy 11:27
"Aderet Eliyahu, Re'eh 5",והקללה אם לא תשמעו,Deuteronomy 11:28
"Aderet Eliyahu, Re'eh 6",את הברכה והקללה,
"Aderet Eliyahu, Re'eh 7",מן הדרך,Deuteronomy 11:28
"Aderet Eliyahu, Re'eh 8",אשר אנכי מצוה אתכם היום ללכת אחרי אלהים אחרים,Deuteronomy 11:28
"Aderet Eliyahu, Re'eh 9",והיה כי יביאך ה' אלהיך,Deuteronomy 11:29
"Aderet Eliyahu, Re'eh 10",ונתתה את הברכה על הר גרזים,Deuteronomy 11:29
"Aderet Eliyahu, Re'eh 11",הלא המה בעבר הירדן וגו',Deuteronomy 11:30
"Aderet Eliyahu, Re'eh 12",בארץ הכנעני הישב בערבה וגו',
"Aderet Eliyahu, Re'eh 13",אחרי דרך מבוא השמש,Deuteronomy 11:30
"Aderet Eliyahu, Re'eh 14",הישב,Deuteronomy 11:30
"Aderet Eliyahu, Re'eh 15",בערבה,Deuteronomy 11:30
"Aderet Eliyahu, Re'eh 16",כי אתם עברים וגו',Deuteronomy 11:31
"Aderet Eliyahu, Re'eh 17",וירשתם אתה וישבתם בה,Deuteronomy 11:31
"Aderet Eliyahu, Re'eh 18",ושמרתם לעשו',
"Aderet Eliyahu, Re'eh 19",את כל החקים,
"Aderet Eliyahu, Re'eh 20",ושמרתם לעשות,Deuteronomy 11:32
"Aderet Eliyahu, Re'eh 21",אלה החקים והמשפטים וגו',Deuteronomy 12:1
"Aderet Eliyahu, Re'eh 22",אלה הם החקי' והמשפטי',
"Aderet Eliyahu, Re'eh 23",לעשות בארץ,Deuteronomy 12:1
"Aderet Eliyahu, Re'eh 24",אבד תאבדון,Deuteronomy 12:2
"Aderet Eliyahu, Re'eh 25",את כל המקומת,Deuteronomy 12:2
"Aderet Eliyahu, Re'eh 26",אלהיהם על ההרים,Deuteronomy 12:2
"Aderet Eliyahu, Re'eh 27",ועל הגבעות,Deuteronomy 12:2
"Aderet Eliyahu, Re'eh 28",ותחת כל עץ רענן,Deuteronomy 12:2
