Aderet Eliyahu Ref,Aderet Eliyah Text,Torah Ref
"Aderet Eliyahu, Mishpatim 1",שפטים ושטרים תתן לך,
"Aderet Eliyahu, Mishpatim 2",אשר ה' אלהיך נתן לך,
"Aderet Eliyahu, Mishpatim 3",ושפטו את העם משפט צדק,Exodus 22:22
"Aderet Eliyahu, Mishpatim 4",ושפטו את העם,
"Aderet Eliyahu, Mishpatim 5",לא תטה משפט לא תכיר פנים,Exodus 23:6
"Aderet Eliyahu, Mishpatim 6",ולא תקח שחד,Exodus 23:8
"Aderet Eliyahu, Mishpatim 7",כי השחד יעור עיני חכמים,
"Aderet Eliyahu, Mishpatim 8",ויסלף דברי צדיקים,Exodus 23:8
"Aderet Eliyahu, Mishpatim 9",צדק צדק תרדף,
"Aderet Eliyahu, Mishpatim 10",צדק צדק,
"Aderet Eliyahu, Mishpatim 11",למען תחיה וירשת את הארץ,
"Aderet Eliyahu, Mishpatim 12",צדק צדק תרדף,
"Aderet Eliyahu, Mishpatim 13",לא תטע לך אשרה,
"Aderet Eliyahu, Mishpatim 14",אשר תעשה לך,
"Aderet Eliyahu, Mishpatim 15",ולא תקים,
"Aderet Eliyahu, Mishpatim 16",אשר שנא ה' אלהיך,
"Aderet Eliyahu, Mishpatim 17",אשר שנא,
"Aderet Eliyahu, Mishpatim 18",לא תזבח לה' אלהיך שור ושה וגו',
"Aderet Eliyahu, Mishpatim 19",רע,
"Aderet Eliyahu, Mishpatim 20",הוא,
"Aderet Eliyahu, Mishpatim 21",אופן שנ,
"Aderet Eliyahu, Mishpatim 22",שפטים ושטרים וגו' ושפטו את וגו',
"Aderet Eliyahu, Mishpatim 23",לא תטה משפט,
"Aderet Eliyahu, Mishpatim 24",לא תכיר פנים,
"Aderet Eliyahu, Mishpatim 25",ולא תקח שחד,
"Aderet Eliyahu, Mishpatim 26",כי השחד יעור עיני חכמים,
"Aderet Eliyahu, Mishpatim 27",ויסלף דברי צדיקים,Exodus 23:8
"Aderet Eliyahu, Mishpatim 28",לא תזבח לה' אלהיך וגו',
"Aderet Eliyahu, Mishpatim 29",הוא,
"Aderet Eliyahu, Mishpatim 30",כי ימצא וגו',
"Aderet Eliyahu, Mishpatim 31",בקרבך,
"Aderet Eliyahu, Mishpatim 32",באחד שעריך,
"Aderet Eliyahu, Mishpatim 33",באחד שעריך,
"Aderet Eliyahu, Mishpatim 34",לעבר בריתו,
"Aderet Eliyahu, Mishpatim 35",לעבר בריתו,
"Aderet Eliyahu, Mishpatim 36",וילך ויעבד,
"Aderet Eliyahu, Mishpatim 37",אשר לא צויתי,
"Aderet Eliyahu, Mishpatim 38",והגד לך וגו',
"Aderet Eliyahu, Mishpatim 39",נעשתה התועבה הזאת,
"Aderet Eliyahu, Mishpatim 40",בישראל,
"Aderet Eliyahu, Mishpatim 41",והוצאת את האיש ההוא או את האשה וגו' אל שעריך,
"Aderet Eliyahu, Mishpatim 42","הוא נידון בסנהדרי קטנה פרט לעיר הנידחת או שבט שעבד ע""ז שצריך סנהדרי גדולה",
"Aderet Eliyahu, Mishpatim 43",ההוא,
"Aderet Eliyahu, Mishpatim 44",הדבר הרע,
"Aderet Eliyahu, Mishpatim 45",את האיש או את האשה,Exodus 23:10
"Aderet Eliyahu, Mishpatim 46",וסקלתם,
"Aderet Eliyahu, Mishpatim 47",על פי שנים עדים או וגו',
"Aderet Eliyahu, Mishpatim 48",יומת המת,
"Aderet Eliyahu, Mishpatim 49",יומת המת,
"Aderet Eliyahu, Mishpatim 50",על פי עד אחד,
"Aderet Eliyahu, Mishpatim 51",יד העדים תהיה בו בראשנ' וגו',
