Quoting Ref,Quoted Ref,Score,Quote Num,Snippet
"Kad HaKemach, Redemption 1:3",Jeremiah 30:2,-40,0,) כה אמר ה' נותן שמש לאור יומם אם ימושו החקים האלה מלפני נאם ה' גם
"Kad HaKemach, Redemption 1:3",Jeremiah 35:13,-40,0," רז""ל על מקרא זה אם קציפה אית סברא ואם מאיסה לית סברא, פרשה שלישית (ירמיה לה) הנה ימים באים נאם ה' ונבנתה העיר על תלה ממגדל חננאל עד שער הפנה"
"Be'er Mayim Chaim, Exodus 1:11:3",,-40,0,"עוד יתבאר הכתוב, כי הנה מתוספות (חגיגה ח'.) משמע שכל מס האמור בתורה הוא מס אנשים (וכן הסכימו הרמב""ן הקדוש ו"
"Commentary on Sefer Hamitzvot of Rasag, Positive Commandments 99:6",,-40,0," הראשונים ז""ל. ועי' בטוש""ע (או""ח סי' תרל""ט) ולדעת הריטב""א ז""ל (סוף פ""ב דסוכה. כ""ט ע""א) למאי דמסקינן דשפיכת קיתון היינו הרב לעבד איכא איסורא בישיבת סוכ"
"Torah Temimah on Torah, Leviticus 25:46:7",,-40,0," י""ד, לבד הפרטים המבוארים בדרשה הסמוכה, בכולן הוקש דין עבדים לקרקע. .(מגילה כ""ג ב') "
"Torah Temimah on Torah, Leviticus 25:46:5",,-40,0," ואכ""מ, ובארנו עוד מזה בפ' תצא בפסוק בנים אשר יולדו להם, יעו""ש. .(ב""ב ק""י ב') "
"Torah Temimah on Torah, Leviticus 25:46:1",Kiddushin 16a:1,-41.71563477017573,0," ולפי מש""כ הנה טעם הדרשה שלפנינו הוא רק מלשון והתנחלתם, כמבואר. .(קדושין ט""ז א') "
Rashi on Psalms 30:12:1,Genesis 24:32,-40,0,"פתחת. אלאק""ש בלע""ז, כמו (בראשית כד) ויפתח את הגמלים, ור""ד כל המזמור על מרדכי ואסתר והמן, בפסיקתא זו"
"Torah Temimah on Torah, Leviticus 25:46:8",Kiddushin 22b:10,-40,0," כנענים משום שכל עבדים נקראים על שם כנען דכתיב ביה עבד עבדים (פ' נח). .(קדושין כ""ב ב') "
Metzudat Zion on Psalms 125:5:2,,-40,0,"עקלקלותם. ענין עקמימות כמו ארחות עקלקלות (שופטים ה):

"
"Torah Temimah on Torah, Exodus 28:42:2",,-40,0," והוא מגונה, אלא היה החלל רחב ותלוי למטה ועי' ברש""י עוד פי' בזה. .(נדה י""ג ב׳)
"
Metzudat Zion on Isaiah 65:8:2,,-40,0,באשכול. ענף מגרגרי ענבים כמו ואשכול ענבים (במדבר יג): 
Boaz on Mishnah Oholot 12:9,,-40,0," ואפ""ה הצריך שיהיה להיקף העמוד כ""ד טפחים. וכן בדין. ע""פ מ""ש הרמב""ם (עירובין פ""א מ""ה) שמה שאחז""ל דכל שיש ברחבו טפח צריך להקיפו ג' טפחים אינו בדקדוק."
Boaz on Mishnah Oholot 12:9,Eruvin 14a:18,-40,0," דבאמת צריך להקיפו ג""ט ושביעית בקירוב [ובזה נ""ל ליישב מה דאמרינן (עירובין י""ד א') מה""מ דכשיש ברחבו טפח יש בהקיפו ג""ט. ויליף לה מים של שלמה. וק' "
Boaz on Mishnah Oholot 12:9,,-40,0," חוקקין להשלים טע""ט לחשבו אויר. עכ""פ ק""ל הרי סתם מתניתין ר""מ היא (כסנהדרין פ""ו א') ור""מ הא ס""ל בזרק בשבת ברה""ר ונח בחור כ""ש שבכותל דחייב מדס""ל חו"
Boaz on Mishnah Oholot 12:9,,-40,0," טפחים. אע""ג שאין בחלול הצואר טע""ט ס""ל חוקקין להשלים (כרש""י ותוס' חולין קכו""א) ומשוינן לה אהל. ואע""ג דלא קיי""ל התם כר""מ עכ""פ מדסתם מתניתין ר"
Or HaChaim on Deuteronomy 14:13:1,Chullin 61a:1,-40,0,") על עוף אחד שאינו ניכר שהוא נשר שחוששין שהוא מין נשר, הרי שיש לנ"
Haggahot and Marei Mekomot on Tractate Kallah Rabbati 10:1:7,,-40,0,"(ט""ס כאן ועי' עירובין י""ט א' וסוף חגיגה):"
Rashba on Bava Batra 137b:3,,-40,0," ז""'ל ודעת הרב אלפסי ז""ל, וכבר כתבתיה בארוכה בגיטין בפרק מי שאחזו (גיטין, עה) בסייעתא דשמיא."
"Meshech Hochma, Tetzaveh 5",,-40,0,"וחשב אפודתו אשר עליו וכו' יתכן ע""ד רמז דאמרו אפד מכפר על ע""ז (זבחים דף פ""ח), ומחשבה אצל עו""ג הוי כמעשה כמוש""כ סוף פרק קמא דקדושין, וזה שאמר"
Metzudat Zion on Proverbs 24:13:1,,-40,0,ונופת. ענין הזלה ונטיפה כמו ונופת צופים (תהלים יט): 
"Torah Temimah on Torah, Leviticus 14:35:3",,-40,0," שהוספנו במוסגר כ""ה ביומא י""א ב', וע' מש""כ לעיל בפ' הקודם אות קי""א.
.(ערכין ט""ז א')
"
"Torah Temimah on Torah, Leviticus 14:35:6",,-40,0," הדין, וממילא לאור הנר מותר, ואין ראיה מנגעים שהוא גזה""כ, ודו""ק.
.(מו""ק ח' א')
"
"Torah Temimah on Torah, Leviticus 14:35:7",,-40,0," שעה מעין הבדולח מה שהערנו בשינוי הגירסות ומפסקו של הרמב""ם שהבאנו.
.(נדרים נ""ו א')
"
"Yismach Moshe, Shmini 5:1",Pesachim 90b:10,-40,0," נקט סבר לה כר' עקיבא, דאלו כדברי רבי יצחק היה נשאר קושית התוספת (פסחים צ' ע""ב ד""ה שחל) דילמא בששי, אבל על רבי יצחק גופיה לא קשה דילמא בששי, דה"
"Pri Tzadik, Vaera 13:1",,-40,0," בתרין אתוון אתברין עלמין עלמא דין ועלמא דאתי. והוא כעין דרשת הגמ' (מנחות כט :) העוה""ז בה""י והעולם הבא ביו""ד. עלמא דין מלכות ועלמא דאתי בינה."
"Pri Tzadik, Vaera 13:1",Shabbat 55a:12,-40,0,") חותמו של הקב""ה אמת ובמד' (ב""ר פ' פא) א' בראשון של אותיות מ""ם בא"
"Torah Temimah on Torah, Deuteronomy 18:13:1",,-40,0," שלפנינו משמע כרמב""ן דתמים תהיה מצוה היא, וכ""מ מדרשה הבאה מספרי.
.(פסחים קי""ג ב')
"
Rashba on Bava Metzia 35a:8,Bava Batra 139a:21,-40,0," לה ולבעלה הדמים, אין הבעל מחזיר הקרקע, דכלוקח שויוה רבנן מעתה (עי' ב""ב קלט, א), דאלו שויוהו יורש, השתא מיהא לא ירש הוא דהא לא מתה איתתא, ומהדר"
Metzudat Zion on Ezekiel 8:17:1,Joshua 10:10,-40,0,הנקל. באה הה״א במקום אשר וכן ההלכוא אתו (יהושע י): 
Metzudat Zion on Isaiah 19:24:1,,-40,0,"לישיה. מל׳ שלש או יתכן שהוא מענין ממשלת ונסיכות כמו ומבחר שלשיו (שמות טו):

"
"Otzar Midrashim, Midrashim of Rabbi Akiba, Aleph Bet of Rabbi Akiba (Version 2) 11",Proverbs 27:6,-52.445195047786754,0," שבי אתה נותן נשמה לבריאות לעתיד ונקראת נר, שנאמר נר אלהים נשמת אדם (משלי כ״ז). השיב הקב״ה וא״ל, לאו. אמרה לו. למה? א״ל מפני שבך אני עתיד לכבות"
Sefer HaChinukh 167:3,,-40,0,") שהטמאה שחיבין עליה היא שנטמא בטמאה דאוריתא שחיבין עליה כרת, פרוש"
Metzudat Zion on Nehemiah 10:32:1,,-40,0,ונטש. ונעזוב כמו תשמטנה ונטשתה (שמות כ״ג): 
Malbim Beur Hamilot on Nahum 1:10:1,II Samuel 23:8,-71.82941810248836,0," הסבואים עד הסירים הנסבכים זב""ז שהם הקוצים שבהם מדליקים אש(שמות כ""ב, ש""ב כ""ג, ישעיה ל""ג י""ב), וכ""ף כסבאם כף הזמן, בעת סבאם של הסבואים, ומלת מ"
Metzudat Zion on Isaiah 28:4:2,,-40,0,כבכורה. מלשון בכור ור״ל הנגמר והנתבשל ראשון וכן בכורי ענבים (במדבר יג): 
Haggahot and Marei Mekomot on Tractate Kallah Rabbati 6:9:6,,-40,0,(דברים ד):
