Quoting Ref,Quoted Book,Quoted Ref,Quote Num,Score,Snippet
"Sefer Mitzvot Katan, Remazim 6",,,0,-40,לירא מקדש כדכתיב את מקדשי תיראו (ויקרא ט)
"Sefer Mitzvot Katan, Remazim 16",,,0,-40,שלא לאהוב את המסית כדכתיב לא תאבה לו (דברים ג)
"Sefer Mitzvot Katan, Remazim 19",,,0,-40,שלא לחמוד כדכתיב לא תחמוד (שמות כז)
"Sefer Mitzvot Katan, Remazim 20",Deuteronomy,,0,-40,שלא לאמץ לבבו מליתן צדקה כדכתיב לא תאמץ לבבך (דברים טו)
"Sefer Mitzvot Katan, Remazim 23",,,0,-40,שלא לשכח מעשה עמלק כדכתיב לא תשכח (דברים כח)
"Sefer Mitzvot Katan, Remazim 26",Deuteronomy,,0,-40,שלא לשמוע למסית כדכתיב לא תאבה לו ולא תשמע (דברים כג)
"Sefer Mitzvot Katan, Remazim 28",Numbers,,0,-40,להסתכל בציצית כדכתיב וראית' אותו (במדבר טו)
"Sefer Mitzvot Katan, Remazim 35",Deuteronomy,,0,-40,שלא יראה שאור כדכתיב לא יראה לך שאור (דברים טו)
"Sefer Mitzvot Katan, Remazim 37",Deuteronomy,,0,-40," שני: והא לך מצות התלויות בגוף)לאבד שם עכו""ם דכתיב ואבדתם את שמם (דברים יא)"
"Sefer Mitzvot Katan, Remazim 45",Deuteronomy,,0,-49.43482278383392,לדבק בשם דכתיב ובו תתדבקון (דברים יג)
"Sefer Mitzvot Katan, Remazim 47",Deuteronomy,,0,-40,לבקר חולים דכתיב והלכת בדרכיו. (דברים כח)
"Sefer Mitzvot Katan, Remazim 53",Deuteronomy,,0,-40,לשוב בתשובה שלימה דכתיב ושבת עד יי' אלהיך. (דברים ל)
"Sefer Mitzvot Katan, Remazim 56",,,0,-40,לקדש כהן כדכתיב וקדשתו. (ויקרא כא)
"Sefer Mitzvot Katan, Remazim 59",Leviticus,,0,-40, התלוין במחלוקת רבי אליעזר ורבנן)להטמא לקרובי' כדכתיב לה יטמא. חובה. (ויקרא כא)
"Sefer Mitzvot Katan, Remazim 63",,,0,-40, אפי' דרך בזיון כגון הפוער לפעור כדכתיב איכ' יעבדו הגוים האלה וגומ' (דברים יג)
"Sefer Mitzvot Katan, Remazim 75",Deuteronomy,,0,-40,שלא לגדוד שנא' לא תתגודדו וגומר (דברים יד)
"Sefer Mitzvot Katan, Remazim 76",Deuteronomy,,0,-40,שלא להתעלם מאבידה דכתיב ומצאתה לא תוכל להתעלם (דברי' כג)
"Sefer Mitzvot Katan, Remazim 77",Deuteronomy,,0,-40,שלא להתעלם מטעינ' ופריקה דכתי' לא תוכל להתעלם (דברים כג)
"Sefer Mitzvot Katan, Remazim 82",Exodus,,0,-40,שלא לרצח. דכתיב לא תרצח. (שמות כ)
"Sefer Mitzvot Katan, Remazim 85",Leviticus,,0,-40,"שלא לחלל את שם הקב""ה כדכתיב ולא תחללו (ויקרא יב)"
"Sefer Mitzvot Katan, Remazim 92",Leviticus,,0,-40, הלוין בזמן קבוע)לתקוע בשופר בראש השנה. דכתיב יום תרועה יהיה לכם (ויקרא כג)
"Sefer Mitzvot Katan, Remazim 95",,,0,-40,"לשמח ברגלים דכתיב ושמחת בחגך. (דברים יו)(שלמו מ""ע בזמן)"
"Sefer Mitzvot Katan, Remazim 102",Deuteronomy,,0,-40, בכור דכתיב כל הבכור אשר יולד בבקרך ובצאנך הזכר תקדיש ליי' אלהיך (דברים יו)
"Sefer Mitzvot Katan, Remazim 107",Numbers,,0,-40,להפר נדרים דכתיב ואישה יפירנו (במדבר ל)
"Sefer Mitzvot Katan, Remazim 108",,,0,-40,לשבע בשמו. דכתיב ובשמו תשבע (דברים ו)
"Sefer Mitzvot Katan, Remazim 112",Leviticus,,0,-40,להוכיח את עמיתו דכתיב הוכח. (ויקרא יט)
"Sefer Mitzvot Katan, Remazim 113",Numbers,,0,-40,לכהן לברך את ישראל דכתיב כה תברכו (במדבר ו)(שלמו העשיין התלוים בפה)
"Sefer Mitzvot Katan, Remazim 131",Leviticus,,0,-40,שלא לנטור דכתיב לא תטור (ויקרא יט)
"Sefer Mitzvot Katan, Remazim 132",Numbers,,0,-40,שלא לערער אחר הכהונה. דכתיב ולא יהיה כקרח (במדבר יו) ובכלל לאו זה שלא יהיה אדם בעל מחלוקת
"Sefer Mitzvot Katan, Remazim 135",Deuteronomy,,0,-40,"שלא לחון עובדי עכו""ם דכתיב לא תחנם. (דברים ז)"
"Sefer Mitzvot Katan, Remazim 136",Leviticus,,0,-40,שלא לעונן דכתיב לא תעוננו. (ויקרא יט)
"Sefer Mitzvot Katan, Remazim 137",Leviticus,,0,-40,שלא לנחש דכתיב לא תנחשו. (ויקרא יט)
"Sefer Mitzvot Katan, Remazim 146",,,0,-40,להלל בימים הקבועי' דכתיב הוא תהלתך. (דברים י)
"Sefer Mitzvot Katan, Remazim 158",,,0,-40,למול יליד בית דכתיב המול יליד ביתך (בראשית ז)
"Sefer Mitzvot Katan, Remazim 177",Deuteronomy,,0,-40,שלא להוסיף על המצות דכתיב לא תוסף עליו. (דברים יג)
"Sefer Mitzvot Katan, Remazim 186",Leviticus,,0,-40,(ואלו הלאוין)שלא להשיא בתו לזקן דכתיב לא תחלל בתך להזנותה. (ויקרא יט)
"Sefer Mitzvot Katan, Remazim 189",Deuteronomy,,0,-40,שלא יחזיר המגרש אשתו משניש' לאחר דכתיב לא יוכל בעלה הראשון (דברים כב)
"Sefer Mitzvot Katan, Remazim 193",,,0,-40,(ואלו מצות התלוים בזמן ביד:)ליטול לולב דכתיב ולקחתם לכם. (ויקרא כג)(נשלמו העשה התלוי ביד ובזמן)
"Sefer Mitzvot Katan, Remazim 203",Genesis,,0,-34.37659032035542,שלא לאכול גיד הנש' כדכתיב על כן לא יאכלו וגו' (בראשית לב)
"Sefer Mitzvot Katan, Remazim 217",Leviticus,,0,-40, שהתירה העומר דכתיב ולחם וקלי וכרמל לא תאכלו עד עצם היום הזה וגו'. (ויקרא כב)
"Sefer Mitzvot Katan, Remazim 218",Leviticus,,0,-40,שלא לאכול על דם דכתיב לא תאכלו על דם. (ויקרא יט)(שלמו העשיין ולאוין התלוין במאכל בכל עת)
"Sefer Mitzvot Katan, Remazim 227",Leviticus,,0,-40,(ואלו הלאוין)שלא להכיר פנים כדכתיב לא תכירו פנים במשפט. (ויקרא יט)
"Sefer Mitzvot Katan, Remazim 235",Exodus,,0,-40,שלא להעיד עדות שקר כדכתיב לא תענה ברעך עד שקר. (שמות כג)
"Sefer Mitzvot Katan, Remazim 236",,,0,-40,שלא להעיד רשע כדכתיב אל תשת ידך עם רשע להיו' עד חמס. (שמות כו)
"Sefer Mitzvot Katan, Remazim 237",Deuteronomy,,0,-40,שלא לחוס על המחויב דכתיב וקצותה את כפה וכתיב לא תחוס עינך. (דברים כד)
"Sefer Mitzvot Katan, Remazim 253",Deuteronomy,,0,-40,(ואלו הלאוין)שלא לתת מום בבכור דכתיב כל מום לא יהיה בו. (דברים טו) ואסור לגרום
"Sefer Mitzvot Katan, Remazim 259",Leviticus,,0,-40, דכתיב לא תשיך לאחיך וסופר ועד עוברי' משום דכתיב לא תשימון עליו נשך (ויקרא כא) שלא להיות כנושה דכתיב לא תהיה לו כנושה. (דברים טו)
"Sefer Mitzvot Katan, Remazim 259",Deuteronomy,,0,-40, תשימון עליו נשך (ויקרא כא) שלא להיות כנושה דכתיב לא תהיה לו כנושה. (דברים טו)
"Sefer Mitzvot Katan, Remazim 263",Leviticus,,0,-40, עול במשקל שלא יטמין במלח עול במשורי' שלא ירתיח. דכתיב לא תעשו עול. (ויקרא יח)
"Sefer Mitzvot Katan, Remazim 270",Leviticus,,0,-40, לגזול זהו גזל וזהו עושק ויש בו שני לאוין דכתיב לא תעשוק ולא תגזול. (ויקרא יט)
"Sefer Mitzvot Katan, Remazim 281",,,0,-40, מלאכה שם שלא להוציא מרשות היחיד לרשות הרבים דכתיב אל יצא איש ממקומו (שמות יז) ובכלל זה תחומין ואליבא דרבי עקיבא שלא להבעיר אש בשבת דכתיב לא תבערו
"Sefer Mitzvot Katan, Remazim 284",,,0,-40,(ואלו מצות התלויות באבר המילה)לפרות דכתיב פרו ורבו. (בראשית ב)
"Sefer Mitzvot Katan, Remazim 285",Deuteronomy,,0,-40,לשמח אשתו דכתי' ושמח את אשו אשר לקח. (דברים כב)
"Sefer Mitzvot Katan, Remazim 287",Leviticus,,0,-40,לפרוש מאשתו סמוך לוסת' כדי עונ' דכתיב והזרתם את בני ישראל. (ויקרא יו)
"Sefer Mitzvot Katan, Remazim 291",Deuteronomy,,0,-40,שלא לבעול שפחה וכן כל העריות דכתיב לא יהיה קדש. (דברים כב)
"Sefer Mitzvot Katan, Remazim 292",Exodus,,0,-40,שלא להשחית זרע דכתיב לא תנאף. (שמות כ). ודרשינן לא תהנה לנאף כמו אות' המנאפי' ביד וברגל
"Sefer Mitzvot Katan, Remazim 311",Leviticus,,0,-40,שלא לבא על חמותו דכתי' ואיש אשר יקח את אשה ואת אמה (ויקרא כו). ולאחר מיתה פלוגתא דרבי ישמעאל סבר בשריפה ורבי עקיבא סבר שאין ב
Sefer Mitzvot Katan 4:3,,,0,-40," אדם הטוב' שעשה לו הקב""ה שיצרו ובראו  מהבל וריק מטיפה סרוחה שנא' (איוב ו) הלא כחלב תתיכני ואחר כך נתן לו לחם לאכל ובגד ללבוש ושאר טובות א"
Sefer Mitzvot Katan 11:4,,,0,-40,") פתחו שערים ויבא גוי צדיק שומר אמונים והוא חסר וי""ו אל תקרי אמונ"
Sefer Mitzvot Katan 13:2,,,0,-40,) בזדון דברו הנביא לא תגור ממנו. וזה נוהג גם בזמן הזה מן המסיתים 
Sefer Mitzvot Katan 14:2,Deuteronomy,,0,-48.88988734367804,) ומשלם לשנאיו אל פניו להאבידו ומתוך כך יחשוב לשוב. ויחשוב כאילו 
Sefer Mitzvot Katan 15:2,Deuteronomy,,0,-40,) רק השמר לך ושמור נפשך מאד פן תשכח את הדברים אשר ראו עיניך ופן י
Sefer Mitzvot Katan 16:2,Deuteronomy,,0,-40,") לא תאבה לו ודרשו רבותינו לא לאהוב לו. ואסור לאהוב שום עובד עכו"""
Sefer Mitzvot Katan 19:2,Exodus,,0,-40,") לא תחמוד ואף ע""ג דאמרינן במכילתין יכול בדברים ת""ל  ולקחת לך מה "
Sefer Mitzvot Katan 20:2,Deuteronomy,,0,-40,) לא תאמץ ולא תקפוץ פי' קפיצת ידים שלא יאמר אם אתן פרוטה לעני לא 
Sefer Mitzvot Katan 23:2,,,0,-40,") לא תשכח: פי' שהקב""ה הצילנו מידו ובעבור זה תהיה יראתו על פנינו ל"
Sefer Mitzvot Katan 25:2,Deuteronomy,,0,-40,) נביא מקרבך מאחיך וגומר אליו תשמעון פי' כשיעשה לנו אות אמת ובלבד
Sefer Mitzvot Katan 35:2,Deuteronomy,,0,-58.62242650088139,") לא יראה לך שאור  ודינו כחמץ  וצריכים שניהם: 
"
Sefer Mitzvot Katan 38:2,,,0,-40,") ואת מצבותם תשברון (מפורש בפנים): 
"
Sefer Mitzvot Katan 39:1,,,0,-40,") ואשריהם תגדעון (מפורש בפנים): 
"
Sefer Mitzvot Katan 40:1,,,0,-40,") ואשיריהם תשרפון (מפורש בפנים): 
"
Sefer Mitzvot Katan 41:1,Deuteronomy,,0,-40,") ואת במותם תשמידון (מפורש בפנים): 
"
Sefer Mitzvot Katan 42:1,Deuteronomy,,0,-40,") ואת מזבחותם תתוצון (מפורש בפנים): 
"
