page.section,content
1a:1,<b><big></big></b> @13דף ב.@77 <b><big>השותפין</big></b> @11א שרצו לעשות מחיצה בחצר בונין את הכותל באמצע מקום שנהגו לבנות גויל גזית כפיסים לבנים בונין הכל כמנהג המדינה בגויל זה נותן שלשה טפחים וזה נותן שלשה טפחים בגזית זה נותן טפחיים ומחצה וזה נותן טפחיים ומחצה בכפיסים זה נותן טפחיים וזה נותן טפחיים בלבנים זה נותן טפח ומחצה וזה נותן טפח ומחצה לפיכך אם נפל הכותל המקום והאבנים של שניהם
1b:1,"וכן @22א בגינה מקום שנהגו לגדור מחייבין אותו אבל @14במשנה בגמ' איתא אבל בבקעה מקום שנהגו שלא לגדור אין כו' (ג""א)@77 בבקעה מקום שלא נהגו לגדור אין מחייבין אותו אלא אם רצה כונס בתוך שלו ובונה ועושה לו חזית מבחוץ לפיכך אם נפל הכותל המקום והאבנים הרי הן שלו ואם עשו מדעת שניהן בונין כותל באמצע ועושה לו חזית מכאן וחזית מכאן לפיכך אם נפל הכותל המקום והאבנים של שניהן:"
1b:2," <b><big>גמ'</big></b>  (@14כל זה אינו מהלכות [וכ""ה הב""ח וכן בד""ק ליתא]@77 הגה""ה סברוה מאי מחיצה גודא @13דף ב:@77 וטעמא דרצו הא לא רצו אין מחייבין אותו אלמא היזק ראיה לא שמיה היזק תא שמע וכן בגינה מקום שנהגו לגדור (@68א) גינה שאני (@66א) דאמר רבי @14בגמ' איתא ר' אבא@77 אבהו אמר רב הונא אמר רב אסור לאדם (@66ב) שיעמוד על שדה חבירו בשעה שעומדת בקמותיה ת""ש כותל חצר שנפל מחייבין אותו לבנותו עד ד""א נפל שאני ת""ש כופין אותו לבנות בית שער ודלת לחצר היזיקא דרבים שאני ת""ש החלונות מלמעלן ומלמטן (@68ב) (@14בגמ' ליתא תיבת עד וכן לקמן במשנה (דף כב.) ליתא תיבת עד. וגם צ""ל ארבע כי ארבעה בה""א הוא טפחים (ג""א)@77 עד) ארבעה ותניא עליה מלמעלה שלא יציץ ויראה מלמטן כדי שלא יעמוד ויראה מכנגדן שלא יאפיל היזיקא דבית שאני ת""ש דאמר שמואל גג הסמוך לחצר חבירו עושין לו מעקה גבוה ד' אמות שאני התם דא""ל בעל החצר לבעל הגג לא ידענא בהי עידנא אתית דאיצטנע מינך דלדידי קביעי לי תשמישי לדידך לא קביעי תשמישתך ע""כ):"
1b:3,"[א] (@66ג) @13דף ג.@77  מאי מחיצה פלוגתא כדכתיב @16במדבר לא@77 ותהי מחצת העדה וכיון דרצו לחלוק בונין את הכותל בעל כרחן אלמא היזק ראיה שמיה היזק ואי היזק ראיה שמיה היזק מאי איריא רצו כי לא רצו נמי פלגי אמר רבי יוחנן משנתנו בשאין בה דין חלוקה אבל יש בה דין חלוקה אע""ג דלא בעי למפלג אלא חד מינייהו פלגי דהיזק ראיה שמיה היזק ואי [@14גי' ד""ת@77 משנתנו בשאין בה דין חלוקה] כי רצו מאי הוי להדרו בהו"
2a:1,"א""ר אסי א""ר יוחנן בשקנו מידו [א] וכי קנו מידו מאי הוי קנין דברים בעלמא הוא ולהדרו בהו שקנו מידו ברוחות פלוני קיבל רוח מזרחית ופלוני קיבל רוח מערבית (@67א) רב אשי אמר כגון שהלך זה בעצמו והחזיק בחלקו וזה בעצמו והחזיק בחלקו ומשום הכי לא מצו הדרי בהו:"
2a:2,"מקום שנהגו לכנות גויל גזית וכו': גויל אבני דלא משפיאן גזית אבני דמשפיאן כדכתיב @16מ""א ז@77 כל אלה אבנים יקרות כמדות גזית מגוררות במגרה מבית ומחוץ:"
2a:3,כפיסים ארחי לבנים לבני: בגויל זה נותן ג' טפחים וכו':
2a:4,@13דף ג:@77 איבעיא להו הן וסידן או הן בלא סידן ואסיקנא הן וסידן:
2a:5,הכל כמנהג המדינה: לאיתויי מאי לאיתויי אתרא דנהיגי בהוצא ודפנא:
2a:6,לפיכך אם נפל הכותל המקום והאבנים של שניהם:
2a:7,"פשיטא לא צריכא דנפל לרשותיה דחד מינייהו אי נמי דפנינהו חד לרשותיה מהו דתימא להוי אידך המוציא מחבירו עליו הראיה קמ""ל דלא:"
2a:8,"(@66א) ושמעינן @11א מהא דמילתא דידיעא לתרי שותפי אע""ג דאיתא השתא ברשות דחד מינייהו לא נפק מחזקה דאידך (@66ב) מאי טעמא משום @14ב""מ ד' קטז:@77 דשותפין לא קפדי אהדדי הילכך לית להו חזקה אלא בראיה או לאחר חלוקה:"
2a:9,"[ב] @13דף ד:@77 (@14ד""ת מ""ז@77 וכן @11ב בגינה מאי קאמר ה""ק וכן בגינה סתם כמקום"
2b:1,שנהגו לגדור דמי) [א]:
2b:2," <b><big></big></b> @13דף ד:@77  <b><big>מתני'</big></b>  @11א המקיף את חבירו משלש רוחותיו ועמד וגדר את הראשונה ואת השניה ואת השלישית אין מחייבין אותו ר' יוסי אומר אם עמד [@14מהר""ם@77 ניקף] וגדר את הרביעית מגלגלין עליו את הכל:"
