page.section,content
1a:1," @13דף ב:@77  <b><big>דיני</big></b>  @11א ממונות בשלשה גזילות וחבלות @22א בשלשה נזק וחצי נזק תשלומי כפל תשלומי ארבעה וחמשה האונס והמפתה והמוציא שם רע בשלשה דברי ר""מ וחכ""א המוציא שם רע בעשרים ושלשה מפני שיש בו דיני נפשות:"
1a:2," <b><big>גמ'</big></b>  (@14כל זה אינו מהל' הרי""ף ד""ת@77 גרסינן בגמ' @13דף ב:@77 אטו דיני ממונות לאו היינו גזילות וחבלות א""ר אבהו מה הן קתני מה הן דיני ממונות גזילות וחבלות לאפוקי הודאות והלואות ולמאי אי דלא בעינן שלשה והא א""ר אבהו שנים שדנו דיני ממינות אין דיניהם דין אלא דלא בעינן מומחה ואי קסבר עירוב פרשיות כתיב כאן ליבעי נמי מומחה ואי לא קסבר עירוב פרשיות כתיב כאן שלשה למה לי לעולם קסבר עירוב פרשיות כתיב כאן והא דלא בעינן מומחה משום דאמר ר' חנינא דבר תורה אחד דיני ממונות ואחד דני נפשות בדרישה ובחקירה ומפני @13דף ג.@77 מה אמרו דיני ממונות לא בעי דרישה וחקירה שלא תנעול דלת בפני לוין):"
1a:3,"@13דף ד:@77 ת""ר דיני ממונות @11ב בשלשה @13דף ה:@77 ואם היה מומחה לרבים דן אפי' ביחידי אמר רב נחמן כגון אנא דייננא דיני ממונות ביחידי וכן א""ר חייא כגון אנא דייננא דני ממונות ביחיד ואיבעיא לן כגון אנא דגמירנא וסבירנא ונקיטנא רשותא מבי ריש גלותא אבל אי לא נקיט רשותא מבי ריש גלותא דיניה לאו דינא הוא או דילמא כגון אנא דגמירנא וסבירנא ואף על גב רלא נקיטנא רשותא מבי ריש גלותא תא שמע דמר זוטרא בריה דרב נחמן"
1b:1,"דן דינא וטעה אתא לקמיה דרב יוסף אמר ליה [א] אי את קרית להו זיל שלים  ואי אינהו קרו לך לא תשלם ש""מ דדיניה דינא ואע""ג דלא נקיט רשות מבי ריש גלותא ש""מ :"
1b:2,אמר רב האי מאן דבעי @11א למידן דינא וכי טעי ליפטר ולא לישלם לינקוט רשותא מבי ריש גלותא וכן אמר שמואל האי מאן דבעי למידן דינא וכי טעי ליפטר ולא לישלם לינקוט רשותא מבי ריש גלותא והני מילי מהכא להכא ומהתם להתם ומהכא להתם אבל מהתם להכא לא מהניא רשותא דהכא שבט והתם מחוקק דתניא @16בראשית מט@77 לא יסור שבט מיהודה אלו ראשי גליות שבבבל שרודים את ישראל בשבט ומחוקק מבין רגליו אלו בני בניו של הלל שמלמדין תורה ברבים 
1b:3,"@13דף ה:@77 תניא @11ב תלמיד אל יורה הלכה בפני רבו אא""כ רחוק ממנו שלשה פרסאות כנגד מחנה ישראל @13שם@77 תניא רשב""ג אומר הדין @11ג בשלשה פשרה בשנים יפה כח הפשרה מכח הדין ששנים שדנו בעלי דינין יכולין לחזור בהן ושנים שעשו פשרה אין בעלי דינין יכולין לחזור בהן והני מילי (@67א) בשקנו מידן @13דף ו.@77 דקי""ל פשרה צריכה קנין ושנים שדנו דקאמר רשב""ג בעלי דינין יכולין לחזור בהן אלמא אין דיניהן דין ה""מ בשאין מומחין ולא קבלינון עליהון בעלי דינין אבל אי הוו מומחין או קבלינון בעלי דינין עליהון הוי דיניהון דין ואפי' חד מומחה דיניה דין כדכתבינן לעיל:"
1b:4,@13דף ו:@77 ר' יהושע בן קרחה אמר מצוה לבצוע שנאמר @16זכריה ח@77 אמת ומשפט שלום שפטו בשעריכם וכי יש שלום במקום משפט ויש משפט במקום שלום אלא אי זה הוא משפט שיש עמו שלום הוי אומר זה ביצוע וכן בדוד הוא אומר @16שמואל ב ח@77 ויהי דוד עושה משפט וצדקה לכל עמו והלא כל מקום שיש משפט אין צדקה צדקה אין משפט אלא אי זה הוא משפט שיש עמו צדקה הוי אומר זה ביצוע:
1b:5,אמר רב הלכתא כר' יהושע בן קרחה דאמר @13דף ז.@77 מצוה לבצוע מאי מצוה מצוה למימר להו הכי דינא בעיתו או פשרה בעיתו כי הא דרב הונא כי הוו אתו (@68א) בתרי לקמיה לדינא אמר להו דינא בעיתו או פשרה בעיתו ודוקא מיקמי גמר דין אבל לאחר גמר דין @22א אי אתה רשאי לבצוע:
1b:6,"@13דף ו:@77 היכי דמי גמר דין אמר רב יהודה אמר רב מכי אמר איש פלוני אתה זכאי ואיש פלוני אתה חייב והא דאמר ר""ש בן מנסיא שנים שבאו לפניך לדין עד שלא תשמע את דבריהן או משתשמע את דבריהן ואי אתה יודע להיכן הדין נוטה אתה רשאי לומר להן לכו ובצעו אבל משתשמע את דבריהן ואתה יודע להיכן הדין נוטה אי אתה רשאי לומר להן לכו ובצעו שנאמר @16משלי יז@77 פוטר מים ראשית מדון @13דף ו:@77 ולפני התגלע הריב נטוש ליתא:"
1b:7,תניא ר' יהודה בן לקיש אומר שנים שבאו לפניך לדין אחד רך ואחד חזק עד שלא תשמע את דבריהם או משתשמע את דבריהם ואי אתה יודע להיכן הדין נוטה אתה רשאי לומר להן איני נזקק לכם שמא יתחייב חזק ונמצא רודף את (@67ב) הדיין אבל משתשמע את דבריהם ואתה יודע להיכן הדין נוטה אי אתה רשאי לומר להן איני נזקק לכם שנאמר @16דברים א@77 לא תגורו מפני איש ואמר רב חנין (@67ג) אל תכניס דבריך מפני איש ואמר רב הוגא @13דף ז.@77 מאי משמע דהאי לא תגורו מפני איש לישנא דכינוסי הוא אמר רב נחמן בר יצחק דאמר קרא @16דברים כח@77 ויין לא תשתה ולא תאגור:
