page.section,content
1a:1,9 <b><big>סוכה</big></b> @11א שהיא גבוהה למעלה מעשרים אמה פסולה ורבי יהודה מכשיר ושאינה גבוהה עשרה טפחים ושאין לה שלש דפנות ושחמתה מרובה מצלתה פסולה:
1a:2,@13דף ט.@77 סוכה ישנה בית שמאי פוסלין ובית הלל מכשירין איזו היא ישנה כל שעשאה קודם החג שלשים יום ואם עשאה לשם החג אפילו מתחלת השנה כשרה:
1a:3," <b><big>גמ'</big></b>  מנה""מ אמר רבה דאמר קרא @16ויקרא כג@77 למען ידעו דורותיכם כי @22א בסוכות הושבתי את בני ישראל עד כ' אמה אדם יודע שהוא דר בסוכה למעלה מעשרים אמה אין אדם יודע שהוא דר בסוכה מאי טעמא משום דלא שלטא ביה עינא רבי זירא אמד מהכא @16ישעיה ד@77 וסוכה תהיה לצל יומם מחורב וגו' עד עשרים אמה אדם יושב בצל סוכה למעלה מעשרים אמה אין אדם יושב בצל סוכה אלא בצל דפנות רבא אמר מהכא @16ויקרא כב@77 בסוכות תשבו שבעת ימים אמרה תורה צא מדירת קבע ושב בדירת עראי עד עשרים אמה אדם עושה דירתו דירת עראי למעלה מכ' אמה אין אדם עושה דירתו דירת עראי אלא דירת קבע:"
1a:4,"@13דף ב:@77 לרבה דאמר למעלה מעשרים אמה אין אדם יודע שהוא דר בסוכה משום דלא שלטא ביה עינא אם היו @22ב הדפנות מגיעות לסכך כיון דשלטא בהו עינא אע""ג דגבוהה מעשרים אמה כשרה ולרבי זירא דאמר למעלה מכ' אמה אין אדם יושב בצל סוכה אלא בצל דפנות אי אית בה יתר מארבע אמות כיון דרויחא איכא צל סוכה וכשרה ולרבא דאמר למעלה מעשרים אמה אין אדם עושה דירתו דירת עדאי אלא דירת קבע לית ליה תקנתא אלא בין דפנות מגיעות לסכך בין אין דפנות מגיעות לסכך בין יש בה יתר מארבע אמות ובין אין בה יתר מארבע אמות כיון שהיא גבוהה מעשרים אמה פסולה:"
1a:5,איכא מאן דאמר הילכתא כרבה דהא @14שבת כב.@77 כל מילי (@68א) כרב עביד ואנן מסתברא לן @22ג דהלכתא כרבא דקיימא לן סוכה דירת
1b:1,עראי בעינן ורבי יהודה דמכשיר סבירא ליה דסוכה דירת קבע בעינן (@68א) ולית הלכתא כוותיה ואי הוו דפנות מגיעות לסכך כל שכן דהויא ליה דירת קבע ועוד דהא סוגיין בענין סוכה על גבי סוכה כוותיה (א) דרבא שייכא:
1b:2,"@13דף ג:@77 היתה גבוהה מכ' אמה ובא למעטה בכרים וכסתות לא הוי מיעוט @13דף ד.@77 ואע""ג דבטלינהו בטלה דעתו אצל כל אדם תבן וביטלו הוי מיעוט וכל שכן @22א עפר וביטלו:"
1b:3,היתה גבוהה מכ' אמה והוצין יורדין לתוך כ' אם צלתן מרובה מחמתן כשרה ואם לאו פסולה היתה גבוהה עשרה והוצין יורדין בתוך עשרה סבר אביי למימר אם חמתה מרובה מצלתה כשרה אמר ליה רבא הא דירה סרוחה היא ואין אדם דר בדירה סרוחה [א] היתה גבוהה מעשרים אמה ובנה בה איצטבא כנגד דופן האמצעי על פני כולו אם יש בו הכשר סוכה @22ב כשרה ואם לאו פסולה מן הצד אם יש משפת האיצטבא ולכותל ד' אמות פסולה ואם לאו כשירה היתה גבוהה מעשרים ובנה בה איצטבא @22ג באמצעיתה אם יש משפת איצטבא ולכותל לכל רוח ורוח ארבע אמות פסולה ואם לאו כשירה דאמרינן דופן עקומה משתי רוחות היתה פחותה מעשרה וחקק בה להשלימה לעשרה אם יש משפת החקק ולכותל שלשה טפחים פסולה @13דף ד:@77 פחות משלשה כשרה:
1b:4,@11א ושאין לה
2a:1,"שלש דפנות:  @13דף ו:@77 תנו רבנן שתים כהלכתן ושלישית אפילו טפח ר' שמעון אומר שלש כהלכתן ורביעית אפילו טפח וקי""ל כרבנן ואותו טפח היכן מעמידו @13דף ז.@77 א""ר סימון אריב""ל עושה טפח שוחק ומעמידו בפחות @22א משלשה סמוך לדופן אמר רב יהודה סוכה העשויה"
