page.section,content
1a:1,  <b><big>בתולה</big></b>  @11א נשאת (א) ביום רביעי ואלמנה (ב) ביום חמישי (ג) שפעמים בשבת בתי דינין יושבין בעיירות יום שני ויום חמישי שאם היה לו טענת בתולים היה משכים לבית דין:
1a:2," <b><big>גמ'</big></b>  @13דף ב.@77 אמר רב יוסף א""ר יהודה אמר שמואל מפני מה אמרו בתולה נשאת (ד) ביום רביעי שאם היה לו טענת בתולים ישכים לבית דין ותנשא @22א באחד בשבת ואם היה לו טענת בתולים ישכים לב""ד שקדו חכמים על תקנת בנות ישדאל שיהא אדם טורח בסעודה שלשה @22ב ימים אחד בשבת ושני בשבת ושלישי בשבת ובד' כונסה ועכשיו ששנינו שקדו אותה ששנינו הגיע זמן ולא (ה) נשאו אוכלות משלו הגיע זמן באחד בשבת מתוך שאינו יכול לכנוס אינו מעלה לה מזונות לפיכך חלה הוא או שחלתה היא או שפירסה נדה אינו מעלה לה מזונות והאי דאמרינן אוכלות משלו דוקא חולין אבל תרומה לא דקיימא לן כמשנה אחרונה @13דף נז:@77 אין האשה אוכלת בתרומה עד שתכנס לחופה (@13דף ב:@77 @14ד""ת מ""ז@77 אמר רבא  ולענין גיטין @22ג אינו בן אלמא קסבר רבא אין @11ב אונס בגיטין):"
1a:3,"@13דף ג.@77 א""ר שמואל בר יצחק @14בגמ' ליתא אמר רבי (ג""א)@77 אמר רבי לא שנו אלא @11ג מתקנת עזרא ואילך שאין"
1b:1,בתי דינין קבועין [אלא בב' וה'] אבל [במקום] שבתי דינין קבועין בכל יום @22א אשה נשאת בכל יום והוא דטריח ליה:
1b:2,"@13דף ג:@77 תניא הרי שהיתה פתו אפויה @11א וטבחו טבוח ויינו מזוג ומת אביו של חתן או אמה של כלה מכניסים המת לחדר והחתן והכלה לחופה @13דף ד.@77 ובועל בעילת מצוה ופורש ונוהג שבעת ימי המשתה ואח""כ @22ב נוהג שבעת ימי אבילות וכל אותן הימים הוא ישן בין האנשים ואשתו ישנה בין הנשים וכן מי שפירסה אשתו נדה הוא ישן בין האנשים והיא ישנה בין @22ג הנשים ואין מונעין תכשיטין מן הכלה כל ל' יום @22ד  ודוקא אביו של חתן ואמה של כלה דליכא איניש דטריח להו אבל איפכא אמו של חתן ואביה של כלה לא "
1b:3,"אמר רפרם בר פפא אמר רב חסדא לא שנו אלא שנתן מים על גבי בשר אבל לא נתן מים על גבי בשר מזדבן אמר רבא ובכרך אפי' נתן מים על גבי בשר מזדבן אמר רב פפא ובכפר אע""פ שלא נתן מים על גבי בשר לא מזדבן והא דרב חסדא משכחת לה בדוכתא דמפקא מכרך ומפקא מכפר ושמעינן מהא דהיכא דאפשר לזבוני וליכא פסידא דאינו נוהג @22ה ימי המשתה ברישא "
1b:4,"אמר מר הוא ישן בין האנשים והיא ישנה בין הנשים מסייע ליה לר' יוחנן דא""ר יוחנן אע""פ שאמרו אין אבילות במועד אבל דברים שבצנעה נוהג דרש רב יוסף בריה דרבא משמיה דרבא לא שנו שאשתו ישנה בין הנשים והוא בין האנשים אלא כשלא בעל אבל בעל אשתו ישנה @22ו עמו בבית אחד ודוקא חתן שפירסה אשתו @22ז נדה אבל חתן @13דף ד:@77 שמת @18חמיו או חמותו בין בעל בין"
2a:1,לא בעל הוא ישן בין האנשים ואשתו ישנה בין הנשים כדתנא בברייתא:
2a:2,@13דף ה.@77 תני בר קפרא @11א בתולה נשאת ליום רביעי ונבעלת בחמישי הואיל ונאמרה בו ברכה לדגים אלמנה נשאת בחמישי ונבעלת בששי הואיל ונאמרה בו ברכה לאדם ותניא מפני מה אמרו אלמנה נשאת בחמישי ונבעלת בששי שאם אתה אומר תבעל בחמישי למחר משכים לאומנתו והולך שקדו חכמים על תקנת בנות ישראל שיהא שמח עמה ג' ימים חמישי בשבת וערב שבת ושבת:
2a:3,"@13דף ה:@77 איבעיא להו מהו שיבעול @11ב לכתחלה בשבת ומסקנא @13דף ז.@77 והלכתא מותר לבעול לכתחלה בשבת רבי אמי שרא למבעל בתחלה בשבת אמרי ליה רבנן והא לא כתיבא כתובה אמר להו אתפסוה @22א מטלטלי בכתובה אמר רב הונא א""ר אבא בר זבדא אמר רב אחת בתולה ואחת אלמנה @11ג טעונה ברכה @22ב כל ז' ודוקא אלמנה שנשאת לבחור אבל אלמנה שנשאת לאלמון אינה טעונה ברכה אלא יום אחד בלבד אלא הא דתניא שקדו על תקנת בנות ישראל שיהא שמח עמה שלשה ימים במאי אי בבחור הא אמרת כל ז' ואי באלמון הא אמרת יום אחד אי בעית אימא בבחור ואי בעית אימא באלמון  אי בעית אימא בבחור שבעה לברכה וג' לשמחה ואי בעית אימא באלמון יום אחד לברכה וג' לשמחה @13דף ז:@77 דליכא בתולה דבצירה משבעה וליכא אלמנה דבצירה מיום אחד"
