page.section,content
1a:1,<b><big>אור</big></b> לארבעה עשר @11א @22א בודקין את החמץ לאור הנר וכל מקום שאין מכניסין בו חמץ אין צריך בדיקה [א] ובמה אמרו שתי שורות במרתף מקום שמכניסין בו חמץ בית שמאי אומרים שתי שורות על פני כל המרתף ובית הלל אומרים שתי שורות החצונות שהן העליונות:
1a:2," <b><big>גמ'</big></b>  מאי אור רב הונא אמר נגהי ורב יהודה אמר לילי דכולי עלמא @13דף ג.@77 בין לרב הונא בין לרב יהודה אור אורתא הוא ולא פליגי מר כי אתריה ומר כי אתריה באתריה דרב הונא קרו אור נגהי באתריה דרב יהודה קרו לילי ותנא דידן מאי טעמא לא תני לילי לישנא מעליא נקט דאמר ר' יהושע בן לוי לעולם אל יוציא אדם דבר מגונה מפיו שהרי עיקם הכתוב שמונה אותיות ולא הוציא דבר מגונה שנאמר @16בראשית ו@77 מן הבהמה הטהורה ומן הבהמה, אשר איננה טהורה ותאנא דבי ר' ישמעאל לעולם יספר אדם"
1b:1,בלשון נקיה שהרי בזב קראו מרכב ובאשה קראו מושב ואומר @16איוב טו@77 ותבחר לשון ערומים ואומר @16שם לג@77 ודעת שפתי ברור מללו:
1b:2,@13דף ג:@77 הנהו תרי תלמידי דהוו יתבי קמיה דרבי חד אמר מפני מה בוצרין בטהרה ומוסקין בטומאה וחד אמר מפני מה בוצרין בטהרה ואין מוסקין בטהרה אמר רבי מובטח אני בזה שמורה הוראה בישראל ולא היו ימים מועטין עד שהורה הוראה בישראל ומנו רבי יוחנן:
1b:3,@13דף ד.@77 והשתא דקיימא לן אור אורתא הוא ודכולי עלמא מיהא חמץ לא איתסר אלא משש שעות ולמעלה כדבעינן למימר לקמן אמאי מקדמינן ובדקי' מאורתא נשתהי עד למחר ונבדוק בשית וכי תימא זריזין מקדימין למצות כדכתיב @16ויקרא יג@77 וביום השמיני ימול בשר ערלתו מלמדי שכל היום כשר למילה אלא שהזריזין מקדימין למצות שנאמר @16בראשית כב@77 וישכם אברהם בבקר נבדוק מצפרא אמר רב נחמן בר יצחק בשעה @22א שבני אדם מצויין בבתיהן ואור הנר יפה לבדיקה אמר אביי הלכך האי צורבא מרבנן לא ליפתח בעידניה באורתא דתליסר נגהי ארביסר דילמא ממשכא ליה שמעתא אתי לאמנועי ממצוה:
1b:4,"@11א המשכיר בית לחבירו כארבעה עשר אם עד שלא מסר לו המפתח חל ארבעה עשר על המשכיר לבדוק ואם משמסר לו המפתח חל ארבעה עשר על השוכר לבדוק @13דף ד:@77 איבעיא להו @22ב המשכיר בית לחבירו בחזקת שהוא בדוק ומצאו שאינו בדוק מהו מי הוי כמקח טעות או לא ופשטה אביי דלא הוי כמקח טעות בין באתרא דיהבי אגרא ובדקי ובין באתרא דבדקי אינהו גופייהו מ""ט ניחא ליה לאיניש לקיומי מצוה"
2a:1,"בין בגופיה בין בממוניה תנן התם ר""מ אומר אוכלין כל חמש ושורפין בתחלת שש רבי יהודה אומר אוכלין כל ארבע ותולין כל חמש ושורפין בתחלת שש דכ""ע @11א מיהת חמץ משש שעות ולמעלה אסור מנלן אמר אביי תרי קראי כתיבי כתיב @16שמות יב@77 שבעת ימים שאור לא ימצא בבתיכם וכתיב @16שם@77 אך ביום הראשון תשביתו שאור מבתיכם הא כיצד לרבות ארבעה עשר לביעור ואימא לרבות ליל ארבעה עשר לביעור @13דף ה.@77 ביום כתיב ואימא מצפרא @22א אך חלק דהוה ליה בתחלת שבע ועבדו רבנן הרחקה יתירה כי היכי דלא ליגע באיסורא דאורייתא:"
2a:2,"@13דף ה:@77 ת""ר @16שם@77 @11ב שבעת ימים שאור לא ימצא בבתיכם מה תלמוד לומר והלא כבר נאמר @14צ""ל לא יראה לך חמץ ולא יראה לך שאור@77 לא יראה לך שאור ולא יראה לך חמץ לפי שנאמר @14צ""ל לא יראה לך חמץ ולא יראה לך שאור@77 לא יראה לך שאור ולא יראה לך חמץ שלך אי אתה רואה אבל אתה רואה של אחרים ושל גבוה [א] יכול יקבל פקדונות מן @22ב הנכרים ויטמין תלמוד לומר לא ימצא אין לי אלא נכרי שלא כבשתו ואין שרוי עמך בחצר נכרי שכבשתו ושרוי עמך בחצר מנין ת""ל לא ימצא ואין לי אלא בבתים בבורות שיחין ומערות מנין תלמוד לומר @16שם@77 בכל גבולך ועדיין אני אומר בבתים עובר משום בל יראה ובל ימצא ובל יטמין ובל יקבל פקדונות מן הנכרים בגבולין שלך אי אתה רואה אבל אתה רואה של אחרים ושל גבוה מנין ליתן את האמור של זה בזה ואת האמור של זה בזה תלמוד לומר שאור שאור לגזירה שוה נאמר שאור בבתים ונאמר שאור בגבולין מה שאור האמור בבתים עובר משום בל יראה ובל ימצא ובל יטמין ובל יקבל פקדונות מן הנכרים אף שאור האמור בגבולין עובר משום בל יראה ובל ימצא ובל יטמין ובל יקבל פקדונות מן הנכרים ומה שאור האמור בגבולין שלך אי אתה רואה אבל אתה רואה של"
2b:1,"אחרים ושל גבוה אף בבתים כן אמר מר יכול יטמין @22א ויקבל פקדונות מן הנכרים ת""ל לא ימצא והאמרת רישא שלך אי אתה רואה אבל אתה רואה של אחרים ושל גבוה לא קשיא הא דקביל עליה @22ב אחריות הא דלא קביל עליה אחריות ואי קביל עליה אחריות אסור דהוה ליה כדידיה כדאמר להו רבא לבני מחוזא בעירו חמירא דבני חילא מבתייכו כיון דאילו מיגניב או מיתביד ברשותייכו קאי ובעיתו לשלוטי כדידכו דמי ואי לא קביל עליה אחריות שרי "
2b:2,"@13דף ו.@77 אמר רבא @11א בהמת ארנונא פטורה מן הבכורה (@68א) (ואע""ג דמצי מסלק ליה בזוזי) @22ג עיסת @11ב ארנונא חייבת בחלה ואף על גב דלא מצי מסליק ליה בזוזי מ""ט בהמה אית לה קלא דלנכרי היא @22ד עיסה לית לה קלא דלנכרי היא "
