page.section,content
1a:1,<b><big>משקין</big></b> בית @11א @18השלחין.
1a:2,"(@66א) ת""ר את חג המצו' תשמור לימד על @22א חולו של מועד שאסור בעשיית מלאכה דברי רבי יאשיה רבי יונתן אומר ק""ו ומה ראשון ושביעי שאין קדושה לא לפניהם ולא לאחריהם אסורין בעשיית מלאכה חולו של מועד שיש קדושה לפניהם ולאחריהם אינו דין שיהו אסורין בעשיית מלאכה ששת ימי בראשית יוכיחו שיש קדושה לפניהן ולאחריהן ומותרין בעשיית מלאכה מה לששת ימי בראשית שכן אין בהן קרבן מוסף תאמר בחולו של מועד שיש בו קרבן מוסף ר""ח יוכיח שיש בו קרבן מוסף ומותר בעשיית מלאכה מה לר""ח שכן אינו קרוי מקרא קודש תאמר בחולו של מועד שכן קרוי מקרא קדש הואיל וקרוי מקרא קדש דין הוא שיהו אסורין בעשיית מלאכה:"
1a:3,"תניא אידך כל מלאכת עבודה לא תעשו לימד על חולו של מועד שאסור בעשיית מלאכה דברי רבי יוסי הגלילי רבי עקיבא אומר אינו צריך הרי הוא אומר אלה מועדי ה' מקראי קדש במה הכתוב מדבר אי בראשון כבר נאמר שבתון ואי בשמיני הרי כבר נאמר שבתון הא אין הכתוב מדבר אלא בחולו של מועד שאסור בעשיית מלאכה תניא אידך ששת ימים תאכל מצות וביום השביעי עצרת מה שביעי עצור אף ששה עצור אי מה שביעי עצור בכל מלאכה אף ששה עצור בכל מלאכה ת""ל השביעי השביעי עצור בכל מלאכה ואין ששה עצור בכל מלאכה הרי שלא מסרן הכתוב אלא לחכמים לומר לך איזה יום אסור ואיזה יום מותר אי זו מלאכה אסורה ואיזו מלאכה מותרת."
1a:4,כדתנן @13מכילתין ב.@77 משקין @11ב בית השלחין במועד ובשביעית בין ממעין שיצא בתחילה בין ממעין שלא יצא בתחילה אבל אין משקין ממי הגשמים ולא ממי הקילון ואין עושין עוגיות לגפנים.
1a:5,מאי משמע דהאי בית השלחין לישנא דצחותא הוא כדכתיב @16דברים כה@77 עיף ויגע ומתרגמין משלהי ולאי ומאי משמע דבית הבעל לישנא דמיתיבותא הוא כדכתיב @16ישעיה סב@77 כי יבעל בחור בתולה יבעלוך בניך ומתרגמינן כמה דמיתותב עולם עם בתולתא כן יתותבון בגויך בנייכי.
1a:6,בית השלחין אין בית הבעל לא מאי טעמא במקום
1b:1,"פסידא שרו רבנן במקום @22א רויחא לא שרו רבנן ואפילו במקום פסידא טירחא יתירא לא טרחינן דקתני אבל לא ממי הגשמים ולא ממי הקילון פירוש קילון כמו ביב @13דף ד.@77 בשלמא מי קילון איכא טירחא יתירא דצריך לאשקויי מיניה בדוולא אלא מי גשמים מאי טירחא איכא אמר רבי אלעזר אמר ר' יוחנן גזירה מי גשמים אטו מי קילון רב אשי אמר מי גשמים נמי לידי מי קילון קאתו: אמר ר' זירא נהרות @11א המושכין מן אגמים מותר להשקות מהם בחולו של מועד והוא דלא פסקי ת""ר הפסיקות והבריכות שנתמלאו מים מעיו""ט אסור להשקות מהן בחולו של מועד ואם היתה אמת המים עוברות תחתיהם מותר אמר רב פפא והוא שרובה של אותה שדה שותה מאותה אמת המים רב אשי אמר אע""פ שאין רובה של אותה שדה שותה מאותה אמת המים כיון דקא משכה ואתיא מימר אמר אי לא שתיא בחד יומא תשתי בתרי ותלתא יומי ת""ר בריכה שנטפה משדה בית השלחין זו מותר להשקות ממנה שדה בית השלחין אחרת והא עבידא דפסקא אמר רבי ירמיה עדיין היא מטפטפת אמר אביי והוא שלא פסק מעין ראשון תניא רבי שמעון בן מנסיא אומר שתי ערוגות זו למעלה מזו לא ידלה מן התחתונה וישקה את העליונה יתר על כן א""ר אלעזר ברבי שמעון אפילו ערוגה אחת חציה נמוכה וחציה גבוהה לא ידלה ממקום נמוך למקום גבוה ת""ר מדלין מים לירקות כדי לאכלן ואם בשביל ליפותן אסור: @13דף ד:@77 ואין עושין עוגיות לגפנים תניא ואלו הן עוגיות ברירין שבעקרי זיתים ושבעיקרי גפנים והני מילי חדתי אבל עתיקי שרי:"
1b:2," <b><big>מתני'</big></b>  @13דף ב.@77 ר' אלעזר בן עזריה אומר אין עושין את האמה בתחלה במועד ובשביעית וחכמי' אומרים עושין את האמה @14בס""י איתא בתחלה בשביעית ומתקנין וכו' וכ""ה במשב""ג [וכ""ה הב""ח]@77 בתחלה במועד ובשביעית ומתקנין את המקולקלות במועד ומתקנין את קלקולי המים שברשות הרבים וחוטטין אותן ומתקנין את הדרכים ואת הרחובות ואת מקואות המים ועושין כל צרכי הרבים ומציינין על הקברות"
2a:1,"ויוצאין (@14ס""א ל""ג@77 אף) על הכלאים:"
2a:2, <b><big>גמ'</big></b>  @13דף ה.@77 ומתקנין את המקולקלות אמר רבי @14בגמ' הגירסא ר' אבא@77 אבהו שאם היתה עמוקה טפח מעמידה על ששה טפחים אביי שרא להו לבני בי הרמך לסחופי נהרא רבי ירמיה שרא להו לבני סבותא למברא להו נהרא טמימא רב אשי שרא להו לבני מתא מחסיא לאקדוחי נהר @22א בירן אמר כיון דרבים שתו מיניה כדרבים נינהו ותנן עושין כל צרכי הרבים:
