page.section,content
1a:1,"<b><big>שבועות</big></b> @22א שתים שהן ארבע ידיעות הטומאה ב' שהן ד' יציאות השבת ב' שהן ד' מראות נגעים ב' שהן ד' (@14ד""ת מ""ז@77 @11א את שיש בה ידיעה בתחלה וידיעה בסוף והעלם בנתיים הרי זה בעולה ויורד יש בה ידיעה בתחלה ואין בה ידיעה בסוף שעיר הנעשה בפנים ויום הכפורים תולה עד שיודע לו ויביא בעולה ויורד אין בה ידיעה בתחלה ויש בה ידיעה בסוף שעיר הנעשה בחוץ ויום הכפורים מכפר (א)) וכל שאין בה ידיעה לא בתחלה ולא בסוף שעירי רגלים ושעירי ראשי חדשים מכפרים דברי ר' יהודה ר""ש אומר שעירי רגלים מכפרין אבל לא שעירי ראשי חדשים ועל מה שעירי ראשי חדשים מכפרין על הטהור שאכל טמא ר""מ אומר כל השעירין כפרתן שוה על טומאת מקדש וקדשיו:"
1a:2," <b><big>גמ'</big></b> @13דף ט.@77 אמר רב יהודה אמר רב מאי טעמא דר' יהודה דכתיב @16במדבר כח@77 ושעיר עזים אחד לחטאת לה' חטא שאין מביד בו אלא ה' יהא שעיר זה מכפר והאי מיבעי ליה לכדר""ש בן לקיש דאמר (ב) מה נשתנה שעיר של ראש חדש שנא' בו לה' אמר הקב""ה שעיר זה יהא כפרה עלי שמעטתי את הירח א""כ לימא קרא על ה' מאי לה' ש""מ תרתי."
1a:3,"עיקר הא מילתא בפ' אלו טריפות@14חולין דף ס:@77 דאמרינן התם ר""ש בן פזי רמי כתיב @16בראשית א@77 ויעש אלהים את שני המאורות הגדולים וכתיב @16שם@77 את המאור הקטן אמרה ירח לפני הקב""ה רבש""ע (ג) אי אפשר לשני מלכים להשתמש בכתר אחד אמר לה הקב""ה (ד) לך ומעט עצמך אמרה לפניו רבון של עולם מפני שאמרתי לפניך דבר הגון אמעט את עצמי אמר לה (ה) ולמשול"
1b:1,"ביום ובלילה אמרה ליה מאי רבותא דשרגא בטיהרא מאי מהניא א""ל לך וימנו בך ישראל ימים ושנים לדידיה נמי לא סגיא דלא מנו ביה דכתיב @16בראשית א@77 והיו לאותות ולמועדים ולימים ושנים א""ל צדיקים יקראו על שמך יעקב הקטן שמואל הקטן דוד הקטן לא הוה מיתבה דעתה אמר הקדוש ברוך הוא הביאו כפרה (א) לפני שמיעטתי את הירח "
1b:2,"והיינו דאמר ריש לקיש מה נשתנה שעיר של ראש חדש שנאמר בו לה' אמר הקב""ה שעיר זה יהא כפרה עלי שמיעטתי את הירח כלומר כיון שאמר לה הקב""ה ולמשול ביום ובלילה ולא נתישבה דעתה אמר לה (ב) עוד לך וימנו בך ישראל ימים ושנים ולא נתישבה דעתה אמר לה לך צדיקים יקראו על שמך ועוד לא נתישבה דעתה אמר לה הקב""ה הנני עושה לך כבוד שמישב דעתך תחת שמיעטתיך ומאי ניהו שיהו ישראל בכל ר""ח מקריבין קרבן (@69א) לפני לכפר עונותיהם לפיכך אמר הקב""ה (ג) הביאו כפרה לפני בר""ח לכפר עליכם כדי שתשלימו עלי בקרבן כפרה זה את הכבוד שאמרתי לעשות לירח בשביל שמיעטתיו וזה הוא פירוש הביאו כפרה עלי שמיעטתי וכו':"
1b:3,"ירושלמי ר' יעקב בר אחא בשם רבי יוסי העובר לפני התיבה בי""ט של ר""ה אין צריך להזכיר של ר""ח בר אביי עבר קומי תבותא ולא אידכר דירחא וקלסוניה וה""נ אסיקנא בגמרא דילן בעירובין@14דף מ:@77 שאומר @11א זכרון אחד עולה לכאן ולכאן תנא דבי ר' ישמעאל כך היא מדת הדין נוהגת יבא זכאי ויכפר על החייב ואל יבא (@69ב) חייב ויכפר על החייב:"
1b:4,הדרן עלך שבועות שתים
1b:5,@13דף יד.@77  <b><big>ידיעות</big></b>  @11ב הטומאה שתים שהן ארבע נטמא וידע ונעלמה ממנו הטומאה וזכור לקדש נעלם ממנו הקדש וזכור לטומאה נעלמו ממנו זה וזה ואכל את הקדש ולא ידע ומשאכל ידע הרי זה בעולה ויורד @13דף יד:@77 היה משמש עם הטהורה @22א ואמרה לו נטמאתי ופירש מיד חייב שיציאתו הנייה לו בביאתו.
1b:6," <b><big>גמ'</big></b>  אלא @13דף יח.@77 היכי עביד אמר רב הונא משמיה דרב נועץ (ד) צפרניו בארץ עד שימות הגיד @13דף יח:@77 ת""ר @16ויקרא טו@77 והזרתם את בני ישראל מטומאתם מיכן א""ר יאשיה אזהרה לבני ישראל שיפרשו מנשותיהן @11ג סמוך לוסתן וכמה אמר רבא עונה וכמה עונה או יום או לילה א""ר יוחנן משום ר""ש בן יוחאי כל שאינו פורש מאשתו סמוך לוסתה אפילו הויין לו בנים כבני אהרן מתים שנאמר והזרתם את בני ישראל מטומאתם וגו' וכתיב @16ויקרא טו@77 והדוה בנדתה וגו' וסמיך ליה אחרי מות א""ר חייא בר אבא א""ר יוחנן כל הפורש מאשתו סמוך לוסתה הויין לו בנים זכרים שנאמר @16שם יא@77 ולהבדיל בין הקדש ובין החול ובין הטמא ובין הטהור וסמיך ליה אשה כי תזריע וילדה זכר ר' יהושע בן לוי אמר הויין לו בנים שראוים להוראה שנאמר ולהבדיל ולהורות"
1b:7,"א""ר בנימין בר יפת א""ר אלעזר כל המקדש עצמו בשעת תשמיש הויין לו בנים זכרים שנאמר @16שם@77 והתקדשתם והייתם קדושים וכתיב בתריה אשה כי תזריע וגו' פירוש (ה) יקדש עצמו בשעת תשמיש כגון הא דאמרינן @14נדרים כ:@77 שאלו את אימא שלום אשתו של רבי אליעזר מפני מה בניך יפיפין ביותר אמרה להן אינו מספר עמי לא בתחלת הלילה ולא בסוף הלילה אלא בחצי הלילה וכשהוא מספר עמי מגלה טפח ומכסה טפח ודומה כמי שכפאו שד אמרתי לו מה טעם אמר לי מפני שלא אתן עיני באשה אחרת ונמצאו בני באין לידי ממזרות וכגון"
