page.section,content
1a:1,@13דף ב.@77   <b><big>הכל</big></b>  @11א שוחטין @22א ושחיטתן כשרה חוץ מחרש @22ב שוטה וקטן שמא יקלקלו בשחיטתן וכולן ששחטו ואחרים רואין אותן שחיטתן כשרה:
1b:1,@13דף יג.@77 שחיטת @22א העובד כוכבים נבלה ומטמאה במשא:
1b:2,@13דף יג:@77 השוחט בלילה וכן סומא ששחט שחיטתו כשרה @13דף יד:@77  השוחט בשבת וביום הכפורים אף על פי שמתחייב בנפשו שחיטתו כשרה:
1b:3," <b><big>גמ'</big></b>  @13דף ט.@77 אמר רב יהודה אמר שמואל כל טבח @22ב שאינו יודע הלכות שחיטה אסור לאכול משחיטתו ואלו הן הלכות שחיטה שהייה דרסה חלדה הגרמה ועיקור מאי קמ""ל כלהו תנינהו לא צריכא אע""פ ששחט לפנינו שנים ושלשה פעמים ושחט שפיר מהו דתימא הא איתחזק קמ""ל דכיון דלא גמיר זמנין דשהי ודריס ולא ידע "
1b:4,ואמר רב יהודה אמר שמואל הטבח @22ג צריך שיבדוק הסימנין לאחר שחיטה @11א לא בדק מאי אמר רבי אלעזר בן אנטיגנוס משום רבי אלעזר בר' ינאי טרפה במתניתא תנא נבלה ומטמאה במשא דאמר רב הונא בהמה בחייה בחזקת איסור עומדת עד שיודע לך במה נשחטה  נשחטה הרי היא בחזקת @22ד היתר עד שיודע לך במה נטרפה כלומר שכל זמן שהיא בחיים הרי היא אסורה משום אבר מן החי ואינה ניתרת אלא בשחיטה כשרה וכמו כן בסכין שאין בה פגם הילכך אם לא נתברר שנשחטה שחיטה כראוי בין בסימנין בין בסכין יפה הרי היא בחזקת איסור עד שיודע לך
2a:1,"במה נשחטה ומטמאה במשא כנבלה ואם נתברר לך שנשחטה שחיטה כשרה הרי היא בהזקת היתר עד שיודע לך במה נטרפה @11א ואפי' בא זאב ונטל את בני מעיה והחזירן כשהן מנוקבין לא חיישינן שמא במקום נקב נקב אלא הרי היא בחזקת היתר ואין מטריפין בזה הנקב וכן הלכה וה""מ באיסורא אבל @11ב בסכנתא כגון שראה צפור מנקר בתאנה ועכבר מנקר באבטיח @13דף ט:@77 חיישינן שמא במקום נקב נקב ואסור משום סכנת נפשות:"
2a:2,@13דף ח:@77 איתמר @11ג השוחט בסכין של @22א עובדי כוכבים רב אמר קולף רבה בר בר חנה אמר מדיח והלכתא מדיח ולקולא ואיכא מאן
2b:1,דפסק כרב לחומרא  סכין ששחט בה טריפה @22א פליגי בה רב אחא ורבינא חד אמר מדיחה בחמין וחד אמר מדיחה בצונן והלכתא מדיחה אפילו בצונן ואי איכא בליתא דפרסא לא צריך אלא מכפרה בבליתא דפרסא תיכף ששחט בה בהמה או עוף ואינה צריכה הדחה:
2b:2,"אמר רב יהודה אמר רב הטבח צריך @11א שיהיו לו ג' סכינין @22ב אחת ששוחט בה ואחת שמחתך בה בשר ואחת שמחתך בה חלבים ונתקין ליה חדא ונחתוך בה בשר ואח""כ נחתוך בה חלבים גזרה שמא יחתוך חלבים ואח""כ בשר ואמר רב יהודה אמר רב הטבח צריך שיהיו לו שני כלים של מים אחד שמדיח בו בשר ואחד שמדיח בו חלבים ונתקין ליה חד ונדיח בו בשר ואחר כך נדיח בו חלבים גזירה שמא ידיח חלבים ואח""כ ידיח בשר אמר אמימר משמיה דרבא לא ליסחוף איניש כפלי עילוי בישרא דדאיב תרבא ובלע בישרא אי הכי כי תריצי נמי דאיב תרבא ובלע בישרא קרמא פסיק מתתאי אי הכי @13דף ט.@77 מעילאי נמי איכא קרמא איכא וקליש ואיידי דממשמש ביה ידא דטבחא  מיפתת:"
2b:3,אמר רב יהודה אמר רב תלמיד חכם צריך שילמוד שלשה דברים כתב שחיטה ומילה ורב חיננא בר שלמיה משמיה דרב אמר אף קשר של תפילין וברכת חתנים וציצית ואידך הני שכיחן והני לא שכיחן:
