page.section,content
1a:1,"<b><big>ביצה</big></b> @11א <b><big>שנולדה</big></b> @22א ביום טוב ב""ש אומרים תאכל ובית הלל אומרים לא תאכל בית שמאי אומרים שאור בכזית וחמץ בככותבת וב""ה אומרים זה וזה בכזית:"
1a:2," <b><big>גמ'</big></b>  במאי עסקינן אילימא בתרנגולת העומדת לאכילה מאי טעמייהו דב""ה אוכלא דאיפרת הוא ואלא בתרנגולת העומדת לגדל ביצים מאי טעמייהו דב""ש מוקצה הוא ואוקמה רבה @13דף ב:@77 בתרנגולת העומדת לאכילה וביו""ט שחל להיו' אחר השבת עסקינן ומשום הכנה וקא סבר רבה כל ביצה דמתילדא האידנא מאיתמול גמרה לה (@68א) רבה לטעמיה דאמר רבה @16שמות טז@77 והיה ביום הששי והכינו"
1b:1,"חול מכין לשבת וחול מכין ליו""ט ואין יו""ט מכין לשבת ואין שבת מכינה @22א ליו""ט א""ל אביי אלא מעתה יו""ט דעלמא תשתרי גזירה יו""ט דעלמא אטו יום טוב לאחר שבת שבת דעלמא תשתרי גדרה משום שבת אחר יו""ט א""ל ומי גזרינן והתניא השוחט תרנגולת ומצא בה ביצים גמורות מותר לאכלן ביו""ט ואם איתא @22ב נגוזר משום הנך דמתילדן ביומייהו א""ל ביצים גמורות במעי אמן מילתא דלא שכיח הוא ומילתא דלא שכיח לא גזרו ביה רבנן:"
1b:2,"@13דף ד.@77 איתמר שבת ויו""ט רב אמר @11א נולדה בזה אסורה בזה ור' יוחנן אמר נולדה בזה מותרת בזה וקא מיפלגי בהכנה דרבה דרב אית ליה הכנה דרבה ור' יוחנן לית ליה הכנה:"
1b:3,"דרבה וקי""ל כרב דאמר @13דף ד:@77 רבא הלכתא כותיה דרב בהני תלת בין לקולא @22ג ובין לחומרא חדא הא דאמרן ואידך דאיתמר ב' ימים טובים של גליות רב אמר נולדה בזה מותרת בזה ורב אסי אמר נולדה בזה אסורה בזה ואידך דאיתמר שני ימים טובים של ר""ה רב ושמואל דאמרי תרוייהו נולדה"
2a:1,בזה @22א אסורה בזה.
2a:2,"וביצה @11א דמיתילדא בשבת או ביו""ט לא מיבעיא למיכלה דאסיר אלא אפי' לטלטלה נמי אסיר דתניא @13דף ג:@77 אחת ביצה שנולדה ביו""ט ואחת ביצה שנולדה בשבת אין מטלטלין אותה לא לכסות בה את הכלי ולא לסמוך בה כרעי המטה אבל כופה עליה כלי בשביל שלא תשבר @22ב וספיקה אסורה ואם נתערבה באלף כולן אסורות:"
2a:3,"והאי דאמרינן @11ב שבת ויו""ט נולדה בזה אסורה בזה לא שנא שבת אחר יו""ט ולא שנא יו""ט אחר שבת דקיימא לן כרבה דאמר חול מכין לשבת וחול מכין ליו""ט ואין יו""ט מכין לשבת ואין שבת מכינה ליום טוב."
2a:4,"@13דף ד.@77 ותניא נמי הכי נולדה בשבת תאכל ביום טוב נולדה ביום טוב תאכל בשבת רבי יהודה אומר משום ר' אליעזר עדיין הוא מחלוקת שב""ש אומרים תאכל וב""ה אומרים לא תאכל וקיימא לן כר' יהודה ואמרינן נמי אושפזיכניה דרב אדא בר אהבה הוו ליה הנך ביצים מיו""ט לשבת אתא לקמיה א""ל מהו לאטווינהו האידנא ולמכלינהו למחר א""ל מה דעתיך רב ורבי יוחנן הלכה כר' יוחנן עד כאן לא קא שרי ר' יוחנן אלא לגמעה (א) למחר אבל לטלטלינהו ביומיה לא דתניא אחת ביצה שנולדה בשבת ואחת ביצה שנולדה ביו""ט אין מטלטלין אותה לא לכסות בה את הכלי ולא לסמוך בה כרעי המטה:"
2a:5,"אושפזיכניה דרב פפא הוו ליה הנך ביצים משבת ליו""ט אתא לקמיה דרב פפא א""ל מהו למכלינהו למחר א""ל זיל האידנא ותא למחר דרב לא מוקים אמורא עליה מיו""ט לחברו משום שכרות כי אתא למחר א""ל @13דף ד:@77 איכו השתא אשתלאי ואמרי לך רב ורבי יוחנן הלכה כר' יוחנן הכי אמר רבא הלכתא כוותיה דרב בהני תלת בין לקולא בין לחומרא:"
2a:6,"ועצים @11ג שנשרו מן הדקל בשבת אסור להסיקן ביו""ט משום הכנה דרבה ואם נשרו מן הדקל ביו""ט אסור להסיקן ביו""ט בפני עצמן משום דהוו להו נולד ואסרי להו רבנן שמא יעלה ויתלוש אבל אם נשרו מן הדקל לתוך התנור עביד להו כרב מתנה דאמר רב מתנה עצים שנשרו מן הדקל לתנור ביו""ט מרבה @22ג עליהן עצים מוכנים ומסיקן ואע""ג דקא מהפך [@14ס""י@77 באיסורא] כיון"
2b:1,"דרובא היתרא נינהו הנך בטלי ברובא ובהיתירא קא מהפך @11א ואע""ג דקי""ל אין מבטלין איסור לכתחלה ה""מ איסורא דאורייתא אבל איסורא דרבנן מבטלינן ליה לכתחלה ואע""ג דקיימא לן כרב אשי דאמר כל דבר שיש לו מתירין אפילו באלף לא בטל ואפילו בדרבנן והני עצים שנשרו מן הדקל ביום טוב דבר שיש לו מתירין הן דהיום אסורין ולמחר מותרין ה""מ היכא דאיתיה לאיסורא בעיניה אבל הכא מיקלא קלי איסורייהו (@68א):"
2b:2,"@13דף ה.@77 אמר רבה מתקנת רבן יוחנן בן זכאי ואילך @11ב ביצה מותרת ביום טוב שני של ר""ה דתנן משחרב בית המקדש התקין רבן יוחנן בן זכאי שיהו מקבלין עדות החדש כל היום א""ל אביי והא רב ושמואל דאםרי תרוייהו ביצה אסורה ופריק לא קשיא הא לן והא להו ואסיקנא @13דף ה:@77 רבא אמר אף @22א מתקנת רבן יוחנן בן זכאי"
3a:1,"ואילך ביצה אסורה מי לא מודה רבן יוחנן בן זכאי שאם באו עדים מן המנחה ולמעלה שנוהגין אותו היום קדש ולמחר קדש אלמא קדושה אחת היא וביצה אסורה בתרוייהו ושמעינן (@68א) מיהא דבני ארץ ישראל צריכי למעבד שני ימים טובים של ר""ה:"
3a:2,"@13דף ו.@77 אמר רבא מת בי""ט ראשון יתעסקו בו @22א עממים בי""ט שני יתעסקו @22ב ישראל ואפילו בשני יו""ט של ר""ה מה שאין כן בביצה אמר רב זוטרא לא אמרן אלא דאישתהי אבל לא אישתהי משהינן ליה ורב אשי אמר אע""ג דלא אישתהי לא משהינן ליה מ""ט יו""ט שני לגבי מת כחול שויוה רבנן ואפי' למיגד ליה גלימא ואפי' למיגז ליה אסא רבינא הוה @11א יתיב קמיה דרב אשי בשני ימים טובים"
3b:1,"של ר""ה חזייה דהוה עציב א""ל אמאי עציבת א""ל דלא אותיבי עירובי תבשילין א""ל וליתב מר האידנא מי לא אמר רבא מניח אדם עירובי תבשילין מיו""ט לחברו ומתנה א""ל אימור דאמר רבא בשני ימים טובים של גליות בשני יו""ט של ר""ה מי אמר א""ל והא אמרי נהרדעי אף (א) בביצה א""ל רב מרדכי בפירוש אמר לי מר לא ס""ל להא דנהרדעי:"
3b:2,"איתמר @11א אפרוח @22א שנולד ביו""ט רב אמר אסור ושמואל ואיתימא ר' יוחנן אמר מותר רב אמר אסור מוקצה הוא ושמואל ואיתימא רבי יוחנן אמר מותר הואיל ומתיר עצמו בשחיטה:"
3b:3,"ועגל שנולד ביו""ט מותר הואיל ומוכן אגב אמו והוא דקים ליה שכלו לו חדשיו אבל אי לא קים ליה שכלו לו חדשיו אסור עד ליל שמיני וכבר ביררנו ענין זה בשבת בפרק ר""א אומר אם לא הביא כלי (ב):"
3b:4,"@13דף ו:@77 תניא השוחט @11ב תרנגולת ומצא בה בצים גמורות מותרות לאכלן ביו""ט @11ג והשוחט תרנגולת ומצא בה בצים גמורות מותרות לאכלן בחלב והוא שאינן @22ב מעורות בגידין אבל מעורות בגידין אסור לאכלן בחלב @13דף ז.@77 אמר רב מארי בריה דרב כהנא @11ד בדק בקינה של תרנגולין מערב יו""ט ולא מצא בה בצים ולמחר השכים ומצא בה ביצה מותרת בידוע דמאיתמול איתילדה דקי""ל כל שתשמישו ביום מוליד ביום ולא בלילה ומאי ניהו תרנגולת ואע""ג דבדק מערב יו""ט אימור לא בדק יפה יפה ואע""ג דבדק יפה יפה אימור יצתה רובה וחזרה ומותרת הואיל ואינה יולדת בלילה וכדר' יוחנן דא""ר יוחנן ביצה שיצאה רובה מערב יו""ט וחזרה מותרת לאכלה ביו""ט ודוקא דאיכא זכר בהדה אבל ליכא זכר בהדה לא דכיון דספנא מארעא איפשר דילדה בליליא:"
3b:5, <b><big>מתני'</big></b>  @13דף ב.@77 @11ה השוחט חיה
4a:1,"@22א ועוף ביו""ט בש""א יחפור בדקר ויכסה ובה""א @22ב לא ישחוט אא""כ היה לו עפר מוכן מבעו""י ומודים שאם שחט שיחפור בדקר ויכסה שאפר כירה מוכן הוא:"
4a:2," <b><big>גמ'</big></b>  @13דף ז:@77 א""ר זריקא א""ר יהודה והוא שיש לו דקר נעוץ מבעו""י והא קא עביד כתישה אמר רב חייא בר אשי אמ' רב @13דף ח.@77 בעפר תיחוח:"
4a:3,"שאפר כירה מוכן הוא: אמר רב יהודה אמ' רב לא שנו אלא שהוסק מערב יו""ט אבל (@68א) ביו""ט אסור ואם ראוי לצלות בו @22ג ביצה מותר תניא נמי הכי כשאמרו אפר כירה מוכן לא אמרו אלא שהוסק מעיו""ט אבל הוסק ביו""ט אסור ואם ראוי לצלות בו ביצה מותר."
4a:4,"הכניס עפר לגנתו ולחורבתו מותר לכסות בו: א""ר יהודה מכניס אדם מלא קופתו עפר ועושה בו כל צרכו:"
