page.section,content
1a:1,"לפני אידיהן של עובדי כוכבים @11א שלשה ימים אסור [א] לשאת ולתת עמהן להשאילן ולשאול מהן להלוותן וללוות מהן לפורען וליפרע מהן ר' יהודה אומר נפרעין מהן מפני שמיצר להם אמרו לו אע""פ (א) שמיצר עכשיו שמח הוא לאחר זמן:"
1a:2,"@13דף ז:@77 ר' ישמעאל אומר שלשה לפניהם ושלשה לאחריהם אסור וחכ""א לפני אידיהן אסור לאחר אידיהן מותר:"
1a:3, <b><big>גמ'</big></b>  @13דף ו.@77 איבעיא להו ג' ימים הן ואידיהן או דלמא הן בלא אידיהן ומסקנא הן בלא אידיהן:
1a:4,@13דף יא:@77 אמר שמואל ובגולה אינו אסור אלא יום אידם בלבד (@68א) והא רב יהודה שרא ליה לרב [ב] כהנא לזבוני חמרא ולרב גידל לזבוני חיטי בחגא דטייעי שאני חגא דטייעי דלא קביעא:
1a:5,"@13דף ו:@77 איבעיא להו @22א נשא ונתן לפני אידיהן מהו ר' יוחנן אמר אם נשא ונתן אסור ורשב""ל אמר אם נשא ונתן מותר והלכתא כרבי שמעון בן לקיש דתניא כותיה כשאמרו אסור לשאת ולתת עמהן לא אמרו אלא בדבר המתקיים אבל דבר שאין מתקיים מותר ואפילו דבר המתקיים (@68ב) נשא ונתן מותר תני רב זביד בדבי ר' אושעיא דבר שאין מתקיים מוכרין להן אבל אין לוקחים מהן"
1b:1," ולכולי עלמא (א) נשא ונתן ביום אידיהן אסור וכן הלכתא ההוא מינא דשדר ליה דינר קסרינא לר' יהודה נשיאה ביום אידו הוה יתיב ר""ש בן לקיש קמיה אמר היכי איעביד אישקליה אזיל @22א מודי קמי עבודת כוכבים לא אישקליה הויא ליה איבה א""ל רשב""ל טול והשליכו לבור לפניו (@68א) כל שכן דהויא ליה איבה א""ל (@68ב) כלאחר יד:"
1b:2,"גרסינן בפרק השוכר את הפועל רב יהודה משדר ליה קורבנא @14דף סה.@77 לאבדרבן ביום אידם אמר ידענא ביה דלא פלח לעבודת כוכבים א""ל רב יוסף והא תניא אי זה הוא גר תושב כל שקיבל עליו בפני שלשה חברים שלא לעבוד עבודת כוכבים אמר ליה כי תניא ההיא להחיותו והא אמר רבה בר בר חנה אמר רבי יוחנן גר תושב שעבר עליו שנים עשר חדש ולא מל הרי הוא כמין שבעובדי כוכבים התם כגון שקיבל עליו למול ולא מל:"
1b:3,@13דף ו:@77 תניא ר' נתן אומר מנין @22ב שלא יושיט @11א אדם כוס יין לנזיר ואבר מן החי לבני נח תלמוד לומר ולפני עור לא תתן מכשול ודוקא (@68ג) דהוה קאי בתרי עיברי נהרא דלא מצי איהו שקיל ליה [א] (@68ד) ודיקא נמי דקתני לא יושיט (@68ה) שמע מינה:
1b:4,@11ב לפורען וליפרע מהן: מתניתין דלא כרבי יהושע בן קרחה דתניא רבי יהושע בן קרחה אומר  מלוה בשטר אין נפרעין מהם מלוה על פה נפרעים מהם מפני שהוא כמציל מידם אמר רב הונא הלכה כר' יהושע בן קרחה:
1b:5," @11ג ת""ר הנשאל לחכם וטימא @22ג לא ישאל לחכם ויטהר לחכם ואסר"
2a:1,לא ישאל לחכם ויתיר היו שנים אחד מטמא ואחד מטהר אחד אוסר ואחד מתיר אם היה אחד מהם גדול מחבירו בחכמה ובמנין הלך אחריו ואם לאו הלך אחר המחמיר ר' יהושע בן קרחה אומר בשל תורה הלך אחר המחמיר בשל סופרים הלך אחר המיקל אמר רב יוסף הלכה כר' יהושע בן קרחה:
2a:2,תנו רבנן @11א כל הפושעים שחזרו אין מקבלין אותם עולמית דברי ר' מאיר ר' יהודה אומר חזרו בהן במטמוניות אין מקבלין אותן בפרהסיא מקבלין אותן ר' יהושע בן קרחה ורבי שמעון אומרים בין כך ובין כך מקבלין אותם שנאמר @16ירמיה יג@77 שובו בנים שובבים אמר ר' יצחק איש כפר עיטוש אמר רבי יוחנן הלכה כאותו הזוג:
