Index Title,Bader-Jewishspritualheroes-Vol1.
Version Title,"Commentary on the Torah by Ramban (Nachmanides). Translated and annotated by Charles B. Chavel. New York, Shilo Pub. House, 1971-1976"
Language,he
Version Source,https://www.nli.org.il/he/books/NNL_ALEPH002108945/NLI
Version Notes,
"Bader-Jewishspritualheroes-Vol1., Akabia Ben Mahalalel.1",N<small>UMEROUS INDICATIONS</small> in the Talmud suggest that during the life time of Hillel and Shammai there lived other spiritual leaders who followed an individual method in interpreting the Torah and who did not identify themselves with either of the above. Some of these are mentioned by name on a number of unimportant occasions. Others did not even attain this recognition.
"Bader-Jewishspritualheroes-Vol1., Akabia Ben Mahalalel.2","Akabia ben Mahalalel was one of the scholars who developed an individual method of exposition. We possess but vague knowledge of his life and activities. One report states that he was excommunicated without naming the sin for which he was thus punished. But this report is immediately contradicted and it is said that whoever invented such a slanderous rumor about a saintly man such as Akabia was, deserves severe punishment.<sup>1)</sup><i class=""footnote""><span dir=""rtl"">1) עדיות פּרק ה׳ משנה ו׳.</span></i>"
"Bader-Jewishspritualheroes-Vol1., Akabia Ben Mahalalel.3",Considering all references to Akabia ben Mahalalel in the Talmud one must conclude that he was an unusual man who was gifted by nature with great perseverance. The nation was then engaged in a great struggle to preserve its independence against outside enemies and was rent by an internal conflict over the observance of the Torah. In such a time Akabia ben Mahalalel succeeded in remaining above the inner and outer struggles and in maintaining his neutrality toward the contending sides.
"Bader-Jewishspritualheroes-Vol1., Akabia Ben Mahalalel.4","So far as we know, Akabia ben Mahalalel did not hold any official position. In religious questions he contributed his opinion on only four subjects which are of such rare occurrence that a century may pass before such problems present themselves again. Since his point of view differed from that of the other scholars and he expressed his opinions with a certain disrespect for the leaders of a previous generation he was therefore excommunicated."
"Bader-Jewishspritualheroes-Vol1., Akabia Ben Mahalalel.5","The original source of the four laws on which Akabia ben Mahalalel held dissenting views we find in the above mentioned Mishna. One dealt with special cases of leprosy, the other law concerned a woman who has an issue of blood, the third dealt with the wool shed by a clean first-born animal that was crippled, and the fourth concerned a woman suspected of infidelity who was a proselyte or a freed woman."
"Bader-Jewishspritualheroes-Vol1., Akabia Ben Mahalalel.6","The first two laws come under the category of legislation pertaining to cleanliness and impurity and their interpretation involves medical considerations. We will, however, devote a few words to the third and fourth laws."
"Bader-Jewishspritualheroes-Vol1., Akabia Ben Mahalalel.7","The first born of a clean animal had to be sacrificed in Jerusalem according to the prescribed custom for minor holy offerings (<span dir=""rtl"">קדשים קלים</span>).	As long as such animal lived, one was not allowed to put it to work nor to shear its wool. In case such an animal became crippled it had to be slaughtered and given to a priest. As stated above, it was prohibited to shear the wool of such a first born animal, nor could the wool be utilized after it was slaughtered. But Akabia ruled that the priest was entitled to the use of that wool which the animal shed while it was still alive, while the other scholars disagreed with him."
