Index Title,Shevuot
Version Title,"Talmud Bavli. German trans. by Lazarus Goldschmidt, 1929 [de]"
Language,en
Version Source,https://www.nli.org.il/he/books/NNL_ALEPH001042448/NLI
Version Notes,
Shevuot 2a:1,"<sup>i</sup>B<small>EI DEN</small> S<small>CHWÜREN</small><sup>1</sup><i class=""footnote"">Der T. unterscheidet 4 Klassen von Schwüren. 1. der Bekräftigungs- oder Beteuerungsschwur, (wörtlich Ausspruchsschwur, שבועת ביטוי), dh. wenn jemand eine gleichgültige, niemand betreffende Handlung promissorisch od. assertorisch beschwört; bei diesem gibt es 2 Arten: bejahend u. verneinend, die in 4 zerfallen: promissorisch u. assertorisch.</i><small>GIBT ES ZWEI</small> A<small>RTEN, DIE IN VIER ZERFALLEN</small>."
Shevuot 2a:2,"B<small>EI DER</small> U<small>NREINHEIT GIBT ES ZWEI</small> A<small>RTEN DES</small> B<small>EWUSSTSEINS</small><sup>2</sup><i class=""footnote"">der Nichtigkeitsschwur (<span dir=""rtl"">שבועת שלא</span>), dh. ein Schwur, der !an und für sich eine Verletzung der Heiligkeit des Eides ist; dieser zerfällt ebenfalls in 4 Abteilungen: X. wenn jemand ein Absurdum beschwört u. jedermann von der Unwahrheit überzeugt ist; 2. wenn jemand etwas Selbstverständliches beschwört; 3. wenn jemand schwört, er werde eine biblische Vorschrift unterlassen; 4. wenn jemand schwört, etwas Unmögliches zu tun. 3. der Beweiseid (<span dir=""rtl"">שבועת הפקדון</span>), der vom Gerichte dem Beklagten auf erlegte Eid. 4. der Zeugniseid (<span dir=""rtl"">שבועת העדות</span>), wenn ein als Zeuge Genannter nichts zu wissen behauptet, so hat er dies zu beschwören. Die aussagenden Zeugen werden nicht vereidigt. Unser Abschnitt handelt von der 1. Klasse. 2. Daß man unrein ist, bezw. daß man die betreffende Sache nicht unrein berühren darf.</i>, <small>DIE IN VIER</small><sup>3</sup><i class=""footnote"">Die Erklärung folgt weiter.</i><small>ZERFALLEN</small>."
Shevuot 2a:3,"B<small>EIM</small> S<small>ABBATHGESETZE GIBT ES ZWEI</small> A<small>RTEN DES</small> H<small>INAUSBRINGENS</small><sup>4</sup><i class=""footnote"">Es ist verboten, am S. eine Sache aus einem Gebiete nach einem anderen umzutragen.</i>, <small>DIE IN VIER</small><sup>5</sup><i class=""footnote"">Herauslangen einer Sache aus der Wohnung nach der Straße, Hinausreichen einer Sache aus der Wohnung nach der Straße, Hereinlangen einer Sache aus der Straße in die Wohnung, Hineinreichen einer Sache aus der Straße nach der Wohnung.</i><small>ZERFALLEN</small>."
Shevuot 2a:4,"B<small>EI DEN</small> A<small>USSATZMALEN GIBT ES ZWEI</small> A<small>RTEN, DIE IN VIER</small><sup>6</sup><i class=""footnote"">Glanzfleck (<span dir=""rtl"">בהרת</span>) und Hochfleck (<span dir=""rtl"">שאת</span>), u. jede hat noch eine Unterart (<span dir=""rtl"">ספחת</span>).</i><small>ZERFALLEN</small>."
Shevuot 2a:5,"<sup>ii</sup>W<small>ARAR</small> B<small>EWUSSTSEIN VORHANDEN VORHER</small><sup>7</sup><i class=""footnote"">Bevor, bezw. nachdem der Unreine mit dem Heiligen in Berührung gekommen ist.</i><small>UND NACHHER</small><sup>7</sup><i class=""footnote"">Bevor, bezw. nachdem der Unreine mit dem Heiligen in Berührung gekommen ist.</i>, <small>ZWISCHENDURCH ABER EIN</small> E<small>NTFALLEN, SO HAT MAN EIN AUF- UND ABSTEIGENDES</small> O<small>PFER</small><sup>8</sup><i class=""footnote"">Je nach den Vermögensverhältnissen der Person; der Reiche ein Viehopfer, der Ärmere ein Geflügelopfer u. der Ärmste ein Speisopfer; cf. Lev. 5,6ff.</i><small>DARZUBRINGEN.</small>"
Shevuot 2a:6,"W<small>AR VORHER</small> B<small>EWUSSTSEIN VORHANDEN, NICHT ABER</small> B<small>EWUSSTSEIN NACHHER, SO BRINGEN DER INNERHALB HERGERICHTETE</small> B<small>OCK</small><sup>9</sup><i class=""footnote"">Dessen Blut am Versöhnungstage auf dem Altar im Allerheiligsten gesprengt wird; cf. Lev. Kap. 16.</i><small>UND DER</small> V<small>ERSÖHNUNGSTAG [DIE</small> S<small>ÜNDE] IN DIE</small> S<small>CHWEBE, UND WENN ER SICH DERSELBEN BEWUSST WIRD, SO BRINGE ER EIN AUF- UND ABSTEIGENDES OPFER DAR</small>."
Shevuot 2a:7,"<sup>iii</sup>W<small>AR VORHER KEIN</small> B<small>EWUSSTSEIN VORHANDEN, WOHL ABER</small> B<small>EWUSSTSEIN NACHHER, SO SCHAFFEN IHM DER AUSSERHALB HERGERICHTETE</small> B<small>OCK UND DER</small> V<small>ERSÖHNUNGSTAG</small> S<small>ÜHNE, DENN ES HEISST</small>:<sup>10</sup><i class=""footnote"">Num. 29,11.</i> <i>außer dem Sündopfer der Versöhnung</i>, <small>WOFÜR DER EINE</small> S<small>ÜHNE SCHAFFT, SCHAFFT AUCH DER ANDERE</small> S<small>ÜHNE: WIE DER INNERHALB HERGERICHTETE NUR FÄLLE SÜHNT, WOBEI</small> B<small>EWUSSTSEIN VORHANDEN WAR, EBENSO SÜHNT AUCH DER AUSSERHALB HERGERICHTETE NUR</small> F<small>ÄLLE, WOBEI</small> B<small>EWUSSTSEIN VORHANDEN WAR</small>."
Shevuot 2a:8,"<sup>iv</sup>W<small>AR</small> B<small>EWUSSTSEIN WEDER VORHER NOCH NACHHER VORHANDEN, SO SCHAFFEN IHM DIE</small> B<small>ÖCKE DER</small> F<small>ESTTAGE UND DIE</small> B<small>ÖCKE DER</small> N<small>EUMONDE</small> S<small>ÜHNE – SO</small> R. J<small>EHUDA</small>. R. Š<small>IMO͑N SAGT, DIE</small> B<small>ÖCKE DER</small> F<small>ESTTAGE SCHAFFEN IHM</small> S<small>ÜHNE, NICHT ABER DIE</small> B<small>ÖCKE DER</small> N<small>EUMONDE; DIE</small> B<small>ÖCKE DER</small> N<small>EUMONDE SÜHNEN NUR DEN</small> F<small>ALL</small>,"
Shevuot 2b:1,"<small>WENN EIN</small> R<small>EINER</small> U<small>NREINES</small><sup>11</sup><i class=""footnote"">Ein reiner Gemeiner unreine Opferspeisen.</i> <small>GEGESSEN HAT</small>."
Shevuot 2b:2,"R. M<small>EÍR SAGT, ALLE</small> B<small>ÖCKE SÜHNEN GLEICHMÄSSIG DIE</small> V<small>ERUNREINIGUNG DES</small> H<small>EILIGTUMS UND DER HEILIGEN</small> O<small>PFER</small>."
Shevuot 2b:3,"R. Š<small>IMO͑N SAGTE</small>: D<small>IE</small> B<small>ÖCKE DER</small> N<small>EUMONDE SÜHNEN DEN</small> F<small>ALL, WENN EIN</small> R<small>EINER</small> U<small>NREINES GEGESSEN HAT, UND DIE DER</small> F<small>ESTTAGE DEN</small> F<small>ALL, WENN WEDER VORHER NOCH NACHHER</small> B<small>EWUSSTSEIN VORHANDEN WAR, UND DER DES</small> V<small>ERSÖHNUNGSTAGES DEN</small> F<small>ALL, WENN VORHER KEIN</small> B<small>EWUSSTSEIN VORHANDEN WAR, WOHL ABER NACHHER</small>. [D<small>IE</small> W<small>EISEN</small>]"
Shevuot 2b:4,"<small>SPRACHEN ZU IHM</small>: D<small>ÜRFEN SIE FÜR EINANDER DARGEBRACHT</small><sup>12</sup><i class=""footnote"">Wenn beispielsweise das als Neumondopfer bestimmte Tier abhanden gekommen war und man ein anderes dargebracht hat, so darf das erste, wenn es sich später einfindet, als Festopfer dargebracht werden.</i><small>WERDEN</small>? E<small>R ERWIDERTE IHNEN:</small> S<small>IE DÜRFEN DARGEBRACHT WERDEN</small>. D<small>A ENTGEGNETEN SIE IHM</small>: W<small>IESO DÜRFEN SIE FÜR EINANDER DARGEBRACHT WERDEN, WENN IHRE</small> S<small>ÜHNE NICHT GLEICHMÄSSIG IST</small>!? E<small>R ERWIDERTE IHNEN</small>: A<small>LLE SIND DAZU BESTIMMT, DIE</small> V<small>ERUNREINIGUNG DES</small> H<small>EILIGTUMS UND DER HEILIGEN</small> O<small>PFER ZU SÜHNEN</small>."
Shevuot 2b:5,"<sup>v</sup>R. Š<small>IMO͑N B.</small> J<small>EḤUDA SAGTE IN SEINEM</small> N<small>AMEN</small>: D<small>IE</small> B<small>ÖCKE DER</small> N<small>EUMONDE SÜHNEN DEN</small> F<small>ALL, WENN EIN</small> R<small>EINER</small> U<small>NREINES GEGESSEN HAT; MEHR ALS DIESE DIE DER</small> F<small>ESTTAGE, DENN SIE SÜHNEN DEN</small> F<small>ALL, WENN EIN</small> R<small>EINER</small> U<small>NREINES GEGESSEN HAT, UND DEN</small> F<small>ALL, WENN WEDER VORHER NOCH NACHHER</small> B<small>EWUSSTSEIN VORHANDEN WAR;
</small>"
Shevuot 2b:6,"UND MEHR ALS DIESE DER DES V<small>ERSÖHNUNGSTAGES, DENN ER SÜHNT DEN</small> F<small>ALL, WENN EIN</small> R<small>EINER</small> U<small>NREINES GEGESSEN HAT, UND DEN</small> F<small>ALL, WENN WEDER VORHER NOCH NACHHER</small> B<small>EWUSSTSEIN VORHANDEN WAR, UND DEN</small> F<small>ALL, WENN VORHER KEIN</small> B<small>EWUSSTSEIN VORHANDEN WAR, WOHL ABER</small> B<small>EWUSSTSEIN NACHHER</small>."
