Ref,Text
Chullin 2a:1,"מַתְנִי' הַכֹּל שׁוֹחֲטִין וּשְׁחִיטָתָן כְּשֵׁרָה, חוּץ מֵחֵרֵשׁ שׁוֹטֶה וְקָטָן, שֶׁמָּא יְקַלְקְלוּ אֶת שְׁחִיטָתָן. וְכוּלָּן שֶׁשָּׁחֲטוּ וַאֲחֵרִים רוֹאִין אוֹתָן — שְׁחִיטָתָן כְּשֵׁרָה."
Chullin 2a:2,"גְּמָ' ""הַכֹּל שׁוֹחֲטִין"" — ""לְכַתְּחִלָּה: וּשְׁחִיטָתָן"" כְּשֵׁרָה, דִּיעֲבַד!"
Chullin 2a:3,"אֲמַר לֵיהּ רַב אַחָא בְּרֵיהּ דְּרָבָא לְרַב אָשֵׁי וְכֹל ""הַכֹּל לְכַתְּחִלָּה הוּא? אֶלָּא מֵעַתָּה: הַכֹּל מְמִירִין, אֶחָד הָאֲנָשִׁים וְאֶחָד הַנָּשִׁים, הָכִי נָמֵי דִּלְכַתְּחִלָּה הוּא? וְהָא כְּתִיב: ""לֹא יַחֲלִיפֶנּוּ וְלֹא יָמִיר אֹתוֹ טוֹב בְּרָע אוֹ רַע בְּטוֹב""!"
Chullin 2a:4,"הָתָם, כִּדְקָתָנֵי טַעְמָא: לֹא שֶׁהָאָדָם רַשַּׁאי לְהָמִיר, אֶלָּא שֶׁאִם הֵמִיר — מוּמָר, וְסוֹפֵג אֶת הָאַרְבָּעִים."
Chullin 2a:5,"אֶלָּא: הַכֹּל מַעֲרִיכִין, וְנֶעֱרָכִין, נוֹדְרִין, וְנִידָּרִין, הָכִי נָמֵי דִּלְכַתְּחִלָּה? וְהָא כְּתִיב: ""וְכִי תֶחְדַּל לִנְדֹּר לֹא יִהְיֶה בְךָ חֵטְא"","
Chullin 2a:6,"וּכְתִיב: ""טוֹב אֲשֶׁר לֹא תִדֹּר מִשֶּׁתִּדּוֹר וְלֹא תְשַׁלֵּם"", וְתַנְיָא: טוֹב מִזֶּה וּמִזֶּה — שֶׁאֵינוֹ נוֹדֵר כׇּל עִיקָּר, דִּבְרֵי רַבִּי מֵאִיר, רַבִּי יְהוּדָה אוֹמֵר: טוֹב מִזֶּה וּמִזֶּה — נוֹדֵר וּמְשַׁלֵּם. וַאֲפִילּוּ רַבִּי יְהוּדָה, לָא קָאָמַר ""אֶלָּא בְּאוֹמֵר"" הֲרֵי זוֹ. —"
Chullin 2b:1,"אֲבָל אָמַר ""הֲרֵי עָלַי, לֹא!"
Chullin 2b:2,"וְכֹל ""הַכֹּל"" לָאו לְכַתְּחִלָּה הוּא? אֶלָּא: הַכֹּל חַיָּיבִים בְּסוּכָּה, הַכֹּל חַיָּיבִין בְּצִיצִית, הָכִי נָמֵי דְּלָאו לְכַתְּחִלָּה?"
Chullin 2b:3,"חַיָּיבִין"" לָא קָאָמֵינָא: אֶלָּא מֵעַתָּה: ""הַכֹּל סוֹמְכִין, אֶחָד הָאֲנָשִׁים וְאֶחָד הַנָּשִׁים, הָכִי נָמֵי דְּלָאו לְכַתְּחִלָּה? וְהָא כְּתִיב: ""וְסָמַךְ יָדוֹ. וְנִרְצָה!"
Chullin 2b:4,"אִין, אִיכָּא הַכֹּל"" לְכַתְּחִלָּה, וְאִיכָּא ""הַכֹּל"" דִּיעֲבַד. אֶלָּא ""הַכֹּל דְּהָכָא מִמַּאי דִּלְכַתְּחִלָּה הוּא, דְּתִקְשֵׁי לָךְ? דִּלְמָא דִּיעֲבַד הוּא, וְלָא תִּקְשֵׁי לָךְ!"
