Index Title,Ibn Ezra on Genesis
Version Title,"Piotrkow, 1907-1911"
Language,he
Version Source,https://www.nli.org.il/he/books/NNL_ALEPH990020973480205171/NLI
Version Notes,
Ibn Ezra on Genesis 1:1:1,"<b>בראשית</b> חכמינו אמרו שהבי""ת נוסף כבי""ת בָראשונָה (למטה י""ג ד'), כי נמצא ""ראשונה יסעו"" (במד' ב' ט')<i data-commentator=""Yahel Ohr"" data-order=""א""></i> ואילו היה טעמו כן, היה הבי""ת נקמץ<i data-commentator=""Yahel Ohr"" data-order=""ב""></i> בקמץ גדול<i data-commentator=""Yahel Ohr"" data-order=""ג""></i> וי""א כי בראשית לעולם סמוך<i data-commentator=""Yahel Ohr"" data-order=""ד""></i> והטעם<i data-commentator=""Yahel Ohr"" data-order=""ה""></i> בראשית הערב או הלילה או החשך<i data-commentator=""Yahel Ohr"" data-order=""ו""></i> והנה שכחו ""וירא ראשית לו"" (דבר' ל""ג כ""א)<i data-commentator=""Yahel Ohr"" data-order=""ז""></i><i data-commentator=""Karnei Ohr"" data-order=""א""></i>, וי""א שהבי""ת נושא (צ""ל נוסף)<i data-commentator=""Yahel Ohr"" data-order=""ח""></i> בלי טעם<i data-commentator=""Yahel Ohr"" data-order=""ט""></i> וטעמם<i data-commentator=""Yahel Ohr"" data-order=""י""></i> שלא יעלה על לב שאין ראשית לשמים ולארץ<i data-commentator=""Yahel Ohr"" data-order=""יא""></i> ע""כ אמר בראשית<i data-commentator=""Yahel Ohr"" data-order=""יב""></i>, ולפי דעתי שהוא סמוך,<i data-commentator=""Yahel Ohr"" data-order=""יג""></i>, כמו, ""בראשית ממלכת יהויקים"" (ירמי' כ""ו א')<i data-commentator=""Yahel Ohr"" data-order=""יד""></i>, ואל תתמה איך נסמך על פועל עבר<i data-commentator=""Yahel Ohr"" data-order=""טו""></i> והנה כן ""תחלת דבר ד' בהושע ויאמר ד' אל הושע"" (הושע א' ב')<i data-commentator=""Yahel Ohr"" data-order=""טז""></i>, קרית חנה דוד (ישעי' כ""ט א')<i data-commentator=""Yahel Ohr"" data-order=""יז""></i> והטעם יתבאר לך בפסוק השני<i data-commentator=""Yahel Ohr"" data-order=""יח""></i><i data-commentator=""Karnei Ohr"" data-order=""ב""></i>,"
Ibn Ezra on Genesis 1:1:2,"<b>ברא</b> רובי המפרשים אמרו שהבריאה להוציא יש מאין<i data-commentator=""Yahel Ohr"" data-order=""יט""></i>, וכן ""אם בריאה יברא ד'"" (במד' ט""ו ל')<i data-commentator=""Yahel Ohr"" data-order=""כ""></i>, והנה שכחו ""ויברא אלהים את התנינים"" (למטה פ' כ""א)<i data-commentator=""Yahel Ohr"" data-order=""כא""></i>, ושלש בפסוק אחד, ""ויברא אלהים את האדם"" (למטה פ' כ""ז)<i data-commentator=""Yahel Ohr"" data-order=""כב""></i><i data-commentator=""Karnei Ohr"" data-order=""ג""></i>, ""ובורא חושך"" (ישעי' מ""ה ו') שהוא הפוך האור שהוא יש<i data-commentator=""Yahel Ohr"" data-order=""כג""></i><i data-commentator=""Karnei Ohr"" data-order=""ד""></i>, וזה דקדוק המלה ברא לשני טעמים<i data-commentator=""Yahel Ohr"" data-order=""כד""></i> זה האחד<i data-commentator=""Yahel Ohr"" data-order=""כה""></i>, והשני ""לא ברה אתם להם"" (ש""ב י""ב י""ז)<i data-commentator=""Yahel Ohr"" data-order=""כו""></i>, וזה השני אל""ף תחת ה""א<i data-commentator=""Yahel Ohr"" data-order=""כז""></i><i data-commentator=""Karnei Ohr"" data-order=""ה""></i>, כי כמוהו ""ויבוא כל העם להברות את דוד"" (ש""ב ג' ל""ה)<i data-commentator=""Yahel Ohr"" data-order=""כח""></i>, כי הוא מהבנין הכבד הנוסף<i data-commentator=""Yahel Ohr"" data-order=""כט""></i>, ואם היה באל""ף<i data-commentator=""Yahel Ohr"" data-order=""ל""></i>, היה<i data-commentator=""Yahel Ohr"" data-order=""לא""></i>, כמו ""להבריאכם מראשית כל מנחת ישראל (ש""א ב' כ""ט)<i data-commentator=""Yahel Ohr"" data-order=""לב""></i>, ומצאנו מהבנין הכבד<i data-commentator=""Yahel Ohr"" data-order=""לג""></i>, ""ובראת לך שם"" (יהושע י""ז ט""ו)<i data-commentator=""Yahel Ohr"" data-order=""לד""></i><i data-commentator=""Karnei Ohr"" data-order=""ו""></i>, ואיננו כמו ברו לכם איש (ש""א י""ו ח')<i data-commentator=""Yahel Ohr"" data-order=""לה""></i>, רק כמו ""וברא אותהן"" (יחז' כ""ג מ""ז)<i data-commentator=""Yahel Ohr"" data-order=""לו""></i>, וטעמו<i data-commentator=""Yahel Ohr"" data-order=""לז""></i><i data-commentator=""Karnei Ohr"" data-order=""ז""></i>, לגזור ולשום גבול נגזר<i data-commentator=""Yahel Ohr"" data-order=""לח""></i>, והמשכיל יבין<i data-commentator=""Yahel Ohr"" data-order=""לט""></i>:"
Ibn Ezra on Genesis 1:1:3,"<i data-commentator=""Karnei Ohr"" data-order=""ח""></i> אלהים<i data-commentator=""Yahel Ohr"" data-order=""מ""></i><i data-commentator=""Karnei Ohr"" data-order=""ט""></i>, אחר שמצאנו אלוה<i data-commentator=""Yahel Ohr"" data-order=""מא""></i>, ידענו כי אלהים לשון רבים<i data-commentator=""Yahel Ohr"" data-order=""מב""></i>, ושרש זה מדרך הלשון<i data-commentator=""Yahel Ohr"" data-order=""מג""></i>, כי כל לשון יש לו דרך כבוד<i data-commentator=""Yahel Ohr"" data-order=""מד""></i>, וכבוד לשון לועז שיאמר הקטן לנכח הגדול לשון רבים, ובלשון ישמעאל דרך כבוד שידבר הגדול כמו המלך בלשון רבים, ובלשון הקדש דרך כבוד לומר על הגדול לשון רבים<i data-commentator=""Yahel Ohr"" data-order=""מה""></i> כמו ""אדנים"" ""ובעלים""<i data-commentator=""Yahel Ohr"" data-order=""מו""></i>, שאמרו ""אדנים קשה"" (ישעי' י""ט ד')<i data-commentator=""Yahel Ohr"" data-order=""מז""></i>, ""ולקה בעליו"" (שמות כ""ב, י') וכן מלת עליו, אליו, ועדיו<i data-commentator=""Yahel Ohr"" data-order=""מח""></i>, על כן יאמר הכתוב ברא<i data-commentator=""Yahel Ohr"" data-order=""מט""></i>, ולא בראו<i data-commentator=""Karnei Ohr"" data-order=""י""></i>, ומדרך התושיה ידענו כי הדבורים יקראו שפה<i data-commentator=""Yahel Ohr"" data-order=""נ""></i><i data-commentator=""Karnei Ohr"" data-order=""יא""></i>, בעבור שיראו שממנה יצאו<i data-commentator=""Yahel Ohr"" data-order=""נא""></i>, וכן נשמת האדם העליונה תקרא לב<i data-commentator=""Yahel Ohr"" data-order=""נב""></i>, והלב גוף והיא איננה גוף<i data-commentator=""Yahel Ohr"" data-order=""נג""></i>, בעבור היות הלב המרכבת הראשונה לה<i data-commentator=""Yahel Ohr"" data-order=""נד""></i> ובעבור היות כל מעשה ד' ביד המלאכים עושי רצונו<i data-commentator=""Yahel Ohr"" data-order=""נה""></i>, נקרא כן<i data-commentator=""Yahel Ohr"" data-order=""נו""></i><i data-commentator=""Karnei Ohr"" data-order=""יב""></i>, ובפסוק ""כי שמי בקרבו"" (שמות כג כא) אבאר קצת סוד השם<i data-commentator=""Yahel Ohr"" data-order=""נז""></i><i data-commentator=""Karnei Ohr"" data-order=""יג""></i>, ואל תשים לבך לדברי הגאון<i data-commentator=""Yahel Ohr"" data-order=""נח""></i>,<i data-commentator=""Karnei Ohr"" data-order=""יד""></i> שאמר<i data-commentator=""Yahel Ohr"" data-order=""נט""></i>, שהאדם נכבד מהמלאכים<i data-commentator=""Karnei Ohr"" data-order=""טו""></i> וכבר ביארתי בס' היסוד, כי כל ראיותיו הפוכות<i data-commentator=""Yahel Ohr"" data-order=""ס""></i><i data-commentator=""Karnei Ohr"" data-order=""טז""></i>, וידענו כי אין בבני אדם נכבדים כמו הנביאים, ויהושע נפל על פניו לפני מלאך ד' והשתחוה, ואמר מה אדני מדבר אל עבדו (יהושע ה יד)<i data-commentator=""Yahel Ohr"" data-order=""סא""></i><i data-commentator=""Karnei Ohr"" data-order=""יז""></i>, וכן זכריה<i data-commentator=""Yahel Ohr"" data-order=""סב""></i> ודניאל<i data-commentator=""Yahel Ohr"" data-order=""סג""></i>, ולמה אאריך<i data-commentator=""Yahel Ohr"" data-order=""סד""></i><i data-commentator=""Karnei Ohr"" data-order=""יח""></i>, וטעם אלהי הצבאות<i data-commentator=""Yahel Ohr"" data-order=""סה""></i>, בטעם אלהי האלהים<i data-commentator=""Yahel Ohr"" data-order=""סו""></i> וטעם אלהים כמו מלך<i data-commentator=""Yahel Ohr"" data-order=""סז""></i>, ובני אדם המתעסקים במשפט אלהים יקראו כן<i data-commentator=""Karnei Ohr"" data-order=""יט""></i>, וזה השם תואר<i data-commentator=""Yahel Ohr"" data-order=""סח""></i>, ואיננו עצם<i data-commentator=""Yahel Ohr"" data-order=""סט""></i><i data-commentator=""Karnei Ohr"" data-order=""כ""></i>, ולא ימצא ממנו עבר או עתיד<i data-commentator=""Yahel Ohr"" data-order=""ע""></i>, ואל תחשוב שהמלאכים הם מאש ורוח בעבור שנמצא עושה מלאכיו רוחות (תה' קד ד) כי אין ככה דרך פשוטו<i data-commentator=""Yahel Ohr"" data-order=""עא""></i><i data-commentator=""Karnei Ohr"" data-order=""כא""></i>, רק דבר דוד בתחלה על מעשה בראשית, והחל מהאור<i data-commentator=""Yahel Ohr"" data-order=""עב""></i>, ואמר עוטה אור<i data-commentator=""Yahel Ohr"" data-order=""עג""></i><i data-commentator=""Karnei Ohr"" data-order=""כב""></i>, ואח""כ נוטה שמים, והוא הרקיע<i data-commentator=""Yahel Ohr"" data-order=""עד""></i>, והמים עליו<i data-commentator=""Yahel Ohr"" data-order=""עה""></i>, והאש והשלג והרוח, ואמר כי הרוח שלוחו של השם ללכת אל מקום שישלחנו<i data-commentator=""Yahel Ohr"" data-order=""עו""></i>, וכן האש ממשרתיו<i data-commentator=""Yahel Ohr"" data-order=""עז""></i>, ואמר יסד ארץ על מכוניה<i data-commentator=""Yahel Ohr"" data-order=""עח""></i>, וזאת היא היבשה<i data-commentator=""Karnei Ohr"" data-order=""כג""></i>, וכן כתוב<i data-commentator=""Yahel Ohr"" data-order=""עט""></i>, רוח סערה עושה דברו (תה' קמח ה):"
Ibn Ezra on Genesis 1:1:4,"וטעם את<i data-commentator=""Yahel Ohr"" data-order=""פ""></i>, כמו עצם הדבר<i data-commentator=""Yahel Ohr"" data-order=""פא""></i>, והוא סימן עם הפעול<i data-commentator=""Yahel Ohr"" data-order=""פב""></i>,<i data-commentator=""Karnei Ohr"" data-order=""כד""></i> כמו את השמים<i data-commentator=""Yahel Ohr"" data-order=""פג""></i>, ופעם יחסרוהו, כמו ""אשר ברא אלהים אדם"" (דברים ד לב)<i data-commentator=""Yahel Ohr"" data-order=""פד""></i><i data-commentator=""Karnei Ohr"" data-order=""כה""></i>, ונמצא עם הפועל, כמו ובא הארי ואת הדוב (ש""א יז לד)<i data-commentator=""Yahel Ohr"" data-order=""פה""></i><i data-commentator=""Karnei Ohr"" data-order=""כו""></i>, והם מתי מספר<i data-commentator=""Yahel Ohr"" data-order=""פו""></i>, ויהיה תחת עם<i data-commentator=""Yahel Ohr"" data-order=""פז""></i>,<i data-commentator=""Karnei Ohr"" data-order=""כז""></i>, ותחת מן<i data-commentator=""Yahel Ohr"" data-order=""פח""></i>:"
Ibn Ezra on Genesis 1:1:5,"השמים בה""א הידיעה להורות כי על אלה הנראים ידבר<i data-commentator=""Yahel Ohr"" data-order=""פט""></i><i data-commentator=""Karnei Ohr"" data-order=""כח""></i>, ולעולם לשון רבים<i data-commentator=""Yahel Ohr"" data-order=""צ""></i><i data-commentator=""Karnei Ohr"" data-order=""כט""></i> ויתכן להיות משטרו משטר כל אחד ואחד<i data-commentator=""Yahel Ohr"" data-order=""צא""></i><i data-commentator=""Karnei Ohr"" data-order=""ל""></i>, וטעם שמים גובה ומעלה<i data-commentator=""Yahel Ohr"" data-order=""צב""></i><i data-commentator=""Karnei Ohr"" data-order=""לא""></i>, וכן בלשון ישמעאל<i data-commentator=""Yahel Ohr"" data-order=""צג""></i> שרובה על מתכונת לשון הקרש<i data-commentator=""Yahel Ohr"" data-order=""צד""></i>, ויש שמי השמים,<i data-commentator=""Yahel Ohr"" data-order=""צה""></i> ולא יתפרדו,<i data-commentator=""Yahel Ohr"" data-order=""צו""></i> כרחים<i data-commentator=""Yahel Ohr"" data-order=""צז""></i>, וצהרים<i data-commentator=""Yahel Ohr"" data-order=""צח""></i><i data-commentator=""Karnei Ohr"" data-order=""לב""></i>, ואנשי המדות<i data-commentator=""Yahel Ohr"" data-order=""צט""></i> יבינו אלה הסודות<i data-commentator=""Yahel Ohr"" data-order=""ק""></i>, ויאמר הגאון<i data-commentator=""Yahel Ohr"" data-order=""קא""></i> כי הארץ כנקודה<i data-commentator=""Yahel Ohr"" data-order=""קב""></i> והשמים כחוט הסובב<i data-commentator=""Yahel Ohr"" data-order=""קג""></i> ואחר שאלה שניהם נבראים, יהיו כל אשר בתוכם נברא כמים וכאש<i data-commentator=""Yahel Ohr"" data-order=""קד""></i> ואחרים אמרו כי המים בכלל הארץ והרוח בכלל השמים<i data-commentator=""Yahel Ohr"" data-order=""קה""></i><i data-commentator=""Karnei Ohr"" data-order=""לג""></i> ולפי דעתי, כי אלה השמים והארץ הם הרקיע והיבשה<i data-commentator=""Karnei Ohr"" data-order=""לד""></i>, כי לא נברא ביום אחד, כי אם דבר אחד<i data-commentator=""Yahel Ohr"" data-order=""קו""></i>, בראשון האור ובשני הרקיע<i data-commentator=""Yahel Ohr"" data-order=""קז""></i><i data-commentator=""Karnei Ohr"" data-order=""לה""></i> ובשלישי הצמחים, וברביעי המאורות ובחמישי ובששי נפשות החיות, והמזמור הנזכר לעד<i data-commentator=""Yahel Ohr"" data-order=""קח""></i>, ולא יתכן להיות<i data-commentator=""Yahel Ohr"" data-order=""קט""></i> הקו הסובב קודם הנקודה, או הוא קודם הקו<i data-commentator=""Yahel Ohr"" data-order=""קי""></i> על כן אמרו שנבראו השמים והארץ בפעם אחת<i data-commentator=""Karnei Ohr"" data-order=""לו""></i>, והעד<i data-commentator=""Yahel Ohr"" data-order=""קיא""></i> ""קורא אני אליהם יעמדו יחדו"" (ישעי' מח יג)<i data-commentator=""Karnei Ohr"" data-order=""לז""></i>, וזאת העדות איננה ברורה, בעבור שפירוש הפסוק איננו כן, כי איך יאמר אליהם לאשר אינם<i data-commentator=""Yahel Ohr"" data-order=""קיב""></i>, ואיך יקרא תהו,<i data-commentator=""Karnei Ohr"" data-order=""לח""></i> רק פירושו אני בראתים, ובעת שאקראם יעמדו יחד לפני שניהם כעבדים לעשות רצוני<i data-commentator=""Yahel Ohr"" data-order=""קיג""></i>, כטעם ""דברך נצב בשמים"" (תה' קיט פט), ואחר כן הזכיר הארץ<i data-commentator=""Yahel Ohr"" data-order=""קיד""></i><i data-commentator=""Karnei Ohr"" data-order=""לט""></i>, ואמר אח""כ כי גם המה יעמדו לעשות משפט שיצום<i data-commentator=""Yahel Ohr"" data-order=""קטו""></i><i data-commentator=""Karnei Ohr"" data-order=""מ""></i>:"
Ibn Ezra on Genesis 1:2:1,"והארץ<i data-commentator=""Yahel Ohr"" data-order=""קטז""></i><i data-commentator=""Karnei Ohr"" data-order=""מא""></i>, המלה הזאת זרה<i data-commentator=""Yahel Ohr"" data-order=""קיז""></i> בעבור קמצת האל""ף עם הה""א בכל מקום<i data-commentator=""Karnei Ohr"" data-order=""מב""></i>, ואיננו כמו ""הָאֶלף לך שלמה"" (שה""ש ה יב) ""והאבן הזאת"" (למטה כה כב)<i data-commentator=""Yahel Ohr"" data-order=""קיח""></i>:"
