filename,en_title,he_title
tractate-kutim-xml.xml,Tractate Kutim,מסכת כותים
tractate-mezuza-xml.xml,Tractate Mezuza,מסכת מזוזה
Tractate-sofrim-xml.xml,Tractate Sofrim,מסכת סופרים
Tractate-derech_eretz_zota-xml.xml,Tractate Derech Eretz,מסכת דרך ארץ
Tractate-kala_raba-xml.xml,Tractate Kala Rabbah,מסכת כלה רבה
tractate-avot_drabi_natan-xml.xml,Tractate Avot D'Rabi Natan,מסכת אבות דרבי נתן
tractate-tzitzit-xml.xml,Tractate Tzitzit,מסכת ציצית
Tractate-gerim-xml.xml,Tractate Gerim,מסכת גרים
tractate-avadim-xml.xml,Tractate Avadim,מסכת עבדים
tractate-tefilin-xml.xml,Tractate Tefilin,מסכת תפילין
tractate-smachot-xml.xml,Tractate Semachot,מסכת שמחות
tractate-sefer_torah-xml.xml,Tractate Sefer Torah,מסכת ספר תורה
tractate-derech_eretz_raba-xml.xml,Tractate Derech Eretz Rabbah,מסכת דרך ארץ רבה
