Index Title,Ritva on Pesachim
Version Title,"Chiddushei haRitva, Warsaw 1864"
Language,he
Version Source,http://primo.nli.org.il/primo_library/libweb/action/dlDisplay.do?vid=NLI&docId=NNL_ALEPH001930759
Version Notes,
Ritva on Pesachim 2a:1,"מתני' <b>אור לי""ד בודקין את החמץ לאור הנר.</b> פירש""י ז""ל כדי שלא יעבור בבל יראה ובל ימצא. והקשו עליו דהא בדיקת חמץ דרבנן היא כדאיתא לקמן בפירקין ולעולם לא נפיק מבל יראה ובל ימצא לענין החמץ שלא מצא עד דליעביד בטול דאורייתא כדאמר רחמנא ואפי' את""ל דבדיקת חמץ דאוריי' ובהכי סגי ליה מ""מ הא קיל""ן שהבודק צריך שיבטל וא""כ אפי' לא בדק כלל הא לא עבר בבל יראה ובל ימצא כיון שביטל אח""כ. וא""כ אין הבדיקה זה ואם היא זה הויא בדיקה בכדי לפיכך פי' בתוספות דבדיקה דמתני' הויא מדרבנן ואעפ""י שיש לו לבטל מן התורה ובהכי הוה סגי הצריכוהו בדיקה שלא יכשל באכילתו. ולאו למימרא דבדיקה לא הוא מדאורייתא כלל דהא וודאי ליתא דכי כתב רחמנא תשביתו שאור אינו לשון בטול ממש כפשוטו או כתרגומו אלא לשון ביעור שיבערנו מרשותו ודאמר בגמ' ר' עקיבא אומר וכו' אלא וודאי לכ""ע בדיקה מדאורייתא ומאי דאמרינן בגמ' בביטול בעלמא סגי הכי אמרינן דכל היכא דעביד בטול כי לא רמיא עליה מצות בדיקה והכי דייק לישנא דקאמרינן בבטול בעלמא סגי. ואעפ""י שכתב ז""ל בביטול סגי מדכתיב תשביתו ולא כתיב תבערו אלמא תשביתו בלב היא אין בזה גילוי דעת שיסבור רבינו ז""ל דבדיקת חמץ דרבנן אלא כך אמר ז""ל דלהכי כתב רחמנא לשון תשביתו שיהא נכלל אף לשון ביטול ואשמעינן קרא דאי אנוס ולא מצי בדיק בביטול דעביד קודם זמן איסורו סגי ליה, ואך חלק אביעור לחוד קאי נמצאת למד שמצוותו בביעור אלא דאי בטלו מעיקרא תו לא רמיא עליה האי מצוה ומיהו רבנן חייבוהו לבטל על כל פנים כי הבטול מוציא מכל חשש כך יש ליישב פי' התוס'. לפי מה שנראה מפי' רש""י זו יש ליישב פרש""י ז""ל דהא פרישנא דבדיק' דאוריית' וזו היא מצבתו וכללו של דבר כיון דמדאורייתא בכל חד מנייהו סגי ואית ליה למעבדינהו תרווייהו ההוא דאתי מעיקרא הוי דאורייתא ואידך מדרבנן ע""כ הרי""ט ז""ל: והרא""ש ז""ל העלה בשם התוס' דבדיקה מדרבנן שמא ימצאנו ביו""ט ויאכלנו ע""כ ושאלו הראשונים ז""ל מה טעם הקפידה תורה בביעור חמץ יותר משאר איסורין ותירצו דשאני הכא דלא בדילי אינשי מינייהו והוא אסור בהנאה ויש באכילתו כרת מה שאין כן בנבלה וחזיר דבדילי אינשי מיניה. ויין לנזיר אע""ג דלא בדיל מיניה אינו אסור בהנאה טפילה <small>(נ""ל דצ""ל ערלה, המעתיק)</small> וכלאי הכרם אע""ג דלא בדילי אנשי מנייהו ואסורין בהנאה אין באכילתן כרת. א""נ דשאני חמץ שאיסורו תלוי בזמן וזהו שהוא אסור עכשיו היה עכשיו מותר ויש לו היתר אחר הפסח מן התורה מה שאין כן בטפילה <small>(נ""ל דצ""ל בערלה, המעתיק)</small> וכלאי הכרם ובשר בחלב ואע""ג דיין לנזיר הויא גם הא לא הוי אסור בהנאה. ולפי שראו רז""ל שהחמירה תורה כ""כ הפריזו הם להצריך בדיקה על החמץ הנמצא ובטול על שאינו נמצא. הרי""ט ז""ל בשם רבו הרא""ש ז""ל:"
Ritva on Pesachim 2a:2,"<b>גמ' והא קי""ל דעד צאת הכוכבים יממא הוא.</b> הקשה הרי""ט ז""ל דהא איפלגו במס' שבת בשיעור בין השמשות וקי""ל בגמרא כר' יהודה דמבין השמשות עד צאת הכוכבים שלשה חלקי' מיל ותירץ דבההוא שיעורא איכא כוכבים כדאמרי התם כוכב אחד וכו'. וזהו ספיקו של ר' יהודא אי חשיב האי צאת הכוכבים דלאו בכל צאת כוכבי' הוי לילה כדאמרינן התם לאכוכבים גדולים וכו':"
Ritva on Pesachim 2a:3,"<b>הא קמ""ל דאור כוכבים אור הוא נפקא מינה לנודר דתנן וכו'.</b> כתב הרי""ט ואע""ג דקי""ל בנדרים הלך אחר לשון בני אדם ה""מ היכא דאיפשר אבל היכא דלא איפשר כגון הלועז שנדר בלה""ק א""נ היכא דלא ידעינן ודאי אזלינן אחר ל' תור'. כדאמרי' הכא וכדאמרינן גבי הנודר מן המולים או מן הערלים:"
Ritva on Pesachim 2b:1,"<b>מאימתי י""ד אסור במלאכה.</b> פרש""י ז""ל דמיירי במקום שנהגו. ופלוגתא מאימתי תופס המנהג ולא נימא דבטלה דעתם אצל כל אדם. וכתב הרי""ט ז""ל דאינו נתן אלא נותן כמו שפי' בתוספת דבאיסורא פליגי ובגליל. וכתב עוד ז""ל ואנן הא קיל""ן דאור אורתא הוא וקיל""ן דמשנת ר' אליעזר בן יעקב קב ונקי ואפי' בבריית' כדאיתא ביבמות מיהו לא נפקא לן מידי דבגליל הוא ע""כ:"
Ritva on Pesachim 2b:2,"<b>עד מתי אוכל ושותה עד שיעלה עמוד השחר.</b> בירושלמי מפורש בד""א כשלא ישן אבל ישן אסור ע""כ בשיטת הרא""ש ז""ל. ובשיט' הרב ר' נתן ז""ל בשתיהן מותר אפי' ישן ואפי' לא התנה הוי כמו התנה ע""כ:"
Ritva on Pesachim 3b:1,"<b>ההוא עכו""ם דהוה סליק ואכל פסחים וכו'.</b> כתב הרי""ט ז""ל מכאן נלמד דכל מאן דאתי ואמר ישראל אני נאמן והיינו נמי דאמרינן התם זיל גלי או נסיב בת מינך. ואי קשיא הא דאמרינן התם מי שנתגייר ואמר גר אני יכול נקבלנו ת""ל אתך במוחזק לך. תירץ רת""ם ז""ל דהתם דמוחזק לן באבותיו שהן גוים דליכא מיגו גביה וכן דעת רבינו הגדול ז""ל זה למורי. ע""כ מלשון הרי""ט ז""ל:"
