Index Title,Pesach Haggadah,Pesach Haggadah,Pesach Haggadah,Pesach Haggadah,Pesach Haggadah,Pesach Haggadah,Pesach Haggadah,Pesach Haggadah,Pesach Haggadah
Version Title,Pesach Haggadah,Sefaria Community Translation,A. Alexander 1787,"D. Levy, New York, 1837","Times of London, 1840","Mendes, London, 1862","Chicago, 1879","Green, 1897","Luncz, 1901"
Language,he,en,en,en,en,en,en,en,en
Version Source,http://www.daat.ac.il/daat/shabat/pesach/hagada-2.htm,http://www.sefaria.org,http://onthemainline.blogspot.co.il/2011/04/on-first-english-haggadah-short-summary.html,http://web.nli.org.il/sites/NLI/English/gallery/of-israel/haggadot/Pages/new_york.aspx,,,,,
Version Notes,,,First English Haggadah,"First American Edition.  Translated by David Levy, of London.",<small><i>Printed in response to Damascus blood libel</i></small>,,,First Bowdlerized Haggadah,First haggadah printed by blind printer
"Pesach Haggadah, Kadesh 1",<small/>מוזגים כוס ראשון. המצּות מכוסות. </small>,<small><i>We pour the first cup. The matsot are uncovered</i></small>,,,"<small><i>On their return from synagogue the master of the house says the sanctification of the Passover; they then drink the wine of the sanctification, leaning on the left side, after which they wash their hands; the master of the house then takes some parsley or chervil, and dips it into the vinegar or salt water, and distributing some to every one at the table, and before they eat it, says the following grace:–</i></small>",<small><i>Fill the first cup and say—</i></small>,,,<small><i>Fill the first cup with wine.</i></small>
"Pesach Haggadah, Kadesh 2",קַדֵּשׁ,Make Kiddush,,,,SANCTIFICATION.,SANCTIFICATION FOR THE PASSOVER.,SANCTIFICATION.,Sanctification for the Passover.
"Pesach Haggadah, Kadesh 3",<small>בְּשַׁבָּת מַתְחִילִין </small>,"<small><i>On Shabbat, begin here:</i></small>",<small><i>(if on Friday Night begin as follows)</i></small>,"<small><i>If the Feast happens on the Sabbath Eve, begin here.<>/i</small>",,<small><i>If the Feast happens on the Sabbath begin here —</i></small>,<small><i>ON SABBATH EVE BEGIN HERE</i></small>,"<small><i>On Friday Evening commence "" -</i></small>",<small><i>(If the Feast happens on the Sabbath begin here).</i></small>
"Pesach Haggadah, Kadesh 4",וַיְהִי עֶרֶב וַיְהִי בֹקֶר יוֹם הַשִּׁשִּׁי. וַיְכֻלּוּ הַשָּׁמַיִם וְהָאָרֶץ וְכָל-צְבָאָם. וַיְכַל אֱלֹהִים בַּיּוֹם הַשְּׁבִיעִי מְלַאכְתּוֹ אֲשֶׁר עָשָׂה וַיִּשְׁבֹּת בַּיּוֹם הַשְּׁבִיעִי מִכָּל מְלַאכְתּוֹ אֲשֶׁר עָשָׂה. וַיְבָרֵךְ אֱלֹהִים אֶת יוֹם הַשְּׁבִיעִי וַיְקַדֵּשׁ אוֹתוֹ כִּי בוֹ שָׁבַת מִכָּל-מְלַאכְתּוֹ אֲשֶׁר בָּרָא אֱלֹהִים לַעֲשׂוֹת. ,"And there was evening and there was morning, the sixth day. And the heaven and the earth were finished, and all their host. And on the seventh day God finished His work which He had done; and He rested on the seventh day from all His work which He had done. And God blessed the seventh day, and sanctified it; because He rested on it from all of His work which God created in doing (Genesis 1:31-2:3).","The sixth day, the heavens and the earth were finished, and all the host of them, and on the seventh day God ended his work which he had made: and he rested on the seventh day from all work which he had made, and God blessed the seventh day, and sanctified it: because that in it he had rested from all his works, which God created and made. ","(The sixth day) and the heavens and the earth were finished, and all the host of them. And on the seventh day God ended his work which he had made: and he rested on the seventh day, from all his ",,"""It was evening, and it was morning,"" The sixth day — ""And the heavens and the earth were finished, and all their hosts. And on the seventh day God ended his work which he had made: thus he rested on the seventh day from all his work which he had made. And God blessed the seventh day, and sanctified it: because he thereon rested from all his work, which God had created and made.""","(On the sixth day), and the heaven and the earth were finished, and all the host of them. And on the seventh day God ended his work which he had made: and he rested on the seventh day from all his work which he had made. And God blessed the seventh day, and sanctified it: because thereon he rested from all his work, which God created and made.","""And it was evening and it was morning, the sixth day."" ""Thus the heavens and the earth were finished, and all the host of them. And on the seventh day God had ended his work which he had made; and he rested on the seventh day from all his work which he had made. And God blessed the seventh day and sanctified it; because that in it he had rested from all his work which God created and made.""","The sixth day, and the heavens and the earth were finished and all their host. And en the seventh day God ended his work which he had made , and he rested on the seventh day from all his work which he had made. And God blessed the seventh day, and sanctified it, because he thereon rested from all his work, which God creased and made. "
"Pesach Haggadah, Kadesh 5",<small>בחול מתחילין: </small>,"<small><i>On weekdays, begin here:</i></small>",<small><i>(If on any other Night of the week begin here.)</i></small>,"<small><i>If on any other Night of the Week, begin here.</i></small>",,"<small><i>SANCTIFICATION FOR THE PASSOVER. If the Feast happens on a week-day, or at the conclusion of the Sabbath, begin here.</i></small>",<small<i>On any other night of the week begin here.</i></small>,"<small><i>On Week-days commence here, adding on Friday Evening the words in brackets : -</i></small>",
"Pesach Haggadah, Kadesh 6","סַבְרִי מָרָנָן וְרַבָּנָן וְרַבּוֹתַי. בָּרוּךְ אַתָּה ה', אֱלֹהֵינוּ מֶלֶךְ הָעוֹלָם בּוֹרֵא פְּרִי הַגָּפֶן. ","Blessed are You, Lord our God, King of the universe, who creates the fruit of the vine.","Blessed art thou, O lord our God, king of the universe, who created the fruit of the wine.","Blessed art thou, O Eternal, our God! King of the universe. Creator of the fruit of the vine.","“Blessed art thou, O Lord, our God, King of the universe, Creator of the fruit of the earth.”","Blessed art thou, O Lord, our God! King of the universe, who createst the fruit of the vine.","Blessed art thou, O Lord, our God! King of the Universe, creator of the fruit of the vine.","""Blessed art thou, O Lord our God, King of the Universe, Creator of the fruit of the vine. ","Blessed art thou, 0 Lord, our God! King of the universe, who created the fruit of the wine."
