א,A
אב ובן,father and son
אב ובת,Father and daughter
אב חודש,Father month
אב,father
אבא אומנא,Father Omna
אבא סוראה,Father Surra
אבדה,loss
אבדון,doom
אבה אניות,Abba Ships
אבה חשק,Abba wanted it
אבוד עצמו לדעת,Lost himself to know
אבות אלוקי,The Divine Fathers
אבות ברית והבטחה,Fathers of covenant and promise
אבות ברכה והשגחה,Fathers of blessing and providence
אבות זכות,Fathers are right
אבות מעשה אבות סימן לבנים,Fathers are fathers&#39; sign for sons
אבות נבואה,Prophecy fathers
אבות רכוש,Fathers property
אבות תורה,Avot Torah
אבות תפלה,Fathers of prayer
אבות,patriarchs
אביאל,Aviel
אביב,spring
אביגיל,Abigail
אביה מלך יהודה,Her father was king of Judah
אביה,Her father
אביון דל,Poor poor
אביונה,orgasm
אבימלך בן ירובעל,Abimelech son of Jerobel
אבימלך ואברהם,Avimelekh and Abraham
אבימלך ויצחק,Abimelech and Isaac
אבימלך ושרה,Abimelech and Sarah
אבימלך,Abimelech
אביר יעקב,Abir Yaakov
אביר,knight
אבישג,Avishag
אבישי,Avishai
אביתר,Evyatar
אבל,but
אבלות,mourning
אבן אקדח,A gun stone
אבן בוחן,Touchstone
אבן זוחלת,A creeping stone
אבן עזרא,Ibn Ezra
אבן שתיה,Even Shtia
אבן,stone
אבנים,Stones
אבנר,Avner
אבצן,Avzan
אבר מן החי,A living organ
אבר,organ
אברבנאל,Abravanel
אברה,pinion
אברהם אלקי,Avraham Alki
אברהם אמונה,Abraham is a believer
אברהם באור כשדים ויציאתו משם,Abraham in Ur of Chaldeans and his departure from there
אברהם במצרים,Abraham in Egypt
אברהם בניו,Abraham and his sons
אברהם ברית,Avraham Brit
אברהם ברכה והבטחה,Abraham blessing and promise
אברהם ואבימלך,Abraham and Abimelech
אברהם ובני חת,Abraham and the sons of Chet
אברהם והגר,Avraham and Hagar
אברהם והמלאכים,Abraham and the angels
אברהם והמלכים,Abraham and the kings
אברהם ויצחק,Abraham and Isaac
אברהם וישמעאל,Abraham and Ishmael
אברהם ולוט,Avraham and Lot
אברהם וסביבתו,Abraham and his surroundings
אברהם וסדום,Abraham and Sodom
אברהם ושרה,Avraham and Sarah
