Sanhedrin 2a:1	<sup>i</sup> <b>G</b>ELDANGELEGENHEITEN$fn1 <small>WERDEN VOR DREI</small> [R<small>ICHTERN VERHANDELT</small>], R<small>AUB UND</small> K<small>ÖRPERVERLETZUNGEN</small>$fn2 <small>VOR DREI</small>, S<small>CHADEN- UND HALBER</small> S<small>CHADENERSATZ</small>$fn3, Z<small>AHLUNG DES</small> D<small>OPPELTEN</small>$fn4 <small>UND DES</small> V<small>IER ODER</small> F<small>ÜNFFACHEN</small>$fn5 <small>VOR DREI</small>,
Sanhedrin 2a:2	N<small>OTZUCHT</small>, V<small>ERFÜHRUNG UND FALSCHE</small> A<small>NSCHULDIGUNG</small>$fn6 <small>VOR DREI – SO</small> R. M<small>EÍR; 
Sanhedrin 2a:3	DIE</small> W<small>EISEN SAGEN, DIE FALSCHE</small> A<small>NSCHULDIGUNG VOR DREIUNDZWANZIG</small> [R<small>ICHTERN</small>], <small>WEIL HIERBEI AUF</small> T<small>ODESSTRAFE ERKANNT WERDEN</small>$fn7 <small>KANN</small>. 
Sanhedrin 2a:4	<sup>ii</sup> Ü<small>BER DIE</small> G<small>EISSELUNG</small>$fn8 <small>WIRD VOR DREI</small> [R<small>ICHTERN VERHANDELT]; IM</small> N<small>AMEN</small> R. J<small>IŠMA͑ÉLS SAGTEN SIE, VOR DREIUNDZWANZIG</small>. 
Sanhedrin 2a:5	D<small>IE</small> I<small>NTERKALATION DES</small> M<small>ONATS</small>$fn9 <small>UND DIE</small> I<small>NTERKALATION DES</small> J<small>AHRES</small>$fn10<small>ERFOLGT DURCH DREI</small> [R<small>ICHTER</small>] – <small>SO</small> R. M<small>EÍR</small>. R. Š<small>IMO͑N B.</small> G<small>AMLIÉL SAGT, DIE</small> E<small>RÖFFNUNG DURCH DREI, DIE</small> V<small>ERHANDLUNG DURCH FÜNF UND DIE</small> B<small>ESCHLUSSFASSUNG DURCH SIEBEN; ERFOLGTE DIE</small> B<small>ESCHLUSSFASSUNG DURCH DREI, SO IST DIE</small> I<small>NTERKALATION GÜLTIG</small>. 
Sanhedrin 2a:6	<sup>iii</sup> D<small>AS</small> S<small>TÜTZEN</small>$fn11<small>DER</small> Ä<small>LTESTEN UND DAS</small> G<small>ENICKBRECHEN DES</small> K<small>ALBES</small>$fn12<small>DURCH DREI – SO</small> R. Š<small>IMO͑N</small>; R. J<small>EHUDA SAGT, DURCH FÜNF</small>. D<small>IE</small> Ḥ<small>ALIÇA</small>$fn13<small>UND DIE</small> W<small>EIGERUNGSERKLÄRUNG</small>$fn14<small>DURCH DREI</small>. 
Sanhedrin 2a:7	V<small>IERJAHRSFRUCHT</small>$fn15<small>UND ZWEITER</small>$fn16Z<small>EHNT, DESSEN</small> W<small>ERT NICHT BEKANNT</small>$fn17<small>IST, WERDEN VOR DREI</small> [R<small>ICHTERN AUSGELÖST</small>]; G<small>EHEILIGTES VOR DREI</small>, S<small>CHÄTZGELÜBDE BEWEGLICHER</small> S<small>ACHEN VOR DREI</small>; R. J<small>EHUDA SAGT, EINER VON DIESEN MÜSSE EIN</small> P<small>RIESTER SEIN</small>. 
Sanhedrin 2a:8	G<small>RUNDSTÜCKE VOR NEUN UND EINEM</small> P<small>RIESTER; DASSELBE GILT AUCH VON EINEM</small> M<small>ENSCHEN</small>$fn18. 
Sanhedrin 2a:9	<sup>iv</sup> T<small>ODES STRAFSACHEN WERDEN VOR DREIUNDZWANZIG</small> [R<small>ICHTERN VERHANDELT</small>]; <small>EBENSO ÜBER DAS AKTIV ODER PASSIV ZUR</small> B<small>ESTIALITÄT VERWANDTE</small> T<small>IER, DENN ES HEISST</small>:$fn19<i>du sollst das Weib und das Vieh töten</i>, <small>FERNER HEISST ES</small>: $fn20<i>und das Vieh sollt ihr töten</i>; 
Sanhedrin 2a:10	<small>ÜBER DEN ZU STEINIGENDEN</small> O<small>CHSEN</small>$fn21<small>VOR DREIUNDZWANZIG, DENN ES HEISST</small>:$fn22<i>der Ochs werde gesteinigt und auch dessen Eigentümer soll sterben</i>, <small>DIE</small> A<small>BURTEILUNG DES</small> O<small>CHSEN GLEICHT DER</small> A<small>BURTEILUNG DES</small> E<small>IGENTÜMERS</small>. D<small>ER</small> W<small>OLF, DER</small> L<small>ÖWE, DER</small> B<small>ÄR, DER</small> T<small>IGER, DER</small> P<small>ANTHER UND DIE</small> S<small>CHLANGE SIND DURCH DREIUNDZWANZIG</small> [R<small>ICHTER</small>] <small>HINZURICHTEN</small>$fn23. R. E<small>LIE͑ZER SAGT, WER SIE ZUERST TÖTET, HABE EIN</small> V<small>ERDIENST</small>. R. A͑<small>QIBA SAGT, SIE SIND DURCH DREIUNDZWANZIG</small> [R<small>ICHTER</small>] <small>HINZURICHTEN</small>. 
Sanhedrin 2a:11	<sup>v</sup> M<small>AN RICHTE EINEN</small> S<small>TAMM</small>$fn24, <small>EINEN FALSCHEN</small> P<small>ROPHETEN UND EINEN</small> H<small>OGHPRIESTER NUR VOR DEM</small> G<small>ERICHTE VON EINUNDSIEBZIG</small> [M<small>ITGLIEDERN</small>]$fn25; <small>MAN DARF ZU EINEM</small> F<small>REIKRIEGE</small>$fn26<small>NUR DURCH</small> E<small>NTSCHEIDUNG DES</small> G<small>ERICHTES VON EINUNDSIEBZIG</small> [M<small>ITGLIEDERN</small>] <small>AUSZIEHEN; MAN DARF DIE</small> S<small>TADT</small>$fn27<small>ODER DIE</small> T<small>EMPELHÖFE NUR DURCH</small> B<small>ESCHLUSS DES</small> G<small>ERICHTES VON EINUNDSIEBZIG</small> [M<small>ITGLIEDERN</small>] <small>ERWEITERN; MAN DARF</small> G<small>ERIGHTSHÖFE</small>$fn28<small>FÜR EINZELNE</small> S<small>TÄMME</small>$fn29<small>NUR DURCH</small> B<small>ESCHLUSS DES</small> G<small>ERICHTES VON EINUNDSIEBZIG</small> [M<small>ITGLIEDERN</small>] <small>EINSETZEN</small>. 
