^brq)^ brq)*-*brq ['N02', 'A02']
^mpnqy^ mpnq*-*pnq ['A05', 'V02']
^dry$^ dr$*-*ry$ ['V01', 'N01']
^wdrb^ rb*-*d_ ['N02', 'c'] XXX N02
^nyby^ b(y*-*(bd ['V04', 'V01']
^drbww)t)^ rybbt)*-*rb) ['n05', 'N05']
^dzyl^ zyl*-*)zl ['A01', 'V01']
^mtn)^ mytn)*-*tny ['N02', 'V01']
^d)ytq$^ d_*-*nq$ ['c', 'V06'] XXX V06
^r'^ kl@mydy*-*d_ ['P', 'c']
^ktby^ ktb)*-*ktb ['N05', 'V01']
^wtwlt)^ twlt)*-*w_ ['n02', 'c'] XXX n02
^qmx)^ qymx)*-*h)y ['N02', 'P01'] XXX N02
^lkrm)^ l_*-*krm) ['P03', 'N02'] XXX N02
^lyyT^ m)n*-*lwT ['P', 'V01'] XXX V01
^dxly$^ xl$*-*xly$ ['V01', 'A01']
^m$m)lyh^ &m)l)*-*$m( ['N02', 'V03'] XXX N02
^myh)^ myh)*-*h) ['a', 'P']
^whw)^ hw)*-*rb*-*hwy ['P01', 'N02', 'V01']
^bdyql)^ l_*-*dyql) ['P03', 'N02'] XXX N02
^tt)y^ tt)*-*tt)y ['A01', 'a']
^slq)^ slq*-*sylq) ['V01', 'N02']
^lrb^ rb*-*l_ ['N02', 'P03'] XXX N02
^)ydy^ )ydy*-*)yydy ['P01', 'c']
^)'l^ )mr*-*(lm*-*rwmn) ['V01', 'N02', 'N05']
^l)xwry^ l)xwry*-*)xr ['P02', 'V02']
^)ry)^ )ry)*-*)ry ['N02', 'V01']
^(ywly^ (ywly*-*(ll ['N01', 'V02']
^wmn)^ mn)*-*m)n) ['a', 'N02']
^bymm)^ b_*-*ymm) ['P02', 'N02'] XXX N02
^d)yTm)y^ Tmy*-*)w ['V05', 'c']
^wmnw^ mnw*-*mny ['P01', 'V02']
^dx$yb^ x$yb*-*x$b ['A01', 'V01']
^lbr)^ lbr*-*br) ['a', 'N02']
^bl)^ bl)*-*qwm ['P01', 'V01']
^Tbwly^ Tbl*-*Tybwl) ['V02', 'N05']
^myny^ mn*-*myn) ['P02', 'N05']
^dry$@glwt)^ ry$@glwt)*-*d_ ['N02', 'P'] XXX N02
^w)kl^ )kl*-*kl ['V01', 'N01']
^wlmr^ l_*-*mr ['P03', 'N02'] XXX N02
^m(yqr)^ m(yqr)*-*(qr ['a', 'V04']
^wplyg)^ plg*-*w_ ['V01', 'c'] XXX V01
^dkpyN^ kpn*-*kpyn ['V01', 'A01']
^(l^ (ll*-*(l ['V01', 'P01']
^d(bd)^ (bd*-*(bd) ['V01', 'N02']
^ly'^ l_*-*lyt ['P03', 'a']
^d(bdy^ (bd*-*(bd) ['V01', 'N05']
^mbynt)^ byny*-*bynt) ['A05', 'N02']
^plgy^ plg)*-*plg ['N04', 'V01']
^qr)^ qr)*-*qry ['N02', 'V01']
^ky@hyky^ ky@hyky*-*(bd ['c', 'V01'] XXX c
^mny^ m)n)*-*mny ['N05', 'P01']
^wrmy^ w_*-*rmy ['c', 'V01'] XXX V01
^qdw$)^ qydw$)*-*qd$ ['N02', 'V02']
^dkwly^ kl*-*kwly@(lm) ['N01', 'P01']
^mn)^ mn)*-*mny*-*m)n) ['a', 'V01', 'N02']
^myl)^ myl)*-*my*-*l) ['N02', 'c', 'a']
^dmyh^ dmy*-*dm) ['V01', 'N02']
^qmh^ qwm*-*qmy ['V01', 'P02']
^drqy()^ rqy()*-*d_ ['N02', 'P'] XXX N02
^dmy)^ dmy*-*my) ['V01', 'N05']
^kd)mry^ )mr*-*kd_ ['V01', 'c'] XXX V01
^prsy^ prs)*-*prs ['N05', 'V01']
^wrb^ rb*-*w_ ['N02', 'c'] XXX N02
^btlt)^ tlt)*-*tlt)@b$b) ['n02', 'N02'] XXX n02
^bhy^ b_*-*hy ['P02', 'P'] XXX P
^bh)^ h)*-*b_ ['P01', 'P02'] XXX P01
^qr)y^ qr)*-*qry ['N05', 'V01']
^dkmh^ kmh@d_*-*km) ['c', 'a']
^ddm)^ dm)*-*d_ ['N02', 'c'] XXX N02
^dwq)^ w_*-*dwwq) ['c', 'a'] XXX a
^b$bt)^ b_*-*$bt) ['P02', 'N02'] XXX N02
^)y^ )y*-*hytyr) ['c', 'N02']
^mlK^ mlk*-*mlk) ['V01', 'N01']
^)w^ )w*-*m)y ['c', 'P01']
^)M^ )m*-*)ym) ['c', 'N02']
^dqby(^ qb(*-*qby( ['V01', 'A01']
^mly^ )mr*-*mly*-*mylt) ['V01', 'A01', 'N05']
^ly(wl^ (ll*-*(ly ['V01', 'V02']
^w)ydy^ )ydy*-*)yydy ['P01', 'c']
^mtnynN^ tny*-*mtnyt) ['V02', 'N02']
^bd)wryt)^ )wryyt)*-*bd_ ['N02', 'P']
^bh^ b_*-*Tbl) ['P02', 'N02'] XXX P02
^bt^ brt)*-*bwt ['N01', 'V01']
^br^ br)*-*br@mn*-*(bd ['N01', 'P01', 'V0101'] XXX N01,P01
^by^ b_*-*byt)*-*qymx)*-*by ['P01', 'N01', 'N02', 'P02'] XXX P01,N01,P02
^)yydy^ )yydy*-*)ydy ['c', 'P']
^lkdtny)^ tny*-*lkd_ ['V01', 'c'] XXX V01
^qmyh^ qmy*-*)mr ['P02', 'V01'] XXX P02
^)pwqy^ npq*-*)pwqy ['V03', 'N01']
^my$r)^ $ry*-*m$)r) ['V01', 'N02']
^)lyb)^ )lyb)*-*lyb) ['P01', 'N02']
^m$m$)^ $ym$)*-*$m$ ['N02', 'V02']
^kwly@(lm)^ (lm*-*kwly@(lm) ['N02', 'P01'] XXX N02
^bdrbnN^ rbnn*-*bd_ ['N05', 'P'] XXX N05
^)$yt)^ )$yt)*-*$yt) ['N02', 'n02']
^zy^ )zl*-*zy ['V01', 'a01']
^dby^ byt)*-*ry$@glwt) ['N01', 'N02'] XXX N01
^dbr^ br)*-*dbr ['N01', 'V01']
^dmxyt^ mxy*-*nxt ['V01', 'V03']
^wdkwly@(lm'^ (lm*-*kwly@(lm) ['N02', 'P01'] XXX N02
^tlt^ tlt)*-*tly ['n01', 'V01']
^gmr)^ gmr)*-*gmr ['N02', 'V01']
^gmrh^ gmr*-*gmr) ['V01', 'N02']
^kdrb^ rb*-*kd_ ['N02', 'P'] XXX N02
^rbh^ rb*-*rb) ['A02', 'N02']
^$ny^ $ny*-*$t) ['V01', 'N05']
^mhw^ mhw@d_*-*mhw ['c', 'P']
^krb^ rb*-*k_ ['N02', 'P02'] XXX N02
^b(ydn)^ b(ydn)@d_*-*(ydn) ['c', 'N02']
^l)pyh^ )py*-*l)py ['N05', 'P02'] XXX N05
^lxyy)^ l_*-*lyxyy) ['P03', 'N02'] XXX N02
^yrqy^ yrq*-*yrq) ['V01', 'N05']
^)py'^ )plw*-*)py ['c', 'N05']
^gly^ gl)*-*gly ['N05', 'V02']
^tn)^ tn)*-*tny ['N02', 'V01']
^br)^ br)*-* ['N02', '^'] XXX N02
^br'^ *-*b_ ['!', 'P02'] XXX P02
^)mrw^ )mr*-*mly ['V01', 'A01'] XXX V01
^)sr^ )sr*-*)syr ['V01', 'A01']
^)mry^ )mr*-*m)y ['V01', 'P01'] XXX V01
^mdrbnN^ rbnn*-*md_ ['N05', 'P'] XXX N05
^)s)^ )s)*-*)sr ['N02', 'V01']
^mydy^ mydy*-*mydy@d_ ['P01', 'c']
^lhddy^ hddy*-*xddy ['P01', 'P'] XXX P01
^ryry^ ryr)*-*ryry ['N05', 'I']
^mcy(t)^ mcy(t)*-*mcy() ['N02', 'A02']
^m$tyy)^ $ty*-*m$ty) ['V01', 'N02']
^wlrb^ rb*-*l_ ['N02', 'P03'] XXX N02
^dkm)N^ km)n@d_*-*m)n ['c', 'P']
^mdrb^ rb*-*md_ ['N02', 'P'] XXX N02
^qdm)^ qdm)h*-*qdm ['A02', 'V01']
^dqTry^ qTr*-*qyTr) ['V01', 'N05']
^dnply^ d_*-*npl ['c', 'V01'] XXX V01
^dxyl^ dxyl*-*dxl ['A01', 'V01']
^d$m)lyh^ &m)l)*-*$m( ['N02', 'V03'] XXX N02
^pry$^ pr$*-*prs ['V02', 'V01']
^lrb)^ l_*-*)kl ['P03', 'V01'] ???
^dxl^ xwl*-*d_ ['V01', 'c'] XXX V01
^)drbh^ )drb)*-*)d_ ['a', 'P'] XXX a
^dqby(y^ qby(*-*qb( ['A03', 'V01']
^)xtyh^ )xt)*-*nxt ['N02', 'V03']
^rbwyy^ rby*-*rybwyy) ['V02', 'N05']
^lmr^ mr*-*l_ ['N02', 'P03'] XXX N02
^b)ytt)^ )ytt)*-*b_ ['N02', 'P02'] XXX N02
^xd^ xd*-*xr ['n01', 'I']
^mxt)^ mxt)*-*nxt ['N02', 'V03']
^wmTw^ mTy*-*w_ ['V01', 'c'] XXX V01
^dprzl)^ przl)*-*d_ ['N02', 'P'] XXX N02
^mrb^ rb*-*m_ ['N02', 'P03'] XXX N02
^(bd)^ (bd*-*(bd) ['V01', 'N02']
^l$m(yh^ $m()*-*l_ ['N02', 'P03'] XXX N02
^T(myh^ T(m)*-*T(m ['N02', 'V01']
^plgyh^ plg)*-*plg ['N02', 'V01']
^gbr^ gbr)*-*gbr ['N01', 'V01']
^d)ry^ )ry)*-*dry ['N05', 'V01']
^d$lmh^ d_*-*$lm ['P', 'V01'] XXX V01
^xbyt)^ )ty*-*xbyt) ['V01', 'N02'] ???
^wmN^ mn*-*m)n ['P01', 'P']
^wmr^ mr*-*w_ ['N02', 'c'] XXX N02
^ldrb^ l_*-*d_ ['P03', 'P'] ???
^k'(^ (lm*-*tly ['N02', 'V01'] XXX N02
^dymyn)^ )mr*-*ymyn) ['V01', 'N02'] ???
^d$m(t)^ $m(*-*$m(t) ['V01', 'N02']
^)ynmy^ )mr*-*nmy ['V01', 'a'] ???
^lby@rb^ by@rb*-*l_ ['N01', 'P03'] XXX N01
^xywby^ xywb)*-*xwb ['N05', 'V02']
^trgwmh^ trgm*-*trgwm) ['V09', 'N02']
^trgwm)^ trgm*-*trgwm) ['V09', 'N02']
^)kl^ )kl*-*kl ['V01', 'N01']
^mmlkwt)^ m_*-*mlkwt) ['P', 'N02'] XXX N02
^dmnx^ d_*-*nwx ['c', 'V03'] XXX V03
^mnyh^ m)n)*-*mn ['N02', 'P02']
^)qwpy^ )qwpy*-*nqp ['N05', 'V03']
^(yqr^ (yqr)*-*ryhT) ['N01', 'N02'] XXX N01
^dhww^ hwy*-*)yt ['V01', 'a']
^dhw)^ hw)*-*hwy ['P', 'V01']
^d(bydy^ (bd*-*(byd ['V01', 'A03']
^d(byd)^ (bd*-*(byd ['V01', 'A01']
^wh)m'^ h)*-*)mr ['I', 'V01'] XXX V01
^m$ny^ $ny*-*$t) ['V02', 'N05']
^t)n)^ tn)*-*tny ['N02', 'V01']
^pswqyK^ )mr*-*pswq) ['V01', 'N02'] XXX N02
^br@nc)^ ncy*-*br@nc) ['A02', 'N02'] XXX N02
^)gb)^ )gb)*-*gb) ['a', 'N02']
