Responsum,Author,Date,Location (Questioner),Location (Respondent),Tags,Topic,Words (H),Hebrew Source,Sefaria ref,Notes,Words (E)
Noda BiYehuda YD 2:10,R. Yechezkel Landau,c. 1770,?,"Prague, Czech Republic","Hunting, animal cruelty",Hunting,,http://hebrewbooks.org/pdfpager.aspx?req=1447&pgnum=100,http://www.sefaria.org/Noda_Byehuda_II.10,Done,2336
Chavot Yair 222,R. Yair Bachrach,c. 1690,"Amsterdam, Netherlands","Worms, Germany","Women, prayer",Women reciting Kaddish,,http://hebrewbooks.org/pdfpager.aspx?req=857&pgnum=247,http://www.sefaria.org/Havot_Yair.222,Done,440
Responsa Rambam 293 (158),Rambam,c. 1200,"Cairo, Egypt","Cairo, Egypt","Prayer, conversion",Responsum to R. Ovadia the proselyte,,http://www.sefaria.org/Teshuvot_haRambam.157,http://www.sefaria.org/Teshuvot_haRambam.157,Done,988
Noda BiYehuda YD 2:210,R. Yechezkel Landau,c. 1770,"London, England","Prague, Czech Republic","Autopsy, death, medicine",Autopsies for scientific advancement,,http://www.hebrewbooks.org/pdfpager.aspx?req=1447&st=&pgnum=222,http://www.sefaria.org/Noda_Byehuda_II.210,Done,1512
Responsa Rashi 173,Rashi,c. 1080,?,"Troyes, France","Jewish status, agunah, divorce",A Jew who sinned remains a Jew,,http://www.hebrewbooks.org/pdfpager.aspx?req=1734&pgnum=254,http://www.sefaria.org/Teshuvot_Rashi.173,Done,240
Responsa Rambam 293,Rambam,c. 1200,Iraq,"Cairo, Egypt","Prayer, Torah reading, Karaite",Standing for the reading of the Ten Commandments,,http://www.hebrewbooks.org/pdfpager.aspx?req=1731&st=&pgnum=218&hilite=,http://www.sefaria.org/Teshuvot_haRambam.293,Done,1208
Shoel U-Meshiv 1:185,R. Yosef Shaul Natanzon,1853,"Lviv, Ukraine","Lviv, Ukraine","Sex, pedophile, rape, teacher",Allegations of sexual abuse of minors (link to partial translation; permission granted),,http://hebrewbooks.org/pdfpager.aspx?req=1422&st=&pgnum=138,http://www.sefaria.org/Shoel_Umeshiv_Part_I.185,Done,2032
Rosh 4:10,R. Asher b. Yechiel,1313,"Toledo, Spain","Toledo, Spain","Prayer, climate, rain",Praying for rain depending on local climate,,http://www.hebrewbooks.org/pdfpager.aspx?req=1961&st=&pgnum=28,http://www.sefaria.org/Teshuvot_HaRosh_part_IV.10,Done,2703
Teshuva Me'ahava 1:26,R. Elazar Fleckeles,1806,"Prague, Czech Republic","Teplice, Czech Republic","Adjudication, gentiles, oaths, kabbalah",Oaths in non-Jewish courts (addressed to a non-Jew),,http://www.hebrewbooks.org/pdfpager.aspx?req=19543&st=&pgnum=47,http://www.sefaria.org/Teshuva_MeAhava_Part_I.26,Done,3403
Noda BeYehuda YD 1:92,R. Yehezkel Landau,1776,"Kojetin, Czech Republic","Prague, Czech Republic","Prayer, mysticism, rationalism, meaning of observance",On mystical additions to prayers,,http://www.hebrewbooks.org/pdfpager.aspx?req=1497&st=&pgnum=144,"http://www.sefaria.org/Noda_Byehuda_I,_Yoreh_De'ah.92",Done,951
Chatam Sofer OH 72,R. Moshe Sofer,1813,"Bratislava, Slovakia","Bratislava, Slovakia","Shabbat, melakha, umbrella",Umbrellas on Shabbat,,http://hebrewbooks.org/pdfpager.aspx?req=794&pgnum=54,http://www.sefaria.org/Hatam_Sofer_Orah_Hayyim_Volume_I.72,Done,1367
Tashbetz 3:133,R. Shimshon. b. Tzemach Duran,c. 1425,?,Algiers,"Muslim, kosher, gentile practice",the status of Islam (participating in Eid al-Adha),,http://www.hebrewbooks.org/pdfpager.aspx?req=42132&st=&pgnum=400,http://www.sefaria.org/Tashbetz_Part_III.133,Done,836
Chavot Yair 184,R. Yair Bachrach,c. 1690,?,"Worms, Germany","Printing, sex, books",Sex in the presence of printed books,,http://www.hebrewbooks.org/pdfpager.aspx?req=857&pgnum=206,http://www.sefaria.org/Havot_Yair.184,Done,1786
Melamed Le-ho'il 2:87 (YD),R. David Zvi Hoffman,c. 1900,?,"Berlin, Germany","Conversion, intermarriage",Conversion of the child of a non-observant Jewish man and a gentile woman,,http://hebrewbooks.org/pdfpager.aspx?req=1053&st=&pgnum=234&hilite=,http://www.sefaria.org/Melamed_Leho'il_Part_II.87,Done,1791
Radbaz 3:548 (979),R. David b. Zimra,c. 1550,?,"Cairo, Egypt","Medicine, death, kosher",Ingesting mummy remnants,,http://www.sefaria.org/Teshuvot_HaRadbaz_Volume_3.979,http://www.sefaria.org/Teshuvot_HaRadbaz_Volume_3.979,Done,1380
Radbaz 4:219 (1290),R. David b. Zimra,c. 1550,"Cairo, Egypt","Cairo, Egypt","Ethiopian Jews, Karaite, Jewish status, conversion",Status of Ethopian Jews and Karaites,,http://www.sefaria.org/Teshuvot_HaRadbaz_Volume_4.1290,http://www.sefaria.org/Teshuvot_HaRadbaz_Volume_4.1290,Done,1775
Radbaz 2:691,R. David b. Zimra,c. 1570,"Jerusalem, Israel","Jerusalem, Israel","Temple Mount, Jerusalem",Location of the Holy of Holies,,http://www.sefaria.org/Teshuvot_HaRadbaz_Volume_2.691,http://www.sefaria.org/Teshuvot_HaRadbaz_Volume_2.691,Done,1933
Melamed Le-ho'il 2:85 (YD),R. David Zvi Hoffman,c. 1900,?,"Berlin, Germany","Conversion, sex, intermarriage, marriage",Conversion of a woman engaged to marry a Jewish man,,http://hebrewbooks.org/pdfpager.aspx?req=1053&st=&pgnum=233,http://www.sefaria.org/Melamed_Leho'il_Part_II.85,Done,295
Rosh 17:8,R. Asher b. Yechiel,c. 1318,Cordoba. Spain,"Toledo, Spain","Muslim, community, blasphemy, punishment, death penalty",Capital punishment when the authorities allow it,,http://hebrewbooks.org/pdfpager.aspx?req=1961&st=&pgnum=53,http://www.sefaria.org/Teshuvot_HaRosh_part_XVII.8,Done,1232
Maharam Mi-Rothenburg 4:108,R. Meir of Rothenburg,c. 1280,?,"Rothenburg or Worms, Germany","Women, prayer, Torah reading, community, kohanim",Women and Aliyot in a Town of Only Kohanim,,http://hebrewbooks.org/pdfpager.aspx?req=43513&st=&pgnum=43,http://www.sefaria.org/Maharam_MiRothenburg_Volume_IV.108,Done,762
Binyan Tziyon 154,R. Yaakov Ettlinger,1859,"Sfantu Gheorghe, Romania","Altona, Germany","Adultery, sex, rape, charisma, fraud",The seducer who impersonated Elijah the Prophet,,http://hebrewbooks.org/pdfpager.aspx?req=591&pgnum=129,http://www.sefaria.org/Binyan_Tziyon.154,Done,3369
