Niddah 2a:1	<sup>i</sup> <b>Š</b>AMMAJ <small>SAGT, ALLE</small> F<small>RAUEN HABEN</small>$fn1 <small>AN IHRER</small> Z<small>EIT GENUG</small>$fn2; H<small>ILLEL SAGT, SEIT DER</small> [<small>VORLETZTEN</small>] U<small>NTERSUCHUNG BIS ZUR</small> [<small>LETZTEN</small>] U<small>NTERSUCHUNG</small>$fn3, <small>AUCH WENN VIELE</small> T<small>AGE</small> [<small>DAZWISCHEN LIEGEN</small>],
Niddah 2a:2	D<small>IE</small> W<small>EISEN SAGEN, WEDER WIE DIESER NOCH WIE JENER</small>$fn4, <small>VIELMEHR</small> [<small>IST SIE UNREIN</small>] <small>EINEN</small> S<small>TUNDENTAG</small>$fn5, <small>FALLS DIES WENIGER IST ALS</small> [<small>DIE</small> Z<small>EIT</small>] <small>SEIT DER</small> [<small>VORLETZTEN</small>] U<small>NTERSUCHUNG BIS ZUR</small> [<small>LETZTEN</small>] U<small>NTERSUCHUNG, ODER SEIT DER</small> [<small>VORLETZTEN</small>] U<small>NTERSUCHUNG BIS ZUR</small> [<small>LETZTEN</small>] U<small>NTERSUCHUNG, FALLS DIES WENIGER IST ALS EIN</small> S<small>TUNDENTAG</small>. 
Niddah 2a:3	J<small>EDE</small> F<small>RAU, DIE EINE REGELMÄSSIGE</small> P<small>ERIODE HAT, HAT AN IHRER</small> Z<small>EIT</small>$fn6 <small>GENUG</small>. V<small>ERWENDET SIE BEIM</small> G<small>ESCHLECHTSVERKEHR</small> W<small>ISCHLAPPEN</small>$fn7, <small>SO GLEICHT DIES DER</small> U<small>NTERSUCHUNG; DIES VERRINGERT DEN</small> S<small>TUNDENTAG UND</small> [<small>DIE</small> Z<small>EIT</small>] <small>VON DER</small> [<small>VORLETZTEN</small>] U<small>NTERSUCHUNG BIS ZUR</small> [<small>LETZTEN</small>] U<small>NTERSUCHUNG</small>. 
Niddah 2a:4	<sup>ii</sup> W<small>AS HEISST ‘AN IHRER</small> Z<small>EIT GENUG’?</small> W<small>ENN SIE AUF DEM</small> B<small>ETTE SITZT UND SICH MIT REINEN</small> D<small>INGEN</small>$fn8 <small>BEFASST, SICH ZURÜCKZIEHT UND WAHRNIMMT, SO IST SIE UNREIN, JENE</small>$fn9 <small>ABER SIND REIN</small>. 
Niddah 2a:5	O<small>BGLEICH SIE GESAGT HABEN, SIE SEI EINEN</small> S<small>TUNDENTAG</small> [<small>RÜCKWIRKEND</small>] <small>VERUNREINIGEND, SO BEGINNE SIE DENNOCH DIE</small> Z<small>ÄHLUNG</small>$fn10 <small>ERST MIT DER</small> Z<small>EIT, WO SIE WAHRGENOMMEN HAT</small>.
Niddah 2a:6	GEMARA. Was ist der Grund Šammajs? — Er ist der Ansicht, man lasse die Frau bei ihrem bisherigen Zustande, und die Frau befand sich im Zustande der Reinheit. — Und Hillel!? — Das, was wir sagen, man lasse eine Sache von ihrem bisherigen Zustande, gilt nur dann,wenn die Verschlechterung nicht von dieser selbst$fn11ausgeht, bei der Frau aber,
Niddah 2b:1	bei der diese aus ihrem Körper kommt, sagen wir nicht, man lasse sie bei ihrem bisherigen Zustande. — 
Niddah 2b:2	Womit ist es hierbei anders als bei [der Lehre] vom Tauchbade!? Wir haben nämlich gelernt: Wenn ein Tauchbad nachgemessen und unvollständig$fn12befunden wird, so ist alles, was durch dieses Reinheit erlangt hat, ob auf öffentlichem Gebiete$fn13oder auf Privatgebiet, rückwirkend$fn14unrein.
Niddah 2b:3	Nach Šammaj ist einzuwenden hinsichtlich der Rückwirkung, 
Niddah 2b:4	und nach Hillel ist einzuwenden hinsichtlich der Entschiedenheit: während des Stundentages befindet es$fn15sich in der Schwebe, man esse es nicht und verbrenne es nicht, hierbei aber ist es entschieden unrein!? — 
Niddah 2b:5	Da lasse man das Unreine beim bisherigen Zustande und nehme an, er habe es nicht untergetaucht. — Im Gegenteil, belasse man doch das Tauchbad beim bisherigen Zustande und nehme an, es war nicht unvollständig!? — Es ist ja unvollständig vor dir. — Auch hierbei ist ja das Blut vor dir!? —
