Menachot 2a:1	<sup>i</sup> <b>J</b>EDES S<small>PEISOPFER, VON DEM DER</small> H<small>AUFE AUF EINEN ANDEREN</small> N<small>AMEN</small>$fn1<small>ABGEHOBEN WORDEN IST, IST TAUGLICH</small>$fn2, <small>NUR WIRD ES DEM</small> E<small>IGENTÜMER NICHT ALS</small> P<small>FLICHTOPFER ANGERECHNET, AUSGENOMMEN SIND DAS</small> S<small>ÜND</small>-S<small>PEISOPFER</small>$fn3 <small>UND DAS</small> E<small>IFERSUCHTS</small>-S<small>PEISOPFER</small>$fn4. 
Menachot 2a:2	H<small>AT MAN VOM</small> S<small>ÜND</small>-S<small>PEISOPFER ODER VOM</small> E<small>IFERSUCHTS</small>-S<small>PEISOPFER DEN</small> H<small>AUFEN AUF EINEN ANDEREN</small> N<small>AMEN</small>$fn5 <small>ABGEHOBEN ODER AUF EINEN ANDEREN</small> N<small>AMEN IN DAS</small> G<small>EFÄSS GETAN, HINGEBRACHT ODER AUFGERÄUCHERT, ODER AUF SEINEN</small> N<small>AMEN UND EINEN ANDEREN</small> N<small>AMEN, ODER AUF EINEN ANDEREN</small> N<small>AMEN UND SEINEN</small> N<small>AMEN, SO SIND SIE UNTAUGLICH</small>. 
Menachot 2a:3	A<small>UF SEINEN</small> N<small>AMEN UND EINEN ANDEREN</small> N<small>AMEN, ZUM</small> B<small>EISPIEL: AUF DEN</small> N<small>AMEN EINES</small> S<small>ÜND</small>-S<small>PEISOPFERS UND EINES FREIWILLIGEN</small> S<small>PEISOPFERS; AUF EINEN ANDEREN</small> N<small>AMEN UND SEINEN</small> N<small>AMEN: AUF DEN</small> N<small>AMEN EINES FREIWILLIGEN</small> S<small>PEISOPFERS UND EINES</small> S<small>ÜND</small>-S<small>PEISOPFERS</small>.
Menachot 2a:4	GEMARA. Weshalb heißt es ‘nur’, es sollte doch heißen: ‘und’ wird es dem Eigentümer nicht als Pflichtopfer angerechnet!? – 
Menachot 2a:5	Folgendes lehrt er uns: allerdings wird es dem Eigentümer nicht als Pflichtopfer angerechnet, das Speisopfer aber ist an sich tauglich, und man darf daran$fn6 nichts ändern. Dies nach Raba, denn Raba sagte, wenn man ein Brandopfer auf einen anderen Namen geschlachtet hat, dürfe man nicht auch das Blut auf einen anderen Namen sprengen. 
Menachot 2a:6	Wenn du willst, ist dies zu begründen, und wenn du willst, aus einem Schriftverse zu entnehmen. Wenn du willst, ist dies zu begründen: sollte man denn, weil man dabei einmal falsch verfahren hat, fortfahren und weiter falsch verfahren!? 
Menachot 2a:7	Wenn du willst, aus einem Schriftverse zu entnehmen: $fn7<i>den Ausspruch deiner Lippen sollst du halten und entsprechend handeln, wie du dem Herrn, deinem Gott, gelobt hast, die freiwillige Gabe &amp;c</i>. Wieso freiwillige Gabe, es ist ja Gelobtes: er nennt es Gelobtes und er nennt es freiwillige Gabe!? Vielmehr, hast du so verfahren, wie du gelobt hast, so ist es Gelobtes, wenn aber nicht, so ist es eine freiwillige Gabe, 
Menachot 2b:1	und auch bei einer freiwilligen Gabe darf nicht falsch verfahren werden.
Menachot 2b:2	Es wäre anzunehmen, daß unsere Mišna nicht die Ansicht R. Šimo͑ns vertritt, denn es wird gelehrt: R. Šimo͑n sagte: Alle Speisopfer sind, wenn der Haufe auf einen anderen Namen abgehoben worden ist, tauglich, und sie werden dem Eigentümer als Pflichtopfer angerechnet, 
Menachot 2b:3	weil Speisopfer nicht den Schlachtopfern gleichen: hebt man den Haufen ab von einem Pfannenopfer$fn8 auf den Namen eines Tiegelopfers$fn8, so beweist die Zubereitung, daß es ein Pfannenopfer ist, wenn ein trockenes auf den Namen eines umgerührten, so beweist die Zubereitung, daß es ein trockenes ist; 
Menachot 2b:4	anders aber verhält es sich bei den Schlachtopfern: bei allen erfolgt das Schlachten gleichmäßig, bei allen erfolgt das Sprengen gleichmäßig und bei allen erfolgt die [Blut]aufnähme gleichmäßig. 
Menachot 2b:5	Allerdings kann nach R. Aši$fn9, welcher sagt, eines$fn10gelte von dem Falle, wenn man den Haufen von einer Pfanne auf den Namen eines Tiegels$fn11abhebt, und eines$fn12gelte von dem Falle, wenn man den Haufen von einem Pfannenopfer auf den Namen eines Tiegelopfers$fn13abhebt, 
Menachot 2b:6	unsere Mišna von einem Opfer auf den Namen eines Opfers$fn14sprechen, wie ist es aber nach Rabba$fn9und Raba zu erklären? 
Menachot 2b:7	Wollte man erwidern, nach der Erklärung Rabbas$fn15, eines gelte von der Verwechselung des Opfers und eines gelte von der Verwechselung des Eigentümers$fn16, 
Menachot 2b:8	so spricht ja unsere Mišna von der Verwechselung des Opfers, denn er lehrt: auf seinen Namen und auf einen anderen Namen, zum Beispiel: auf den Namen eines Sünd-Speisopfers und eines freiwilligen Speisopfers!? 
Menachot 2b:9	Und wollte man erwidern, nach der Erklärung Rabas$fn15, eines, wenn man den Haufen von einem Speisopfer auf den Namen eines Speisopfers abhebt, und eines, wenn man den Haufen von einem Speisopfer auf den Namen eines Schlachtopfers abhebt$fn17, 
Menachot 2b:10	so spricht ja unsere Mišna von einem Speisopfer auf den Namen eines Speisopfers, denn er lehrt: auf einen anderen Namen und auf seinen Namen: auf den Namen eines freiwilligen Speisopfers und eines Sünd-Speisopfers!? – Am richtigsten ist es vielmehr, daß nach Rabba und Raba unsere Mišna nicht die Ansicht R. Šimo͑ns vertritt.
Menachot 2b:11	Ich will auf einen Widerspruch hinweisen, in dem R. Šimo͑n sich befindet. Es wird gelehrt: R. Šimo͑n sagte:$fn18<i>Es ist hochheilig, gleich dem Sündopfer und dem Schuldopfer</i>; manches$fn19gleicht dem Sündopfer und manches gleicht dem Schuldopfer; 
Menachot 2b:12	das Sünd-Speisopfer gleicht dem Sündopfer, daher ist es, wenn der Haufe auf einen anderen Namen abgehoben worden ist, gleich dem Sündopfer untauglich, und das freiwillige Speisopfer gleicht dem Schuldopfer, daher ist es, wenn der Haufe auf einen anderen Namen abgehoben worden ist, gleich dem Schuldopfer$fn20tauglich; 
