		comma separated			Halachic/Midrashic/Mahshava/Linguistic									For placed sources	For unplaceable Sources	For unplaceable Sources			
Source Reference (Hebrew)	Source Reference (English)	Names of Jerusalem	Geography 	Time Referenced	Intellectual Orientation	Characters	Keywords	Document #	Document Title	Order	Hebrew in Sefaria?	Other English in Sefaria?	Text Placed?	Reference as it appears in Sefaria	Hebrew 	English	Shoshana's Notes	Text Notes 	Work Title
משנה מסכת יומא פרק ה משנה ב	Mishna Yoma 5:2		Foundation stone	First Prophets			incense, ark, kohen, High Priest	1	Foundation Stone	1	Yes	Yes	Yes	Mishnah Yoma 5:2				General note on Daf 1: Note: the root שתה or שתי can mean to found, to start or to lay the beginning of the loom for weaving	
תוספתא מסכת יומא פרק ב הלכה יד	Tosefta Yoma 2:4	Zion	Foundation stone, Holy of Holies	First Prophets			incense, ark, kohen, High Priest	1	Foundation Stone	2	Yes	No	Yes	Tosefta Yoma 2:12					
תלמוד בבלי מסכת יומא דף נד עמוד ב	Talmud Bavli Yoma 54b	Zion		creation		The Holy One		1	Foundation Stone	3	Yes	No	Yes	Talmud Yoma 54b 6-16					
תהלים פרק יא	Tehillim 11:3							1	Foundation Stone	4	Yes	Yes	Yes	Psalms 11:3					
תלמוד בבלי מסכת סנהדרין דף כו עמוד ב	Talmud Bavli Sanhedrin 26b		Foundation stone, Holy Temple	Assyrian siege, First Prophets		Hezekiah	destruction	1	Foundation Stone	5	Yes	No	Yes	Talmud Sanhedrin 26b 10-29					
ילקוט שמעוני תהלים רמז תרנג	Yalkut Shimoni Tehillim 653		Foundation stone, Holy Temple	First Prophets, Assyrian siege		Hezekiah, David, The Holy One, Yaakov	destruction	1	Foundation Stone	6	yes	no	yes	Yalkut Shimoni on Nach 653:1					
מדרש תהלים (בובר) מזמור יא	Midrash Tehillim 11:2		Foundation stone	Assyrian Siege		Shevna, Sancheriv, Hezekiah, Isaiah		1	Foundation Stone	7	yes	no	Yes	Midrash Tehillim 11:2-3				The word שיתין can also refer to the holes on the altar into which the libations were poured	
מסכת שמחות ספר חיבוט הקבר פרק א הלכה א	Masechet Semachot The Book of Suffering in the Grave 1:1	Jerusalem	Foundation stone, Holy of Holies, Holy Temple	creation, Third Temple		The Holy One 	sacrifices, angel, kohen, kavana	1	Foundation Stone	8	no	no	no	x	ה' בחכמה יסד ארץ כונן שמים בתבונה, ללמדך שכשברא הקדוש ברוך הוא את עולמו, כילוד אשה בראו. מה ילוד אשה מתחיל מטבורו ומותח לכאן ולכאן לארבעת צדדיו, כך התחיל הקדוש ברוך הוא לברוא את העולם מאבן שתיה ומקדש הקדשים, וממנה הושתת העולם, ולכך נקראת אבן שתיה שממנה התחיל הקדוש ברוך הוא לברוא את עולמו. וברא בית המקדש למעלה בשמים, ובית המקדש למטה בארץ, זה לעומת זה, שנאמר תביאמו ותטעמו בהר נחלתך מכון לשבתך, אל תקרי מכון, אלא מכוון לשבתך זה כנגד זה. וכל זמן שהיו ירושלם ובית המקדש קיימים למטה, והיה כהן גדול מזרע אהרן עומד ומקריב קרבנות לפני הקדוש ברוך הוא, ומיכאל שר הגדול העומד על ישראל, היה ממונה ככהן גדול עומד ומקריב קרבנות למעלה לפני הקדוש ברוך הוא. ומיום שבטלו הקרבנות למטה, כביכול אין קרבנות למעלה, ועתיד הקדוש ברוך הוא להשיבן לישראל שנאמר לכן כה אמר ה' שבתי לירושלם ברחמים ביתי יבנה בה נאם ה' צבאות וקו ינטה על ירושלם.	“The Lord founded the earth with wisdom, established the heavens with discernment.” (Mishle 3:19) This comes to teach you that when the Holy One created His world, He created it like a newborn. Just as a fetus begins at the navel and stretches outward toward four sides, so the Holy One began the creation of the world from the Foundation Stone and the Holy of Holies and from it the world was founded. Therefore it is called the Foundation stone because from there the Holy One began to create His world. And He created a Holy Temple above in the heavens and a Holy Temple below on the earth aligned with one another, as it says “You shall bring them and plant them on the mount of Your heritage, place (machon) of Your dwelling…” (Shemot 15:17) Don’t read it as place (machon) but rather as aligned (m’kuvan) to your dwelling place. So long as Jerusalem and the Holy Temple were standing below, and the High Priest of the line of Aharon stood up and brought offerings before the Holy One, Micha’el the great ministering angel stood over Israel and was appointed like the High Priest to stand and bring offerings above before the Holy One. From the day that the offerings ceased below there were no offerings above, so to speak. In the future the Holy One will bring them back to Israel, as it is written “Therefore, so said the Lord: 'I have returned to Jerusalem with mercy; My house shall be built there,' says the Lord of Hosts. 'And a plumb line shall be stretched out over Jerusalem.' (Zechariah 1:16)	x		Masechet Semachot
במדבר רבה (וילנא) פרשת נשא פרשה יב	Bamidbar Rabbah Naso 12:4	Zion	Foundation stone			Moshe, Shlomo, The Holy One		1	Foundation Stone	9	yes	no	Yes	Bemidbar Rabbah 12:4					
מדרש תנחומא (בובר) פרשת קדושים סימן י	Midrash Tanchuma Kedoshim 10	Zion, Jerusalem, navel of the world	Foundation stone, palace, Holy Temple, Jerusalem, Israel	Shlomo's reign		Shlomo	ark	1	Foundation Stone	10	yes	no	Yes	Midrash Tanchuma 3:7:10					
מדרש תהלים (בובר) מזמור צא	Midrash Tehilim 91:7	Jerusalem, navel of the world	Foundation stone, palace	Yaakov leaving the land		Yaakov, The Holy One	Throne of Glory, prayer	1	Foundation Stone	11	yes (see note J13)	no	yes	Midrash Tehillim 91:5			this is a different translation or version of M. Tehillim and doesn't match exactly.		
פרקי דרבי אליעזר (היגר) - "חורב" פרק ט	Pirke d'Rebbe Eliezer "Horev" ch. 9	Jerusalem	Foundation stone, palace	divided kingdom		Yonah, The Holy One	Red Sea, prayer, sacrifice, light, water	1	Foundation Stone	12	yes	no	yes	Pirkei DeRabbi Eliezer 10				This midrash should be compared with Iyov 38 and perhaps even with the image of the fetus in gem. Niddah 30b	
אוצר המדרשים (אייזנשטיין) כונן עמוד 254	Otzar Midrashim konen p.254	Zion	Foundation stone, Temple, Israel	creation			Throne of Glory	1	Foundation Stone	13	yes	no	yes	Otzar_Midrashim,_Midrash_Konen_('He_Established').1.4			x		
ילקוט שמעוני תורה פרשת וישב רמז קמה	Yalkut Shimoni Vayeshev 145		Foundation stone	Yosef in Egypt		Yosef, The Holy One		1	Foundation Stone	14	yes	no	yes	Yalkut Shimoni on Torah 145:17				Compare to Sotah 36b	
רמב"ן בראשית א:א	Ramban Bereshit 1:1		Foundation stone				creation	1	Foundation Stone	15	yes	yes	yes	Ramban on Genesis 1:1, 5					
רבינו בחיי בראשית פרק ה:ב	Rabbenu Bechaye Bereshit 5:2		Foundation stone	birth of Shet		Adam, Shet	blessing	1	Foundation Stone	16	no	no	no	x	(ב) זכר ונקבה בראם. הנפש והשכל, כי הם העקר בלמוד החכמה, כי הגוף אינו נחשב לכלום, אבל הוא כלי להם: ויברך אותם. ברכם ברבוי ותוספת חכמה. ויקרא את שמם אדם. כי אין האדם נקרא "אדם" רק בסבת הנפש והשכל, שאלמלא הם נמשל כבהמות נדמה. ואחר שהיה בצלם אלהים, היה לו להוליד בצלמו ובדמותו, וכן עשה כי הוליד השכל והחכמה אשר כנהו בשת, לפי שהשכל עקר ויסוד הכל, מלשון (יומא נג ב) "אבן שתיה", כשם שהיה שת בנו עקר כל התולדות וראש לכל הצדיקים.	(2) male and female He made them – The soul (nefesh) and the intellect, because they are the essential components in learning wisdom and the body is considered as nothing other than their vessel. And He blessed them – He blessed them with plentitude and additional wisdom. And he called them Adam - For human beings are only called human (Adam) by reason of the soul and intellect, without which they are “…compared to the muted animals.” (Tehillim 49:13) And once he came to be in the image of Gd, he should have reproduced in his likeness and image, and so he did because he birthed the intellect and wisdom which he named Shet (from the term foundation stone – even shetiya), because the intellect is the essence and foundation of everything just as his son Shet was the essence of all generations and the chief of all the righteous.	We have Rabbeinu Bachya, just not this one		Rabbenu Bechaya
