"Torah, Introduction, To Aid the Reader of Genesis and Exodus",1,"G<small>IVEN THE ILLUSTRIOUS PREDECESSORS THAT ANY TRANSLATOR OF</small> G<small>ENESIS AND</small> Exodus follows, I have not tried to provide here either a comprehensive commentary or an all-encompassing system of notes. Rather, I have sought to suggest some fruitful avenues for thought and discussion in the Commentary, and to provide such information in the Notes as will be helpful to the nonspecialist. Naturally, the selection of material for these purposes is entirely mine; others might single out different details and different aspects of the text."
"Torah, Introduction, To Aid the Reader of Genesis and Exodus",2,"Since I have espoused a “rhetorical” approach to biblical texts in my work, I have decided to limit myself largely to literary remarks in the Commentary: indicating themes and motifs as they appear and are developed in these books and elsewhere in the Bible; pointing out structural aspects of the text; and treating issues of character development in the narrative. I have by and large eschewed historical issues, and those pertaining to the origins and textual history of Genesis and Exodus. These matters, which are highly theoretical and subject to detailed and often heated scholarly discussion, are treated comprehensively in standard works such as Speiser (1964) for Genesis and Childs (1974) for Exodus (see also the volumes of the Jewish Publication Society’s <i>The Torah Commentary</i>, currently appearing). More detailed information on the ancient Near Eastern background and parallels to Genesis and Exodus can be found in Cassuto (1967, 1972/1974) and Sarna (1966, 1986). Readers whose interest is primarily archaeological will seek works such as Mazar (1990)."
"Torah, Genesis, On the Book of Genesis and Its Structure",1,(1-50)
"Torah, Genesis, On the Book of Genesis and Its Structure",2,"T<small>HE TEXT OF</small> G<small>ENESIS SEEMS TO SPEAK WITH MANY VOICES</small>. F<small>OR A BOOK WHOSE BASIC</small> arrangement is chronological, tracing the history of a single family, it exhibits a good deal of discontinuity on the surface. Here time flows uniformly, there it takes startling jumps; fragments are followed by more or less full-blown tales; genres alternate, from mythic to genealogical to folkloristic. In addition, scholars often portray Genesis as a collection of historically diverse materials that were compiled by scribes for whom deviating from received tradition was anathema. Hence the repetitions, the inconsistencies, and the irregular pacing."
"Torah, Genesis, On the Book of Genesis and Its Structure",3,"Is Genesis then, at best, a collection of stories related to the origins of Israel, with most of its seams still showing? Such an assessment does not do justice to what must have been a complex process of addition and growth or to the final product. An overview of the book does produce a certain scheme; at some point in the text’s history a coherent picture must have begun to emerge from the disparate materials handed down. For the modern reader, utilizing the Buber-Rosenzweig method of focusing on repeating words and key themes as the text presents them may make it possible to generalize about the organization of the book and also to speculate on its overall intent in the form in which it has come down to us."
"Torah, Genesis, On the Book of Genesis and Its Structure",4,"On its most obvious level Genesis is a book about origins. It seeks to link the origin of the people of Israel with that of the world, relating in the process how various human characteristics and institutions arose."
"Torah, Genesis, On the Book of Genesis and Its Structure",5,"On the surface this parallels much of ancient literature and folklore. All peoples are interested in their own beginnings, picturing them in a way which validates their present existence. Genesis, however, is different in that, like the rest of the Torah, it downplays the heroic element of the people’s origins and in its place stresses God’s role in them. Moreover the one great omission—the origin of God—establishes from the beginning a unique basis for a tribal chronicle. From Genesis and subsequent books we learn primarily about God’s relationship to the people and what he expects of them; almost everything else is subordinated to this purpose."
"Torah, Genesis, On the Book of Genesis and Its Structure",6,Preliminarily one can speak of at least seven major themes whose recurrence establishes their importance in the book:
"Torah, Genesis, On the Book of Genesis and Its Structure",7,"1. <i>Origins:</i> Of the world, of humanity, and of the people of Israel.<br>2. <i>Order/Meaning in History:</i> By means of stylized or patterned chronology—reliance on certain round numbers such as 3, 7, and 40—it is suggested that human events are not random but somehow planned.<br>3. <i>Blessing:</i> From creation onward God bestows blessings on his creatures in general and on the fathers and mothers of Israel in particular.<br>4. <i>Covenant:</i> God concludes agreements with human beings.<br>5. <i>God Punishes Evildoing:</i> God is provoked to anger not by his capriciousness but by human failure to uphold justice and morality.<br>6. <i>Sibling Conflict, with the Younger Usually Emerging the Victor:</i> The order of nature (primacy of the firstborn) is overturned, demonstrating that God, not nature, is the ruling principle in human affairs.<br>7. <i>Testing:</i> God tests those who are to carry forth his mission; the result is the development of moral character."
"Torah, Genesis, On the Book of Genesis and Its Structure",8,"Superseding these important themes, which occur throughout the Bible in various forms, is the dominant one of <i>continuity</i>, represented by the unifying word in Genesis <i>toledot</i> (“begettings”). The word appears eleven times, often accompanied by long genealogical lists. The names may deflect attention from what is central to Genesis. The major thrust of the book would seem to be toward human fecundity, following the early divine command to “bear fruit and be many” (1:28), and pointing toward the eventual fecundity of the people of Israel (which will only be realized in the book of Exodus). Such an emphasis seems appropriate in a book about origins."
