Index Title,"The Five Books of Moses, by Everett Fox"
Version Title,"The Five Books of Moses, by Everett Fox. New York, Schocken Books, 1995"
Language,en
Version Source,http://www.sefaria.org
Version Notes,
"The Five Books of Moses, by Everett Fox, Genesis, On the Book of Genesis and Its Structure 1",Genesis 1-50
"The Five Books of Moses, by Everett Fox, Genesis, On the Book of Genesis and Its Structure 2","T<small>HE TEXT OF</small> G<small>ENESIS SEEMS TO SPEAK WITH MANY VOICES</small>. F<small>OR A BOOK WHOSE BASIC</small> arrangement is chronological, tracing the history of a single family, it exhibits a good deal of discontinuity on the surface. Here time flows uniformly, there it takes startling jumps; fragments are followed by more or less full-blown tales; genres alternate, from mythic to genealogical to folkloristic. In addition, scholars often portray Genesis as a collection of historically diverse materials that were compiled by scribes for whom deviating from received tradition was anathema. Hence the repetitions, the inconsistencies, and the irregular pacing."
"The Five Books of Moses, by Everett Fox, Genesis, On the Book of Genesis and Its Structure 3","Is Genesis then, at best, a collection of stories related to the origins of Israel, with most of its seams still showing? Such an assessment does not do justice to what must have been a complex process of addition and growth or to the final product. An overview of the book does produce a certain scheme; at some point in the text’s history a coherent picture must have begun to emerge from the disparate materials handed down. For the modern reader, utilizing the Buber-Rosenzweig method of focusing on repeating words and key themes as the text presents them may make it possible to generalize about the organization of the book and also to speculate on its overall intent in the form in which it has come down to us."
"The Five Books of Moses, by Everett Fox, Genesis, On the Book of Genesis and Its Structure 4","On its most obvious level Genesis is a book about origins. It seeks to link the origin of the people of Israel with that of the world, relating in the process how various human characteristics and institutions arose."
"The Five Books of Moses, by Everett Fox, Genesis, On the Book of Genesis and Its Structure 5","On the surface this parallels much of ancient literature and folklore. All peoples are interested in their own beginnings, picturing them in a way which validates their present existence. Genesis, however, is different in that, like the rest of the Torah, it downplays the heroic element of the people’s origins and in its place stresses God’s role in them. Moreover the one great omission—the origin of God—establishes from the beginning a unique basis for a tribal chronicle. From Genesis and subsequent books we learn primarily about God’s relationship to the people and what he expects of them; almost everything else is subordinated to this purpose."
"The Five Books of Moses, by Everett Fox, Genesis, On the Book of Genesis and Its Structure 6",Preliminarily one can speak of at least seven major themes whose recurrence establishes their importance in the book:
"The Five Books of Moses, by Everett Fox, Genesis, On the Book of Genesis and Its Structure 7","1. <i>Origins:</i> Of the world, of humanity, and of the people of Israel.<br>2. <i>Order/Meaning in History:</i> By means of stylized or patterned chronology—reliance on certain round numbers such as 3, 7, and 40—it is suggested that human events are not random but somehow planned.<br>3. <i>Blessing:</i> From creation onward God bestows blessings on his creatures in general and on the fathers and mothers of Israel in particular.<br>4. <i>Covenant:</i> God concludes agreements with human beings.<br>5. <i>God Punishes Evildoing:</i> God is provoked to anger not by his capriciousness but by human failure to uphold justice and morality.<br>6. <i>Sibling Conflict, with the Younger Usually Emerging the Victor:</i> The order of nature (primacy of the firstborn) is overturned, demonstrating that God, not nature, is the ruling principle in human affairs.<br>7. <i>Testing:</i> God tests those who are to carry forth his mission; the result is the development of moral character."
"The Five Books of Moses, by Everett Fox, Genesis, On the Book of Genesis and Its Structure 8","Superseding these important themes, which occur throughout the Bible in various forms, is the dominant one of <i>continuity</i>, represented by the unifying word in Genesis <i>toledot</i> (“begettings”). The word appears eleven times, often accompanied by long genealogical lists. The names may deflect attention from what is central to Genesis. The major thrust of the book would seem to be toward human fecundity, following the early divine command to “bear fruit and be many” (1:28), and pointing toward the eventual fecundity of the people of Israel (which will only be realized in the book of Exodus). Such an emphasis seems appropriate in a book about origins."
"The Five Books of Moses, by Everett Fox, Genesis, On the Book of Genesis and Its Structure 9","Ironically, however, the undercurrent in Genesis points not to life and its continuation, but rather to its threatened extinction. In story after story the protagonist, his people, and occasionally the entire world are threatened. In at least one case (Avraham) a perfectly legal and natural solution is found—the birth of Yishmael as his heir—only to be rejected by God in favor of a more difficult one: a son born to an elderly woman."
"The Five Books of Moses, by Everett Fox, Genesis, On the Book of Genesis and Its Structure 10","It is clear that the stress on continuity and discontinuity has one purpose: to make clear that God is in control of history. Human fertility and continuity in history come not from magical rites or from the arbitrary decisions of the gods, but from a God who bases his rule on justice. Nature disappears as a ruling factor in human affairs, replaced by a principle of morality which is unshakable precisely because it comes from a God who is beyond the rules of nature."
"The Five Books of Moses, by Everett Fox, Genesis, On the Book of Genesis and Its Structure 11","But the result is a book which abounds in tension. From the beginnings of human history (Chap. 4) we encounter contradictions and opposites, whether on a small scale (fertility and barrenness) or a large one (promise and delayed fulfillment). Nowhere is this so clear as in the dramatic high point of the book, Chap. 22. As Avraham stands with knife upraised, the entire enterprise of Genesis hangs in the balance. But the entire book is replete with such tensions and continuity-threatening situations. There are barren wives, brothers vowing to kill brothers, cities and even a world being destroyed by an angry God. The main characters of Genesis thus emerge as survivors, above all else. Noah sets the pattern, but he is merely the first, and too passive an example. The Patriarchs must brave hostile foreigners, bitter intrafamily struggles, and long wanderings before they can find peace."
"The Five Books of Moses, by Everett Fox, Genesis, On the Book of Genesis and Its Structure 12","While by the end of the book many of the tensions have been resolved, one conspicuously has not: God’s promise of the land of Canaan. As the book ends, “in Egypt,” we are left to ponder how this God, who keeps his promises to “those who love him” (Ex. 20:6), will bring the people back to their land—a land inhabited by someone else and in which the Children of Israel own only a burial site. Yet despite the tension, we may assume from the experiences of the Patriarchs that God will indeed “take account of” the Israelites (50:24), that he will take whatever ill has been planned against them and “plan-it-over for good” (50:20)."
"The Five Books of Moses, by Everett Fox, Genesis, On the Book of Genesis and Its Structure 13","A word should also be said here about hero traditions. In the great epics of the ancient world the hero often stands as a lonely figure. He must overcome obstacles, fight monsters, acquire helpers (whether women, “sidekicks,” or magic objects); and his triumph in the end signals man’s triumph over his archenemy, Death. Every battle won, every obstacle hurdled, is psychologically a victory for us, the audience, a cathartic release from our own frustrating battle against death."
"The Five Books of Moses, by Everett Fox, Genesis, On the Book of Genesis and Its Structure 14","The Bible sees things rather differently. Death is also overcome, but not only by the individual’s struggle. It is rather through the covenant community, bound together by God’s laws and his promises, that the heroic vision is lived out. Despite the triumphs of the characters in Genesis, it is really in the book of Exodus that the great battle scenes (the plagues in Egypt, the Red Sea) and meetings with the divine (Mount Sinai) take place. And it is therefore God himself who is most properly the “hero” of these stories. No major character in Genesis achieves success without depending fully on God, and the standards that are held up to them are ultimately seen as God’s own, to be imitated by imperfect humankind."
"The Five Books of Moses, by Everett Fox, Genesis, On the Book of Genesis and Its Structure 15","The book of Genesis falls naturally into four large sections. The first, usually termed the “Primeval History” (Chaps, 11–11), begins with creation and progresses through the early generations of humanity, ending in Mesopotamia. The second (Chaps. 12 through 25:18) is the cycle of stories concerning Avraham, the father of the people of Israel. Part III (Gen. 25:19 through Chap. 36) deals in the main with stories about his grandson Yaakov. The final section (Chaps. 37–50) is the tale of Yosef and of how the Children of Israel came to live in Egypt (thus paving the way for the book of Exodus)."
"The Five Books of Moses, by Everett Fox, Genesis, On the Book of Genesis and Its Structure 16","The following skeletal outline will lay out some of the interesting structural features of the book. There is an elemental symmetry that emerges from the four sections; further comments, especially about how the sections cohere, will be found in the explanatory material accompanying the text in this volume."
"The Five Books of Moses, by Everett Fox, Genesis, On the Book of Genesis and Its Structure 17",I. Chosen Figure (Noah)
"The Five Books of Moses, by Everett Fox, Genesis, On the Book of Genesis and Its Structure 18","Sibling Hatred (Kayin–Hevel), with sympathy for youngest"
"The Five Books of Moses, by Everett Fox, Genesis, On the Book of Genesis and Its Structure 19",Family Continuity Threatened (Hevel murdered)
"The Five Books of Moses, by Everett Fox, Genesis, On the Book of Genesis and Its Structure 20","Ends with Death (Haran, Terah; Sarai barren)"
"The Five Books of Moses, by Everett Fox, Genesis, On the Book of Genesis and Its Structure 21",Humanity Threatened (Flood)
"The Five Books of Moses, by Everett Fox, Genesis, On the Book of Genesis and Its Structure 22",Ends Away from Land of Israel (“In Harran”)
"The Five Books of Moses, by Everett Fox, Genesis, On the Book of Genesis and Its Structure 23",II. Chosen Figure (Avraham)
"The Five Books of Moses, by Everett Fox, Genesis, On the Book of Genesis and Its Structure 24","Sibling Hatred (Yishmael–Yitzhak) Implied, with sympathy for youngest"
"The Five Books of Moses, by Everett Fox, Genesis, On the Book of Genesis and Its Structure 25","Family Continuity Threatened (Sarai barren, Yitzhak almost sacrificed)"
"The Five Books of Moses, by Everett Fox, Genesis, On the Book of Genesis and Its Structure 26","Ends with Death (Sara, Avraham)"
"The Five Books of Moses, by Everett Fox, Genesis, On the Book of Genesis and Its Structure 27",Rivalry Between Wives (Hagar–Sarai)
"The Five Books of Moses, by Everett Fox, Genesis, On the Book of Genesis and Its Structure 28",Barren Wife (Sarai)
"The Five Books of Moses, by Everett Fox, Genesis, On the Book of Genesis and Its Structure 29",Wife–Sister Story (Chaps. 12 and 20)
"The Five Books of Moses, by Everett Fox, Genesis, On the Book of Genesis and Its Structure 30",Ends with Genealogy of Non-Covenant Line (Yishmael)
"The Five Books of Moses, by Everett Fox, Genesis, On the Book of Genesis and Its Structure 31",III: Chosen Figure (Yaakov)
"The Five Books of Moses, by Everett Fox, Genesis, On the Book of Genesis and Its Structure 32","Sibling Hatred (Esav–Yaakov), with sympathy for youngest"
"The Five Books of Moses, by Everett Fox, Genesis, On the Book of Genesis and Its Structure 33",Family Continuity Threatened (Yaakov almost killed)
"The Five Books of Moses, by Everett Fox, Genesis, On the Book of Genesis and Its Structure 34","Ends with Death (Devora, Rahel, Yitzhak)"
"The Five Books of Moses, by Everett Fox, Genesis, On the Book of Genesis and Its Structure 35",Rivalry Between Wives (Lea–Rahel)
"The Five Books of Moses, by Everett Fox, Genesis, On the Book of Genesis and Its Structure 36",Barren Wife (Rahel)
"The Five Books of Moses, by Everett Fox, Genesis, On the Book of Genesis and Its Structure 37",Wife–Sister Story (Chap. 26)
"The Five Books of Moses, by Everett Fox, Genesis, On the Book of Genesis and Its Structure 38",Ends with Genealogy of Non-Covenant Line (Esav)
"The Five Books of Moses, by Everett Fox, Genesis, On the Book of Genesis and Its Structure 39",IV Chosen Figure (Yosef)
"The Five Books of Moses, by Everett Fox, Genesis, On the Book of Genesis and Its Structure 40","Sibling Hatred (Brothers–Yosef), with sympathy for youngest"
"The Five Books of Moses, by Everett Fox, Genesis, On the Book of Genesis and Its Structure 41",Family Continuity Threatened (Yehuda’s sons die; Yosef almost killed; family almost dies in famine)
"The Five Books of Moses, by Everett Fox, Genesis, On the Book of Genesis and Its Structure 42","Ends with Death (Yaakov, Yosef)"
"The Five Books of Moses, by Everett Fox, Genesis, On the Book of Genesis and Its Structure 43",Humanity Threatened (Famine)
"The Five Books of Moses, by Everett Fox, Genesis, On the Book of Genesis and Its Structure 44",Ends Away from Land of Israel (“In Egypt”)
"The Five Books of Moses, by Everett Fox, Genesis, On the Book of Genesis and Its Structure 45","There is of course great variety within this bare structure; each version of a motif has its own special characteristics and emphases. Yet the patterning observed above gives the book a general coherence, above and beyond differences. It also demonstrates a conscious hand at work, one concerned about the texture of the book as a whole and able, despite the possible rigidity of what had been handed down, to shape the received material into a plastic and breathing unity."
"The Five Books of Moses, by Everett Fox, Genesis, On the Book of Genesis and Its Structure 46","Two general observations about Genesis will round out the picture here. First, as the book progresses there is a tendency for the style of the literature to become smoother. The abrupt changes and sometimes fragmentary nature of the material in Part I, and the vignettes built around Avraham’s life in Part II, give way to a greater coherence and concentration in Part III, and finally to a relatively flowing and psychologically complete narrative in Part IV Along with this, the characters in the latter half of the book seem to be more changeable and human, in contrast to Noah and Avraham, who often appear almost perfect models of piety."
"The Five Books of Moses, by Everett Fox, Genesis, On the Book of Genesis and Its Structure 47","Second, contact with God becomes less and less direct as Genesis moves on. Avraham’s dreams and visions seem a far cry from Adam’s conversations with God in the garden (although see Chap. 18); Yaakov’s encounters with God are less frequent than Avraham’s; and finally, Yosef never has a conversation with God, although he receives dream interpretations from him. This process of distancing may reflect an often-observed tendency in religions to think of primeval times as a “golden age” of closeness between gods and men, as contrasted to today (whenever one is writing), when humankind finds itself tragically distant from the divine and in need of communication."
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History 1",Genesis 1-2
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History 2",T<small>HE COLLECTION OF STORIES WHICH FORMS PART I OF</small> G<small>ENESIS HAS BEEN ASSEMBLED</small> for a number of purposes:
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History 3","1. History is traced from the creation of the world, in a direct line, down to Avraham, father of the People of Israel. Through use of the leading-word <i>toledot</i>, “begettings,” we are meant to view him as the logical end point in God’s preliminary plan in history."
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History 4","2. The nature of God, as he will appear throughout the Hebrew Bible, is firmly established. He is seen as a Creator who is beyond fate, nature, and sexuality; as an all-powerful orderer and giver of meaning to history; as a bestower of blessing to living creatures; as a giver of choice to human beings; as a just punisher of evil and, simultaneously, a merciful ruler; and as a maker of covenants. The one quality of God which does not unfold until the Patriarchal stories (Parts II-IV) is his shaping of human destiny through focusing on the People of Israel. It is portrayed as the logical outcome of the characteristics just mentioned."
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History 5","3. It appears that the Mesopotamian origins of Israel are reflected in such narratives as the Creation, the Flood, and the Tower of Babel, and are transformed or repudiated in the biblical versions. What in the older culture appears arbitrary and chaotic has been changed in the Bible into stories that stress morality and order. Further, human beings in Genesis Chapters 1–11, despite their failure to five up to God’s expectations, are nevertheless considered capable of doing so, in contrast to the Mesopotamian view that humankind was created merely to be slaves to the gods."
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History 6","4. Like virtually all other creation stories, Part I is concerned with the origin of the world and its institutions. Chapter 1 expounds on the origins of earth, sky, vegetation, animals, and human beings (as well as the Sabbath); Chapter 2, of sexuality, death, pain in childbirth, and work; Chapter 4, of sin, hatred, and murder, as well as of cities and crafts; Chapter 6, of giants; and Chapter 10, of nations (including the low status of the Canaanites) and languages."
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History 7","In sum, Part I serves as a fitting Prologue, not only to Genesis but to the entire Bible. The reader’s chief task in interpreting it is to be able to determine the reason for the inclusion of any one section into the whole."
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, God as Creator 1",Genesis 1:1-2:4
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, God as Creator 2","Three principal themes emerge from the great creation account with which Genesis opens. The first is the total and uncompromised power of God as creator; the second, the intrinsic order and balance of the created world; and the third, humankind’s key position in the scheme of creation. These themes are brought home as much by the form in which they are presented as by their actual mention."
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, God as Creator 3","God (Heb. <i>elohim</i>, a generic term) is introduced into the narrative without any description of origins, sex, or limitations of power. As the only functioning character of the chapter, he occupies center stage. There is no opposition, no resistance to his acts of creation, which occur in perfect harmony with his express word."
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, God as Creator 4","As a sign of both God’s total control and his intent, the world unfolds in symmetrical order. The division of God’s labor into six days, plus a seventh for rest, itself indicates a powerful meaningfulness at work, as well as providing the external structure for the narrative. Interpreters have tended to divide these into either three groups of two days or two groups of three, with always the same results: a balanced and harmonious whole. In addition, the number seven is significant (as it will be elsewhere in the Bible) as a symbol of perfection, not only in Israel but in the ancient world in general."
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, God as Creator 5","The narrative uses several repeating words and phrases to both unify the story and underscore the theme of order. These include “God said,” “Let there be…,” “God saw that it was good,” “It was so,” and “There was setting, there was dawning. …”"
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, God as Creator 6",<img>
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, God as Creator 7","The text is so formed as to highlight the creation of humankind. Although in each previous day “God said” is the keynote, suggesting forethought as well as action, here (v.26) God fully spells out his intentions, as it were, thinking out loud. Humanity, created in the divine “image,” is to hold sway over the rest of creation. Only with the addition of humankind is God able to survey his newly formed world and to pronounce it “exceedingly good” (v.31)."
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, God as Creator 8","At least two motifs appear in this chapter which will become important later in Genesis. The three occurrences of “blessing” (1:22, 1:28, 2:3) point to a central idea in the Patriarchal stories. In addition the concept of order and its logical conclusion—that history makes sense—figures prominently in the familial histories of the book. This is accomplished largely by the meaningful use of numbers, as above."
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, God as Creator 9","The entire account concludes (2:1–3) with a tightly structured poem. “God,” “the seventh day,” “work,” and “made” are mentioned three times, “finished,” “ceased,” and “all” twice; and “created” returns, echoing 1:1, to round out the whole creation narrative."
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, God as Creator 10","The postscript (2:4a; some scholars align it with what follows in Chap. 2 instead) introduces the key structural phrase of Genesis, “These are the begettings.…” It may also indicate the polemical intent of the creation story. Rosenzweig understood the verse to contrast “begetting,” i.e., sexual creation as it occurs in non-Israelite myths, with the “true” creation."
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, God as Creator 11","In that vein, a final word needs to be said about extrabiblical evidence. As has often been pointed out, Gen. I is unmistakably reacting against prevailing Near Eastern cosmogonies of the time. Most of the cultures surrounding ancient Israel had elaborate creation stories, highlighting the birth, sexuality, and violent uprisings of the gods. As we indicated at the outset, the concept of God presented here militates against such ideas, arguing chiefly out of omission and silence. (It should also be noted that in poetic books such as Isaiah, Job, and Psalms, a tradition about violent conflict at creation has been preserved.) The Genesis narrative has taken such old mythological motifs as battles with the primeval (female) waters or with sea monsters and eliminated or neutralized them. What remains is both utterly simple and radical in its time."
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, Garden and Expulsion 1",Genesis 2:4-3:24
"The Five Books of Moses, by Everett Fox, Genesis, Part I; The Primeval History, Garden and Expulsion 2","From the perspective of God in Chap. 1, we now switch to that of humankind (note how the opening phrase in 2:4, “earth and heaven,” reverses the order found in 1:1). This most famous of all Genesis stories contains an assortment of mythic elements and images which are common to human views of prehistory: the lush garden, four central rivers located (at least partially) in fabled lands, the mysterious trees anchoring the garden (and the world?), a primeval man and woman living in unashamed nakedness, an animal that talks, and a God who converses regularly and intimately with his creatures. The narrative presents itself, at least on the surface, as a story of origins. We are to learn the roots of human sexual feelings, of pain in childbirth, and how the anomalous snake (a land creature with no legs) came to assume its present form. Most strikingly, of course, the story seeks to explain the origin of the event most central to human consciousness: death."
