II Kings 1:1,"<b>rebelled:</b> See note to I Kings 12:19, above. Moav’s rebellion will resurface in Chap. 3."
II Kings 1:2,"<b>became sick [from his injuries]:</b> Biblical Hebrew does not make a distinction between illness and injury, the latter of which is clearly meant here. <b>Baal Zevuv/Master of Flies:</b> Pronounced <i>ze-VOOV.</i> The name is a nasty pun on “Baal Zevul,” “Baal the Exalted,” commonly found in Ugaritic texts. See the name “Izevel” in I Kings 16:31, for a possible similar usage. The trad. English for the name is “Baal-zebub,” which in later Jewish and then Christian tradition became Beelzebub, a significant demon and eventually a nickname for the Devil. <b>Ekron:</b> Pronounced <i>eh-KROHN.</i> One of the five major Philistine towns."
II Kings 1:3,<b>Eliyya:</b> A shortened variant of Eliyyahu.
II Kings 1:4,[]
II Kings 1:5,<b>to him:</b> To the king.
II Kings 1:6,[]
II Kings 1:7,[]
II Kings 1:8,"<b>hairy:</b> Heb. <i>baal se’ar</i>, “possessing (much) hair,” echoing “Baal Zevuv” (Cohn 2000). It is not clear whether the text means a hairy man or merely one wearing animal skins. <b>leather:</b> Lit. “[animal] skin.”"
II Kings 1:9,<b>captain of fifty:</b> Head of a defined military unit. The term was common in the ancient Near East.
II Kings 1:10,"<b>man … fire:</b> Martin notes the sound play here, which continues throughout the chapter: <i>ish</i> and <i>esh.</i> <b>heavens:</b> In the usual biblical sense of “the sky” (and not the abode of the blessed dead, as in later concepts)."
II Kings 1:11,[]
II Kings 1:12,"<b>fire of God:</b> The phrase “X of God” is frequently used to express the superlative in the Bible (as in Gen. 35:5, I Sam. 26:12)."
II Kings 1:13,"<b>went up:</b> Heb. <i>va-yaal</i>, following LXX; MT has <i>vayaan</i>, “spoke up.”"
II Kings 1:14,[]
II Kings 1:15,[]
II Kings 1:16,[]
II Kings 1:17,"<b>Yehoram:</b> Some versions insert “his brother” after the name. Note that the text cites two kings with the same name, north and south."
II Kings 2:1,"<b>storm:</b> Others, “whirlwind.” This phenomenon is often associated with the appearance of God in the Bible, most famously and dramatically in Job 38:1. <b>Gilgal:</b> The term for a “round place” of stones or a round platform, this particular one is probably not the significant one near Jericho (see Josh. 4:19), but a site in a central location of the Northern Kingdom."
II Kings 2:2,[]
II Kings 2:3,<b>Sons of the Prophets:</b> See note to I Kings 20:35. <b>from your head:</b> The phrase describes the master-servant relationship here (Cogan/Tadmor).
II Kings 2:4,[]
II Kings 2:5,[]
II Kings 2:6,<b>Thus the two of them walked on:</b> Reminiscent of the pregnant “Thus the two of them walked on together” in the Avraham/Yitzhak (Abraham/Isaac) story of Gen. 22.
II Kings 2:7,[]
II Kings 2:8,"<b>folded:</b> A rare biblical word, meaning more precisely “wrapped.”"
II Kings 2:9,[]
II Kings 2:10,[]
II Kings 2:11,"<b>walking:</b> Also in the sense of an auxiliary verb that conveys repetition—for example, “going along and speaking,” meaning “continuing to speak.”"
II Kings 2:12,"<b>Israel’s chariotry and its horsemen!:</b> Elisha appears to be equating Eliyyahu with the entire army, as if to suggest that the prophet is the people’s true strength."
II Kings 2:13,[]
II Kings 2:14,"<b>Where is Y<small>HWH</small>:</b> He equates the disappearance of his master with a rupture in divine-human communication. <b>indeed:</b> An oft-used emendation from <i>’af hu</i>, “even he,” to <i>efo</i>. No good solution has been found to this awkward sentence."
II Kings 2:15,[]
II Kings 2:16,[]
II Kings 2:17,[]
II Kings 2:18,[]
II Kings 2:19,[]
II Kings 2:20,"<b>new:</b> See note to I Kings 11:29. <b>bowl:</b> Others, “dish,” “pot.”"
II Kings 2:21,<b>outflow:</b> Source.
II Kings 2:22,"<b>the waters were healed:</b> See Exod. 15:22–25, where God “heals” bitter water by having Moshe throw a piece of wood into it."
II Kings 2:23,"<b>baldhead:</b> Others, more colloquially, “baldy.”"
II Kings 2:24,"<b>ripped up:</b> Are they killed, or “mauled,” as most translations have it? <b>forty-two:</b> The number is used later to count Yehu’s victims in 10:14; it looks like another “special” biblical number (forty plus two, or seven times three times two)."
II Kings 3:1,[]
II Kings 3:2,<b>standing-stone:</b> A cultic image.
II Kings 3:3,[]
II Kings 3:4,"<b>Mesha:</b> Pronounced <i>may-SHAH</i>. See the reference to Moav in the Commentary. <b>he would supply:</b> As tribute. Others, “had to supply,” implying a one-time payment (Martin)."
II Kings 3:5,[]
II Kings 3:6,[]
II Kings 3:7,<b>I am … :</b> See I Kings 22:4 for the same phraseology.
II Kings 3:8,"<b>The Road of the Wilderness of Edom:</b> So they take a long route, coming up from the south."
II Kings 3:9,[]
II Kings 3:10,[]
II Kings 3:11,<b>poured water over the hands:</b> As servant; a sign of deference.
II Kings 3:12,[]
II Kings 3:13,"<b>What have I to do with you?:</b> Or, “What business do we have?” When “Go” follows in the next line, we get the striking Heb. <i>Ma li va-lakh? Lekh!</i>"
II Kings 3:14,[]
II Kings 3:15,<b>when the strummer strummed:</b> Biblical Hebrew uses <i>n-g-n</i> to specifically describe playing stringed instruments; a more general musical verb would have been <i>z-m-r</i>.
II Kings 3:16,[]
II Kings 3:17,<b>wind … showers:</b> Which would be necessary for filling up the wadi with water.
II Kings 3:18,[]
II Kings 3:19,"<b>mar:</b> Lit., “cause pain.”"
II Kings 3:20,[]
II Kings 3:21,<b>all those belting on … and upward:</b> Everyone of military age (twenty) and skill.
II Kings 3:22,"<b>red:</b> Reflecting the rising sun, and also the reputation of the mountains of Edom; note Heb. <i>adom</i>, “red.”"
II Kings 3:23,[]
II Kings 3:24,"<b>they came against it … :</b> The text here is in disarray; “strike” appears in the Hebrew three times in quick succession, so many interpreters read the second one as “came,” as I do here."
II Kings 3:25,"<b>Kir-Hareset:</b> Some identify the site with the later ruins of a Crusader castle, Kerak, situated in an elevated area east of the Dead Sea. It is strategically located on the north-south King’s Highway."
II Kings 3:26,"<b>with him:</b> Emending <i>oto</i> to <i>itto</i>, as some manuscripts have. <b>to … Edom:</b> Some emend to “against … Aram” (Hebrew <i>d</i> and <i>r</i> letters are similar in appearance)."
II Kings 3:27,"<b>wrath:</b> The situation is unclear, since the text seems to slip into a Moabite perspective, namely that the human sacrifice works and the Moabite god triumphs. The effect of the passage is to deny the Israelites a complete victory under an Omride king (Cogan/Tadmor, quoting D. N. Freedman)."
II Kings 4:1,"<b>cried out:</b> Lodged a formal appeal. <b>take away … as slaves:</b> The practice of indentured servitude was widespread in the ancient Near East, and it is this, rather than chattel slavery (such as later existed in America and elsewhere), that is the more common form in the Bible."
II Kings 4:2,[]
II Kings 4:3,[]
II Kings 4:4,[]
II Kings 4:5,[]
II Kings 4:6,[]
II Kings 4:7,[]
